nExp, valid,  A0,  A1,  A2,  A3,  A4,  A5,  A6,  A7,  A8
  41,     1,  -7,  -7,  77, -11, -27, -11, -11, -23,  -7
  42,     1, -11, -11,  -3,  93,  -3,  -3,  -3, -15,  -3
  43,     1, -16,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  84
  44,     1,  -8, -24, -32,  -8, -12, -36,  76, -40, -32
  45,     1, -23, -27,  65, -19, -31, -35,  -7, -11, -15
  46,     1, -32, -12, -12,  -8,  -8, -32, -28,  -8,  60
  47,     1,  -3,  -3,  -3,  -3,  -3,  -3, -15,  -3,  89
  48,     1, -17,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  83
  49,     1, -30,  -6,  -6,  86,  -6, -30, -30,  -6,  -6
  50,     1,  64,  -8, -16, -12,  -8,  -8, -40,  -8,  -8
  51,     1, -33,  -9,  -9,  -9,  -9, -17, -25,  87,  -9
  52,     1,  -4, -16,  -4,  -4,  84,  -4, -12, -16,  -4
  53,     1, -31,  -7,  -7,  -7,  -7, -19,  -7, -23,  85
  54,     0, -43, -11, -11, -43, -27, -35, -35, -11, -11
  55,     1, -41,  67,  -9, -17,  -9,  -9, -33,  -9,  -9
  56,     1,  88,  -8,  -4,  -4,  -4,  -4,  -4,  -4,  -8
  57,     1, -41, -13,  59,  -9, -29,  -9,  -9, -25,  -9
  58,     1, -13, -17,  -9, -13, -41,  67,  -9, -41,  -9
  59,     1,  -9, -29,  -9, -41,  -9, -33,  -9,  59,  -9
  60,     1, -10,  -6,  -6,  -6,  -6,  74,  -6,  -6, -18
  61,     1, -16,  -8,  -8,  -8,  -8,  72,  -8, -24,  -8
  62,     1,  -9,  -9,  63, -21,  -9,  -9,  -9,  -9,  -9
  63,     1,  -6,  -6, -18,  -6, -26,  -6, -30,  90, -26
  64,     1,  68, -32,  -8, -28, -40,  -8,  -8, -32,  -8
  65,     1,  74,  -6,  -6,  -6, -10, -26,  -6,  -6,  -6
  66,     1, -15,  -3,  -3,  -3,  89,  -3,  -3,  -3,  -3
  67,     1,  90,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2
  68,     1, -10, -10,  74, -10,  70, -18, -42, -10, -18
  69,     1, -16, -16, -24,  -8,  -8,  88, -24,  -8, -24
  70,     1,  77,  -7,  -7, -31,  -7,  -7,  -7,  -7,  -7
  71,     1,  78,  78, -30,  -6,  -6,  -6, -18,  -6, -30
  72,     1,  59, -25, -21, -37,  -9, -17, -25,  -9, -25
  73,     1, -24,  -8, -32,  -8, -24,  -8,  -8,  80,  -8
  74,     1,  -4,  -4,  -4,  -4,  -4, -16,  92,  -4,  -4
  75,     1, -15,  -7, -31,  -7, -27,  -7,  77, -19, -15
  76,     1, -27,  -7,  -7, -23,  69,  -7, -23,  -7,  -7
  77,     1,  -6,  -6, -22, -22,  -6,  -6,  -6,  78,  -6
  78,     1, -20,  -8,  -8, -20, -16, -24,  60,  -8,  -8
  79,     1, -32,  -8,  -8,  -8, -20, -28,  68,  -8,  -8
  80,     1, -19, -19,  -7,  69, -11, -11,  -7, -23, -15
  81,     1,  -4,  -4,  -4,  -4,  -4,  88,  -4,  -4,  -4
  82,     1,  -5,  -5,  91, -13,  -5, -13, -21,  -5,  -9
  83,     1, -36,  -8, -40,  88, -36,  -8,  -8,  -8, -16
  84,     1, -19, -11,  53, -51, -31, -11, -23, -11, -43
  85,     0, -14, -10, -10, -10, -10, -10, -18, -10, -42
  86,     1, -23, -31,  -7,  -7, -35, -35, -11,  89,  -7
  87,     1,  -6,  -6,  -6, -22, -22,  -6,  -6,  74,  -6
  88,     1,  -6,  78,  -6, -18, -10, -10,  -6,  -6, -10
  89,     1, -16,  84,  -4, -12, -16,  -4,  -4, -12,  -4
  90,     1, -10, -10, -42, -38, -42,  62, -10, -30, -10
  91,     1, -35,  81,  -7, -19,  -7,  -7,  -7,  -7, -31
  92,     1,  -7,  -7,  77, -15, -23, -27,  -7,  -7, -11
  93,     1, -12,  -4,  -4,  -4,  -8,  -4,  -4,  92,  -4
  94,     1,  -5,  79, -21,  -5, -21,  -5,  -5,  -9, -17
  95,     1,  74,  -6,  -6,  -6, -18,  -6,  -6, -14, -26
  96,     1,  -2,  -2,  -2,  -2,  -2,  94,  -2, -10,  -2
  97,     1, -26, -14, -42, -10, -30,  62, -10, -42,  58
  98,     1, -10, -42, -10, -46, -10, -26, -30, -42,  82
  99,     1, -11, -19,  -7,  -7, -11,  -7,  89,  -7, -15
 100,     1,  -5,  79,  -5,  -9,  -5,  -5,  -5,  -5, -25
 101,     1, -15,  -7, -15, -27,  85, -27, -11, -23,  -7
 102,     0, -15, -11, -11, -23, -11, -11, -11, -11, -43
 103,     1,  -4,  -4,  -4,  88,  -4, -20, -12,  -4,  -4
 104,     1,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  79,  -5
 105,     1,  -7,  -7,  -7,  -7,  -7, -11,  -7,  89,  -7
 106,     1,  -7,  -7,  65,  -7,  -7, -31,  -7, -23,  -7
 107,     1,  -5,  -5,  -5,  87,  -5,  -5,  -5,  -5,  -5
 108,     1,  -7,  -7,  -7,  77,  -7,  -7, -31,  -7,  -7
 109,     1, -10, -10, -10, -34, -10, -10, -10, -30,  58
 110,     1,  -6, -22,  -6,  -6,  -6, -14,  90, -26,  -6
 111,     1, -10, -14, -14, -10, -10, -18,  66, -34, -10
 112,     1,  -3,  -3,  -3,  -3,  93,  -3,  -3,  -3,  -3
 113,     1, -11,  -3,  -3,  85,  -3,  -3,  -3,  -3, -11
 114,     1,  69,  -7,  -7, -15,  -7,  -7,  -7, -19, -19
 115,     0, -10, -18, -10, -10, -42, -26, -10, -22, -10
 116,     1,  -3,  -3,  -3, -11,  -3,  -3,  -3,  -3,  93
 117,     1, -10,  58, -10, -38, -34, -10, -10, -42, -10
 118,     1,  91,  -9,  -5,  -9, -13,  -5, -17, -13,  -5
 119,     1,  89,  -7,  -7,  -7, -27,  -7, -11, -35, -19
 120,     1,  86,  -6,  -6,  -6,  -6,  -6,  -6,  -6, -18
 121,     1, -42, -10, -30, -10, -10, -10,  58, -14,  66
 122,     1, -10, -10, -10,  70, -14, -18, -38, -30, -10
 123,     1,  79, -25,  -5,  -5, -21, -21, -21,  -5, -17
 124,     1,  -8,  64,  -8, -16,  -8,  -8, -40,  -8, -16
 125,     1,  -9,  -9,  -9,  71,  -9,  -9, -33,  -9, -41
 126,     1, -42,  62, -10, -38, -34, -10, -10, -10, -10
 127,     1, -16,  -4,  -4,  -8,  84,  -4,  -4,  -4,  -4
 128,     1,  -8,  -8,  64,  -8, -40,  -8, -20,  -8,  -8
 129,     1,  -5,  -5,  87,  -9,  -5,  -5,  -5,  -5,  -5
 130,     1, -21,  -9, -37, -25,  -9, -41,  87,  -9, -13
 131,     1,  -5,  -5, -21,  -5, -13,  -5,  -5, -17,  79
 132,     1,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  84
 133,     1,  -6, -22, -18,  -6,  -6,  78,  -6, -18,  -6
 134,     1,  -4,  -4,  -4,  -4,  -4, -16,  84,  -4,  -4
 135,     1, -12,  -8, -20,  -8, -16,  -8,  -8,  -8,  64
 136,     1,  -7,  -7,  -3,  -3,  93,  -3,  -3, -11,  -3
 137,     1, -26,  -6,  -6,  -6,  -6, -22, -26,  78,  -6
 138,     1,  -9,  63,  -9, -25,  -9,  -9, -21, -21,  -9
 139,     1, -20,  -4,  -4, -12,  -4,  -4,  -8, -12,  92
 140,     1, -33,  75,  -9,  -9, -41,  -9, -41,  -9,  -9
 141,     1,  -9, -41, -21, -25,  -9,  59,  -9,  -9,  -9
 142,     1,  -5,  -5,  -5, -21,  -9,  -5, -17,  -9,  91
 143,     1,  -8,  88, -36,  -8, -16, -24, -16, -20, -24
 144,     1, -23,  -7,  -7, -15,  -7,  65, -23,  -7,  -7
 145,     1,  -3,  -3,  -3, -15,  85,  -7,  -3,  -3,  -3
 146,     1,  -4,  -8,  -4, -20,  -4,  -4,  88, -20,  -4
 147,     1,  -5,  -9,  83,  -5, -17,  -5,  -5,  -5,  -5
 148,     1,  89,  -3,  -3, -15,  -3,  -3,  -3,  -7,  -3
 149,     1,  70,  -6,  -6, -26,  -6, -14, -10, -30,  -6
 150,     0, -11, -39, -23, -19, -43, -43, -35, -23, -11
 151,     0, -11, -11, -11, -31, -11, -11, -27, -19, -11
 152,     1,  -4,  -4,  -4,  -8,  -4,  -4,  -4,  -4,  84
 153,     1,  -7,  65,  -7,  -7,  -7,  -7,  -7,  -7,  -7
 154,     1,  -8,  -8, -32,  -8,  -8, -36,  64, -12,  -8
 155,     1,  -3,  -3,  -3,  -7,  89,  -3,  -3,  -3,  -3
 156,     1,  -8, -28,  64,  -8, -32, -36,  -8, -20, -32
 157,     1, -29, -17, -41, -13,  -9,  -9,  59,  -9,  -9
 158,     1, -32, -32,  -8, -36, -32,  -8,  84,  -8, -32
 159,     1,  -5,  -5,  -5,  -9,  -5, -21, -21,  87, -21
 160,     1, -10, -34, -22,  58, -42, -10, -34, -10, -22
 161,     1, -19, -27,  -7,  -7,  -7,  69,  -7,  -7,  -7
 162,     1, -26,  90,  -6,  -6, -26,  -6,  -6, -14,  -6
 163,     1,  -5, -17, -17,  -5,  87,  -5, -13, -21,  -5
 164,     1, -18, -10,  -6,  -6, -22,  86,  -6, -30,  -6
 165,     1,  70,  -6,  -6, -30, -14,  -6,  -6,  -6, -22
 166,     0, -11, -43, -11, -11, -43, -11, -43, -39, -23
 167,     1,  -6, -26, -18, -26, -18,  -6,  86,  -6, -22
 168,     0, -39, -11, -23, -43, -39, -31, -27, -35, -15
 169,     1, -38, -10, -10, -18, -10, -10,  62, -10, -10
 170,     1,  -3,  -3,  -3,  93,  -3,  -7,  -3,  -3, -11
 171,     0, -14, -22, -42, -34, -10, -14, -10, -26, -10
 172,     1,  -3,  89,  -3,  -3,  -3,  -3,  -3,  -3,  -3
 173,     1, -29,  59,  -9, -33,  -9,  -9, -17,  -9,  -9
 174,     1,  -9, -33, -41,  -9,  -9,  -9,  -9,  63,  -9
 175,     1,  -9, -41,  -9,  67,  -9, -25,  -9, -41, -21
 176,     1, -36, -32, -20, -24,  -8,  -8, -28,  88,  -8
 177,     1,  -8,  -8,  -8, -20, -36, -40,  -8,  68, -16
 178,     1,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  88,  -4
 179,     1,  -4,  -8,  -4, -20,  -4,  -4, -16,  88,  -4
 180,     1, -25, -33, -37,  -9, -13,  87, -41,  -9, -17
 181,     1,  -6,  -6,  74,  -6, -18,  -6, -10,  -6,  -6
 182,     1, -17,  -9,  79,  -9, -37, -21,  -9,  -9,  -9
 183,     1, -20, -36, -36,  -8,  -8,  -8,  -8, -32,  68
 184,     1, -18, -34, -10, -42,  58, -10, -10, -42, -18
 185,     1,  71,  -9, -21, -29, -37,  -9,  -9, -41, -13
 186,     1, -37,  -9,  87,  -9,  -9,  -9,  -9, -37,  -9
 187,     1,  81,  -7,  -7,  -7, -31,  -7,  -7,  -7,  -7
 188,     0, -10, -10, -30, -10, -26, -10, -26, -10, -10
 189,     1, -34, -10, -10, -34,  66, -38, -30, -10, -18
 190,     1, -10,  94,  -2,  -6,  -2,  -2,  -2,  -2,  -2
 191,     1,  -7, -19, -19,  -7,  -7,  73,  -7, -31,  -7
 192,     1,  -7,  -7,  -7,  -7, -15,  77,  -7,  -7,  -7
 193,     1,  -8,  -8,  -8,  -8,  72,  -8, -16,  -8,  -8
 194,     1,  -4,  80,  -4,  -4, -12,  -4,  -4,  -4,  -4
 195,     1,  -4, -20,  -4,  -4,  -4,  -4,  92,  -4,  -4
 196,     1,  58, -30, -10, -10, -10, -26, -38, -22, -30
 197,     1,  -7,  -7,  65,  -7,  -7,  -7,  -7,  -7,  -7
 198,     1, -15,  89,  -3,  -3,  -3, -15,  -3,  -3,  -3
 199,     1,  -4,  -4,  -4,  -4,  80,  -4,  -4,  -4,  -4
 200,     1, -42, -10, -26, -10, -14, -10, -42,  86, -10
 201,     1, -21,  -5, -25,  -5,  -5,  -5,  87,  -5, -13
 202,     1, -24,  -8,  -8, -32,  76,  -8,  -8, -16, -36
 203,     1, -36, -16,  -8,  -8, -32, -28, -20,  84, -32
 204,     1,  63, -41, -21,  -9,  -9,  -9,  -9,  -9,  -9
 205,     0, -27, -11, -11, -11, -11, -23, -11, -11, -43
 206,     1,  60, -12, -24, -12,  -8,  -8,  -8, -28, -28
 207,     1,  58, -42, -22, -10, -26, -10, -10, -10, -10
 208,     1,  -7,  -7, -31,  -7,  -7, -19,  85, -11,  -7
 209,     1,  -6, -26, -26,  -6,  -6, -26, -18, -18,  86
 210,     1,  72,  -8,  -8,  -8, -32, -36,  -8, -40,  -8
 211,     1,  -5,  -5, -25,  -5,  -5,  87,  -5,  -5,  -5
 212,     1,  78, -10,  -6, -30,  -6, -26, -30,  -6,  -6
 213,     1,  -5,  -5, -21,  -5,  -5,  -5,  -5,  -5,  83
 214,     1,  -3,  -3,  -7,  -3,  -3,  -3,  89,  -3,  -3
 215,     1, -26, -10,  86,  -6, -30, -26,  -6, -22,  -6
 216,     1,  -9, -25,  -9,  -9, -41,  71,  -9, -21,  -9
 217,     1,  -9, -37,  -9,  63,  -9,  -9, -41,  -9, -29
 218,     1,  -6,  -6,  -6, -10,  -6,  90, -30,  -6,  -6
 219,     1, -16,  -8,  80,  -4,  -4, -12,  -4,  -4, -16
 220,     1,  -7, -27, -11,  -7,  -7, -19,  -7, -11,  73
 221,     1, -12,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  88
 222,     1,  83, -37, -33, -41, -33, -13,  -9, -41, -41
 223,     1, -37,  -9, -17, -21,  -9, -29,  75,  -9,  -9
 224,     1,  60,  -8, -36,  -8, -24,  -8,  -8,  -8, -36
 225,     1, -21,  -5, -17,  87,  -5,  -5,  -5,  -9,  -5
 226,     1, -13,  -5,  -5,  -5, -21,  -5,  83,  -5,  -5
 227,     1,  86, -26,  -6, -30, -18,  78, -22, -14,  -6
 228,     1,  -7,  -7, -11,  85, -19,  -7,  -7,  85,  -7
 229,     1,  -9,  67,  -9, -21,  -9,  -9, -17,  -9, -37
 230,     1,  -3,  -3,  -3,  -3,  -3,  89,  -3,  -3,  -7
 231,     1,  -3,  -3,  -3,  -3,  -3,  -3,  93,  -3,  -3
 232,     1,  -6,  -6, -30, -26, -18,  78,  -6, -18, -18
 233,     1, -11, -31,  -7,  81, -19, -15,  -7,  -7,  -7
 234,     1, -10,  58, -30, -26, -34, -10, -22, -30, -26
 235,     1,  -4,  -4, -20,  84, -16,  -8,  80, -20, -12
 236,     0, -42, -10, -10, -42, -34, -14, -10, -14, -10
 237,     1,  -7, -31,  -7,  85, -35,  -7,  -7,  -7,  -7
 238,     1, -16, -20,  -4,  80,  -4,  -4,  -4,  -4,  -4
 239,     1,  -4,  -4,  -4, -12,  80,  -4, -20,  -4,  -4
 240,     1,  -3,  89,  -3,  -3,  -3,  -3,  -3,  -3,  -3
 241,     1,  -9, -13,  -9,  -9, -37, -33, -33,  71, -29
 242,     1,  -6,  -6,  78,  -6,  -6, -22, -30, -26,  -6
 243,     1,  -3,  -3,  -3,  -3,  -7,  -3,  85,  -3,  -3
 244,     1,  -5,  -5,  -5,  -5,  -5, -21,  -5, -21,  83
 245,     1,  -4,  -4,  -4,  92, -12,  -4,  -8,  -4,  -4
 246,     1,  -7,  73,  -7, -35,  -7,  -7,  -7,  -7, -19
 247,     1, -24, -36, -28, -12,  -8,  -8, -20,  60,  -8
 248,     1,  -5,  83,  -5,  -9,  -5,  -9,  -5,  -5,  -9
 249,     1, -25,  -9,  71,  -9,  -9, -33,  67,  -9,  -9
 250,     1,  -7,  -7,  -7, -31,  65,  -7,  -7,  -7,  -7
 251,     1,  -8,  -8,  -8,  76,  -8, -12, -24, -20, -32
 252,     1,  -4, -16,  -4,  -4,  -4,  -4,  -8,  84,  -4
 253,     1,  -5,  -5, -21,  -5,  83,  -5,  -5, -21, -17
 254,     1,  -3,  -7,  89,  -3,  -3,  -3,  -3,  -3,  -3
 255,     1, -30,  -6,  -6,  70,  -6, -14,  -6,  -6,  -6
 256,     1,  -3,  -3,  -7, -11,  -3,  -3,  93,  -3,  -3
 257,     1,  -7,  -7, -15,  -7, -31, -19, -15,  69,  -7
 258,     1,  -5, -21,  -5,  -5,  -5,  -5,  91,  -5,  -5
 259,     1, -41, -17,  -9, -21,  67, -33, -41, -21,  -9
 260,     1,  -4,  88,  -4,  -4,  -4,  -4,  -4,  -4,  -4
 261,     0, -10, -10, -10, -46, -26, -42, -10, -18, -10
 262,     1,  -4,  -4, -12,  -4,  -4,  -4,  80,  -4,  -4
 263,     1,  -9,  -9,  63, -29,  -9,  -9, -29,  -9, -25
 264,     1,  78,  -6,  -6,  -6, -18, -10, -14,  -6,  -6
 265,     1,  -4, -16,  -4,  -4,  -4, -12,  92,  -4,  -4
 266,     1, -22, -14, -10, -26,  90,  -6,  -6,  70,  -6
 267,     1,  -3,  -3,  -3,  -3,  -3, -15,  -3,  -7,  85
 268,     1, -10, -10, -10, -10,  62, -10, -10, -10, -26
 269,     0, -42, -10, -10, -10, -42, -42, -10, -22, -42
 270,     1, -22, -10, -42, -38, -18,  70, -14, -10, -42
 271,     1,  -8,  84,  -8,  -8,  -8,  -8, -12, -36,  -8
 272,     0, -11, -27, -27, -11, -43, -11, -43, -15, -11
 273,     1,  -9, -29,  -9,  -9,  -9, -21,  -9,  -9,  83
 274,     1,  -8,  -8, -36,  -8,  -8,  -8,  -8, -24,  60
 275,     1,  -5,  83,  -5,  -5,  -5,  -9,  -5,  -5,  -9
 276,     1,  -5,  -5, -17,  -5,  -5,  -5,  87, -21,  -5
 277,     1,  -8,  -8,  -8,  60, -24,  -8, -20,  -8, -20
 278,     1,  -3,  -3, -15,  89,  -3,  -3,  -3,  -3,  -3
 279,     1, -21,  -9,  59, -41, -17,  59,  -9, -33,  -9
 280,     1,  -8, -16,  -8,  -8,  -8, -32,  -8,  -8,  76
 281,     1, -35, -31,  69,  -7,  -7,  -7, -31, -31, -27
 282,     0, -31, -23, -11, -11, -11, -23, -19, -43, -31
 283,     0, -19, -11, -23, -15, -19, -43, -11, -11, -11
 284,     1, -41, -37,  -9,  -9,  -9, -13, -17, -21,  71
 285,     1,  -3,  -3,  -3,  -3,  -3,  -3,  85,  -3,  -3
 286,     1,  -4,  -8, -20,  -4,  92, -12,  -4,  -4,  -4
 287,     1,  -7,  -7,  -7, -31, -19,  -7,  65,  -7,  -7
 288,     1,  -7,  -7,  -7,  -7, -23,  -7, -11, -31,  81
 289,     1,  -7,  -3,  -3, -15,  89, -11,  -3,  -3,  -7
 290,     1, -20,  80, -28, -40, -32, -12,  -8, -20,  -8
 291,     1, -29,  -9,  -9,  -9,  -9,  -9,  63, -17,  -9
 292,     1,  -6, -14,  -6, -10,  -6,  -6,  -6, -22,  82
 293,     1,  -8, -20,  -8, -20,  -8,  -8,  64,  -8, -20
 294,     1, -10, -10, -10, -10, -10, -30, -10, -14,  66
 295,     1,  -7,  69, -27, -15, -15, -15, -35,  -7,  -7
 296,     1,  89,  -3,  -3,  -3,  -3,  -7,  -3,  -3,  -3
 297,     1,  67,  -9,  -9, -41,  -9,  -9, -13, -13, -25
 298,     1, -10, -10, -42, -30,  66, -10, -10, -30, -18
 299,     1, -11,  69, -35,  -7, -19, -19, -15, -11,  -7
 300,     1,  -9, -21,  59,  -9,  -9, -33, -37,  -9,  -9
 301,     1, -24, -20, -24,  -8, -20,  -8,  -8,  -8,  76
 302,     1,  -7,  89, -23,  -7, -31, -35,  -7,  -7,  -7
 303,     1,  85,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3
 304,     1,  -3,  -7,  -3,  -3,  93,  -3,  -3,  -3,  -3
 305,     1, -10, -10, -10, -10,  66, -10, -18, -30, -10
 306,     1,  79,  -5, -21, -17, -21,  -9,  -5,  -5,  -9
 307,     1, -18, -14, -14,  -6,  -6, -26,  -6,  -6,  78
 308,     1,  -8, -20,  -8, -32, -32,  -8,  88,  -8,  -8
 309,     1, -25, -25, -13,  87,  -5,  -5,  -5,  83,  -5
 310,     1,  -7,  -7,  81,  -7,  -7,  -7,  -7, -11,  -7
 311,     1,  -3,  -3,  85,  -3,  -3,  -3,  -3,  -3,  -3
 312,     0, -11, -11, -47, -11, -11, -11, -11, -11, -31
 313,     1, -28,  -8,  80, -12, -20,  -8,  -8, -40, -32
 314,     1,  -7, -11, -35, -27,  89, -19, -19,  -7, -27
 315,     1, -42, -42, -42, -30, -42,  62, -34, -10, -10
 316,     1, -15,  -3, -11,  -3,  -3,  -3,  -7,  -3,  85
 317,     1,  71, -25, -33,  -9, -21, -41,  -9,  -9, -33
 318,     1,  -5, -25,  -5,  -5, -17,  -9,  -5,  -5,  87
 319,     1,  -6, -14,  -6,  78,  -6,  -6,  -6,  -6,  -6
 320,     1, -24,  -8,  -8,  -8,  -8, -40,  64,  -8,  -8
 321,     0, -11, -31, -27, -11, -15, -11, -35, -11, -43
 322,     0, -27, -11, -11, -47, -15, -11, -11, -11, -39
 323,     1,  -5,  83,  -9, -21,  -5,  -5, -17,  -5,  -5
 324,     1, -11, -11,  -7,  -7, -23, -23, -35, -19,  85
 325,     1,  83,  -5,  -5,  -5,  -5,  -5,  -5,  -5, -13
 326,     1,  -7,  -7,  -7,  -7, -23,  -7,  -7, -27,  81
 327,     1,  -8,  -4,  84, -12,  -4,  -4, -12, -16,  -4
 328,     1,  -9,  -9,  -9,  -9,  -9, -29, -17,  -9,  67
 329,     1, -27,  -7,  -7,  89,  -7, -23,  -7, -11, -23
 330,     1,  93,  -3,  -7,  -3, -11,  -3,  -7,  -3,  -7
 331,     1,  -5,  -9,  -9,  91,  -5,  -5,  -5,  -5, -21
 332,     1,  -4,  -4,  -4,  -4,  -4,  80,  -4,  -4,  -4
 333,     1,  -3,  -3,  -3,  89,  -3,  -3,  -7,  -3,  -3
 334,     1, -26, -10,  70, -10, -38, -10, -42, -14, -10
 335,     1,  -9, -17,  -9, -13,  -9,  67,  -9, -41,  -9
 336,     1, -20,  -4,  -4,  88,  -4,  -4,  -4,  -4,  -4
 337,     1,  -6,  -6,  -6, -30,  -6,  -6,  90,  -6,  -6
 338,     1,  -6,  -6,  -6, -26, -18,  -6,  -6,  -6,  86
 339,     1, -42, -10, -10, -10, -10,  74, -42, -10, -10
 340,     1,  -6, -14,  -6,  -6, -14,  86, -26, -22,  -6
 341,     1, -12,  -8, -32, -36,  68, -12, -36,  -8,  -8
 342,     1, -28,  -8, -36, -36,  -8, -20, -28, -12,  60
 343,     1,  -9,  -9,  -9, -37, -25,  79,  -9, -29, -33
 344,     1,  -9, -37,  -9,  67,  -9, -25, -21, -13, -13
 345,     1,  -9, -41, -13, -13, -13,  63,  -9,  -9,  -9
 346,     1,  -6,  -6,  -6,  90,  -6, -22,  -6,  -6,  -6
 347,     1, -16,  -4,  -4,  92,  -4,  -4,  -4,  -4, -16
 348,     1,  79,  -5,  -9,  -5, -17, -25,  -5,  -5,  -5
 349,     1,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  90
 350,     0, -23, -27, -35, -23, -19, -11, -15, -35, -11
 351,     1, -13,  67,  67,  -9, -25,  -9, -29,  -9,  -9
 352,     1, -10, -42,  54, -10,  70, -26, -10, -10, -26
 353,     1,  -9,  -9,  -9,  -9, -33,  71,  -9,  -9, -29
 354,     1,  -5,  79, -13,  -5,  -5, -25,  -9,  -5,  -5
 355,     1,  -3,  -3,  -7,  89,  -3,  -3,  -3,  -7,  -3
 356,     0, -11, -11, -11, -15, -43, -11, -11, -11, -11
 357,     1,  -8, -36, -40,  -8,  -8, -28,  -8,  72, -28
 358,     0, -10, -10, -10, -22, -30, -34, -42, -10, -30
 359,     1,  -2,  94,  -2,  -2,  -6,  -2,  -6,  -2,  -2
 360,     1, -27,  -7,  -7,  65,  -7,  -7,  -7, -31,  -7
 361,     1,  -5,  -5,  -5,  -5,  -5, -17, -13,  83,  -5
 362,     1,  93,  -3,  -3,  -3,  -3,  -3,  -3,  -7,  -7
 363,     1, -10, -34,  86, -10, -42, -10, -22, -10, -10
 364,     1,  66, -22, -14, -10, -14, -10, -10, -10, -10
 365,     1,  -3,  -7,  -3,  -3,  93,  -3,  -3,  -3, -15
 366,     1, -15,  -7,  -3,  -3,  -3,  -3, -11,  93, -11
 367,     1, -26,  -6, -14, -26,  -6,  -6, -26,  -6,  82
 368,     1,  -8,  -8, -36,  -8,  -8, -24,  -8,  -8,  68
 369,     1,  -5,  -5,  -5,  -5,  -5,  79,  -5, -21,  -5
 370,     1, -32,  64,  -8, -12, -12,  -8,  -8, -12,  -8
