nExp,  A0x,  A0y,  A1x,  A1y,  A2x,  A2y,  A3x,  A3y,  A4x,  A4y,  A5x,  A5y,  A6x,  A6y,  A7x,  A7y,  A8x,  A8y 
  28,   11,   54,   11,   56,    0,   50,   11,   55,    0,   35,    0,   47,   11,   56,    0,   34,   11,   55
  29,   11,   58,    1,   27,   11,   65,   10,   41,   11,   55,   10,   40,   11,   65,   11,   57,    0,   54
  30,    1,   34,    0,   24,    0,   21,    0,   38,   10,   58,    0,   38,   10,   38,    1,   31,   11,   54
  31,    1,   34,   10,   45,    0,   32,    1,   63,   11,   57,   10,   56,   11,   59,    1,   53,    1,   25
  32,    1,   62,    0,   40,   10,   50,    0,   18,   10,   54,    0,   32,   11,   61,   10,   40,   10,   50
  33,   10,   58,    0,   54,    1,   65,    0,   60,    0,   30,   10,   53,    1,   17,    1,   27,   11,   64
  34,   10,   37,   11,   57,    1,   40,    0,   62,    0,   37,    1,   40,   10,   54,   10,   48,   10,   48
  35,   11,   63,    1,   32,   10,   40,   10,   47,   10,   40,   10,   46,    1,   34,    1,   49,    1,   47
  36,    0,   32,   10,   37,   10,   36,    1,   59,    0,   43,    0,   59,   10,   58,   10,   36,    0,   47
  37,   11,   64,   10,   57,    0,   54,    1,   17,    1,   29,    0,   38,   11,   59,    1,   50,   10,   39
  38,   11,   59,   11,   58,   11,   58,    0,   27,   11,   61,    0,   36,    0,   22,    0,   20,   10,   41
  39,   10,   54,   10,   51,    1,   59,    1,   36,   10,   51,   11,   65,   11,   65,   10,   50,   10,   42
  40,    1,   14,    0,   18,   10,   40,   11,   62,   11,   58,   11,   59,    1,   17,   11,   63,    1,   36
  41,    1,   13,    0,   35,    0,   43,    0,   27,   10,   58,    1,   58,    1,   30,   10,   37,   11,   54
  42,    1,   51,    0,   56,   11,   59,    0,   21,    0,   54,    1,   61,    1,   16,    1,   52,   11,   54
  43,    0,   41,    0,   59,   11,   57,    1,   42,    1,   41,    0,   32,    1,   44,   10,   43,    0,   23
  44,   11,   55,   10,   43,    1,   51,   10,   58,   10,   61,    0,   48,    0,   53,    1,   48,   10,   55
  45,    0,   57,    0,   42,   10,   43,   10,   44,    0,   56,   10,   45,   10,   36,    0,   36,   11,   60
  46,    0,   54,   11,   63,   10,   56,    0,   53,   11,   63,    1,   43,   10,   63,    0,   58,   10,   46
  47,    1,   12,    0,   49,   10,   50,   11,   59,    1,   57,    1,   44,   10,   60,   11,   58,    0,   19
  48,   10,   64,    1,   35,   10,   55,    1,   48,    1,   31,   10,   57,    0,   19,   10,   36,    0,   28
  49,   10,   37,    0,   64,    1,   60,    0,   38,    1,   21,    1,   65,   10,   47,    1,   26,   10,   58
  50,   10,   49,    0,   62,    1,   33,    0,   24,   11,   60,   10,   40,    1,   57,   11,   56,    0,   56
  51,    0,   55,   10,   41,    0,   62,   10,   54,    1,   20,   10,   43,   11,   62,    0,   62,    0,   22
  52,    1,   20,    0,   35,   10,   48,    1,   38,    1,   28,   11,   60,   11,   63,   10,   43,   10,   49
  53,   10,   48,    1,   13,   10,   37,   10,   53,   11,   57,   10,   42,   10,   46,   11,   65,    0,   45
  54,    1,   64,   11,   61,   10,   56,    1,   61,   11,   57,   10,   36,   11,   60,   11,   58,   10,   45
  55,   11,   61,   11,   54,    0,   20,    0,   62,   11,   59,   11,   63,   11,   62,    0,   44,    1,   63
  56,    0,   26,   10,   40,    0,   42,   11,   61,   11,   57,    1,   35,   11,   62,   11,   60,   10,   65
  57,    0,   55,   11,   64,   11,   55,   10,   63,   10,   46,   11,   60,    1,   45,   11,   56,    0,   43
  58,   11,   62,   10,   54,    1,   51,    0,   60,    1,   63,   11,   54,    1,   52,    1,   39,   11,   62
  59,   11,   55,   11,   65,   10,   64,    1,   59,   11,   61,    0,   19,    0,   30,   11,   58,   11,   61
  60,    1,   59,    0,   40,   11,   55,   10,   45,    0,   40,   10,   37,   10,   46,    0,   27,    0,   43
  61,    0,   62,   11,   65,    1,   60,   11,   63,    1,   48,   10,   48,    1,   15,    0,   24,    1,   46
  62,   11,   54,   11,   54,   10,   58,   10,   64,    1,   43,    0,   44,   11,   56,    1,   49,    1,   25
  63,   11,   65,    0,   61,   10,   37,   10,   55,    0,   54,   11,   54,   10,   49,    0,   40,    0,   34
  64,   10,   50,   10,   52,   11,   58,   11,   54,    1,   31,    1,   57,   10,   65,   11,   55,    1,   13
  65,   10,   36,   11,   56,    1,   15,    1,   33,    0,   54,   10,   46,   11,   54,    0,   35,   11,   63
  66,   10,   52,   11,   58,    0,   56,    0,   36,    1,   18,    1,   21,   10,   55,    0,   39,   10,   62
  67,    1,   16,    0,   59,   11,   64,    1,   46,    0,   57,    1,   63,    1,   13,   11,   61,    1,   13
  68,    1,   20,   10,   40,    0,   62,   10,   43,   11,   61,   11,   59,   11,   62,    0,   29,    1,   21
  69,    0,   28,   11,   59,   11,   55,   10,   36,   11,   54,    1,   55,   11,   54,   11,   60,    0,   55
  70,    0,   47,   11,   62,    1,   13,    1,   61,    1,   25,    0,   42,   10,   38,    1,   47,   11,   59
  71,    1,   37,    0,   36,   10,   47,   10,   61,   11,   64,    1,   13,   10,   50,    0,   19,    1,   55
  72,   11,   55,   11,   54,   10,   36,    1,   58,    1,   61,   10,   54,    0,   34,    1,   43,   11,   57
  73,   10,   64,    1,   45,   11,   61,   11,   56,   11,   56,   10,   44,   10,   44,    1,   48,    1,   51
  74,    1,   19,   10,   40,    1,   33,    0,   52,   10,   59,   10,   52,    0,   27,    0,   43,   11,   58
  75,   11,   62,   10,   46,    0,   64,   11,   58,   11,   64,    1,   39,    1,   49,   11,   65,   10,   45
  76,   11,   65,    1,   63,   10,   64,   11,   63,   10,   40,    0,   46,   10,   64,   10,   56,   10,   42
  77,   10,   65,    0,   51,   10,   47,   11,   54,   11,   63,    1,   17,    1,   43,    1,   38,   11,   65
  78,   10,   60,    0,   59,   11,   56,   11,   64,   11,   60,   10,   42,   10,   48,    0,   24,    1,   59
  79,   10,   63,   11,   55,   10,   46,   10,   49,    1,   17,   11,   59,   10,   50,    0,   43,    0,   58
  80,   11,   55,    0,   21,    1,   63,   10,   43,    0,   23,    0,   56,    0,   59,   11,   55,   10,   36
  81,   11,   60,   11,   59,   10,   63,   10,   62,    1,   17,    0,   28,   11,   57,    0,   41,   11,   60
  82,    1,   16,   10,   42,    1,   32,   11,   56,   11,   62,    1,   59,    1,   32,    0,   55,    1,   39
  83,    1,   47,    1,   61,    1,   31,    1,   53,   11,   64,    1,   27,    1,   30,    0,   26,   11,   59
  84,    0,   36,    1,   39,   11,   65,   10,   54,   10,   51,    1,   28,   10,   38,    1,   60,    0,   64
  85,   11,   60,    0,   22,    0,   33,    0,   56,    1,   24,    0,   36,    0,   23,   10,   64,    0,   53
  86,    0,   18,   11,   64,    0,   26,    0,   62,    1,   55,    1,   32,   11,   61,    1,   43,   10,   60
  87,   10,   55,   10,   38,   11,   62,    1,   49,   10,   55,    1,   42,   10,   42,   10,   39,    0,   61
  88,    0,   60,    1,   36,    1,   34,    1,   42,    1,   56,    0,   29,    1,   62,    0,   52,    0,   37
  89,   11,   59,    1,   25,    1,   24,    1,   47,   10,   63,   11,   60,    0,   32,   10,   56,   11,   55
  90,    0,   59,   11,   63,    1,   48,    1,   22,    1,   54,   11,   65,   11,   62,   10,   57,    0,   62
  91,   10,   53,    1,   46,   10,   62,   10,   42,    1,   25,   11,   64,   10,   41,    0,   24,    1,   48
  92,    0,   50,   11,   63,    1,   46,   11,   64,    1,   49,    0,   44,    1,   35,    1,   47,   11,   59
  93,    0,   54,   11,   65,    1,   37,   10,   62,   10,   36,    0,   58,   10,   62,    1,   23,    0,   65
  94,    0,   48,    1,   32,   10,   38,   11,   59,    0,   38,   11,   57,   10,   59,    0,   64,    0,   59
  95,   10,   40,    1,   44,    1,   57,    0,   36,   10,   46,   11,   57,    0,   25,   10,   52,    0,   65
  96,    1,   29,   10,   36,    1,   47,   11,   63,   11,   55,    1,   13,    1,   32,    1,   32,   11,   56
  97,   11,   60,    1,   41,    0,   41,    0,   59,    1,   30,   11,   61,    1,   54,    0,   45,   10,   61
  98,   10,   50,   10,   59,    1,   42,   10,   65,   10,   64,    1,   44,   10,   46,    1,   64,    1,   65
  99,   11,   56,   11,   65,    1,   47,   11,   54,   11,   57,   10,   64,    0,   47,    1,   18,   10,   65
 100,   10,   46,    1,   34,   10,   48,    0,   65,   11,   56,    0,   38,   10,   36,   11,   61,    1,   59
 101,   10,   45,   10,   65,    0,   52,   11,   62,    0,   46,   11,   59,   10,   43,    1,   55,    1,   36
 102,    0,   35,   10,   42,   11,   58,    0,   32,   11,   64,   11,   54,   11,   60,    0,   29,    1,   33
 103,    1,   62,    0,   52,   11,   58,    0,   28,    1,   19,   10,   43,    0,   29,   11,   59,   11,   65
 104,    0,   44,   11,   60,    0,   29,   11,   57,   11,   63,   10,   57,   11,   64,    0,   26,   10,   42
 105,   10,   50,    0,   22,    0,   57,    0,   64,   11,   62,    1,   26,    1,   30,    1,   51,   11,   55
 106,    0,   28,    0,   59,   10,   38,    1,   36,   11,   63,    0,   48,   10,   36,    0,   50,    1,   64
 107,   10,   56,    0,   41,   10,   61,    0,   37,    1,   35,    1,   27,   11,   64,    1,   46,    1,   43
 108,   10,   51,   10,   58,   11,   56,    0,   42,   10,   60,   10,   63,   11,   60,   11,   59,    1,   35
 109,    1,   47,    0,   53,   11,   59,    0,   27,    0,   30,   11,   54,   11,   65,    0,   26,   11,   58
 110,   11,   54,   11,   54,   10,   63,   11,   57,   11,   58,    1,   31,    1,   43,   11,   62,   11,   54
 111,   10,   46,    0,   62,    0,   26,    0,   49,   10,   51,   10,   64,   11,   64,    0,   61,    0,   49
 112,   11,   60,    1,   29,   11,   65,   10,   57,    1,   19,   11,   61,    1,   64,   10,   45,   11,   54
 113,   11,   55,    0,   30,   10,   54,    1,   20,   11,   63,   10,   60,   11,   55,   11,   64,   10,   50
 114,   10,   39,   11,   57,   11,   61,   10,   52,    0,   19,    0,   55,    0,   23,    1,   64,   11,   57
 115,   11,   55,    1,   43,   11,   54,    1,   61,    0,   46,    1,   42,   10,   48,   11,   65,   11,   54
 116,   11,   64,    0,   63,    0,   27,   11,   63,   10,   44,    1,   33,    0,   48,    0,   55,    0,   18
 117,    1,   53,   11,   60,   11,   55,    1,   51,    1,   19,   10,   37,    1,   25,    1,   38,   10,   38
 118,    1,   32,    1,   37,    1,   15,    0,   48,   11,   60,    0,   21,    0,   36,   10,   55,   10,   52
 119,    1,   47,   10,   48,   11,   62,   11,   59,    1,   53,    0,   36,   11,   58,   10,   43,    0,   23
 120,    1,   45,   10,   51,    0,   19,    1,   62,    0,   30,    1,   61,   11,   54,   10,   43,   10,   58
 121,   11,   62,   11,   63,    0,   20,   10,   51,   11,   55,    1,   27,   11,   59,   11,   62,   11,   61
 122,   11,   56,    1,   43,   11,   60,   11,   61,   10,   47,    1,   27,    0,   64,   10,   61,   11,   65
 123,    0,   34,   10,   45,    0,   54,   10,   52,   10,   39,   11,   59,   10,   54,   10,   57,    0,   41
 124,    0,   36,   10,   46,    1,   51,    0,   63,   10,   40,   10,   38,   10,   56,    1,   28,   10,   64
 125,   11,   58,   11,   55,    0,   65,   11,   61,   10,   45,   11,   64,    1,   23,   10,   57,   11,   63
 126,    0,   65,   11,   60,    1,   51,   10,   38,   10,   36,   11,   63,   10,   38,   10,   47,    0,   60
 127,   11,   65,   10,   61,    0,   32,   11,   61,    0,   24,    0,   41,    1,   51,    1,   16,   11,   61
 128,   11,   56,   11,   54,   10,   50,    0,   57,    1,   60,   10,   61,   11,   63,   10,   36,    0,   27
 129,   10,   36,    0,   41,    0,   33,    0,   26,    1,   59,    0,   49,   10,   56,    0,   34,    1,   41
 130,   11,   56,   10,   37,    1,   63,   11,   55,   11,   62,   11,   59,    1,   60,   10,   58,    0,   21
 131,    1,   29,   10,   46,   11,   62,    1,   18,   10,   52,    0,   19,   10,   51,   10,   48,    1,   33
 132,    0,   43,    0,   50,   10,   41,    0,   29,   10,   48,   11,   60,   10,   42,    0,   62,    0,   24
 133,    0,   45,   10,   48,    1,   46,    1,   55,   10,   54,    0,   34,   11,   56,   10,   65,    1,   39
 134,    0,   18,    0,   40,   10,   61,    1,   29,   10,   55,   10,   62,    0,   23,    1,   45,   10,   42
 135,    0,   62,    0,   18,    1,   39,   10,   58,    0,   42,    1,   51,    1,   55,    0,   65,   10,   48
 136,   10,   47,    0,   39,    1,   47,   10,   60,    1,   20,    0,   45,    1,   23,   11,   55,   11,   60
 137,   11,   64,    1,   37,    0,   35,   11,   55,    0,   20,   11,   62,   10,   49,    1,   43,   10,   59
 138,    0,   48,   10,   53,   10,   51,   11,   61,   10,   36,    0,   46,   11,   55,   10,   40,   11,   63
 139,   10,   38,    1,   26,    1,   54,   10,   65,   10,   40,   11,   54,    1,   46,    1,   13,    1,   25
 140,   11,   61,    0,   59,    0,   33,   11,   63,    1,   40,   11,   62,   10,   55,   11,   65,    1,   36
 141,   10,   43,   10,   63,    1,   31,    1,   32,   10,   37,   11,   57,   10,   48,   10,   53,   10,   40
 142,    0,   23,    1,   25,    1,   37,   10,   39,    1,   63,    0,   18,    1,   50,   11,   55,    0,   32
 143,   10,   63,    1,   54,    0,   48,    0,   54,   11,   59,   10,   46,   11,   58,   10,   65,   10,   49
 144,    0,   63,   10,   57,   10,   43,   10,   38,    0,   58,   10,   45,   10,   52,   10,   36,    0,   22
 145,   11,   59,    0,   35,   10,   49,   10,   64,    1,   17,    0,   52,    1,   18,   11,   64,    0,   47
 146,   10,   43,   11,   62,    1,   20,    1,   56,    0,   51,   10,   52,    0,   23,    1,   46,    1,   25
 147,    1,   37,   10,   52,    1,   34,   11,   61,   11,   61,    1,   39,    1,   58,   10,   62,   10,   43
 148,    1,   20,   11,   64,    1,   13,    1,   54,   10,   56,    0,   22,   10,   60,    0,   57,   11,   61
 149,   10,   36,    1,   37,   11,   59,    0,   45,    0,   65,   10,   57,   10,   64,    1,   27,    0,   19
 150,    1,   52,   10,   36,   10,   60,   11,   63,    1,   50,   10,   37,    0,   34,   10,   47,   10,   58
 151,   11,   57,   11,   60,   10,   55,   10,   40,   10,   48,   11,   62,   11,   65,   11,   61,   10,   50
 152,    1,   34,   11,   61,    0,   19,    1,   35,    0,   28,    1,   32,   10,   40,   11,   59,    0,   22
 153,   11,   54,   10,   41,   10,   65,   11,   59,    1,   27,    1,   63,    0,   40,   11,   55,    0,   57
 154,    1,   55,    1,   13,   11,   57,    1,   15,   10,   60,    0,   62,   10,   52,    0,   60,    1,   14
 155,   11,   58,    1,   15,    0,   20,   11,   64,    1,   16,    0,   63,   10,   59,    0,   21,   11,   55
 156,   11,   65,    1,   18,   10,   49,   10,   62,   10,   40,    1,   57,   10,   38,   10,   37,   11,   56
 157,   10,   65,   11,   60,    1,   49,   10,   63,    0,   51,    0,   37,   11,   58,    1,   31,    1,   12
 158,    0,   53,   10,   55,    0,   23,    1,   38,    0,   64,   11,   64,    0,   49,   11,   57,   11,   55
 159,   11,   55,    1,   22,    0,   50,    0,   56,   11,   65,   11,   65,   10,   36,    1,   33,   11,   59
 160,    1,   55,   11,   54,   11,   62,   11,   61,    0,   50,    0,   65,   11,   64,   10,   43,   11,   63
 161,   10,   41,    0,   45,   10,   48,   11,   62,    1,   13,   10,   45,   11,   56,   10,   41,   11,   61
 162,   11,   64,    1,   41,    1,   45,    1,   56,    1,   53,    0,   35,    1,   60,   10,   58,   10,   63
 163,   10,   54,   11,   63,    0,   59,    0,   53,    1,   33,    0,   38,   11,   63,   10,   55,    0,   21
 164,   11,   64,    0,   61,   10,   38,    0,   26,    1,   60,    1,   41,    1,   37,    1,   29,    1,   27
 165,   10,   36,   11,   60,   10,   48,   10,   58,   10,   64,    1,   16,   11,   62,    0,   41,   11,   65
 166,    1,   37,    1,   52,   10,   50,    0,   46,    0,   35,    1,   15,    0,   55,    1,   18,   11,   57
 167,    1,   49,    0,   55,   11,   59,   10,   57,   11,   63,    1,   39,    1,   40,   11,   55,   11,   60
 168,    0,   62,    0,   19,    1,   42,    0,   48,   10,   52,    0,   35,    0,   40,    1,   29,   11,   61
 169,    0,   49,   11,   58,   11,   61,    1,   33,    0,   38,    1,   38,   10,   62,    0,   56,   11,   61
 170,    0,   21,    0,   33,    1,   55,    1,   20,   11,   62,   11,   59,    0,   46,    1,   29,    0,   33
 171,    1,   31,   10,   39,    1,   52,    1,   58,   11,   56,   10,   55,    0,   44,    1,   24,   10,   62
 172,   11,   55,    1,   16,    1,   47,   10,   37,    0,   48,   11,   61,    0,   21,   10,   42,   10,   45
 173,   11,   64,   10,   57,   11,   61,   10,   48,   11,   56,    0,   52,    0,   42,   11,   58,   10,   62
 174,   10,   38,   10,   59,   11,   59,    0,   34,    1,   62,    0,   61,    1,   17,   11,   55,    0,   29
 175,   10,   55,   11,   61,   10,   50,   10,   55,    1,   27,   10,   54,    0,   27,   10,   60,    1,   21
 176,    0,   43,   10,   54,   10,   55,   11,   57,   11,   56,    1,   38,   10,   58,    0,   53,   11,   54
 177,   10,   36,    0,   59,    0,   61,   10,   58,   10,   58,   10,   62,    1,   32,   10,   51,   10,   47
 178,    1,   33,    0,   53,   10,   62,   10,   48,   11,   54,   10,   63,   11,   57,    1,   27,   11,   58
 179,    1,   29,    1,   58,    1,   40,    1,   30,    1,   60,    1,   49,    0,   61,    1,   28,    1,   51
 180,   11,   63,    0,   64,    1,   63,    0,   63,    0,   59,    1,   57,    0,   59,   10,   39,   11,   59
 181,    0,   58,    0,   19,   10,   38,   10,   38,   11,   55,   10,   55,    1,   17,    1,   30,   11,   56
 182,    0,   46,    1,   27,    0,   58,    0,   61,   11,   55,   11,   57,   11,   57,    1,   50,   10,   58
 183,    1,   15,    1,   59,   11,   65,   10,   45,    1,   38,    0,   59,    0,   33,   11,   60,   11,   54
 184,   11,   61,   11,   62,   11,   58,   10,   61,   10,   59,   11,   57,    1,   33,    0,   61,   11,   55
 185,   11,   57,   10,   50,    1,   44,   11,   58,    0,   58,   11,   63,    0,   38,   11,   64,   11,   65
 186,   10,   40,    1,   63,    0,   62,    1,   43,   11,   55,    0,   40,   11,   65,   10,   41,   11,   58
 187,    1,   43,    1,   40,   11,   54,   11,   59,   11,   64,   10,   50,   10,   53,    1,   50,   11,   58
 188,   11,   60,    1,   20,   10,   44,   11,   65,    1,   32,    1,   25,   11,   63,   11,   54,   11,   63
 189,   11,   65,    1,   16,   10,   52,    0,   53,   11,   62,   11,   63,   11,   55,   10,   54,   11,   59
 190,    1,   40,    1,   12,    0,   27,    1,   47,   10,   53,   11,   55,    1,   41,   11,   64,   10,   55
 191,   11,   63,   10,   36,    1,   15,   11,   63,    1,   17,   10,   46,   10,   61,   10,   60,    0,   29
 192,    1,   37,   11,   56,   10,   52,   10,   36,    0,   22,    1,   44,   10,   55,    0,   59,    1,   56
 193,    0,   36,   10,   54,   10,   63,   11,   61,   10,   48,   10,   54,   11,   56,    1,   21,    0,   19
 194,    0,   54,    1,   28,    0,   45,    1,   14,    1,   55,   11,   65,   11,   59,   11,   63,    1,   32
 195,   10,   49,   10,   60,   11,   61,   10,   42,    1,   24,   10,   52,    0,   25,    0,   23,   10,   55
 196,   10,   59,   10,   43,   11,   58,    0,   28,    1,   45,   11,   64,   11,   63,   10,   41,   10,   56
 197,    1,   32,    1,   65,   10,   46,    0,   34,    0,   57,    0,   36,   10,   43,    0,   64,   11,   54
 198,   10,   37,    1,   17,   11,   56,    1,   16,   11,   60,    1,   41,    0,   56,    1,   57,   10,   44
 199,    1,   27,   11,   64,   10,   56,    0,   56,    1,   26,    1,   60,    0,   65,    1,   45,   10,   37
 200,   11,   58,    1,   56,    1,   19,    0,   51,    0,   46,    0,   23,    1,   27,    0,   63,   11,   65
 201,   11,   64,   10,   48,   10,   51,    0,   55,    0,   49,   11,   60,    0,   35,   10,   48,    0,   46
 202,   11,   65,    0,   49,    0,   25,   10,   54,    0,   53,   11,   65,    0,   50,   10,   56,   11,   57
 203,   11,   55,    0,   62,    1,   50,    0,   46,    1,   51,   10,   63,   11,   59,    0,   50,    1,   50
 204,   11,   58,    1,   30,    1,   25,    1,   31,    1,   63,    1,   12,   11,   60,    1,   54,    0,   59
 205,    0,   19,    0,   58,    0,   61,    1,   22,   10,   43,   10,   58,   10,   45,   10,   54,    0,   40
 206,   10,   47,    0,   61,    0,   59,    0,   65,   11,   55,   11,   62,   11,   59,    1,   54,   10,   52
 207,   11,   63,    1,   61,   10,   61,    0,   24,    0,   29,    0,   19,   10,   53,   10,   54,    1,   36
 208,    0,   47,   10,   54,   11,   62,    0,   47,   10,   56,   10,   58,    1,   42,   11,   57,   10,   58
 209,   11,   60,   11,   65,   10,   49,    0,   46,    1,   49,   10,   61,   10,   60,   11,   65,    1,   43
 210,   10,   53,   10,   64,    0,   32,    1,   39,   11,   59,    0,   59,   10,   59,    1,   63,    1,   36
 211,    1,   29,   11,   60,   10,   54,    1,   30,    0,   36,    1,   30,   10,   56,   10,   42,    0,   64
 212,    1,   37,    0,   50,    0,   20,    1,   64,    1,   15,   10,   41,    1,   37,   10,   45,   11,   63
 213,   10,   38,   11,   63,   11,   63,    0,   61,    1,   26,    0,   25,    1,   24,   11,   54,    1,   32
 214,   11,   64,    1,   48,    1,   25,   10,   49,   10,   58,   10,   43,    0,   18,    1,   47,   11,   57
 215,    0,   41,    1,   30,    0,   42,    1,   50,   10,   47,    0,   64,    0,   53,   10,   36,   10,   65
 216,    0,   52,   10,   52,    1,   36,    0,   35,   10,   61,   10,   54,    0,   18,   11,   63,   11,   55
 217,   11,   57,   10,   36,   11,   65,   11,   55,    0,   44,    1,   13,    1,   54,   11,   56,   11,   58
 218,   11,   58,   11,   62,    1,   15,    0,   63,   10,   59,    0,   43,   10,   64,   10,   63,    1,   43
 219,   10,   38,    0,   30,    1,   21,    1,   17,    0,   59,    0,   39,    0,   56,    1,   47,   11,   58
 220,    0,   25,    1,   44,   10,   53,    0,   18,    0,   39,   11,   60,   11,   64,   11,   57,   10,   48
 221,   11,   61,    1,   62,   11,   59,    1,   33,    1,   28,    0,   57,    0,   47,    0,   59,    0,   24
 222,    0,   61,   11,   57,   11,   60,    0,   45,    0,   51,    1,   32,   11,   61,   11,   56,    0,   58
 223,   10,   39,    1,   63,   10,   52,   11,   64,    1,   56,   11,   65,    1,   60,   11,   59,   10,   40
 224,   10,   47,   11,   58,   11,   57,    1,   33,   11,   56,   11,   63,   11,   62,    1,   62,    0,   61
 225,   10,   42,    1,   58,    0,   30,    0,   28,    0,   34,   11,   61,    0,   23,   11,   57,    1,   22
 226,    1,   63,    1,   34,    1,   44,   10,   43,    0,   44,   10,   37,    1,   34,    1,   29,   10,   60
 227,    0,   38,   10,   53,   11,   64,   10,   62,   11,   55,    0,   36,    1,   13,   11,   60,   11,   64
 228,   11,   58,   11,   62,    0,   44,    0,   48,    1,   14,   11,   65,   10,   42,    1,   49,    0,   27
 229,    0,   62,   11,   55,    0,   49,   11,   56,   11,   59,   11,   54,   10,   48,   11,   65,    0,   54
 230,    1,   59,   11,   65,   10,   50,    0,   20,   11,   55,    1,   17,    0,   33,    0,   31,   11,   56
 231,   11,   63,    0,   36,    0,   33,    0,   24,   10,   37,    1,   41,    1,   25,   10,   38,    0,   32
 232,    1,   22,   10,   43,    1,   55,   10,   54,   11,   58,    1,   33,    0,   46,    1,   55,   10,   46
 233,   11,   57,    1,   58,   11,   56,    0,   45,    0,   57,    1,   51,    0,   56,   10,   36,    0,   37
 234,   10,   49,   10,   63,    1,   34,   11,   54,    1,   15,   10,   56,   10,   54,   10,   36,   10,   54
 235,   11,   63,    0,   46,    1,   27,    0,   23,    0,   29,    1,   44,    1,   23,   10,   50,    0,   28
 236,    1,   62,    1,   25,   11,   65,    0,   59,    1,   25,   11,   60,   10,   56,    1,   49,   10,   60
 237,    0,   32,   10,   55,   10,   60,    1,   46,   10,   61,    1,   40,    0,   62,   11,   57,   11,   59
 238,    1,   32,   10,   65,   11,   64,    1,   22,    0,   63,    0,   28,   11,   64,    0,   43,    1,   58
 239,   10,   50,   10,   65,   10,   60,   11,   57,    1,   22,   10,   59,    1,   29,    1,   50,    0,   62
 240,   10,   53,    0,   22,    0,   47,   10,   40,   11,   57,    0,   32,   11,   59,   10,   44,   10,   43
 241,    0,   52,    1,   28,   10,   47,   11,   65,   10,   37,   10,   36,    1,   16,   11,   54,   10,   49
