nExp, valid,  A0,  A1,  A2,  A3
  53,     0, -10, -42, -10, -26
  54,     1,  76,  -8, -12, -16
  55,     1, -35,  -7,  -7,  85
  56,     1, -27, -43,  65, -19
  57,     1, -41,  67, -41,  -9
  58,     1,  68,  -8,  -8, -16
  59,     1, -12,  -8,  -8,  60
  60,     1, -11, -11,  61, -11
  61,     0, -19, -11, -23, -11
  62,     0, -30, -10, -10, -10
  63,     1,  63, -13, -37,  -9
  64,     1,  78,  -6, -10, -10
  65,     1,  -4,  -8,  92,  -4
  66,     1,  65, -19,  -7,  -7
  67,     1, -21, -13,  91, -13
  68,     1,  -6,  -6,  -6,  86
  69,     0, -10, -22, -10, -18
  70,     0, -43, -31, -39, -11
  71,     1,  63,  -9, -41,  -9
  72,     0, -43, -31, -15, -11
  73,     0, -19, -11, -15, -43
  74,     1, -16,  -8,  76,  -8
  75,     1,  -5,  91, -25,  -5
  76,     1, -10,  62, -10, -22
  77,     1,  82,  -6,  -6,  -6
  78,     1,  -8,  -8,  64,  -8
  79,     0, -31, -23, -39, -35
  80,     1, -23, -11,  -7,  89
  81,     0, -11, -11, -43, -11
  82,     1,  -9,  79,  -9, -33
  83,     1, -42,  62, -46, -10
  84,     0, -35, -11, -43, -47
  85,     0, -11, -39, -11, -11
  86,     1, -12,  84,  -4,  -4
  87,     0, -35, -31, -35, -11
  88,     0, -11, -15, -27, -39
  89,     1, -36, -24,  68,  -8
  90,     1, -10, -34, -22,  62
  91,     0, -47, -35, -11, -15
  92,     1,  -5,  -5,  91,  -5
  93,     1,  -9,  63, -13, -21
  94,     1,  74, -10, -22, -18
  95,     1,  -8,  92,  -4,  -4
  96,     1,  -6,  -6, -14,  78
  97,     0, -11, -11, -31, -43
  98,     1,  -4,  -4, -12,  84
  99,     0, -23, -11, -11, -11
 100,     1,  58, -10, -38, -10
 101,     1, -18,  -6,  86,  -6
 102,     1,  73,  -7,  -7,  -7
 103,     1,  86, -22,  -6, -14
 104,     0, -10, -10, -10, -42
 105,     0, -11, -11, -11, -11
 106,     1,  84, -36, -36,  -8
 107,     0, -10, -30, -10, -10
 108,     1,  -9, -25,  59,  -9
 109,     1,  -9,  71, -13,  -9
 110,     0, -11, -15, -43, -43
 111,     1, -10, -18,  82, -10
 112,     0, -10, -10, -30, -10
 113,     1, -35, -15,  -7,  65
 114,     1,  -9,  67,  -9,  -9
 115,     0, -11, -39, -11, -11
 116,     1,  -4,  -4,  -4,  84
 117,     1, -19,  -7,  73,  -7
 118,     0, -31, -15, -31, -43
 119,     1,  -6,  -6, -10,  74
 120,     0, -19, -11, -11, -23
 121,     1, -42, -10, -14,  66
 122,     0, -26, -10, -10, -14
 123,     1, -42, -42, -10,  66
 124,     0, -11, -11, -43, -11
 125,     1,  62, -14, -18, -10
 126,     1, -10, -42, -18,  70
 127,     1,  59, -25, -25,  -9
 128,     1, -41, -13,  -9,  67
 129,     1,  70, -10, -18, -10
 130,     0, -26, -42, -10, -14
 131,     0, -11, -35, -43, -23
 132,     0, -43, -19, -11, -11
 133,     1, -10, -22, -38,  70
 134,     1,  -9,  -9,  63,  -9
 135,     1,  -6,  90,  -6,  -6
 136,     1,  -4,  -4, -12,  88
 137,     1, -42,  78, -34, -38
 138,     0, -11, -11, -11, -39
 139,     1,  84,  -4,  -4,  -4
 140,     1,  59,  -9, -41,  -9
 141,     0, -11, -43, -11, -11
 142,     0, -39, -11, -23, -19
 143,     0, -11, -15, -43, -11
 144,     1,  -8,  64, -20,  -8
 145,     1,  79,  -5, -13, -21
 146,     1,  -3,  -3,  -3,  85
 147,     1, -20,  76,  -8,  -8
 148,     1, -30,  62, -10, -42
 149,     1, -16,  -4,  -4,  80
 150,     1,  -6,  86, -10,  -6
 151,     0, -11, -11, -11, -11
 152,     0, -42, -34, -18, -10
 153,     1,  -7,  65,  -7,  -7
 154,     1,  -5, -17,  -5,  87
 155,     0, -38, -34, -10, -14
 156,     1, -17, -25, -33,  67
 157,     0, -15, -11, -43, -11
 158,     1, -18, -22,  -6,  90
 159,     1, -22, -26,  -6,  82
 160,     1,  91, -13,  -5,  -5
 161,     0, -19, -11, -43, -11
 162,     1, -41,  71,  -9,  -9
 163,     1,  -9,  -5,  87, -17
 164,     1,  -7,  -7,  81, -27
 165,     1, -31, -15,  -7,  65
 166,     0, -43, -11, -11, -43
 167,     1,  87, -21,  -5,  -5
 168,     0, -11, -31, -11, -27
 169,     0, -11, -19, -35, -11
 170,     1,  78, -10, -14, -10
 171,     0, -31, -11, -11, -15
 172,     1, -10, -18,  58, -22
 173,     0, -11, -11, -43, -39
 174,     1,  -3,  -3,  85,  -3
 175,     1, -27,  53, -27, -43
 176,     1,  59,  -9, -13, -29
 177,     1,  -4,  88,  -4,  -4
 178,     0, -11, -31, -11, -11
 179,     0, -18, -26, -42, -42
 180,     0, -31, -11, -43, -39
 181,     1,  -9,  -9, -21,  67
 182,     1, -10,  66, -10, -10
 183,     1,  -4,  -4,  84,  -4
 184,     1,  81,  -7, -15,  -7
 185,     0, -10, -34, -18, -42
 186,     1,  -6,  -6,  86,  -6
 187,     0, -43, -11, -11, -11
 188,     0, -11, -11, -11, -11
 189,     0, -11, -11, -23, -35
 190,     1,  60,  -8, -32,  -8
 191,     0, -35, -15, -15, -31
 192,     0, -19, -11, -11, -11
 193,     0, -15, -11, -11, -23
 194,     1,  -8, -36,  80,  -8
 195,     0, -27, -43, -11, -11
 196,     1, -11,  -7,  81,  -7
 197,     1,  -7,  -7,  65,  -7
 198,     1, -21, -21,  83,  -5
 199,     0, -43, -11, -11, -11
 200,     1, -16,  -8,  84,  -4
 201,     0, -43, -11, -47, -11
 202,     1,  63, -21,  -9, -17
 203,     1, -40,  -8,  80,  -8
 204,     1, -18,  54, -38, -10
 205,     1,  -9,  71,  -9,  -9
 206,     1,  53, -27, -19, -23
 207,     1, -10, -38, -10,  70
 208,     0, -11, -11, -43, -11
 209,     1,  -6, -26, -14,  78
 210,     0, -18, -42, -10, -42
 211,     0, -23, -11, -43, -11
 212,     1, -18,  -6,  78, -26
 213,     0, -11, -11, -43, -23
 214,     1, -10,  -6,  78, -18
 215,     1, -16,  88,  -4,  -4
 216,     0, -11, -43, -11, -11
 217,     1,  -9,  -5,  -5,  87
 218,     0, -11, -11, -43, -15
 219,     1,  -8,  88, -16,  -4
 220,     1,  -9,  -9, -21,  71
 221,     0, -11, -43, -11, -11
 222,     1,  68,  -8, -32, -36
 223,     0, -14, -10, -30, -10
 224,     1, -15,  -3,  85,  -3
 225,     1,  -6,  78,  -6, -18
 226,     1, -22,  86,  -6,  -6
 227,     1,  84,  -8, -32, -36
 228,     0, -11, -11, -11, -19
 229,     1,  -6,  86,  -6, -14
 230,     1, -10, -30,  66, -10
 231,     1, -17,  -9,  -9,  83
 232,     1,  -9,  -5,  79,  -5
 233,     1, -17,  -9,  67, -13
 234,     0, -11, -11, -11, -35
 235,     1, -12,  -4, -16,  84
 236,     0, -15, -35, -35, -43
 237,     1, -12,  -4,  88,  -4
 238,     1, -33,  59,  -9, -41
 239,     1,  74,  -6, -22,  -6
 240,     1, -14, -42,  78, -18
 241,     0, -19, -23, -31, -11
 242,     1, -14,  -6, -26,  90
 243,     1,  -9,  67,  63,  -9
 244,     1,  66, -42, -22, -10
 245,     1,  -8,  -8,  84,  -8
 246,     0, -10, -10, -10, -42
 247,     1,  -9, -41,  -9,  63
 248,     1, -18, -10,  62, -10
 249,     0, -26, -18, -10, -10
 250,     0, -43, -11, -11, -51
 251,     1,  -9, -25,  87,  -9
 252,     1,  70, -42, -18, -10
 253,     1,  -7, -19,  -7,  69
 254,     1,  -5,  -5,  87, -17
 255,     1,  85,  -3,  -3, -11
 256,     1, -17,  -9,  -9,  59
 257,     1,  58, -10, -10, -10
 258,     0, -11, -43, -11, -11
 259,     0, -43, -11, -43, -11
 260,     1, -11, -19,  57, -11
 261,     0, -10, -10, -34, -42
 262,     0, -35, -15, -43, -11
 263,     1,  -9, -13,  -9,  67
 264,     0, -15, -11, -39, -11
 265,     1,  -5,  -5,  83,  -5
 266,     1,  -3,  -3,  -3,  93
 267,     1,  82, -26, -18,  -6
 268,     0, -11, -11, -31, -11
 269,     1, -41,  71, -33,  -9
 270,     1,  -3,  -3,  89,  -3
 271,     1,  -7,  -7,  -7,  69
 272,     1, -26,  66, -10, -10
 273,     0, -27, -15, -11, -11
 274,     1, -33,  -9,  59, -37
 275,     0, -19, -11, -11, -39
 276,     1,  -5,  -5,  -5,  87
 277,     1,  -7,  -7,  -7,  65
 278,     1,  71,  -9, -41,  -9
 279,     1,  86, -26, -30,  -6
 280,     0, -10, -10, -10, -30
 281,     1, -41,  -9,  63, -33
 282,     1,  -4,  -4,  -4,  84
 283,     0, -23, -11, -11, -11
 284,     0, -43, -11, -43, -27
 285,     0, -11, -11, -43, -11
 286,     0, -30, -10, -42, -30
 287,     1,  -3,  -3,  89,  -3
 288,     0, -11, -11, -11, -43
 289,     1, -26, -26, -10,  70
 290,     1,  -5, -13,  -5,  79
 291,     0, -27, -11, -11, -11
 292,     0, -11, -31, -11, -23
 293,     1,  -9,  -9,  -9,  71
 294,     0, -11, -11, -11, -23
 295,     1,  -3,  -3,  89,  -3
 296,     1,  89,  -7,  -3,  -3
 297,     1,  -5,  -5,  -5,  79
 298,     0, -35, -11, -11, -15
 299,     1,  -8,  -8,  60, -32
 300,     1,  -5,  -5,  79,  -5
 301,     0, -15, -11, -15, -27
 302,     1,  -5,  79,  -5,  -5
 303,     1,  84,  -4,  -4,  -4
 304,     1,  -6,  82, -22,  -6
 305,     0, -11, -11, -11, -27
 306,     1,  -6,  82,  -6, -22
 307,     0, -27, -43, -11, -27
 308,     1,  71, -29,  -9,  -9
 309,     1, -11,  89,  -3,  -3
 310,     0, -11, -27, -11, -11
 311,     1,  -6,  -6,  70,  -6
 312,     1, -11, -11,  53, -11
 313,     1,  -6,  -6,  -6,  74
 314,     1,  -2,  -2,  90,  -2
 315,     1, -42, -38, -42,  70
 316,     0, -43, -11, -51, -11
 317,     1, -30, -14,  62, -26
 318,     1,  -6,  70,  -6, -14
 319,     0, -27, -35, -11, -11
 320,     1,  -6,  74,  -6, -14
 321,     0, -11, -35, -11, -11
 322,     0, -11, -11, -11, -47
 323,     1, -28,  -8,  -8,  72
 324,     1,  -7,  -7,  69, -15
 325,     0, -11, -11, -39, -11
 326,     0, -30, -10, -26, -10
 327,     1,  -3,  -3,  -3,  93
 328,     0, -11, -11, -31, -11
 329,     0, -23, -43, -11, -23
 330,     1,  93,  -3,  -3,  -7
 331,     1,  -5,  91,  -5,  -5
 332,     0, -11, -43, -15, -11
 333,     0, -43, -19, -35, -51
 334,     0, -31, -11, -11, -39
 335,     1, -10, -10, -10,  58
 336,     0, -42, -10, -10, -22
 337,     1,  -6,  -6,  -6,  70
 338,     1, -28,  -8,  80,  -8
 339,     1,  -7,  73, -31,  -7
 340,     1, -20,  -8,  -8,  72
 341,     1, -16,  -8, -32,  60
 342,     1,  -7,  -3,  89,  -3
 343,     1,  91,  -5,  -5,  -5
 344,     1, -10, -10, -22,  66
 345,     1,  -4,  80,  -4,  -4
 346,     0, -11, -11, -43, -19
 347,     1,  67, -37, -17,  -9
 348,     0, -23, -43, -19, -11
 349,     0, -43, -27, -11, -35
 350,     0, -11, -11, -15, -11
 351,     1, -21,  -9,  -9,  71
 352,     1,  -7,  -7,  65,  -7
 353,     0, -11, -15, -11, -27
 354,     0, -10, -42, -10, -10
 355,     1, -20, -16,  84, -40
 356,     1, -10, -10,  74, -18
 357,     1,  -9,  -9,  59, -25
 358,     1, -23, -19, -11,  61
 359,     1,  -5, -13,  79,  -5
 360,     1,  -9,  67,  -9, -41
 361,     1,  85,  -7, -19,  -7
 362,     1,  -7, -11,  85, -19
 363,     1,  58, -14, -10, -10
 364,     0, -11, -11, -11, -31
 365,     0, -43, -23, -43, -11
 366,     1, -41, -29, -37,  67
 367,     0, -42, -10, -42, -42
 368,     1, -10, -10,  54, -10
 369,     1,  70, -42, -10, -10
 370,     1,  -5,  -5,  83,  -5
 371,     1,  83,  -5,  -9,  -9
 372,     0, -26, -10, -18, -10
 373,     1, -26,  -6,  86,  -6
 374,     0, -27, -27, -11, -31
 375,     1,  -9,  -9,  71, -17
 376,     1,  76,  -8, -28, -32
 377,     0, -15, -11, -15, -47
 378,     0, -47, -11, -43, -15
 379,     0, -51, -11, -11, -19
 380,     0, -11, -11, -11, -27
 381,     1,  91,  -5, -25,  -5
 382,     0, -42, -10, -14, -10
 383,     1, -10, -22, -26,  66
 384,     0, -11, -11, -11, -11
 385,     0, -30, -38, -38, -26
 386,     1, -30, -42, -10,  66
 387,     1,  -3,  85,  -3,  -3
 388,     1,  85, -27,  -7, -27
 389,     1, -10, -10, -10,  62
 390,     1, -18, -26, -22,  90
 391,     1,  -6,  -6,  74, -10
 392,     1,  62, -30, -30, -10
 393,     1, -17, -13,  79, -13
 394,     0, -27, -11, -19, -31
 395,     1,  -3, -11,  -3,  89
 396,     1, -41,  63,  -9,  -9
 397,     0, -26, -10, -10, -42
 398,     0, -11, -11, -43, -11
 399,     1, -25, -21, -25,  79
 400,     1, -29, -13,  -9,  75
 401,     0, -10, -38, -10, -10
 402,     0, -11, -11, -11, -11
 403,     0, -11, -11, -27, -11
 404,     1, -41,  79, -41,  -9
 405,     1,  53, -39, -11, -11
 406,     1,  83, -41,  -9,  -9
 407,     1,  67,  -9,  -9,  -9
 408,     1,  -3,  -3,  -3,  89
 409,     0, -11, -11, -11, -11
 410,     1,  -9, -33,  59, -21
 411,     1,  -2,  -2,  -2,  94
 412,     1, -32,  -8,  60, -12
 413,     1,  -9,  -9, -21,  59
 414,     1,  -9,  -9,  63, -25
 415,     1, -33,  -9, -41,  87
 416,     0, -11, -47, -15, -43
 417,     1,  71, -29, -37, -41
 418,     1, -11,  -7,  69, -23
 419,     1, -14, -26, -22,  86
 420,     1, -26, -22, -22,  90
 421,     1,  82,  -6,  -6,  -6
 422,     0, -35, -51, -43, -11
 423,     0, -27, -11, -11, -31
 424,     1,  -9,  -9,  -9,  59
 425,     1,  -3,  -3,  85,  -3
 426,     0, -11, -19, -31, -11
 427,     1,  -2,  -2,  -2,  90
 428,     1,  92, -20,  -4,  -4
 429,     0, -23, -11, -51, -47
 430,     0, -10, -10, -22, -10
 431,     1,  64,  -8,  -8,  -8
 432,     0, -11, -11, -51, -11
 433,     1, -14,  86, -30,  -6
 434,     1, -41, -21,  63, -37
 435,     1, -37,  -9,  63,  -9
 436,     1,  -4,  -4,  -4,  88
 437,     1, -11, -15, -43,  53
 438,     1,  -5,  -5,  79, -21
 439,     0, -11, -11, -23, -19
 440,     1,  -8,  84,  -4,  -4
 441,     0, -27, -11, -15, -35
 442,     1, -10, -10,  62, -10
 443,     0, -35, -51, -43, -19
 444,     1,  87, -21,  -5,  -5
 445,     0, -35, -11, -15, -31
 446,     0, -11, -39, -11, -31
 447,     1, -15,  -7,  73,  -7
 448,     1,  -4,  -4,  -4,  80
 449,     0, -11, -39, -11, -27
 450,     1,  71, -29,  -9,  -9
 451,     1, -16,  -4,  88, -16
 452,     0, -19, -11, -23, -11
 453,     1,  75, -33,  -9, -25
 454,     1, -10, -10,  62, -10
 455,     1,  -9,  71, -29,  -9
 456,     0, -10, -10, -22, -10
 457,     1,  -8,  80, -32,  -8
 458,     1, -35, -23, -31,  85
 459,     1,  -5,  -5,  -5,  91
 460,     1,  -2,  94,  -2,  -2
 461,     1,  -9,  -9,  75, -37
 462,     1,  -7,  65, -31,  -7
 463,     1,  -8,  -8,  64, -36
 464,     1,  79,  -9, -21, -29
 465,     1,  -8,  76, -20, -36
 466,     0, -11, -11, -27, -11
 467,     1,  -5,  -5, -25,  87
 468,     0, -23, -11, -11, -19
 469,     0, -35, -11, -43, -11
 470,     1,  54,  62, -38, -26
 471,     1,  77,  -7, -35,  -7
 472,     1,  -6,  86,  -6, -22
 473,     0, -15, -43, -11, -11
 474,     1, -30, -30,  78,  -6
 475,     0, -35, -51, -31, -11
 476,     0, -11, -11, -27, -39
 477,     0, -10, -10, -18, -42
 478,     1,  -6, -26,  90, -30
 479,     1, -14, -10,  62, -14
 480,     0, -11, -11, -27, -15
 481,     1, -22, -34,  62, -10
 482,     1,  92,  -4,  -8,  -4
 483,     1,  93,  -3,  -3, -11
 484,     0, -10, -10, -42, -10
 485,     1,  82, -10, -10, -10
 486,     0, -43, -11, -31, -11
 487,     0, -19, -27, -39, -31
 488,     0, -22, -22, -10, -10
 489,     1,  67,  -9, -13, -33
 490,     1, -10, -10, -10,  66
 491,     0, -43, -11, -35, -11
 492,     1, -26,  -6,  86,  -6
 493,     0, -11, -35, -35, -11
 494,     0, -43, -11, -11, -11
 495,     0, -11, -11, -39, -11
 496,     0, -11, -11, -11, -11
 497,     1, -17, -13, -29,  63
 498,     0, -31, -11, -15, -11
 499,     1, -10, -26, -10,  58
 500,     1,  -4,  -4,  -8,  92
 501,     1,  -7, -11,  -7,  73
 502,     0, -42, -30, -26, -42
 503,     1,  57, -43, -19, -23
 504,     1, -25,  71,  -9, -25
 505,     1, -10, -10,  70, -42
 506,     1,  79,  -9, -13,  -9
 507,     0, -11, -15, -23, -11
 508,     1,  -3,  89,  -3,  -3
 509,     1,  -7, -23,  85,  -7
 510,     0, -11, -15, -11, -19
 511,     1,  72, -12, -16, -28
 512,     0, -47, -35, -11, -27
 513,     1, -31,  -7,  89, -27
 514,     0, -10, -10, -42, -10
 515,     0, -11, -43, -23, -23
 516,     1, -13,  -9,  63, -25
 517,     1, -17,  -9,  87,  -9
 518,     1,  -8,  -8,  72,  -8
 519,     1,  91, -21,  -5,  -5
 520,     0, -11, -43, -11, -11
 521,     1,  86, -10,  -6,  -6
 522,     1,  80,  -4,  -4, -12
 523,     1,  -5,  83,  -5,  -5
 524,     1,  -9, -41, -33,  63
 525,     1,  89,  -7, -27,  -7
 526,     1, -22,  90, -30,  -6
 527,     1, -16,  72,  -8,  -8
 528,     1, -14, -34, -22,  66
 529,     0, -11, -11, -11, -11
 530,     0, -43, -11, -39, -35
 531,     0, -11, -11, -23, -43
 532,     0, -31, -11, -31, -11
 533,     1,  59, -13, -25, -21
 534,     1, -10,  -6,  86,  -6
 535,     1,  -5,  -5,  91,  -5
 536,     0, -31, -11, -43, -35
 537,     1,  -8,  -8,  -8,  68
 538,     1,  -3, -15,  -3,  93
 539,     1,  58, -10, -38, -42
 540,     1,  68, -16, -36,  -8
 541,     1,  -7,  -7, -27,  69
 542,     1,  -8,  -8,  -8,  64
 543,     1,  -3,  -7,  -3,  85
 544,     1,  -5, -13, -17,  79
 545,     1, -26, -26,  58, -10
 546,     1,  54, -34, -42, -38
 547,     1, -42, -10,  62, -14
 548,     1,  83,  -9,  -5,  -5
 549,     1,  -8, -20,  68, -12
 550,     1, -28, -28,  -8,  60
 551,     1,  -4,  -8,  -4,  84
 552,     1,  80, -20,  -4,  -4
 553,     1,  -8,  72,  -8,  -8
 554,     1, -27, -43, -15,  57
 555,     0, -11, -43, -31, -43
 556,     1,  -8, -12, -24,  64
 557,     0, -43, -11, -11, -11
 558,     1,  89,  -3,  -3,  -3
 559,     1, -25,  -5,  -5,  83
 560,     1,  -9,  79,  -5, -21
 561,     1,  71, -13,  -9,  -9
 562,     1,  88,  -4,  -8,  -4
 563,     0, -31, -11, -11, -43
 564,     0, -11, -11, -11, -43
 565,     0, -27, -15, -11, -11
 566,     1,  88,  -8,  -8,  -8
 567,     1,  82,  -6,  -6,  -6
 568,     0, -35, -43, -11, -15
 569,     1,  -9,  67, -41, -41
 570,     1, -25,  79, -21,  -5
 571,     1,  84, -32, -20,  -8
 572,     0, -15, -19, -11, -19
 573,     0, -42, -14, -10, -30
 574,     0, -11, -19, -35, -11
 575,     1,  82, -10, -30, -10
 576,     1,  -9,  -9,  71, -41
 577,     0, -11, -15, -11, -43
 578,     1,  -8, -20,  -8,  76
 579,     0, -11, -11, -19, -15
 580,     0, -11, -11, -11, -11
 581,     1,  74,  -6, -18,  -6
 582,     1, -20, -32,  64, -16
 583,     0, -18, -10, -10, -18
 584,     1, -11, -27, -43,  61
 585,     1,  70,  -6,  -6, -10
 586,     0, -11, -11, -11, -15
 587,     1,  90,  -6,  -6,  -6
 588,     1,  -5,  87,  -5,  -9
 589,     1, -30,  62, -10, -30
 590,     1,  54, -42, -34, -10
 591,     1,  92,  -4, -12,  -4
 592,     1, -21,  -5,  -5,  83
 593,     1,  -4,  -4,  -4,  84
 594,     0, -11, -43, -11, -43
 595,     0, -43, -11, -43, -11
 596,     1, -18,  -6, -18,  78
 597,     0, -23, -23, -11, -11
 598,     0, -27, -11, -15, -11
 599,     1,  -6,  -6,  82,  -6
 600,     1,  -7,  -7,  77, -23
 601,     0, -18, -22, -26, -10
 602,     1,  -9,  71, -13, -21
 603,     1,  -6,  78, -22, -22
 604,     1, -41,  -9, -17,  71
 605,     1, -22,  78,  -6, -18
 606,     0, -34, -42, -18, -14
 607,     1,  -8,  -8,  68, -20
 608,     0, -11, -19, -11, -31
 609,     1,  -3,  93,  -3, -11
 610,     1,  76,  -8,  -8,  -8
 611,     1,  75, -41, -29, -21
 612,     1,  -9, -29,  -9,  71
 613,     1,  80,  -8,  -8, -12
 614,     0, -11, -43, -11, -11
 615,     1,  -9, -41,  63, -21
 616,     0, -47, -11, -27, -35
 617,     0, -27, -43, -11, -11
 618,     1,  -3,  93, -11,  -3
 619,     1, -10, -46, -10,  62
 620,     1, -22, -18,  -6,  82
 621,     0, -11, -15, -11, -11
 622,     1,  -5,  -5,  79, -13
 623,     1, -46,  66, -42, -26
 624,     0, -39, -43, -11, -19
 625,     1,  -4,  -4,  -4,  84
 626,     0, -35, -11, -51, -35
 627,     0, -35, -11, -11, -11
 628,     0, -11, -11, -11, -31
 629,     1,  59, -13, -33, -41
 630,     0, -11, -11, -35, -43
 631,     1, -20,  -8,  88, -20
 632,     1, -28,  64, -40,  -8
 633,     1, -26,  86,  -6,  -6
 634,     1, -13, -33,  59, -17
 635,     1, -10, -10, -10,  70
 636,     1,  66, -10, -46, -18
 637,     1, -10, -14, -10,  58
 638,     1, -34, -14, -10,  70
 639,     1,  86, -22,  -6,  -6
 640,     1, -43, -11,  53, -35
 641,     1,  67, -41, -41, -25
 642,     1, -17,  -9,  63, -29
 643,     1, -24,  -8,  -8,  84
 644,     1,  -5,  -5,  -9,  79
 645,     0, -19, -39, -19, -27
 646,     0, -11, -11, -23, -19
 647,     1,  -8,  -8, -12,  60
 648,     1, -23,  -7, -19,  77
 649,     1,  74,  -6,  -6,  -6
 650,     1,  -5,  -5,  -5,  87
 651,     1, -15,  93,  -3,  -3
 652,     0, -27, -43, -11, -11
 653,     1,  -9,  -9,  87,  -9
 654,     0, -27, -31, -19, -11
 655,     0, -43, -31, -47, -11
 656,     0, -11, -19, -11, -43
 657,     1, -10, -38,  62, -10
 658,     1, -31,  65,  -7, -31
 659,     0, -10, -26, -14, -10
 660,     1, -42,  62, -10, -10
 661,     0, -19, -19, -23, -43
 662,     1,  58, -42, -10, -10
 663,     0, -39, -15, -11, -11
 664,     0, -11, -11, -15, -31
 665,     1,  89, -31,  -7, -15
 666,     1,  -9,  71, -13, -21
 667,     1, -34,  66, -10, -42
 668,     1, -10,  54, -10, -10
 669,     0, -11, -35, -11, -11
 670,     1, -10,  62, -22, -42
 671,     0, -10, -10, -10, -22
 672,     1,  65,  -7,  -7,  -7
 673,     0, -31, -15, -11, -11
 674,     0, -10, -46, -22, -14
 675,     1, -38, -10,  62, -38
 676,     0, -43, -11, -11, -11
 677,     1,  -9,  -9,  87, -37
 678,     1,  78,  -6,  -6, -26
 679,     1, -31,  85, -23,  -7
 680,     0, -15, -11, -31, -19
 681,     1,  83,  -5,  -5,  -5
 682,     0, -39, -31, -43, -31
 683,     0, -11, -31, -43, -11
 684,     1,  -5,  -5,  -5,  87
 685,     1,  93,  -3,  -3,  -7
 686,     1, -18, -10, -10,  70
 687,     1, -10,  66, -10, -10
 688,     1,  87,  -5,  -5,  -5
 689,     1,  88, -32, -40,  -8
 690,     0, -47, -11, -11, -43
 691,     0, -11, -11, -15, -23
 692,     1,  -6,  -6, -26,  78
 693,     1, -10, -10, -42,  58
 694,     1,  -8, -28,  76,  -8
 695,     1,  87,  -5, -13,  -5
 696,     1,  -4,  92,  -4,  -4
 697,     1,  91, -25, -13,  -5
 698,     0, -27, -11, -11, -11
 699,     1,  -3,  -3,  -3,  93
 700,     0, -38, -30, -42, -34
 701,     1, -28, -28,  88,  -8
 702,     1,  -8,  88, -20, -32
 703,     1, -42, -10,  70, -14
 704,     0, -10, -10, -42, -10
 705,     1, -17,  59,  -9,  -9
 706,     1, -10, -18,  66, -14
 707,     1, -41,  63,  -9,  -9
 708,     1,  71,  -9,  -9,  -9
 709,     1, -19, -23,  69, -15
 710,     1, -18,  -6,  -6,  90
 711,     1,  -9,  -9,  67, -33
 712,     1, -22, -18,  70, -10
 713,     1,  89,  -3,  -3,  -3
 714,     1,  62, -42, -18,  70
 715,     1,  89,  -7,  -7, -35
 716,     1,  -6,  -6,  78, -18
 717,     1, -17,  -5,  79,  -5
 718,     1, -10, -14,  90,  -6
 719,     1, -10, -10,  70, -22
 720,     1, -21, -37,  63, -17
 721,     0, -39, -43, -23, -11
 722,     0, -27, -27, -43, -11
 723,     1,  -8,  -8,  -8,  68
 724,     1,  -9,  -5,  79,  -5
 725,     1, -21, -21,  -5,  87
 726,     1,  -4, -12,  88, -16
 727,     1,  -3,  -3,  -3,  93
 728,     1,  -8,  -8, -12,  68
 729,     1,  -4,  -4,  -4,  88
 730,     1, -10, -10, -10,  62
 731,     1,  -5,  79,  -5,  -5
 732,     0, -11, -35, -43, -43
 733,     1, -16,  88,  -8,  -8
