nExp, valid,  A0,  A1,  A2,  A3,  A4,  A5
  36,     0, -43, -15, -11, -23, -11, -27
  37,     1,  -9, -17,  67,  -9, -25, -21
  38,     1,  -9, -21, -29, -41,  -9,  87
  39,     1, -42,  62, -34, -14, -10, -10
  40,     1, -10, -10, -42, -10,  58, -10
  41,     1,  -5,  -5, -13,  -5,  91,  -5
  42,     1,  67, -41, -13, -37,  -9, -17
  43,     1, -41,  -9,  63, -25, -29,  -9
  44,     1,  -9,  63, -33, -21, -33, -41
  45,     1,  -3,  -3,  89,  -3, -15, -11
  46,     1,  -5,  -5, -17, -21,  -5,  91
  47,     1, -41,  -9,  59, -29,  -9,  -9
  48,     1, -13,  -5,  -5,  -5,  -5,  87
  49,     1,  53, -11, -11, -23, -11, -43
  50,     1,  -2,  -2,  -2,  94,  -2,  -2
  51,     0, -43, -11, -11, -11, -11, -11
  52,     1,  -5, -25,  -5, -13,  83,  -5
  53,     1,  -7, -19,  -7, -31,  -7,  89
  54,     1,  87,  -5,  -5,  -9,  -5,  -5
  55,     1,  54, -38, -10, -10, -10, -10
  56,     1, -23,  -7,  -7, -27,  81, -15
  57,     1, -21,  -5, -21,  83,  -5,  -5
  58,     1,  -8,  -8,  -8,  -8,  60, -28
  59,     1,  -8,  64,  -8, -36, -24, -28
  60,     1,  -7,  -7,  73,  -7,  -7,  -7
  61,     0, -11, -11, -35, -27, -31, -27
  62,     0, -10, -10, -38, -14, -10, -10
  63,     1, -41,  87, -37,  -9, -41, -29
  64,     1, -18, -18,  -6,  86, -26,  -6
  65,     1,  -5,  -5,  87, -21,  -5,  -5
  66,     1, -31,  73,  -7,  -7, -11,  -7
  67,     1, -31, -19, -15, -27,  -7,  69
  68,     0, -11, -11, -11, -43, -27, -23
  69,     1,  -6,  -6,  -6,  -6,  -6,  86
  70,     1,  58, -10, -10, -38, -10, -10
  71,     1,  66, -10, -46, -30, -42, -10
  72,     1, -35, -11,  -7,  77,  -7,  -7
  73,     0, -27, -35, -27, -11, -19, -43
  74,     1,  90,  -6, -22,  -6,  -6,  -6
  75,     0, -26, -38, -42, -26, -26, -18
  76,     1,  -9,  67,  -9, -37,  -9,  -9
  77,     1,  63, -29, -33,  -9,  -9, -13
  78,     1,  89,  -3,  -3,  -3,  -3,  -3
  79,     1,  66, -18, -10, -30, -14, -38
  80,     1,  63, -25, -13, -29, -25,  -9
  81,     1,  -9,  -9, -37,  87,  -9,  -9
  82,     1,  -9,  -9, -25,  67, -17,  -9
  83,     1, -10, -10, -42, -42, -42,  82
  84,     0, -10, -10, -42, -42, -10, -30
  85,     1,  -9,  -9,  -9,  -9,  -9,  67
  86,     1, -28,  60,  -8,  -8, -36, -36
  87,     0, -19, -11, -19, -39, -43, -11
  88,     1, -10,  82,  -6,  -6,  -6,  -6
  89,     1, -41, -33,  -9, -29,  63,  -9
  90,     1, -10, -18,  -6,  -6,  -6,  74
  91,     1,  60, -12,  -8, -12,  -8, -32
  92,     1,  -7, -15, -27, -11,  -7,  81
  93,     1,  -6,  -6,  -6, -26,  90,  -6
  94,     1,  -6,  -6, -14,  -6, -26,  74
  95,     1,  -8, -16, -32,  64,  -8,  -8
  96,     1,  -9,  59, -33,  -9,  -9,  -9
  97,     1,  -2,  -2,  -2,  -2,  -2,  94
  98,     1,  -6, -22,  -6, -26,  78,  -6
  99,     0, -11, -19, -11, -23, -39, -23
 100,     0, -30, -10, -42, -10, -42, -10
 101,     1, -37,  87, -37, -17, -21,  -9
 102,     0, -11, -11, -43, -11, -11, -11
 103,     1,  -8,  -4,  -4,  92,  -4, -16
 104,     1,  -9,  63,  -9,  -9, -13,  -9
 105,     0, -11, -11, -11, -11, -11, -15
 106,     1,  -7,  81, -31,  -7,  -7, -35
 107,     1,  -8,  -8,  -8,  72,  -8,  -8
 108,     1,  63,  -9,  -9, -33,  -9,  -9
 109,     1, -21, -17,  -9,  -9,  -9,  67
 110,     1,  -8, -32,  -8,  -8, -36,  84
 111,     1,  -8,  -8,  -8,  84, -20,  -8
 112,     0, -31, -11, -11, -11, -43, -11
 113,     1, -31,  -7,  -7, -35,  -7,  73
 114,     1,  -7,  -7,  -7, -27,  -7,  89
 115,     1,  -9,  63,  -9,  -9,  -9,  -9
 116,     1, -10, -30, -10, -42, -18,  62
 117,     1, -30, -10, -10, -10,  58, -10
 118,     1, -29, -17,  -9, -37,  71,  -9
 119,     1,  -2,  94,  -2,  -2,  -2,  -2
 120,     1, -17,  -9,  -9,  -9,  -9,  79
 121,     1, -41,  -9, -21,  67,  -9, -25
 122,     1,  66, -10, -10, -22, -14, -10
 123,     1,  85, -15,  -3,  -3,  -3, -15
 124,     1,  79,  -5,  -5,  -5, -21,  -5
 125,     1,  -4,  -4,  84,  -4,  -4,  -4
 126,     1,  -6,  82,  -6, -26,  -6,  -6
 127,     1, -20,  -4,  -4,  -4,  84,  -4
 128,     1, -23, -35, -11, -11,  49, -43
 129,     0, -26, -10, -34, -10, -10, -10
 130,     1, -10, -10,  62, -26, -10, -42
 131,     0, -11, -39, -51, -11, -27, -43
 132,     1,  -5,  -5,  79,  -5,  -5,  -5
 133,     1,  -6, -14,  82,  -6, -10, -14
 134,     1, -42, -10,  62, -10, -10, -10
 135,     1, -10, -14, -10, -10, -14,  62
 136,     1,  66, -42, -14, -26, -42, -22
 137,     1, -35, -19, -23,  73,  -7, -11
 138,     1, -10,  66, -10, -22, -22, -10
 139,     1, -35,  81,  -7, -19,  -7, -15
 140,     1, -16,  -4,  -4,  -4,  80,  -4
 141,     1,  -9, -41,  -9,  -9, -13,  59
 142,     1, -27,  -7,  -7,  -7,  85, -15
 143,     1,  -9, -13,  59,  -9, -13, -17
 144,     1,  -2,  -2,  -2,  -2,  -2,  90
 145,     1,  -7,  -7, -23, -31, -35,  81
 146,     1,  -4,  84,  -4, -20,  -8,  -4
 147,     1,  -7, -27,  77,  -7, -11,  -7
 148,     1,  -9, -33,  -9,  59, -33, -13
 149,     1,  59, -37,  -9, -41,  -9, -21
 150,     1,  -6,  78, -10,  -6, -14,  -6
 151,     0, -10, -10, -10, -14, -10, -10
 152,     1,  -6,  -6, -22,  -6, -14,  78
 153,     1,  -7,  65,  -7,  -7,  -7,  -7
 154,     0, -11, -11, -11, -43, -11, -47
 155,     1,  -3,  93,  -3,  -3,  -3,  -3
 156,     1,  -4,  -4,  92,  -4,  -4, -16
 157,     1, -27,  -7,  65,  -7,  -7,  -7
 158,     1, -13, -13,  -9,  79,  -5, -13
 159,     1,  -6,  -6, -26,  78,  -6, -26
 160,     1, -22, -18,  -6, -10,  86,  -6
 161,     1,  -4,  -4,  88,  -4, -16,  -4
 162,     1, -46,  58, -10, -10, -22, -10
 163,     1, -25, -21,  -9,  -9, -37,  63
 164,     1,  -9,  83,  -5,  -5,  -9,  -5
 165,     1, -21,  -5,  -5, -21,  -5,  83
 166,     1,  -7,  -7,  -7,  73, -31,  -7
 167,     1, -38, -46,  62, -10, -34, -38
 168,     1,  -9,  -9,  -9,  67, -21,  -9
 169,     0, -43, -11, -11, -31, -11, -11
 170,     1, -20,  -8, -36, -24, -20,  72
 171,     1, -10, -10,  66, -26, -10, -10
 172,     0, -11, -35, -11, -11, -43, -35
 173,     1, -15,  81,  -7, -19, -27,  -7
 174,     1,  -4,  -4,  84,  -4, -12,  -4
 175,     1,  89, -31,  -7,  -7, -15,  -7
 176,     0, -43, -43, -11, -35, -11, -27
 177,     1,  -4, -12,  -4,  -4,  -4,  84
 178,     0, -11, -39, -11, -11, -11, -11
 179,     1, -32,  76,  -8, -36, -24,  -8
 180,     1, -36,  72, -24,  -8, -20,  -8
 181,     1,  -3,  -3,  -3,  -3,  -3,  93
 182,     1,  -9,  67, -13,  -9,  -9, -13
 183,     1,  -4,  -4, -16,  -4, -16,  88
 184,     1, -23,  -7,  -7,  -7,  73,  -7
 185,     1, -10,  74,  -6, -14,  -6,  -6
 186,     1,  86, -14,  -6,  -6,  -6,  -6
 187,     1, -21,  -9,  -9,  -9,  59,  -9
 188,     0, -11, -11, -11, -23, -19, -23
 189,     1,  74, -26, -10, -34, -10,  66
 190,     1,  70,  -6,  -6,  -6, -26,  -6
 191,     1,  -3,  -3,  -3,  -3,  93,  -3
 192,     1,  -9,  -9, -25,  -9,  79,  -9
 193,     0, -10, -30, -10, -18, -22, -10
 194,     1,  -6, -30,  -6,  -6,  86,  -6
 195,     1, -10,  70,  -6,  -6,  -6,  -6
 196,     0, -43, -11, -19, -11, -27, -19
 197,     1,  -3,  -3,  89,  -3,  -3,  -3
 198,     1, -36,  -8,  -8, -16,  64, -36
 199,     1,  -8,  -8,  -8,  -8,  60,  -8
 200,     1, -41,  -9,  -9,  63,  -9,  -9
 201,     1,  89,  -3, -15,  -3,  -3,  -3
 202,     1,  -6,  90, -26, -14,  -6,  -6
 203,     1, -40,  -8,  76,  -8, -24,  -8
 204,     1,  -3, -11,  -3, -11,  89,  -3
 205,     1,  -6,  -6,  -6,  -6,  -6,  82
 206,     1, -26,  -6,  -6,  -6,  90, -14
 207,     1,  -9,  67,  -9, -37,  -9,  -9
 208,     1,  -8,  -8, -36,  -8,  -8,  84
 209,     1,  -4, -20,  -8,  -4,  -4,  84
 210,     0, -10, -42, -26, -30, -10, -42
 211,     0, -11, -11, -43, -11, -31, -15
 212,     1,  79,  -5, -13, -25,  -5,  -5
 213,     0, -11, -11, -43, -19, -11, -31
 214,     1, -21,  -5,  91, -17,  -5,  -5
 215,     1, -36, -20,  -8,  -8, -40,  60
 216,     1,  -9, -37, -13,  -9,  87, -21
 217,     1,  68, -28,  -8, -28,  -8, -20
 218,     1,  53, -19, -19, -31, -23, -27
 219,     1,  -3,  -3,  85, -11,  -3,  -3
 220,     1,  -7,  77, -19,  -7,  -7,  -7
 221,     1,  -7,  -7,  -7, -31,  -7,  73
 222,     1,  -2,  -2,  94, -10,  -6,  -2
 223,     1,  67,  -9, -21, -13,  -9,  -9
 224,     1, -42, -26,  54, -10, -10, -30
 225,     1,  -6,  -6,  -6, -22, -10,  74
 226,     1, -15,  73,  -7, -15, -31,  -7
 227,     1, -34, -18,  62, -42,  58, -10
 228,     0, -11, -11, -11, -31, -27, -27
 229,     1, -18,  66, -10, -10, -10, -42
 230,     0, -10, -10, -42, -10, -22, -38
 231,     1, -34, -30, -18, -10,  66, -10
 232,     1,  -2,  -2,  90,  -2,  -2,  -2
 233,     1,  -3,  -3,  -3,  -3,  93,  -3
 234,     1,  -9, -33,  -9,  -9, -21,  83
 235,     1, -26,  74, -26, -30, -26, -22
 236,     1, -33,  -9,  -9,  59, -21,  -9
 237,     1,  -9,  67,  -9,  -9, -41,  -9
 238,     1, -33, -41, -13,  59, -29,  -9
 239,     0, -43, -11, -11, -35, -43, -11
 240,     1,  80, -36,  -8,  -8, -12, -16
 241,     1,  -7,  -7, -11, -15,  81,  -7
 242,     1, -27,  -7, -23,  -7,  73, -19
 243,     1, -22,  78,  -6,  -6,  -6,  -6
 244,     1, -10, -18,  66, -22, -38, -42
 245,     1,  84,  -8,  -8, -16, -28,  -8
 246,     1,  -5,  -9,  -5,  79,  -5,  -5
 247,     1,  -4,  80,  -4,  -4,  -4,  -4
 248,     0, -35, -19, -35, -11, -43, -11
 249,     1,  86,  -6, -10,  -6,  -6, -14
 250,     0, -11, -11, -11, -51, -47, -11
 251,     1, -25,  -9,  -9,  -9,  -9,  67
 252,     1,  -3,  89,  -3,  -3,  -7,  -3
 253,     1,  -5,  79,  -5,  -5,  -5, -17
 254,     1,  -6,  86,  -6,  -6, -22, -22
 255,     1, -11,  -3,  -3,  85,  -3,  -3
 256,     1,  85,  -7,  -7, -35,  -7, -31
 257,     1,  -4,  -4,  -4,  -4,  80,  -4
 258,     1,  -3,  85,  -3,  -3,  -3,  -3
 259,     1,  89,  -3,  -3,  -3,  -3,  -3
 260,     1, -10, -22, -10, -10,  58, -10
 261,     1,  -9, -13,  67, -41,  -9,  -9
 262,     1,  89,  -3,  -3,  -3,  -3,  -3
 263,     1,  -3,  -3,  -3,  -3,  -3,  89
 264,     1,  81,  -7,  -7,  -7, -19,  -7
 265,     1,  71,  -9, -21, -13, -37, -29
 266,     1, -17, -21,  -5,  79,  -9,  -5
 267,     1,  -9,  -9, -41,  -9,  67, -41
 268,     0, -11, -11, -11, -11, -43, -23
 269,     0, -43, -43, -43, -11, -11, -11
 270,     1,  -8,  -8, -40, -24,  -8,  84
 271,     1,  -6,  74,  -6,  -6,  -6,  -6
 272,     1, -29,  67,  -9,  -9,  -9,  -9
 273,     0, -11, -31, -19, -11, -35, -11
 274,     1,  -9,  -9, -41,  -9,  75, -37
 275,     1,  -6,  82,  -6,  -6,  -6,  -6
 276,     1,  -9, -25,  -9, -25, -37,  63
 277,     1, -22,  74, -18, -42, -26, -18
 278,     1,  67,  -9, -41,  -9,  -9,  -9
 279,     0, -43, -39, -43, -11, -11, -43
 280,     0, -11, -11, -23, -11, -27, -39
 281,     1, -41,  -9, -29,  -9, -41,  63
 282,     1,  -3,  89,  -3,  -3,  -3,  -3
 283,     0, -11, -11, -31, -11, -11, -11
 284,     1, -41,  -9,  -9, -25,  59, -21
 285,     0, -43, -27, -11, -11, -15, -11
 286,     1, -10,  66, -46, -10, -38, -38
 287,     1,  58, -30, -10, -10, -10, -10
 288,     1,  -7, -27,  -7,  -7,  -7,  85
 289,     1,  72, -12,  -8, -36, -40, -40
 290,     1, -12,  68,  -8, -36, -12, -20
 291,     1,  80,  -8,  -8,  -8,  -8,  -8
 292,     1, -10,  70, -10, -26, -18, -26
 293,     1,  -4,  -4,  -4,  92,  -4,  -4
 294,     0, -11, -11, -19, -11, -11, -31
 295,     1, -37, -21,  67,  -9, -41,  -9
 296,     1,  79,  -5,  87, -21,  -5,  -5
 297,     1,  -3,  -3,  -3,  85,  -3,  -3
 298,     0, -11, -15, -43, -31, -27, -11
 299,     1,  -6,  -6, -30,  -6, -26,  74
 300,     1,  -3,  -3,  85,  -3,  -3,  -3
 301,     1, -10, -10, -22,  70, -26, -30
 302,     0, -11, -43, -11, -11, -31, -43
 303,     1,  53, -11, -11, -11, -15, -11
 304,     1,  -9,  63,  -9,  -9, -37,  -9
 305,     1,  -7,  85,  -7,  -7,  -7,  -7
 306,     1,  -2,  -2,  -2,  -6,  -2,  94
 307,     1,  -9,  -9,  -9, -25,  75, -41
 308,     1,  88, -12,  -4,  -4,  -4,  -4
 309,     1,  65, -31, -19, -19, -23,  -7
 310,     1, -10, -10, -10, -10, -10,  66
 311,     1,  -3,  -3,  89,  -3,  -3,  -3
 312,     0, -11, -11, -47, -11, -11, -23
 313,     1,  -9, -37,  71, -25, -17, -25
 314,     1,  77,  -7, -35, -15,  -7,  -7
 315,     1, -18,  62, -42, -42, -42, -34
 316,     1,  54, -10, -42, -22, -10, -10
 317,     1,  -5,  -5,  83,  -9,  -5,  -5
 318,     0, -11, -43, -31, -11, -43, -35
 319,     1, -10, -10, -10, -38,  70, -10
 320,     1,  -3,  -3,  -3,  93,  -3, -15
 321,     1,  -7,  -7,  -7,  -7,  -7,  73
 322,     0, -15, -11, -23, -43, -11, -31
 323,     1, -42, -38, -10, -38, -10,  66
 324,     1, -37, -25,  -9,  -9, -25,  67
 325,     0, -34, -10, -30, -18, -10, -14
 326,     1,  -9,  -9, -17,  -9,  67,  -9
 327,     1,  62, -14, -14, -30, -42, -42
 328,     1,  -6,  -6,  86,  -6,  -6,  -6
 329,     0, -11, -11, -31, -43, -23, -31
 330,     1, -34, -10, -10, -38, -42,  58
 331,     1,  -9, -17,  -9, -17,  -9,  67
 332,     1,  -4,  -4,  -4,  -4,  -4,  84
 333,     1, -28,  -8,  -8, -36,  76,  -8
 334,     1, -15, -11,  -7,  73, -11,  -7
 335,     0, -10, -42, -10, -10, -10, -38
 336,     1,  60, -16,  -8,  -8,  -8,  -8
 337,     1,  -7,  -7,  -7,  65,  -7,  -7
 338,     1,  87,  -5,  -5,  -5,  -9,  -5
 339,     1, -31,  -7,  -7,  69,  -7,  -7
 340,     1,  -6, -10,  -6,  82, -22,  -6
 341,     1,  -6,  -2,  -2,  90,  -2,  -2
 342,     1,  67,  -9, -41,  -9,  -9,  -9
 343,     1,  73,  -7,  -7, -19, -11, -11
 344,     1, -16, -24,  -8, -16,  -8,  88
 345,     1, -11,  53, -11, -11, -11, -43
 346,     1,  -9,  -9,  67, -17,  -9,  -9
 347,     1,  -4,  -4, -16,  84,  -4,  -4
 348,     1,  -8, -32,  80, -36,  -8, -40
 349,     1,  -7, -19,  69, -11,  -7, -19
 350,     1,  -8,  -8,  84,  -8,  -8,  -8
 351,     1,  -5, -13,  87,  -5,  -5,  -5
 352,     0, -11, -11, -51, -11, -43, -23
 353,     0, -11, -31, -11, -11, -19, -31
 354,     1,  -4,  80,  -4,  -4,  -4, -16
 355,     1,  -5,  -9, -13,  79, -13,  -5
 356,     1,  -9, -25,  -9,  -9,  71,  -9
 357,     1, -11,  57, -47, -11, -43, -19
 358,     1,  -8,  -8, -20,  68,  -8,  -8
 359,     1,  -7,  93,  -3,  -3, -11,  -3
 360,     1,  -3,  93,  -3, -15,  -3,  -3
 361,     1,  -5,  -5, -17,  -5,  83,  -5
 362,     1,  66, -38, -34, -22, -10, -10
 363,     0, -15, -31, -11, -11, -47, -11
 364,     0, -11, -19, -11, -35, -11, -11
 365,     1,  -5,  -5,  83,  -5, -21,  -5
 366,     1, -21,  -5,  -5,  87, -21, -13
 367,     0, -43, -11, -31, -43, -27, -31
 368,     0, -11, -11, -43, -11, -11, -31
 369,     1,  -3,  -3,  -3,  -3,  93, -11
 370,     1,  92,  -4,  -4,  -4, -12,  -4
 371,     1,  -8,  72, -32,  -8, -16,  -8
 372,     0, -39, -11, -23, -11, -35, -11
 373,     0, -42, -18, -10, -10, -10, -10
 374,     1, -10,  70, -10, -30, -30, -10
 375,     1,  -9, -25,  63,  -9, -21, -21
 376,     1, -23,  69, -27,  -7,  -7, -19
 377,     1,  -8,  -8, -12,  60, -16, -32
 378,     0, -43, -11, -11, -27, -31, -11
 379,     1,  79,  -5,  -5,  -5,  -5,  -5
 380,     1,  -5,  -5,  -5,  91,  -5,  -5
 381,     1,  -3,  -3,  85,  -3,  -7,  -3
 382,     0, -43, -11, -15, -11, -35, -11
 383,     1, -15,  -7,  -7,  77, -19, -15
 384,     0, -11, -11, -19, -11, -11, -11
 385,     1,  -8, -28, -28,  -8,  -8,  76
 386,     1,  -5,  -9, -13,  -5,  -5,  79
 387,     1, -13, -41, -21,  63,  -9, -25
 388,     1,  -4,  -4,  -4,  -4,  92, -16
 389,     1, -15, -19, -11, -11, -15,  53
 390,     1, -16,  84,  -4,  -4,  -4,  -4
 391,     1,  63,  -9,  -9,  -9,  -9, -29
 392,     1, -13,  -9, -41,  -9, -29,  67
 393,     1, -10, -10, -46,  58, -10, -26
 394,     0, -39, -23, -31, -39, -11, -11
 395,     0, -31, -43, -19, -11, -11, -27
 396,     1, -30,  -6,  -6,  78,  -6,  -6
 397,     0, -15, -23, -43, -43, -11, -11
 398,     1,  59, -17, -37,  -9,  -9,  -9
 399,     1, -26, -22, -30,  -6,  86, -30
 400,     1,  -9, -33,  -9, -25,  63,  -9
 401,     1,  -3,  -7,  -3,  -3,  -3,  93
 402,     0, -23, -11, -11, -11, -19, -11
 403,     0, -31, -11, -11, -11, -11, -11
 404,     1,  60,  -8, -40, -24,  -8,  -8
 405,     1,  60, -28,  -8,  -8, -16,  -8
 406,     1,  70, -18, -10, -18, -10, -42
 407,     1,  87, -17, -37,  -9,  -9,  -9
 408,     1,  -4,  88,  -8,  -4,  -4,  -8
 409,     0, -11, -11, -11, -11, -11, -23
 410,     1,  -5,  -5, -21,  83,  -5, -13
 411,     1, -10, -42,  66, -10, -14, -10
 412,     1, -12, -16,  60,  -8,  -8,  -8
 413,     1,  84,  -8,  -8, -40, -24,  -8
 414,     0, -43, -23, -11, -23, -15, -43
 415,     1,  79,  -5,  -5,  -5,  -5,  -5
 416,     1, -27, -43, -23,  57, -27, -43
 417,     1,  -7,  -7,  -3,  85, -11,  -3
 418,     1, -12,  -4,  -8,  88,  -4,  -4
 419,     1, -41,  -9,  67, -37, -37, -41
 420,     1,  54, -14, -10, -42, -10, -38
 421,     0, -43, -11, -43, -11, -15, -19
 422,     1, -32, -40,  72,  -8,  -8,  -8
 423,     1, -30, -10, -14, -34, -14,  66
 424,     1,  -7,  -7,  -7,  65,  -7, -11
 425,     1, -42,  66, -42, -18, -10, -10
 426,     1,  -8,  -8,  -8, -20,  76,  -8
 427,     1, -22, -34, -10, -42, -10,  82
 428,     1,  -9, -41,  63, -21,  -9, -29
 429,     1, -14, -10,  54, -42, -10, -26
 430,     0, -23, -11, -39, -11, -35, -23
 431,     1,  -3,  -3,  -3,  -3,  85,  -3
 432,     1,  -8,  -8,  60,  -8,  -8,  -8
 433,     1,  92,  -4, -16,  -4,  -4,  -8
 434,     1,  -2,  -2,  -2,  -2,  90,  -2
 435,     0, -31, -11, -27, -23, -43, -11
 436,     1, -10,  62, -30, -10, -10, -42
 437,     1,  -4,  -8, -16, -20,  92,  -4
 438,     1, -31,  69,  -7,  -7, -31,  -7
 439,     0, -11, -11, -11, -27, -31, -23
 440,     1,  62, -42, -10, -10, -26, -42
 441,     1,  -6,  86,  -6,  -6, -14, -18
 442,     1, -10,  -6,  -6,  -6,  74,  -6
 443,     1,  69, -35, -23,  89,  -7, -11
 444,     1,  -4, -16,  88,  -4,  -4,  -8
 445,     1,  88,  -8, -16, -24, -32,  -8
 446,     1,  -9,  -9,  -9,  71, -17, -33
 447,     0, -11, -27, -11, -11, -47, -11
 448,     0, -23, -11, -31, -43, -11, -11
 449,     1,  -3,  93,  -3,  -3,  -3,  -3
 450,     1, -23,  -7,  -7,  -7,  -7,  73
 451,     1,  70,  -6,  -6, -26, -26,  -6
 452,     1,  -7,  -7, -15,  -7,  85,  -7
 453,     1, -14, -14,  -6, -26, -22,  78
 454,     1,  -6,  -6,  -6,  -6,  74,  -6
 455,     1,  -3,  -3,  93,  -3,  -3,  -3
 456,     0, -11, -11, -35, -23, -11, -11
 457,     1, -32,  -8,  88, -24,  -8,  -8
 458,     1, -30,  -6, -30,  74, -14, -14
 459,     0, -11, -43, -11, -11, -43, -11
 460,     1,  -6,  78,  -6, -10,  -6, -26
 461,     1,  -8,  88,  -4, -12,  -4,  -4
 462,     1,  84, -16,  -4,  -4,  -4, -20
 463,     1, -27,  -7,  -7, -35,  89,  -7
 464,     1,  -5,  -9, -13, -13,  91, -13
 465,     1, -21,  -9,  -9, -41, -33,  63
 466,     1,  -9,  -9,  71,  -9,  -9,  -9
 467,     0, -11, -43, -43, -43, -23, -11
 468,     1,  -8,  -8,  -8,  -8,  80, -20
 469,     1,  -5,  -5,  91,  -5, -21,  -5
 470,     1, -41,  67, -29, -37, -41, -13
 471,     1, -26, -26,  54, -10, -10, -18
 472,     1,  -9,  79,  -9, -21,  -9, -41
 473,     0, -31, -47, -19, -11, -11, -43
 474,     1, -41, -41,  63, -25, -37,  -9
 475,     1, -29,  59, -29,  -9, -33,  -9
 476,     1, -31, -11, -19,  57, -23, -11
 477,     0, -31, -43, -11, -11, -27, -11
 478,     1,  -6,  -6, -14, -26, -14,  70
 479,     0, -35, -23, -35, -11, -43, -31
 480,     0, -19, -23, -35, -23, -35, -11
 481,     1, -14,  -6,  -6, -18,  74, -18
 482,     1, -28,  -8, -28,  -8, -20,  84
 483,     1,  -5,  -9,  -5, -21,  79,  -5
 484,     1,  -4,  -4,  84,  -4,  -4,  -4
 485,     1, -10, -14, -10, -10,  70, -26
 486,     1,  -3,  -3,  93,  -3,  -3,  -3
 487,     1, -26, -10, -42, -10, -10,  66
 488,     1,  66, -30, -10, -22, -10, -10
 489,     1, -29,  -9,  63, -33, -25,  -9
 490,     0, -27, -19, -11, -43, -19, -27
 491,     1,  62, -10, -10, -10, -42, -10
 492,     1,  87,  -5,  -5,  -5, -25,  -5
 493,     1,  -9,  -9,  -9,  71, -33,  -9
 494,     0, -11, -11, -11, -27, -47, -11
 495,     0, -38, -10, -10, -18, -10, -18
 496,     0, -11, -11, -11, -11, -11, -11
 497,     1,  87, -21,  -5, -13,  -5,  -9
 498,     1, -29,  -9,  79,  -9,  -9,  -9
 499,     1, -10, -42, -10,  66, -10, -10
 500,     1, -10, -10, -34,  58, -42, -14
 501,     1,  -4,  -4,  -4,  -8,  -4,  88
 502,     1,  -2,  -2,  -6,  -2,  -2,  94
 503,     1,  -9,  -9, -37, -41,  79, -41
 504,     1,  -5, -13,  91,  -5,  -5, -13
 505,     0, -43, -43, -11, -11, -35, -27
 506,     1,  -5,  -5,  87,  -5,  -5,  -5
 507,     0, -35, -27, -15, -11, -23, -23
 508,     1,  -8,  80,  -8,  -8, -24, -36
 509,     1, -33,  67,  -9,  -9,  -9,  -9
 510,     1,  -6,  -6,  -6,  -6,  -6,  90
 511,     1, -22, -10, -10,  -6,  82, -22
 512,     1, -41,  -9, -37,  71, -17,  -9
 513,     1, -21, -17,  -9,  -5,  87,  -5
 514,     1,  -7,  -7,  -7,  -7, -27,  89
 515,     1, -26,  70, -10, -42, -10, -30
 516,     1,  74,  -6,  -6,  -6, -10, -14
 517,     1, -30, -10, -10, -10,  74, -14
 518,     1, -21,  -9,  -9,  -9,  63,  -9
 519,     1, -17,  79,  -5,  -5,  -5,  -5
 520,     0, -11, -47, -11, -11, -11, -11
 521,     1,  -7, -15,  77, -19, -23, -19
 522,     1, -35,  -7, -23, -11, -31,  69
 523,     0, -11, -19, -11, -47, -11, -35
 524,     1,  -5, -25,  87, -21,  -5,  -5
 525,     1,  80, -12, -24,  -8, -36,  -8
 526,     1, -18, -18, -42, -26, -10,  62
 527,     1,  -2,  -2,  -2,  94,  -2,  -2
 528,     1,  -6, -10,  -6,  78,  -6, -22
