nExp, valid,  A0,  A1,  A2,  A3,  A4
 214,     1,  72, -36, -16,  -8,  -8
 215,     1, -20,  -4,  -4,  -4,  84
 216,     0, -15, -23, -11, -43, -11
 217,     1, -23,  -7,  73,  -7, -19
 218,     1,  -3,  93,  -3,  -3,  -3
 219,     1,  -9, -13, -41,  63, -41
 220,     0, -11, -31, -31, -11, -39
 221,     1,  -5,  -5,  91,  -5, -17
 222,     1,  68, -20, -32, -40,  -8
 223,     0, -11, -11, -31, -43, -11
 224,     1, -25,  -5, -25,  79,  -5
 225,     1,  -7, -23,  -7,  -7,  69
 226,     1, -14, -10, -30,  62, -42
 227,     1, -18,  -6, -14,  70, -18
 228,     0, -23, -11, -15, -11, -27
 229,     0, -11, -11, -39, -15, -43
 230,     1,  -8, -16, -24,  -8,  68
 231,     1,  -9,  79,  -9, -21, -29
 232,     0, -23, -11, -47, -35, -27
 233,     0, -43, -27, -11, -31, -27
 234,     1,  -9,  -9,  -9,  -9,  71
 235,     1,  -4, -16, -20,  84, -20
 236,     1, -18,  70, -10, -46, -10
 237,     1,  68,  -8,  -8,  -8, -36
 238,     1,  -5,  79, -17, -21, -21
 239,     1,  -3,  93,  -3,  -3, -15
 240,     1,  79, -41,  -9,  -9,  -9
 241,     1,  -6,  -6,  90,  -6,  -6
 242,     1, -14, -26,  -6,  86,  -6
 243,     1,  -3,  93,  -3,  -7,  -3
 244,     0, -43, -43, -11, -11, -19
 245,     1, -17,  -9,  71, -21,  -9
 246,     1,  -6,  -6,  -6, -26,  82
 247,     1,  -3, -11,  93,  -3,  -3
 248,     0, -43, -19, -27, -27, -23
 249,     0, -11, -27, -27, -11, -39
 250,     1, -11, -11, -11, -43,  49
 251,     1, -11,  -7,  77,  -7,  -7
 252,     1,  -6, -26,  -6,  -6,  86
 253,     1,  -6, -22, -22,  78,  -6
 254,     1, -12,  88,  -4,  -4,  -4
 255,     1, -20,  -4,  -4,  84,  -4
 256,     1,  -3,  -7,  -3,  89,  -3
 257,     1,  -5,  91,  -5,  -5, -21
 258,     0, -11, -47, -15, -27, -11
 259,     1,  60, -32, -24,  -8,  -8
 260,     0, -43, -11, -27, -11, -11
 261,     1, -11, -11, -11,  49, -43
 262,     1,  -2,  94,  -2,  -2,  -2
 263,     1,  -3,  93,  -3,  -3,  -3
 264,     1,  -6,  -6, -14,  82,  -6
 265,     1,  83,  -5,  -5,  -9,  -9
 266,     1,  -2,  -2,  -6,  -2,  94
 267,     1, -41,  67,  -9, -41, -33
 268,     1,  -6,  -6,  86,  -6,  -6
 269,     1, -16,  -4,  -4,  84,  -8
 270,     1, -10, -34,  54, -18, -10
 271,     1,  -8,  -8,  64,  -8,  -8
 272,     1,  -7,  -7,  -7,  73, -15
 273,     0, -11, -11, -27, -35, -11
 274,     1,  -5, -17,  79, -21,  -5
 275,     1, -10, -10, -22, -10,  62
 276,     1,  -4,  88,  -4,  -4,  -4
 277,     1,  -9,  79, -13, -41, -13
 278,     1,  -8,  -8,  60,  -8,  -8
 279,     1, -12,  -4,  84,  -4,  -4
 280,     0, -10, -14, -10, -30, -14
 281,     1,  85, -11,  -3,  -3,  -3
 282,     1, -14, -10,  58, -10, -10
 283,     0, -10, -10, -22, -10, -10
 284,     1, -40,  -8,  84,  -8,  -8
 285,     0, -11, -43, -11, -19, -11
 286,     1,  -4,  -4,  80,  -4,  -4
 287,     0, -11, -43, -43, -11, -11
 288,     1,  88, -12, -32,  -8,  -8
 289,     1, -27,  -7, -23, -31,  65
 290,     1,  -2,  -2,  -2,  90,  -2
 291,     1,  -6,  -6,  -6,  -6,  86
 292,     1,  85,  -7,  -7,  -7,  -7
 293,     1,  67,  -9, -17,  -9, -13
 294,     0, -23, -11, -11, -11, -11
 295,     1, -33, -37,  87,  -9,  -9
 296,     1, -20,  -4,  -4,  -4,  84
 297,     1, -10, -10, -30,  54, -18
 298,     0, -34, -10, -10, -10, -22
 299,     1, -32,  68, -36, -16,  -8
 300,     1,  -9,  -9, -41,  -9,  75
 301,     0, -23, -19, -31, -27, -11
 302,     1, -22,  -6,  -6, -18,  90
 303,     0, -43, -11, -11, -11, -11
 304,     1,  62, -10, -18,  62, -26
 305,     0, -10, -26, -10, -14, -10
 306,     1,  -3,  -3,  -3,  93,  -7
 307,     1, -17,  -5,  87,  -5,  -5
 308,     1,  -9,  -9, -37,  67,  -9
 309,     1, -16,  80,  -4,  -4,  -8
 310,     0, -11, -11, -11, -11, -31
 311,     0, -10, -10, -42, -22, -22
 312,     0, -11, -11, -43, -11, -11
 313,     0, -27, -35, -47, -23, -19
 314,     1,  -3,  -3,  85,  -3,  -3
 315,     1, -12,  -4, -20,  -4,  80
 316,     1, -20,  -4, -20,  84,  -4
 317,     1, -14, -10,  -6,  -6,  78
 318,     0, -27, -43, -35, -11, -39
 319,     1,  -9,  71,  -9, -25,  -9
 320,     1,  64,  -8, -20,  -8,  -8
 321,     1, -10, -10,  62, -10, -10
 322,     0, -23, -11, -11, -43, -23
 323,     0, -43, -11, -43, -11, -43
 324,     1,  -9, -37,  -9, -25,  75
 325,     1,  -9,  79,  -9, -29,  -9
 326,     0, -11, -43, -39, -11, -23
 327,     1,  -4,  88,  -8,  -4,  -4
 328,     1, -10,  74, -10, -10, -10
 329,     1, -22, -10, -26, -10,  58
 330,     1, -13, -17,  -9,  91, -21
 331,     1, -10, -10, -34, -10,  70
 332,     1,  59,  -9, -13,  -9,  -9
 333,     1,  -9,  -9, -37, -41,  75
 334,     1,  66, -22, -10, -10, -34
 335,     0, -11, -11, -43, -35, -11
 336,     1, -41, -21,  67,  -9,  -9
 337,     0, -15, -11, -19, -51, -11
 338,     1, -22, -10,  62, -10, -10
 339,     1,  -5,  79,  -5,  -9, -17
 340,     1,  66, -34, -10, -30, -10
 341,     1,  70, -42, -30, -46, -10
 342,     1,  -4,  -4,  84, -16,  -4
 343,     1,  -6,  86, -18,  -6,  -6
 344,     1, -16,  -8,  -8,  -8,  72
 345,     1,  -5, -25,  -5,  91,  -5
 346,     1,  -9,  -9,  -9,  -9,  63
 347,     1,  83,  -9,  -9,  59, -41
 348,     1,  -7,  -3,  -3,  -3,  89
 349,     0, -31, -11, -11, -43, -19
 350,     0, -11, -11, -11, -23, -11
 351,     0, -39, -11, -19, -11, -43
 352,     1,  -7,  -3,  89,  -3,  -3
 353,     0, -27, -27, -11, -11, -11
 354,     1, -27,  65,  -7,  -7, -15
 355,     1, -29,  -9,  75, -41,  -9
 356,     0, -11, -27, -39, -11, -11
 357,     0, -43, -31, -43, -11, -43
 358,     0, -38, -10, -22, -26, -10
 359,     1,  88, -16,  -4, -12,  -4
 360,     1,  -3,  -3,  89, -11,  -7
 361,     1,  -4,  92,  -4,  -4,  -8
 362,     1, -20, -20,  -8,  76, -24
 363,     0, -11, -11, -23, -11, -43
 364,     1,  -8,  -8,  84,  -8,  -8
 365,     1,  63,  -9, -25, -37, -13
 366,     1, -42, -22,  62, -10, -10
 367,     1, -20, -12, -12,  80,  -4
 368,     0, -11, -35, -47, -11, -11
 369,     1,  93,  -3,  -3,  -3,  -3
 370,     1, -22,  -6,  -6,  86,  -6
 371,     1,  -9,  -9,  -9,  63, -33
 372,     0, -11, -11, -11, -11, -39
 373,     1, -20,  -4,  92,  -4,  -4
 374,     1, -15,  -7,  89, -15,  -7
 375,     1, -14, -30, -10, -10,  62
 376,     1, -19,  -7, -27,  -7,  77
 377,     1, -18,  58, -10, -42, -10
 378,     0, -51, -47, -11, -11, -23
 379,     0, -42, -18, -10, -10, -22
 380,     0, -11, -11, -35, -11, -11
 381,     0, -11, -43, -43, -11, -11
 382,     1,  89,  -3,  -3,  -3,  -3
 383,     0, -43, -11, -39, -19, -31
 384,     0, -11, -11, -11, -11, -11
 385,     1,  -4,  -4,  -4,  88, -12
 386,     1, -31,  -7,  -7,  89, -19
 387,     1,  -7, -35,  -7,  -7,  69
 388,     0, -43, -43, -31, -11, -15
 389,     1,  -6,  78,  -6,  -6,  -6
 390,     1,  -9, -41,  67, -33, -33
 391,     1,  -9,  63,  -9, -29,  -9
 392,     1,  -9,  -9,  71, -37,  -9
 393,     0, -39, -23, -43, -47, -47
 394,     0, -11, -11, -31, -27, -39
 395,     0, -10, -42, -42, -10, -10
 396,     1,  79,  -5,  -5,  -5, -17
 397,     1, -20,  -8,  -8,  60,  -8
 398,     1,  79, -37,  -9, -13, -33
 399,     1, -16, -12,  84,  -4,  -4
 400,     1,  -7,  81,  -7, -11, -19
 401,     0, -11, -11, -43, -43, -11
 402,     0, -11, -11, -19, -11, -11
 403,     0, -26, -10, -10, -10, -10
 404,     1, -42,  70, -42, -14, -10
 405,     1, -25,  -5,  -5,  87,  -5
 406,     1,  58, -10, -10, -10, -34
 407,     0, -10, -10, -18, -42, -10
 408,     1,  91,  -5, -21,  -5,  -5
 409,     0, -11, -11, -11, -11, -11
 410,     1, -14, -30, -42,  70, -42
 411,     1,  85, -11, -27,  -7,  -7
 412,     1,  -9, -21,  59, -37,  -9
 413,     1, -27, -11, -39,  53, -11
 414,     0, -11, -43, -11, -35, -11
 415,     1,  -5, -17,  87,  -5,  -5
 416,     1,  91,  79,  -5,  -9,  -5
 417,     1, -12, -16, -12,  80,  -4
 418,     1, -13, -21,  -5,  87, -13
 419,     1, -36,  64, -28,  -8, -28
 420,     1, -36, -32,  -8,  80, -36
 421,     1,  90,  -6, -22,  -6,  -6
 422,     0, -39, -51, -11, -11, -11
 423,     0, -18, -10, -30, -30, -30
 424,     1,  -5,  -5,  -5,  79,  -5
 425,     1,  -4,  -4, -16,  92,  -4
 426,     1,  -9,  -9,  71, -17,  -9
 427,     0, -35, -27, -19, -43, -11
 428,     1, -11, -47, -11,  53, -23
 429,     1,  -4,  -4,  84, -16,  -4
 430,     0, -11, -35, -23, -11, -27
 431,     0, -27, -19, -11, -11, -43
 432,     0, -11, -11, -43, -11, -19
 433,     1,  -7,  -7,  65,  -7,  -7
 434,     1,  88, -12,  -4,  -8, -20
 435,     1,  93,  -3,  -3,  -3, -15
 436,     1,  -8, -28,  -8,  68,  -8
 437,     1, -11, -23, -43, -47,  61
 438,     1, -17, -17,  83, -13,  -5
 439,     0, -11, -15, -15, -11, -27
 440,     1, -47,  53, -43, -11, -31
 441,     1,  -4,  -4,  -4,  -4,  92
 442,     0, -43, -11, -35, -11, -11
 443,     1,  -4,  84,  -4,  -4,  -4
 444,     1,  -8, -36,  72, -36,  -8
 445,     1,  -9,  71, -25,  -9,  -9
 446,     1, -13,  71, -33,  -9, -13
 447,     1,  82, -18,  -6,  -6,  -6
 448,     0, -19, -11, -31, -47, -19
 449,     1,  -4,  -4,  -4,  92,  -4
 450,     1, -13,  -9,  63,  -9,  -9
 451,     1, -30,  -6,  -6,  70,  -6
 452,     1,  -8,  -8,  88,  -8, -12
 453,     1,  -9, -33, -29,  -9,  63
 454,     0, -43, -11, -11, -11, -19
 455,     1,  -8,  -8,  72,  -8, -32
 456,     0, -11, -31, -11, -11, -11
 457,     1,  -7,  69,  -7, -23,  -7
 458,     1,  54, -18, -42, -34, -42
 459,     1,  -7, -23,  -7,  -7,  77
 460,     0, -43, -11, -15, -43, -11
 461,     1, -14,  -6,  78, -18,  -6
 462,     1,  93, -11,  -3,  -3,  -3
 463,     1, -14, -42, -10,  54, -10
 464,     1, -38, -10, -30,  70, -38
 465,     1,  -5,  -5,  -9,  79,  -5
 466,     0, -11, -31, -11, -11, -11
 467,     1, -34, -10, -42, -18,  62
 468,     0, -27, -15, -11, -31, -19
 469,     1, -18,  -6,  -6,  90,  -6
 470,     1, -25,  -5,  -5,  87, -21
 471,     1,  70, -22, -42,  58, -10
 472,     1, -10,  62, -38, -26, -10
 473,     0, -11, -43, -43, -11, -11
 474,     1,  85, -11,  -3,  -7,  -3
 475,     1,  -6, -30,  -6,  -6,  90
 476,     1,  86,  -6,  -6,  -6,  -6
 477,     1,  88,  -8, -32,  -8,  -8
 478,     1,  94,  -2,  -2, -10,  -2
 479,     1, -28,  -8,  84,  -8,  -8
 480,     0, -11, -35, -11, -23, -31
 481,     1, -18,  90, -18,  -6, -14
 482,     1,  -6,  -6,  82,  -6, -18
 483,     1,  -5,  -5,  -5,  79, -25
 484,     1, -27, -11,  53, -11, -15
 485,     0, -10, -18, -10, -26, -10
 486,     0, -19, -31, -11, -43, -23
 487,     0, -11, -31, -23, -39, -43
 488,     1,  75,  -9,  -9,  -9, -25
 489,     1,  82,  -6,  -6, -26, -10
 490,     1,  92,  -4,  -4,  -4,  -4
 491,     0, -10, -38, -42, -10, -10
 492,     1,  -5,  -5,  -5,  91, -21
 493,     1,  -5,  -5,  91,  -5,  -5
 494,     0, -15, -11, -11, -11, -51
 495,     1,  -8,  -8,  -8,  76,  -8
 496,     0, -11, -11, -11, -11, -11
 497,     1,  91,  -5, -21,  -9,  -5
 498,     1,  -5,  -5,  -5,  -5,  91
 499,     0, -11, -39, -43, -27, -11
 500,     1,  83,  -5,  -5,  -5,  -5
 501,     1,  -9,  63,  -9, -21,  -9
 502,     1,  -4,  88,  -4, -12,  -4
 503,     1, -41,  -9,  -9,  63,  63
 504,     1, -19,  -7,  -7,  77, -15
 505,     1,  -9,  -9,  59, -33, -21
 506,     1,  91,  -5,  -5,  -5,  -5
 507,     0, -27, -19, -27, -11, -11
 508,     1,  63, -21, -25,  -9,  -9
 509,     0, -27, -11, -11, -43, -11
 510,     1,  83,  -9,  -9,  -9,  -9
 511,     1, -15,  77, -23,  -7, -19
 512,     1, -31, -15, -11,  69,  -7
 513,     1, -26,  -6, -22,  -6,  82
 514,     1,  67, -13,  -9,  -9,  -9
 515,     1,  -5,  -5,  -5,  -5,  79
 516,     1,  -4,  88,  -4,  -4,  -4
 517,     0, -11, -11, -11, -11, -39
 518,     0, -42, -22, -10, -10, -10
 519,     1,  -6,  70, -18,  -6,  -6
 520,     0, -11, -43, -11, -11, -11
 521,     1, -15,  81,  -7, -19,  -7
 522,     1, -36, -32,  -8,  84, -36
 523,     1, -17,  -9,  -9,  -9,  59
 524,     1, -22, -42, -42, -10,  58
 525,     1,  63,  -9, -13,  -9, -29
 526,     1,  -6,  -6, -30,  74,  -6
 527,     1,  -6,  -6,  -6,  -6,  78
 528,     1,  66, -18, -38, -22, -10
 529,     0, -10, -14, -10, -14, -10
 530,     1, -10, -10, -30, -42,  66
 531,     1, -28,  -8,  64,  -8,  -8
 532,     1,  -7,  85,  -7,  -7, -15
 533,     1, -11, -11, -35, -11,  53
 534,     1, -29,  -9,  -9,  67,  -9
 535,     0, -11, -31, -11, -39, -27
 536,     1,  67,  -9,  -9,  -9, -33
 537,     1, -29,  63,  -9, -21,  -9
 538,     0, -11, -43, -31, -11, -11
 539,     1,  -5,  -9, -21, -17,  83
 540,     1,  -9,  71, -41, -37,  -9
 541,     1, -22,  74, -22,  -6,  -6
 542,     0, -11, -31, -43, -11, -11
 543,     1,  -4,  -4,  -4,  80, -12
 544,     1, -22,  -6, -26,  78,  86
 545,     1, -14,  58, -10, -10, -30
 546,     1, -42,  62, -38, -22, -10
 547,     1, -21,  -5,  -5,  -5,  83
 548,     1,  -9, -29,  71,  -9, -41
 549,     1, -38, -18,  66, -10, -26
 550,     1,  -4,  -4,  92, -16,  84
 551,     1,  -5,  -5,  -5, -25,  79
 552,     0, -51, -43, -23, -11, -11
 553,     0, -10, -10, -10, -38, -10
 554,     1, -18,  82,  -6,  -6, -22
 555,     1, -10,  62, -10, -38, -42
 556,     1,  91,  -5, -21,  -5, -13
 557,     1,  84,  -4,  -4,  -4,  -4
 558,     0, -35, -27, -15, -27, -43
 559,     1, -41,  67, -33,  -9,  -9
 560,     1,  -2, -10,  -2,  90,  -2
 561,     1,  -7,  -7,  73, -11, -15
 562,     1, -33,  67,  -9, -13, -41
 563,     1, -24,  -8, -16, -40,  80
 564,     1,  -3,  -3,  93,  -3,  -3
 565,     0, -11, -19, -19, -11, -35
 566,     1,  -9,  -9,  -9, -25,  71
 567,     1, -10,  -6, -22,  74,  -6
 568,     1,  70, -10, -22, -42, -14
 569,     1,  -9,  -9,  59, -41, -33
 570,     1, -15, -11,  85,  -3,  -3
 571,     1, -42, -18,  70, -10, -10
 572,     0, -19, -11, -23, -11, -27
 573,     1,  -8,  -8,  -8,  76, -36
 574,     0, -10, -10, -30, -26, -10
 575,     1, -11, -19, -11,  61, -11
 576,     0, -11, -27, -19, -43, -43
 577,     1,  -7,  73,  -7,  -7,  -7
 578,     1, -28,  -8,  76, -24,  -8
 579,     0, -11, -11, -15, -23, -11
 580,     0, -11, -11, -11, -11, -11
 581,     0, -43, -31, -15, -19, -43
 582,     1,  -3,  93,  -3,  -3,  -7
 583,     0, -11, -31, -11, -31, -11
 584,     1, -10,  -6, -30,  -6,  82
 585,     1, -41,  75,  -9,  -9, -29
 586,     0, -10, -10, -10, -14, -10
 587,     0, -39, -35, -11, -19, -11
 588,     1,  82, -10, -18,  -6, -26
 589,     1,  -8, -24,  -8, -24,  64
 590,     1, -25,  79, -17,  -9,  -5
 591,     1, -13,  -5, -17,  87,  -5
 592,     1, -41,  -9,  59,  -9, -13
 593,     1, -39, -39, -23,  53, -11
 594,     1,  -7,  73, -27, -35,  -7
 595,     1,  -4,  -4,  -4,  -4,  84
 596,     1,  -9,  -5,  79,  -5, -17
 597,     0, -11, -11, -31, -31, -11
 598,     0, -11, -11, -11, -35, -11
 599,     1,  -4,  -4,  -4,  -4,  88
 600,     0, -43, -11, -11, -11, -11
 601,     1, -26, -10,  70, -10, -10
 602,     1,  89, -15, -19,  -7,  -7
 603,     1, -11, -11,  89,  -3,  -3
 604,     1, -36, -20,  84,  -8, -28
 605,     1,  -3,  -3,  -3,  -7,  85
 606,     0, -22, -42, -26, -26, -42
 607,     1, -22, -10,  -6,  86, -14
 608,     1,  -8, -12,  -8, -20,  88
 609,     0, -11, -11, -43, -19, -43
 610,     1,  90, -14,  -6,  -6, -14
 611,     1, -27, -23,  81,  -7, -27
 612,     1,  91,  -5,  -5, -13,  -5
 613,     1,  86, -18,  -6,  -6,  -6
 614,     1,  83,  -5,  -5,  -5,  -5
