nExp,  A0x,  A0y,  A1x,  A1y,  A2x,  A2y,  A3x,  A3y,  A4x,  A4y,  A5x,  A5y,  A6x,  A6y,  A7x,  A7y 
 130,    1,   42,   10,   48,   11,   65,   11,   54,   11,   64,    0,   63,    0,   27,   11,   63
 131,   10,   44,    1,   33,    0,   48,    0,   55,    0,   18,    1,   53,   11,   60,   11,   55
 132,    1,   51,    1,   19,   10,   37,    1,   25,    1,   38,   10,   38,    1,   32,    1,   37
 133,    1,   15,    0,   48,   11,   60,    0,   21,    0,   36,   10,   55,   10,   52,    1,   47
 134,   10,   48,   11,   62,   11,   59,    1,   53,    0,   36,   11,   58,   10,   43,    0,   23
 135,    1,   45,   10,   51,    0,   19,    1,   62,    0,   30,    1,   61,   11,   54,   10,   43
 136,   10,   58,   11,   62,   11,   63,    0,   20,   10,   51,   11,   55,    1,   27,   11,   59
 137,   11,   62,   11,   61,   11,   56,    1,   43,   11,   60,   11,   61,   10,   47,    1,   27
 138,    0,   64,   10,   61,   11,   65,    0,   34,   10,   45,    0,   54,   10,   52,   10,   39
 139,   11,   59,   10,   54,   10,   57,    0,   41,    0,   36,   10,   46,    1,   51,    0,   63
 140,   10,   40,   10,   38,   10,   56,    1,   28,   10,   64,   11,   58,   11,   55,    0,   65
 141,   11,   61,   10,   45,   11,   64,    1,   23,   10,   57,   11,   63,    0,   65,   11,   60
 142,    1,   51,   10,   38,   10,   36,   11,   63,   10,   38,   10,   47,    0,   60,   11,   65
 143,   10,   61,    0,   32,   11,   61,    0,   24,    0,   41,    1,   51,    1,   16,   11,   61
 144,   11,   56,   11,   54,   10,   50,    0,   57,    1,   60,   10,   61,   11,   63,   10,   36
 145,    0,   27,   10,   36,    0,   41,    0,   33,    0,   26,    1,   59,    0,   49,   10,   56
 146,    0,   34,    1,   41,   11,   56,   10,   37,    1,   63,   11,   55,   11,   62,   11,   59
 147,    1,   60,   10,   58,    0,   21,    1,   29,   10,   46,   11,   62,    1,   18,   10,   52
 148,    0,   19,   10,   51,   10,   48,    1,   33,    0,   43,    0,   50,   10,   41,    0,   29
 149,   10,   48,   11,   60,   10,   42,    0,   62,    0,   24,    0,   45,   10,   48,    1,   46
 150,    1,   55,   10,   54,    0,   34,   11,   56,   10,   65,    1,   39,    0,   18,    0,   40
 151,   10,   61,    1,   29,   10,   55,   10,   62,    0,   23,    1,   45,   10,   42,    0,   62
 152,    0,   18,    1,   39,   10,   58,    0,   42,    1,   51,    1,   55,    0,   65,   10,   48
 153,   10,   47,    0,   39,    1,   47,   10,   60,    1,   20,    0,   45,    1,   23,   11,   55
 154,   11,   60,   11,   64,    1,   37,    0,   35,   11,   55,    0,   20,   11,   62,   10,   49
 155,    1,   43,   10,   59,    0,   48,   10,   53,   10,   51,   11,   61,   10,   36,    0,   46
 156,   11,   55,   10,   40,   11,   63,   10,   38,    1,   26,    1,   54,   10,   65,   10,   40
 157,   11,   54,    1,   46,    1,   13,    1,   25,   11,   61,    0,   59,    0,   33,   11,   63
 158,    1,   40,   11,   62,   10,   55,   11,   65,    1,   36,   10,   43,   10,   63,    1,   31
 159,    1,   32,   10,   37,   11,   57,   10,   48,   10,   53,   10,   40,    0,   23,    1,   25
 160,    1,   37,   10,   39,    1,   63,    0,   18,    1,   50,   11,   55,    0,   32,   10,   63
 161,    1,   54,    0,   48,    0,   54,   11,   59,   10,   46,   11,   58,   10,   65,   10,   49
 162,    0,   63,   10,   57,   10,   43,   10,   38,    0,   58,   10,   45,   10,   52,   10,   36
 163,    0,   22,   11,   59,    0,   35,   10,   49,   10,   64,    1,   17,    0,   52,    1,   18
 164,   11,   64,    0,   47,   10,   43,   11,   62,    1,   20,    1,   56,    0,   51,   10,   52
 165,    0,   23,    1,   46,    1,   25,    1,   37,   10,   52,    1,   34,   11,   61,   11,   61
 166,    1,   39,    1,   58,   10,   62,   10,   43,    1,   20,   11,   64,    1,   13,    1,   54
 167,   10,   56,    0,   22,   10,   60,    0,   57,   11,   61,   10,   36,    1,   37,   11,   59
 168,    0,   45,    0,   65,   10,   57,   10,   64,    1,   27,    0,   19,    1,   52,   10,   36
 169,   10,   60,   11,   63,    1,   50,   10,   37,    0,   34,   10,   47,   10,   58,   11,   57
 170,   11,   60,   10,   55,   10,   40,   10,   48,   11,   62,   11,   65,   11,   61,   10,   50
 171,    1,   34,   11,   61,    0,   19,    1,   35,    0,   28,    1,   32,   10,   40,   11,   59
 172,    0,   22,   11,   54,   10,   41,   10,   65,   11,   59,    1,   27,    1,   63,    0,   40
 173,   11,   55,    0,   57,    1,   55,    1,   13,   11,   57,    1,   15,   10,   60,    0,   62
 174,   10,   52,    0,   60,    1,   14,   11,   58,    1,   15,    0,   20,   11,   64,    1,   16
 175,    0,   63,   10,   59,    0,   21,   11,   55,   11,   65,    1,   18,   10,   49,   10,   62
 176,   10,   40,    1,   57,   10,   38,   10,   37,   11,   56,   10,   65,   11,   60,    1,   49
 177,   10,   63,    0,   51,    0,   37,   11,   58,    1,   31,    1,   12,    0,   53,   10,   55
 178,    0,   23,    1,   38,    0,   64,   11,   64,    0,   49,   11,   57,   11,   55,   11,   55
 179,    1,   22,    0,   50,    0,   56,   11,   65,   11,   65,   10,   36,    1,   33,   11,   59
 180,    1,   55,   11,   54,   11,   62,   11,   61,    0,   50,    0,   65,   11,   64,   10,   43
 181,   11,   63,   10,   41,    0,   45,   10,   48,   11,   62,    1,   13,   10,   45,   11,   56
 182,   10,   41,   11,   61,   11,   64,    1,   41,    1,   45,    1,   56,    1,   53,    0,   35
 183,    1,   60,   10,   58,   10,   63,   10,   54,   11,   63,    0,   59,    0,   53,    1,   33
 184,    0,   38,   11,   63,   10,   55,    0,   21,   11,   64,    0,   61,   10,   38,    0,   26
 185,    1,   60,    1,   41,    1,   37,    1,   29,    1,   27,   10,   36,   11,   60,   10,   48
 186,   10,   58,   10,   64,    1,   16,   11,   62,    0,   41,   11,   65,    1,   37,    1,   52
 187,   10,   50,    0,   46,    0,   35,    1,   15,    0,   55,    1,   18,   11,   57,    1,   49
 188,    0,   55,   11,   59,   10,   57,   11,   63,    1,   39,    1,   40,   11,   55,   11,   60
 189,    0,   62,    0,   19,    1,   42,    0,   48,   10,   52,    0,   35,    0,   40,    1,   29
 190,   11,   61,    0,   49,   11,   58,   11,   61,    1,   33,    0,   38,    1,   38,   10,   62
 191,    0,   56,   11,   61,    0,   21,    0,   33,    1,   55,    1,   20,   11,   62,   11,   59
 192,    0,   46,    1,   29,    0,   33,    1,   31,   10,   39,    1,   52,    1,   58,   11,   56
 193,   10,   55,    0,   44,    1,   24,   10,   62,   11,   55,    1,   16,    1,   47,   10,   37
 194,    0,   48,   11,   61,    0,   21,   10,   42,   10,   45,   11,   64,   10,   57,   11,   61
 195,   10,   48,   11,   56,    0,   52,    0,   42,   11,   58,   10,   62,   10,   38,   10,   59
 196,   11,   59,    0,   34,    1,   62,    0,   61,    1,   17,   11,   55,    0,   29,   10,   55
 197,   11,   61,   10,   50,   10,   55,    1,   27,   10,   54,    0,   27,   10,   60,    1,   21
 198,    0,   43,   10,   54,   10,   55,   11,   57,   11,   56,    1,   38,   10,   58,    0,   53
 199,   11,   54,   10,   36,    0,   59,    0,   61,   10,   58,   10,   58,   10,   62,    1,   32
 200,   10,   51,   10,   47,    1,   33,    0,   53,   10,   62,   10,   48,   11,   54,   10,   63
 201,   11,   57,    1,   27,   11,   58,    1,   29,    1,   58,    1,   40,    1,   30,    1,   60
 202,    1,   49,    0,   61,    1,   28,    1,   51,   11,   63,    0,   64,    1,   63,    0,   63
 203,    0,   59,    1,   57,    0,   59,   10,   39,   11,   59,    0,   58,    0,   19,   10,   38
 204,   10,   38,   11,   55,   10,   55,    1,   17,    1,   30,   11,   56,    0,   46,    1,   27
 205,    0,   58,    0,   61,   11,   55,   11,   57,   11,   57,    1,   50,   10,   58,    1,   15
 206,    1,   59,   11,   65,   10,   45,    1,   38,    0,   59,    0,   33,   11,   60,   11,   54
 207,   11,   61,   11,   62,   11,   58,   10,   61,   10,   59,   11,   57,    1,   33,    0,   61
 208,   11,   55,   11,   57,   10,   50,    1,   44,   11,   58,    0,   58,   11,   63,    0,   38
 209,   11,   64,   11,   65,   10,   40,    1,   63,    0,   62,    1,   43,   11,   55,    0,   40
 210,   11,   65,   10,   41,   11,   58,    1,   43,    1,   40,   11,   54,   11,   59,   11,   64
 211,   10,   50,   10,   53,    1,   50,   11,   58,   11,   60,    1,   20,   10,   44,   11,   65
 212,    1,   32,    1,   25,   11,   63,   11,   54,   11,   63,   11,   65,    1,   16,   10,   52
 213,    0,   53,   11,   62,   11,   63,   11,   55,   10,   54,   11,   59,    1,   40,    1,   12
 214,    0,   27,    1,   47,   10,   53,   11,   55,    1,   41,   11,   64,   10,   55,   11,   63
 215,   10,   36,    1,   15,   11,   63,    1,   17,   10,   46,   10,   61,   10,   60,    0,   29
 216,    1,   37,   11,   56,   10,   52,   10,   36,    0,   22,    1,   44,   10,   55,    0,   59
 217,    1,   56,    0,   36,   10,   54,   10,   63,   11,   61,   10,   48,   10,   54,   11,   56
 218,    1,   21,    0,   19,    0,   54,    1,   28,    0,   45,    1,   14,    1,   55,   11,   65
 219,   11,   59,   11,   63,    1,   32,   10,   49,   10,   60,   11,   61,   10,   42,    1,   24
 220,   10,   52,    0,   25,    0,   23,   10,   55,   10,   59,   10,   43,   11,   58,    0,   28
 221,    1,   45,   11,   64,   11,   63,   10,   41,   10,   56,    1,   32,    1,   65,   10,   46
 222,    0,   34,    0,   57,    0,   36,   10,   43,    0,   64,   11,   54,   10,   37,    1,   17
 223,   11,   56,    1,   16,   11,   60,    1,   41,    0,   56,    1,   57,   10,   44,    1,   27
 224,   11,   64,   10,   56,    0,   56,    1,   26,    1,   60,    0,   65,    1,   45,   10,   37
 225,   11,   58,    1,   56,    1,   19,    0,   51,    0,   46,    0,   23,    1,   27,    0,   63
 226,   11,   65,   11,   64,   10,   48,   10,   51,    0,   55,    0,   49,   11,   60,    0,   35
 227,   10,   48,    0,   46,   11,   65,    0,   49,    0,   25,   10,   54,    0,   53,   11,   65
 228,    0,   50,   10,   56,   11,   57,   11,   55,    0,   62,    1,   50,    0,   46,    1,   51
 229,   10,   63,   11,   59,    0,   50,    1,   50,   11,   58,    1,   30,    1,   25,    1,   31
 230,    1,   63,    1,   12,   11,   60,    1,   54,    0,   59,    0,   19,    0,   58,    0,   61
 231,    1,   22,   10,   43,   10,   58,   10,   45,   10,   54,    0,   40,   10,   47,    0,   61
 232,    0,   59,    0,   65,   11,   55,   11,   62,   11,   59,    1,   54,   10,   52,   11,   63
 233,    1,   61,   10,   61,    0,   24,    0,   29,    0,   19,   10,   53,   10,   54,    1,   36
 234,    0,   47,   10,   54,   11,   62,    0,   47,   10,   56,   10,   58,    1,   42,   11,   57
 235,   10,   58,   11,   60,   11,   65,   10,   49,    0,   46,    1,   49,   10,   61,   10,   60
 236,   11,   65,    1,   43,   10,   53,   10,   64,    0,   32,    1,   39,   11,   59,    0,   59
 237,   10,   59,    1,   63,    1,   36,    1,   29,   11,   60,   10,   54,    1,   30,    0,   36
 238,    1,   30,   10,   56,   10,   42,    0,   64,    1,   37,    0,   50,    0,   20,    1,   64
 239,    1,   15,   10,   41,    1,   37,   10,   45,   11,   63,   10,   38,   11,   63,   11,   63
 240,    0,   61,    1,   26,    0,   25,    1,   24,   11,   54,    1,   32,   11,   64,    1,   48
 241,    1,   25,   10,   49,   10,   58,   10,   43,    0,   18,    1,   47,   11,   57,    0,   41
 242,    1,   30,    0,   42,    1,   50,   10,   47,    0,   64,    0,   53,   10,   36,   10,   65
 243,    0,   52,   10,   52,    1,   36,    0,   35,   10,   61,   10,   54,    0,   18,   11,   63
 244,   11,   55,   11,   57,   10,   36,   11,   65,   11,   55,    0,   44,    1,   13,    1,   54
 245,   11,   56,   11,   58,   11,   58,   11,   62,    1,   15,    0,   63,   10,   59,    0,   43
 246,   10,   64,   10,   63,    1,   43,   10,   38,    0,   30,    1,   21,    1,   17,    0,   59
 247,    0,   39,    0,   56,    1,   47,   11,   58,    0,   25,    1,   44,   10,   53,    0,   18
 248,    0,   39,   11,   60,   11,   64,   11,   57,   10,   48,   11,   61,    1,   62,   11,   59
 249,    1,   33,    1,   28,    0,   57,    0,   47,    0,   59,    0,   24,    0,   61,   11,   57
 250,   11,   60,    0,   45,    0,   51,    1,   32,   11,   61,   11,   56,    0,   58,   10,   39
 251,    1,   63,   10,   52,   11,   64,    1,   56,   11,   65,    1,   60,   11,   59,   10,   40
 252,   10,   47,   11,   58,   11,   57,    1,   33,   11,   56,   11,   63,   11,   62,    1,   62
 253,    0,   61,   10,   42,    1,   58,    0,   30,    0,   28,    0,   34,   11,   61,    0,   23
 254,   11,   57,    1,   22,    1,   63,    1,   34,    1,   44,   10,   43,    0,   44,   10,   37
 255,    1,   34,    1,   29,   10,   60,    0,   38,   10,   53,   11,   64,   10,   62,   11,   55
 256,    0,   36,    1,   13,   11,   60,   11,   64,   11,   58,   11,   62,    0,   44,    0,   48
 257,    1,   14,   11,   65,   10,   42,    1,   49,    0,   27,    0,   62,   11,   55,    0,   49
 258,   11,   56,   11,   59,   11,   54,   10,   48,   11,   65,    0,   54,    1,   59,   11,   65
 259,   10,   50,    0,   20,   11,   55,    1,   17,    0,   33,    0,   31,   11,   56,   11,   63
 260,    0,   36,    0,   33,    0,   24,   10,   37,    1,   41,    1,   25,   10,   38,    0,   32
 261,    1,   22,   10,   43,    1,   55,   10,   54,   11,   58,    1,   33,    0,   46,    1,   55
 262,   10,   46,   11,   57,    1,   58,   11,   56,    0,   45,    0,   57,    1,   51,    0,   56
 263,   10,   36,    0,   37,   10,   49,   10,   63,    1,   34,   11,   54,    1,   15,   10,   56
 264,   10,   54,   10,   36,   10,   54,   11,   63,    0,   46,    1,   27,    0,   23,    0,   29
 265,    1,   44,    1,   23,   10,   50,    0,   28,    1,   62,    1,   25,   11,   65,    0,   59
 266,    1,   25,   11,   60,   10,   56,    1,   49,   10,   60,    0,   32,   10,   55,   10,   60
 267,    1,   46,   10,   61,    1,   40,    0,   62,   11,   57,   11,   59,    1,   32,   10,   65
 268,   11,   64,    1,   22,    0,   63,    0,   28,   11,   64,    0,   43,    1,   58,   10,   50
 269,   10,   65,   10,   60,   11,   57,    1,   22,   10,   59,    1,   29,    1,   50,    0,   62
 270,   10,   53,    0,   22,    0,   47,   10,   40,   11,   57,    0,   32,   11,   59,   10,   44
