nExp,  A0x,  A0y,  A1x,  A1y 
 181,   10,   40,   11,   62
 182,   11,   58,   11,   59
 183,    1,   17,   11,   63
 184,    1,   36,    1,   13
 185,    0,   35,    0,   43
 186,    0,   27,   10,   58
 187,    1,   58,    1,   30
 188,   10,   37,   11,   54
 189,    1,   51,    0,   56
 190,   11,   59,    0,   21
 191,    0,   54,    1,   61
 192,    1,   16,    1,   52
 193,   11,   54,    0,   41
 194,    0,   59,   11,   57
 195,    1,   42,    1,   41
 196,    0,   32,    1,   44
 197,   10,   43,    0,   23
 198,   11,   55,   10,   43
 199,    1,   51,   10,   58
 200,   10,   61,    0,   48
 201,    0,   53,    1,   48
 202,   10,   55,    0,   57
 203,    0,   42,   10,   43
 204,   10,   44,    0,   56
 205,   10,   45,   10,   36
 206,    0,   36,   11,   60
 207,    0,   54,   11,   63
 208,   10,   56,    0,   53
 209,   11,   63,    1,   43
 210,   10,   63,    0,   58
 211,   10,   46,    1,   12
 212,    0,   49,   10,   50
 213,   11,   59,    1,   57
 214,    1,   44,   10,   60
 215,   11,   58,    0,   19
 216,   10,   64,    1,   35
 217,   10,   55,    1,   48
 218,    1,   31,   10,   57
 219,    0,   19,   10,   36
 220,    0,   28,   10,   37
 221,    0,   64,    1,   60
 222,    0,   38,    1,   21
 223,    1,   65,   10,   47
 224,    1,   26,   10,   58
 225,   10,   49,    0,   62
 226,    1,   33,    0,   24
 227,   11,   60,   10,   40
 228,    1,   57,   11,   56
 229,    0,   56,    0,   55
 230,   10,   41,    0,   62
 231,   10,   54,    1,   20
 232,   10,   43,   11,   62
 233,    0,   62,    0,   22
 234,    1,   20,    0,   35
 235,   10,   48,    1,   38
 236,    1,   28,   11,   60
 237,   11,   63,   10,   43
 238,   10,   49,   10,   48
 239,    1,   13,   10,   37
 240,   10,   53,   11,   57
 241,   10,   42,   10,   46
 242,   11,   65,    0,   45
 243,    1,   64,   11,   61
 244,   10,   56,    1,   61
 245,   11,   57,   10,   36
 246,   11,   60,   11,   58
 247,   10,   45,   11,   61
 248,   11,   54,    0,   20
 249,    0,   62,   11,   59
 250,   11,   63,   11,   62
 251,    0,   44,    1,   63
 252,    0,   26,   10,   40
 253,    0,   42,   11,   61
 254,   11,   57,    1,   35
 255,   11,   62,   11,   60
 256,   10,   65,    0,   55
 257,   11,   64,   11,   55
 258,   10,   63,   10,   46
 259,   11,   60,    1,   45
 260,   11,   56,    0,   43
 261,   11,   62,   10,   54
 262,    1,   51,    0,   60
 263,    1,   63,   11,   54
 264,    1,   52,    1,   39
 265,   11,   62,   11,   55
 266,   11,   65,   10,   64
 267,    1,   59,   11,   61
 268,    0,   19,    0,   30
 269,   11,   58,   11,   61
 270,    1,   59,    0,   40
 271,   11,   55,   10,   45
 272,    0,   40,   10,   37
 273,   10,   46,    0,   27
 274,    0,   43,    0,   62
 275,   11,   65,    1,   60
 276,   11,   63,    1,   48
 277,   10,   48,    1,   15
 278,    0,   24,    1,   46
 279,   11,   54,   11,   54
 280,   10,   58,   10,   64
 281,    1,   43,    0,   44
 282,   11,   56,    1,   49
 283,    1,   25,   11,   65
 284,    0,   61,   10,   37
 285,   10,   55,    0,   54
 286,   11,   54,   10,   49
 287,    0,   40,    0,   34
 288,   10,   50,   10,   52
 289,   11,   58,   11,   54
 290,    1,   31,    1,   57
 291,   10,   65,   11,   55
 292,    1,   13,   10,   36
 293,   11,   56,    1,   15
 294,    1,   33,    0,   54
 295,   10,   46,   11,   54
 296,    0,   35,   11,   63
 297,   10,   52,   11,   58
 298,    0,   56,    0,   36
 299,    1,   18,    1,   21
 300,   10,   55,    0,   39
 301,   10,   62,    1,   16
 302,    0,   59,   11,   64
 303,    1,   46,    0,   57
 304,    1,   63,    1,   13
 305,   11,   61,    1,   13
 306,    1,   20,   10,   40
 307,    0,   62,   10,   43
 308,   11,   61,   11,   59
 309,   11,   62,    0,   29
 310,    1,   21,    0,   28
 311,   11,   59,   11,   55
 312,   10,   36,   11,   54
 313,    1,   55,   11,   54
 314,   11,   60,    0,   55
 315,    0,   47,   11,   62
 316,    1,   13,    1,   61
 317,    1,   25,    0,   42
 318,   10,   38,    1,   47
 319,   11,   59,    1,   37
 320,    0,   36,   10,   47
 321,   10,   61,   11,   64
 322,    1,   13,   10,   50
 323,    0,   19,    1,   55
 324,   11,   55,   11,   54
 325,   10,   36,    1,   58
 326,    1,   61,   10,   54
 327,    0,   34,    1,   43
 328,   11,   57,   10,   64
 329,    1,   45,   11,   61
 330,   11,   56,   11,   56
 331,   10,   44,   10,   44
 332,    1,   48,    1,   51
 333,    1,   19,   10,   40
 334,    1,   33,    0,   52
 335,   10,   59,   10,   52
 336,    0,   27,    0,   43
 337,   11,   58,   11,   62
 338,   10,   46,    0,   64
 339,   11,   58,   11,   64
 340,    1,   39,    1,   49
 341,   11,   65,   10,   45
 342,   11,   65,    1,   63
 343,   10,   64,   11,   63
 344,   10,   40,    0,   46
 345,   10,   64,   10,   56
 346,   10,   42,   10,   65
 347,    0,   51,   10,   47
 348,   11,   54,   11,   63
 349,    1,   17,    1,   43
 350,    1,   38,   11,   65
 351,   10,   60,    0,   59
 352,   11,   56,   11,   64
 353,   11,   60,   10,   42
 354,   10,   48,    0,   24
 355,    1,   59,   10,   63
 356,   11,   55,   10,   46
 357,   10,   49,    1,   17
 358,   11,   59,   10,   50
 359,    0,   43,    0,   58
 360,   11,   55,    0,   21
 361,    1,   63,   10,   43
 362,    0,   23,    0,   56
 363,    0,   59,   11,   55
 364,   10,   36,   11,   60
 365,   11,   59,   10,   63
 366,   10,   62,    1,   17
 367,    0,   28,   11,   57
 368,    0,   41,   11,   60
 369,    1,   16,   10,   42
 370,    1,   32,   11,   56
 371,   11,   62,    1,   59
 372,    1,   32,    0,   55
 373,    1,   39,    1,   47
 374,    1,   61,    1,   31
 375,    1,   53,   11,   64
 376,    1,   27,    1,   30
 377,    0,   26,   11,   59
 378,    0,   36,    1,   39
 379,   11,   65,   10,   54
 380,   10,   51,    1,   28
 381,   10,   38,    1,   60
 382,    0,   64,   11,   60
 383,    0,   22,    0,   33
 384,    0,   56,    1,   24
 385,    0,   36,    0,   23
 386,   10,   64,    0,   53
 387,    0,   18,   11,   64
 388,    0,   26,    0,   62
 389,    1,   55,    1,   32
 390,   11,   61,    1,   43
 391,   10,   60,   10,   55
 392,   10,   38,   11,   62
 393,    1,   49,   10,   55
 394,    1,   42,   10,   42
 395,   10,   39,    0,   61
 396,    0,   60,    1,   36
 397,    1,   34,    1,   42
 398,    1,   56,    0,   29
 399,    1,   62,    0,   52
 400,    0,   37,   11,   59
 401,    1,   25,    1,   24
 402,    1,   47,   10,   63
 403,   11,   60,    0,   32
 404,   10,   56,   11,   55
 405,    0,   59,   11,   63
 406,    1,   48,    1,   22
 407,    1,   54,   11,   65
 408,   11,   62,   10,   57
 409,    0,   62,   10,   53
 410,    1,   46,   10,   62
 411,   10,   42,    1,   25
 412,   11,   64,   10,   41
 413,    0,   24,    1,   48
 414,    0,   50,   11,   63
 415,    1,   46,   11,   64
 416,    1,   49,    0,   44
 417,    1,   35,    1,   47
 418,   11,   59,    0,   54
 419,   11,   65,    1,   37
 420,   10,   62,   10,   36
 421,    0,   58,   10,   62
 422,    1,   23,    0,   65
 423,    0,   48,    1,   32
 424,   10,   38,   11,   59
 425,    0,   38,   11,   57
 426,   10,   59,    0,   64
 427,    0,   59,   10,   40
 428,    1,   44,    1,   57
 429,    0,   36,   10,   46
 430,   11,   57,    0,   25
 431,   10,   52,    0,   65
 432,    1,   29,   10,   36
 433,    1,   47,   11,   63
 434,   11,   55,    1,   13
 435,    1,   32,    1,   32
 436,   11,   56,   11,   60
 437,    1,   41,    0,   41
 438,    0,   59,    1,   30
 439,   11,   61,    1,   54
 440,    0,   45,   10,   61
 441,   10,   50,   10,   59
 442,    1,   42,   10,   65
 443,   10,   64,    1,   44
 444,   10,   46,    1,   64
 445,    1,   65,   11,   56
 446,   11,   65,    1,   47
 447,   11,   54,   11,   57
 448,   10,   64,    0,   47
 449,    1,   18,   10,   65
 450,   10,   46,    1,   34
 451,   10,   48,    0,   65
 452,   11,   56,    0,   38
 453,   10,   36,   11,   61
 454,    1,   59,   10,   45
 455,   10,   65,    0,   52
 456,   11,   62,    0,   46
 457,   11,   59,   10,   43
 458,    1,   55,    1,   36
 459,    0,   35,   10,   42
 460,   11,   58,    0,   32
 461,   11,   64,   11,   54
 462,   11,   60,    0,   29
 463,    1,   33,    1,   62
 464,    0,   52,   11,   58
 465,    0,   28,    1,   19
 466,   10,   43,    0,   29
 467,   11,   59,   11,   65
 468,    0,   44,   11,   60
 469,    0,   29,   11,   57
 470,   11,   63,   10,   57
 471,   11,   64,    0,   26
 472,   10,   42,   10,   50
 473,    0,   22,    0,   57
 474,    0,   64,   11,   62
 475,    1,   26,    1,   30
 476,    1,   51,   11,   55
 477,    0,   28,    0,   59
 478,   10,   38,    1,   36
 479,   11,   63,    0,   48
 480,   10,   36,    0,   50
 481,    1,   64,   10,   56
 482,    0,   41,   10,   61
 483,    0,   37,    1,   35
 484,    1,   27,   11,   64
 485,    1,   46,    1,   43
 486,   10,   51,   10,   58
 487,   11,   56,    0,   42
 488,   10,   60,   10,   63
 489,   11,   60,   11,   59
 490,    1,   35,    1,   47
 491,    0,   53,   11,   59
 492,    0,   27,    0,   30
 493,   11,   54,   11,   65
 494,    0,   26,   11,   58
 495,   11,   54,   11,   54
 496,   10,   63,   11,   57
 497,   11,   58,    1,   31
 498,    1,   43,   11,   62
 499,   11,   54,   10,   46
 500,    0,   62,    0,   26
 501,    0,   49,   10,   51
 502,   10,   64,   11,   64
 503,    0,   61,    0,   49
 504,   11,   60,    1,   29
 505,   11,   65,   10,   57
 506,    1,   19,   11,   61
 507,    1,   64,   10,   45
 508,   11,   54,   11,   55
 509,    0,   30,   10,   54
 510,    1,   20,   11,   63
 511,   10,   60,   11,   55
 512,   11,   64,   10,   50
 513,   10,   39,   11,   57
 514,   11,   61,   10,   52
 515,    0,   19,    0,   55
 516,    0,   23,    1,   64
 517,   11,   57,   11,   55
 518,    1,   43,   11,   54
 519,    1,   61,    0,   46
 520,    1,   42,   10,   48
 521,   11,   65,   11,   54
 522,   11,   64,    0,   63
 523,    0,   27,   11,   63
 524,   10,   44,    1,   33
 525,    0,   48,    0,   55
 526,    0,   18,    1,   53
 527,   11,   60,   11,   55
 528,    1,   51,    1,   19
 529,   10,   37,    1,   25
 530,    1,   38,   10,   38
 531,    1,   32,    1,   37
 532,    1,   15,    0,   48
 533,   11,   60,    0,   21
 534,    0,   36,   10,   55
 535,   10,   52,    1,   47
 536,   10,   48,   11,   62
 537,   11,   59,    1,   53
 538,    0,   36,   11,   58
 539,   10,   43,    0,   23
 540,    1,   45,   10,   51
 541,    0,   19,    1,   62
 542,    0,   30,    1,   61
 543,   11,   54,   10,   43
 544,   10,   58,   11,   62
 545,   11,   63,    0,   20
 546,   10,   51,   11,   55
 547,    1,   27,   11,   59
 548,   11,   62,   11,   61
 549,   11,   56,    1,   43
 550,   11,   60,   11,   61
 551,   10,   47,    1,   27
 552,    0,   64,   10,   61
 553,   11,   65,    0,   34
 554,   10,   45,    0,   54
 555,   10,   52,   10,   39
 556,   11,   59,   10,   54
 557,   10,   57,    0,   41
 558,    0,   36,   10,   46
 559,    1,   51,    0,   63
 560,   10,   40,   10,   38
 561,   10,   56,    1,   28
 562,   10,   64,   11,   58
 563,   11,   55,    0,   65
 564,   11,   61,   10,   45
 565,   11,   64,    1,   23
 566,   10,   57,   11,   63
 567,    0,   65,   11,   60
 568,    1,   51,   10,   38
 569,   10,   36,   11,   63
 570,   10,   38,   10,   47
 571,    0,   60,   11,   65
 572,   10,   61,    0,   32
 573,   11,   61,    0,   24
 574,    0,   41,    1,   51
 575,    1,   16,   11,   61
 576,   11,   56,   11,   54
 577,   10,   50,    0,   57
 578,    1,   60,   10,   61
 579,   11,   63,   10,   36
 580,    0,   27,   10,   36
 581,    0,   41,    0,   33
 582,    0,   26,    1,   59
 583,    0,   49,   10,   56
 584,    0,   34,    1,   41
 585,   11,   56,   10,   37
 586,    1,   63,   11,   55
 587,   11,   62,   11,   59
 588,    1,   60,   10,   58
 589,    0,   21,    1,   29
 590,   10,   46,   11,   62
 591,    1,   18,   10,   52
 592,    0,   19,   10,   51
 593,   10,   48,    1,   33
 594,    0,   43,    0,   50
 595,   10,   41,    0,   29
 596,   10,   48,   11,   60
 597,   10,   42,    0,   62
 598,    0,   24,    0,   45
 599,   10,   48,    1,   46
 600,    1,   55,   10,   54
 601,    0,   34,   11,   56
 602,   10,   65,    1,   39
 603,    0,   18,    0,   40
 604,   10,   61,    1,   29
 605,   10,   55,   10,   62
 606,    0,   23,    1,   45
 607,   10,   42,    0,   62
 608,    0,   18,    1,   39
 609,   10,   58,    0,   42
 610,    1,   51,    1,   55
 611,    0,   65,   10,   48
 612,   10,   47,    0,   39
 613,    1,   47,   10,   60
 614,    1,   20,    0,   45
 615,    1,   23,   11,   55
 616,   11,   60,   11,   64
 617,    1,   37,    0,   35
 618,   11,   55,    0,   20
 619,   11,   62,   10,   49
 620,    1,   43,   10,   59
 621,    0,   48,   10,   53
 622,   10,   51,   11,   61
 623,   10,   36,    0,   46
 624,   11,   55,   10,   40
 625,   11,   63,   10,   38
 626,    1,   26,    1,   54
 627,   10,   65,   10,   40
 628,   11,   54,    1,   46
 629,    1,   13,    1,   25
 630,   11,   61,    0,   59
 631,    0,   33,   11,   63
 632,    1,   40,   11,   62
 633,   10,   55,   11,   65
 634,    1,   36,   10,   43
 635,   10,   63,    1,   31
 636,    1,   32,   10,   37
 637,   11,   57,   10,   48
 638,   10,   53,   10,   40
 639,    0,   23,    1,   25
 640,    1,   37,   10,   39
 641,    1,   63,    0,   18
 642,    1,   50,   11,   55
 643,    0,   32,   10,   63
 644,    1,   54,    0,   48
 645,    0,   54,   11,   59
 646,   10,   46,   11,   58
 647,   10,   65,   10,   49
 648,    0,   63,   10,   57
 649,   10,   43,   10,   38
 650,    0,   58,   10,   45
 651,   10,   52,   10,   36
 652,    0,   22,   11,   59
 653,    0,   35,   10,   49
 654,   10,   64,    1,   17
 655,    0,   52,    1,   18
 656,   11,   64,    0,   47
 657,   10,   43,   11,   62
 658,    1,   20,    1,   56
 659,    0,   51,   10,   52
 660,    0,   23,    1,   46
 661,    1,   25,    1,   37
 662,   10,   52,    1,   34
 663,   11,   61,   11,   61
 664,    1,   39,    1,   58
 665,   10,   62,   10,   43
 666,    1,   20,   11,   64
 667,    1,   13,    1,   54
 668,   10,   56,    0,   22
 669,   10,   60,    0,   57
 670,   11,   61,   10,   36
 671,    1,   37,   11,   59
 672,    0,   45,    0,   65
 673,   10,   57,   10,   64
 674,    1,   27,    0,   19
 675,    1,   52,   10,   36
 676,   10,   60,   11,   63
 677,    1,   50,   10,   37
 678,    0,   34,   10,   47
 679,   10,   58,   11,   57
 680,   11,   60,   10,   55
 681,   10,   40,   10,   48
 682,   11,   62,   11,   65
 683,   11,   61,   10,   50
 684,    1,   34,   11,   61
 685,    0,   19,    1,   35
 686,    0,   28,    1,   32
 687,   10,   40,   11,   59
 688,    0,   22,   11,   54
 689,   10,   41,   10,   65
 690,   11,   59,    1,   27
 691,    1,   63,    0,   40
 692,   11,   55,    0,   57
 693,    1,   55,    1,   13
 694,   11,   57,    1,   15
 695,   10,   60,    0,   62
 696,   10,   52,    0,   60
 697,    1,   14,   11,   58
 698,    1,   15,    0,   20
 699,   11,   64,    1,   16
 700,    0,   63,   10,   59
 701,    0,   21,   11,   55
 702,   11,   65,    1,   18
 703,   10,   49,   10,   62
 704,   10,   40,    1,   57
 705,   10,   38,   10,   37
 706,   11,   56,   10,   65
 707,   11,   60,    1,   49
 708,   10,   63,    0,   51
 709,    0,   37,   11,   58
 710,    1,   31,    1,   12
 711,    0,   53,   10,   55
 712,    0,   23,    1,   38
 713,    0,   64,   11,   64
 714,    0,   49,   11,   57
 715,   11,   55,   11,   55
 716,    1,   22,    0,   50
 717,    0,   56,   11,   65
 718,   11,   65,   10,   36
 719,    1,   33,   11,   59
 720,    1,   55,   11,   54
 721,   11,   62,   11,   61
 722,    0,   50,    0,   65
 723,   11,   64,   10,   43
 724,   11,   63,   10,   41
 725,    0,   45,   10,   48
 726,   11,   62,    1,   13
 727,   10,   45,   11,   56
 728,   10,   41,   11,   61
 729,   11,   64,    1,   41
 730,    1,   45,    1,   56
 731,    1,   53,    0,   35
 732,    1,   60,   10,   58
 733,   10,   63,   10,   54
 734,   11,   63,    0,   59
 735,    0,   53,    1,   33
 736,    0,   38,   11,   63
 737,   10,   55,    0,   21
 738,   11,   64,    0,   61
 739,   10,   38,    0,   26
 740,    1,   60,    1,   41
 741,    1,   37,    1,   29
 742,    1,   27,   10,   36
 743,   11,   60,   10,   48
 744,   10,   58,   10,   64
 745,    1,   16,   11,   62
 746,    0,   41,   11,   65
 747,    1,   37,    1,   52
 748,   10,   50,    0,   46
 749,    0,   35,    1,   15
 750,    0,   55,    1,   18
 751,   11,   57,    1,   49
 752,    0,   55,   11,   59
 753,   10,   57,   11,   63
 754,    1,   39,    1,   40
 755,   11,   55,   11,   60
 756,    0,   62,    0,   19
 757,    1,   42,    0,   48
 758,   10,   52,    0,   35
 759,    0,   40,    1,   29
 760,   11,   61,    0,   49
 761,   11,   58,   11,   61
 762,    1,   33,    0,   38
 763,    1,   38,   10,   62
 764,    0,   56,   11,   61
 765,    0,   21,    0,   33
 766,    1,   55,    1,   20
 767,   11,   62,   11,   59
 768,    0,   46,    1,   29
 769,    0,   33,    1,   31
 770,   10,   39,    1,   52
 771,    1,   58,   11,   56
 772,   10,   55,    0,   44
 773,    1,   24,   10,   62
 774,   11,   55,    1,   16
 775,    1,   47,   10,   37
 776,    0,   48,   11,   61
 777,    0,   21,   10,   42
 778,   10,   45,   11,   64
 779,   10,   57,   11,   61
 780,   10,   48,   11,   56
 781,    0,   52,    0,   42
 782,   11,   58,   10,   62
 783,   10,   38,   10,   59
 784,   11,   59,    0,   34
 785,    1,   62,    0,   61
 786,    1,   17,   11,   55
 787,    0,   29,   10,   55
 788,   11,   61,   10,   50
 789,   10,   55,    1,   27
 790,   10,   54,    0,   27
 791,   10,   60,    1,   21
 792,    0,   43,   10,   54
 793,   10,   55,   11,   57
 794,   11,   56,    1,   38
 795,   10,   58,    0,   53
 796,   11,   54,   10,   36
 797,    0,   59,    0,   61
 798,   10,   58,   10,   58
 799,   10,   62,    1,   32
 800,   10,   51,   10,   47
 801,    1,   33,    0,   53
 802,   10,   62,   10,   48
 803,   11,   54,   10,   63
 804,   11,   57,    1,   27
 805,   11,   58,    1,   29
 806,    1,   58,    1,   40
 807,    1,   30,    1,   60
 808,    1,   49,    0,   61
 809,    1,   28,    1,   51
 810,   11,   63,    0,   64
 811,    1,   63,    0,   63
 812,    0,   59,    1,   57
 813,    0,   59,   10,   39
 814,   11,   59,    0,   58
 815,    0,   19,   10,   38
 816,   10,   38,   11,   55
 817,   10,   55,    1,   17
 818,    1,   30,   11,   56
 819,    0,   46,    1,   27
 820,    0,   58,    0,   61
 821,   11,   55,   11,   57
 822,   11,   57,    1,   50
 823,   10,   58,    1,   15
 824,    1,   59,   11,   65
 825,   10,   45,    1,   38
 826,    0,   59,    0,   33
 827,   11,   60,   11,   54
 828,   11,   61,   11,   62
 829,   11,   58,   10,   61
 830,   10,   59,   11,   57
 831,    1,   33,    0,   61
 832,   11,   55,   11,   57
 833,   10,   50,    1,   44
 834,   11,   58,    0,   58
 835,   11,   63,    0,   38
 836,   11,   64,   11,   65
 837,   10,   40,    1,   63
 838,    0,   62,    1,   43
 839,   11,   55,    0,   40
 840,   11,   65,   10,   41
 841,   11,   58,    1,   43
 842,    1,   40,   11,   54
 843,   11,   59,   11,   64
 844,   10,   50,   10,   53
 845,    1,   50,   11,   58
 846,   11,   60,    1,   20
 847,   10,   44,   11,   65
 848,    1,   32,    1,   25
 849,   11,   63,   11,   54
 850,   11,   63,   11,   65
 851,    1,   16,   10,   52
 852,    0,   53,   11,   62
 853,   11,   63,   11,   55
 854,   10,   54,   11,   59
 855,    1,   40,    1,   12
 856,    0,   27,    1,   47
 857,   10,   53,   11,   55
 858,    1,   41,   11,   64
 859,   10,   55,   11,   63
 860,   10,   36,    1,   15
 861,   11,   63,    1,   17
 862,   10,   46,   10,   61
 863,   10,   60,    0,   29
 864,    1,   37,   11,   56
 865,   10,   52,   10,   36
 866,    0,   22,    1,   44
 867,   10,   55,    0,   59
 868,    1,   56,    0,   36
 869,   10,   54,   10,   63
 870,   11,   61,   10,   48
 871,   10,   54,   11,   56
 872,    1,   21,    0,   19
 873,    0,   54,    1,   28
 874,    0,   45,    1,   14
 875,    1,   55,   11,   65
 876,   11,   59,   11,   63
 877,    1,   32,   10,   49
 878,   10,   60,   11,   61
 879,   10,   42,    1,   24
 880,   10,   52,    0,   25
 881,    0,   23,   10,   55
 882,   10,   59,   10,   43
 883,   11,   58,    0,   28
 884,    1,   45,   11,   64
 885,   11,   63,   10,   41
 886,   10,   56,    1,   32
 887,    1,   65,   10,   46
 888,    0,   34,    0,   57
 889,    0,   36,   10,   43
 890,    0,   64,   11,   54
 891,   10,   37,    1,   17
 892,   11,   56,    1,   16
 893,   11,   60,    1,   41
 894,    0,   56,    1,   57
 895,   10,   44,    1,   27
 896,   11,   64,   10,   56
 897,    0,   56,    1,   26
 898,    1,   60,    0,   65
 899,    1,   45,   10,   37
 900,   11,   58,    1,   56
 901,    1,   19,    0,   51
 902,    0,   46,    0,   23
 903,    1,   27,    0,   63
 904,   11,   65,   11,   64
 905,   10,   48,   10,   51
 906,    0,   55,    0,   49
 907,   11,   60,    0,   35
 908,   10,   48,    0,   46
 909,   11,   65,    0,   49
 910,    0,   25,   10,   54
 911,    0,   53,   11,   65
 912,    0,   50,   10,   56
 913,   11,   57,   11,   55
 914,    0,   62,    1,   50
 915,    0,   46,    1,   51
 916,   10,   63,   11,   59
 917,    0,   50,    1,   50
 918,   11,   58,    1,   30
 919,    1,   25,    1,   31
 920,    1,   63,    1,   12
 921,   11,   60,    1,   54
 922,    0,   59,    0,   19
 923,    0,   58,    0,   61
 924,    1,   22,   10,   43
 925,   10,   58,   10,   45
 926,   10,   54,    0,   40
 927,   10,   47,    0,   61
 928,    0,   59,    0,   65
 929,   11,   55,   11,   62
