nExp,  A0x,  A0y,  A1x,  A1y,  A2x,  A2y,  A3x,  A3y,  A4x,  A4y,  A5x,  A5y,  A6x,  A6y 
  73,   11,   60,   10,   65,    0,   55,   11,   64,   11,   55,   10,   63,   10,   46
  74,   11,   60,    1,   45,   11,   56,    0,   43,   11,   62,   10,   54,    1,   51
  75,    0,   60,    1,   63,   11,   54,    1,   52,    1,   39,   11,   62,   11,   55
  76,   11,   65,   10,   64,    1,   59,   11,   61,    0,   19,    0,   30,   11,   58
  77,   11,   61,    1,   59,    0,   40,   11,   55,   10,   45,    0,   40,   10,   37
  78,   10,   46,    0,   27,    0,   43,    0,   62,   11,   65,    1,   60,   11,   63
  79,    1,   48,   10,   48,    1,   15,    0,   24,    1,   46,   11,   54,   11,   54
  80,   10,   58,   10,   64,    1,   43,    0,   44,   11,   56,    1,   49,    1,   25
  81,   11,   65,    0,   61,   10,   37,   10,   55,    0,   54,   11,   54,   10,   49
  82,    0,   40,    0,   34,   10,   50,   10,   52,   11,   58,   11,   54,    1,   31
  83,    1,   57,   10,   65,   11,   55,    1,   13,   10,   36,   11,   56,    1,   15
  84,    1,   33,    0,   54,   10,   46,   11,   54,    0,   35,   11,   63,   10,   52
  85,   11,   58,    0,   56,    0,   36,    1,   18,    1,   21,   10,   55,    0,   39
  86,   10,   62,    1,   16,    0,   59,   11,   64,    1,   46,    0,   57,    1,   63
  87,    1,   13,   11,   61,    1,   13,    1,   20,   10,   40,    0,   62,   10,   43
  88,   11,   61,   11,   59,   11,   62,    0,   29,    1,   21,    0,   28,   11,   59
  89,   11,   55,   10,   36,   11,   54,    1,   55,   11,   54,   11,   60,    0,   55
  90,    0,   47,   11,   62,    1,   13,    1,   61,    1,   25,    0,   42,   10,   38
  91,    1,   47,   11,   59,    1,   37,    0,   36,   10,   47,   10,   61,   11,   64
  92,    1,   13,   10,   50,    0,   19,    1,   55,   11,   55,   11,   54,   10,   36
  93,    1,   58,    1,   61,   10,   54,    0,   34,    1,   43,   11,   57,   10,   64
  94,    1,   45,   11,   61,   11,   56,   11,   56,   10,   44,   10,   44,    1,   48
  95,    1,   51,    1,   19,   10,   40,    1,   33,    0,   52,   10,   59,   10,   52
  96,    0,   27,    0,   43,   11,   58,   11,   62,   10,   46,    0,   64,   11,   58
  97,   11,   64,    1,   39,    1,   49,   11,   65,   10,   45,   11,   65,    1,   63
  98,   10,   64,   11,   63,   10,   40,    0,   46,   10,   64,   10,   56,   10,   42
  99,   10,   65,    0,   51,   10,   47,   11,   54,   11,   63,    1,   17,    1,   43
 100,    1,   38,   11,   65,   10,   60,    0,   59,   11,   56,   11,   64,   11,   60
 101,   10,   42,   10,   48,    0,   24,    1,   59,   10,   63,   11,   55,   10,   46
 102,   10,   49,    1,   17,   11,   59,   10,   50,    0,   43,    0,   58,   11,   55
 103,    0,   21,    1,   63,   10,   43,    0,   23,    0,   56,    0,   59,   11,   55
 104,   10,   36,   11,   60,   11,   59,   10,   63,   10,   62,    1,   17,    0,   28
 105,   11,   57,    0,   41,   11,   60,    1,   16,   10,   42,    1,   32,   11,   56
 106,   11,   62,    1,   59,    1,   32,    0,   55,    1,   39,    1,   47,    1,   61
 107,    1,   31,    1,   53,   11,   64,    1,   27,    1,   30,    0,   26,   11,   59
 108,    0,   36,    1,   39,   11,   65,   10,   54,   10,   51,    1,   28,   10,   38
 109,    1,   60,    0,   64,   11,   60,    0,   22,    0,   33,    0,   56,    1,   24
 110,    0,   36,    0,   23,   10,   64,    0,   53,    0,   18,   11,   64,    0,   26
 111,    0,   62,    1,   55,    1,   32,   11,   61,    1,   43,   10,   60,   10,   55
 112,   10,   38,   11,   62,    1,   49,   10,   55,    1,   42,   10,   42,   10,   39
 113,    0,   61,    0,   60,    1,   36,    1,   34,    1,   42,    1,   56,    0,   29
 114,    1,   62,    0,   52,    0,   37,   11,   59,    1,   25,    1,   24,    1,   47
 115,   10,   63,   11,   60,    0,   32,   10,   56,   11,   55,    0,   59,   11,   63
 116,    1,   48,    1,   22,    1,   54,   11,   65,   11,   62,   10,   57,    0,   62
 117,   10,   53,    1,   46,   10,   62,   10,   42,    1,   25,   11,   64,   10,   41
 118,    0,   24,    1,   48,    0,   50,   11,   63,    1,   46,   11,   64,    1,   49
 119,    0,   44,    1,   35,    1,   47,   11,   59,    0,   54,   11,   65,    1,   37
 120,   10,   62,   10,   36,    0,   58,   10,   62,    1,   23,    0,   65,    0,   48
 121,    1,   32,   10,   38,   11,   59,    0,   38,   11,   57,   10,   59,    0,   64
 122,    0,   59,   10,   40,    1,   44,    1,   57,    0,   36,   10,   46,   11,   57
 123,    0,   25,   10,   52,    0,   65,    1,   29,   10,   36,    1,   47,   11,   63
 124,   11,   55,    1,   13,    1,   32,    1,   32,   11,   56,   11,   60,    1,   41
 125,    0,   41,    0,   59,    1,   30,   11,   61,    1,   54,    0,   45,   10,   61
 126,   10,   50,   10,   59,    1,   42,   10,   65,   10,   64,    1,   44,   10,   46
 127,    1,   64,    1,   65,   11,   56,   11,   65,    1,   47,   11,   54,   11,   57
 128,   10,   64,    0,   47,    1,   18,   10,   65,   10,   46,    1,   34,   10,   48
 129,    0,   65,   11,   56,    0,   38,   10,   36,   11,   61,    1,   59,   10,   45
 130,   10,   65,    0,   52,   11,   62,    0,   46,   11,   59,   10,   43,    1,   55
 131,    1,   36,    0,   35,   10,   42,   11,   58,    0,   32,   11,   64,   11,   54
 132,   11,   60,    0,   29,    1,   33,    1,   62,    0,   52,   11,   58,    0,   28
 133,    1,   19,   10,   43,    0,   29,   11,   59,   11,   65,    0,   44,   11,   60
 134,    0,   29,   11,   57,   11,   63,   10,   57,   11,   64,    0,   26,   10,   42
 135,   10,   50,    0,   22,    0,   57,    0,   64,   11,   62,    1,   26,    1,   30
 136,    1,   51,   11,   55,    0,   28,    0,   59,   10,   38,    1,   36,   11,   63
 137,    0,   48,   10,   36,    0,   50,    1,   64,   10,   56,    0,   41,   10,   61
 138,    0,   37,    1,   35,    1,   27,   11,   64,    1,   46,    1,   43,   10,   51
 139,   10,   58,   11,   56,    0,   42,   10,   60,   10,   63,   11,   60,   11,   59
 140,    1,   35,    1,   47,    0,   53,   11,   59,    0,   27,    0,   30,   11,   54
 141,   11,   65,    0,   26,   11,   58,   11,   54,   11,   54,   10,   63,   11,   57
 142,   11,   58,    1,   31,    1,   43,   11,   62,   11,   54,   10,   46,    0,   62
 143,    0,   26,    0,   49,   10,   51,   10,   64,   11,   64,    0,   61,    0,   49
 144,   11,   60,    1,   29,   11,   65,   10,   57,    1,   19,   11,   61,    1,   64
 145,   10,   45,   11,   54,   11,   55,    0,   30,   10,   54,    1,   20,   11,   63
 146,   10,   60,   11,   55,   11,   64,   10,   50,   10,   39,   11,   57,   11,   61
 147,   10,   52,    0,   19,    0,   55,    0,   23,    1,   64,   11,   57,   11,   55
 148,    1,   43,   11,   54,    1,   61,    0,   46,    1,   42,   10,   48,   11,   65
 149,   11,   54,   11,   64,    0,   63,    0,   27,   11,   63,   10,   44,    1,   33
 150,    0,   48,    0,   55,    0,   18,    1,   53,   11,   60,   11,   55,    1,   51
 151,    1,   19,   10,   37,    1,   25,    1,   38,   10,   38,    1,   32,    1,   37
 152,    1,   15,    0,   48,   11,   60,    0,   21,    0,   36,   10,   55,   10,   52
 153,    1,   47,   10,   48,   11,   62,   11,   59,    1,   53,    0,   36,   11,   58
 154,   10,   43,    0,   23,    1,   45,   10,   51,    0,   19,    1,   62,    0,   30
 155,    1,   61,   11,   54,   10,   43,   10,   58,   11,   62,   11,   63,    0,   20
 156,   10,   51,   11,   55,    1,   27,   11,   59,   11,   62,   11,   61,   11,   56
 157,    1,   43,   11,   60,   11,   61,   10,   47,    1,   27,    0,   64,   10,   61
 158,   11,   65,    0,   34,   10,   45,    0,   54,   10,   52,   10,   39,   11,   59
 159,   10,   54,   10,   57,    0,   41,    0,   36,   10,   46,    1,   51,    0,   63
 160,   10,   40,   10,   38,   10,   56,    1,   28,   10,   64,   11,   58,   11,   55
 161,    0,   65,   11,   61,   10,   45,   11,   64,    1,   23,   10,   57,   11,   63
 162,    0,   65,   11,   60,    1,   51,   10,   38,   10,   36,   11,   63,   10,   38
 163,   10,   47,    0,   60,   11,   65,   10,   61,    0,   32,   11,   61,    0,   24
 164,    0,   41,    1,   51,    1,   16,   11,   61,   11,   56,   11,   54,   10,   50
 165,    0,   57,    1,   60,   10,   61,   11,   63,   10,   36,    0,   27,   10,   36
 166,    0,   41,    0,   33,    0,   26,    1,   59,    0,   49,   10,   56,    0,   34
 167,    1,   41,   11,   56,   10,   37,    1,   63,   11,   55,   11,   62,   11,   59
 168,    1,   60,   10,   58,    0,   21,    1,   29,   10,   46,   11,   62,    1,   18
 169,   10,   52,    0,   19,   10,   51,   10,   48,    1,   33,    0,   43,    0,   50
 170,   10,   41,    0,   29,   10,   48,   11,   60,   10,   42,    0,   62,    0,   24
 171,    0,   45,   10,   48,    1,   46,    1,   55,   10,   54,    0,   34,   11,   56
 172,   10,   65,    1,   39,    0,   18,    0,   40,   10,   61,    1,   29,   10,   55
 173,   10,   62,    0,   23,    1,   45,   10,   42,    0,   62,    0,   18,    1,   39
 174,   10,   58,    0,   42,    1,   51,    1,   55,    0,   65,   10,   48,   10,   47
 175,    0,   39,    1,   47,   10,   60,    1,   20,    0,   45,    1,   23,   11,   55
 176,   11,   60,   11,   64,    1,   37,    0,   35,   11,   55,    0,   20,   11,   62
 177,   10,   49,    1,   43,   10,   59,    0,   48,   10,   53,   10,   51,   11,   61
 178,   10,   36,    0,   46,   11,   55,   10,   40,   11,   63,   10,   38,    1,   26
 179,    1,   54,   10,   65,   10,   40,   11,   54,    1,   46,    1,   13,    1,   25
 180,   11,   61,    0,   59,    0,   33,   11,   63,    1,   40,   11,   62,   10,   55
 181,   11,   65,    1,   36,   10,   43,   10,   63,    1,   31,    1,   32,   10,   37
 182,   11,   57,   10,   48,   10,   53,   10,   40,    0,   23,    1,   25,    1,   37
 183,   10,   39,    1,   63,    0,   18,    1,   50,   11,   55,    0,   32,   10,   63
 184,    1,   54,    0,   48,    0,   54,   11,   59,   10,   46,   11,   58,   10,   65
 185,   10,   49,    0,   63,   10,   57,   10,   43,   10,   38,    0,   58,   10,   45
 186,   10,   52,   10,   36,    0,   22,   11,   59,    0,   35,   10,   49,   10,   64
 187,    1,   17,    0,   52,    1,   18,   11,   64,    0,   47,   10,   43,   11,   62
 188,    1,   20,    1,   56,    0,   51,   10,   52,    0,   23,    1,   46,    1,   25
 189,    1,   37,   10,   52,    1,   34,   11,   61,   11,   61,    1,   39,    1,   58
 190,   10,   62,   10,   43,    1,   20,   11,   64,    1,   13,    1,   54,   10,   56
 191,    0,   22,   10,   60,    0,   57,   11,   61,   10,   36,    1,   37,   11,   59
 192,    0,   45,    0,   65,   10,   57,   10,   64,    1,   27,    0,   19,    1,   52
 193,   10,   36,   10,   60,   11,   63,    1,   50,   10,   37,    0,   34,   10,   47
 194,   10,   58,   11,   57,   11,   60,   10,   55,   10,   40,   10,   48,   11,   62
 195,   11,   65,   11,   61,   10,   50,    1,   34,   11,   61,    0,   19,    1,   35
 196,    0,   28,    1,   32,   10,   40,   11,   59,    0,   22,   11,   54,   10,   41
 197,   10,   65,   11,   59,    1,   27,    1,   63,    0,   40,   11,   55,    0,   57
 198,    1,   55,    1,   13,   11,   57,    1,   15,   10,   60,    0,   62,   10,   52
 199,    0,   60,    1,   14,   11,   58,    1,   15,    0,   20,   11,   64,    1,   16
 200,    0,   63,   10,   59,    0,   21,   11,   55,   11,   65,    1,   18,   10,   49
 201,   10,   62,   10,   40,    1,   57,   10,   38,   10,   37,   11,   56,   10,   65
 202,   11,   60,    1,   49,   10,   63,    0,   51,    0,   37,   11,   58,    1,   31
 203,    1,   12,    0,   53,   10,   55,    0,   23,    1,   38,    0,   64,   11,   64
 204,    0,   49,   11,   57,   11,   55,   11,   55,    1,   22,    0,   50,    0,   56
 205,   11,   65,   11,   65,   10,   36,    1,   33,   11,   59,    1,   55,   11,   54
 206,   11,   62,   11,   61,    0,   50,    0,   65,   11,   64,   10,   43,   11,   63
 207,   10,   41,    0,   45,   10,   48,   11,   62,    1,   13,   10,   45,   11,   56
 208,   10,   41,   11,   61,   11,   64,    1,   41,    1,   45,    1,   56,    1,   53
 209,    0,   35,    1,   60,   10,   58,   10,   63,   10,   54,   11,   63,    0,   59
 210,    0,   53,    1,   33,    0,   38,   11,   63,   10,   55,    0,   21,   11,   64
 211,    0,   61,   10,   38,    0,   26,    1,   60,    1,   41,    1,   37,    1,   29
 212,    1,   27,   10,   36,   11,   60,   10,   48,   10,   58,   10,   64,    1,   16
 213,   11,   62,    0,   41,   11,   65,    1,   37,    1,   52,   10,   50,    0,   46
 214,    0,   35,    1,   15,    0,   55,    1,   18,   11,   57,    1,   49,    0,   55
 215,   11,   59,   10,   57,   11,   63,    1,   39,    1,   40,   11,   55,   11,   60
 216,    0,   62,    0,   19,    1,   42,    0,   48,   10,   52,    0,   35,    0,   40
 217,    1,   29,   11,   61,    0,   49,   11,   58,   11,   61,    1,   33,    0,   38
 218,    1,   38,   10,   62,    0,   56,   11,   61,    0,   21,    0,   33,    1,   55
 219,    1,   20,   11,   62,   11,   59,    0,   46,    1,   29,    0,   33,    1,   31
 220,   10,   39,    1,   52,    1,   58,   11,   56,   10,   55,    0,   44,    1,   24
 221,   10,   62,   11,   55,    1,   16,    1,   47,   10,   37,    0,   48,   11,   61
 222,    0,   21,   10,   42,   10,   45,   11,   64,   10,   57,   11,   61,   10,   48
 223,   11,   56,    0,   52,    0,   42,   11,   58,   10,   62,   10,   38,   10,   59
 224,   11,   59,    0,   34,    1,   62,    0,   61,    1,   17,   11,   55,    0,   29
 225,   10,   55,   11,   61,   10,   50,   10,   55,    1,   27,   10,   54,    0,   27
 226,   10,   60,    1,   21,    0,   43,   10,   54,   10,   55,   11,   57,   11,   56
 227,    1,   38,   10,   58,    0,   53,   11,   54,   10,   36,    0,   59,    0,   61
 228,   10,   58,   10,   58,   10,   62,    1,   32,   10,   51,   10,   47,    1,   33
 229,    0,   53,   10,   62,   10,   48,   11,   54,   10,   63,   11,   57,    1,   27
 230,   11,   58,    1,   29,    1,   58,    1,   40,    1,   30,    1,   60,    1,   49
 231,    0,   61,    1,   28,    1,   51,   11,   63,    0,   64,    1,   63,    0,   63
 232,    0,   59,    1,   57,    0,   59,   10,   39,   11,   59,    0,   58,    0,   19
 233,   10,   38,   10,   38,   11,   55,   10,   55,    1,   17,    1,   30,   11,   56
 234,    0,   46,    1,   27,    0,   58,    0,   61,   11,   55,   11,   57,   11,   57
 235,    1,   50,   10,   58,    1,   15,    1,   59,   11,   65,   10,   45,    1,   38
 236,    0,   59,    0,   33,   11,   60,   11,   54,   11,   61,   11,   62,   11,   58
 237,   10,   61,   10,   59,   11,   57,    1,   33,    0,   61,   11,   55,   11,   57
 238,   10,   50,    1,   44,   11,   58,    0,   58,   11,   63,    0,   38,   11,   64
 239,   11,   65,   10,   40,    1,   63,    0,   62,    1,   43,   11,   55,    0,   40
 240,   11,   65,   10,   41,   11,   58,    1,   43,    1,   40,   11,   54,   11,   59
 241,   11,   64,   10,   50,   10,   53,    1,   50,   11,   58,   11,   60,    1,   20
 242,   10,   44,   11,   65,    1,   32,    1,   25,   11,   63,   11,   54,   11,   63
 243,   11,   65,    1,   16,   10,   52,    0,   53,   11,   62,   11,   63,   11,   55
 244,   10,   54,   11,   59,    1,   40,    1,   12,    0,   27,    1,   47,   10,   53
 245,   11,   55,    1,   41,   11,   64,   10,   55,   11,   63,   10,   36,    1,   15
 246,   11,   63,    1,   17,   10,   46,   10,   61,   10,   60,    0,   29,    1,   37
 247,   11,   56,   10,   52,   10,   36,    0,   22,    1,   44,   10,   55,    0,   59
 248,    1,   56,    0,   36,   10,   54,   10,   63,   11,   61,   10,   48,   10,   54
 249,   11,   56,    1,   21,    0,   19,    0,   54,    1,   28,    0,   45,    1,   14
 250,    1,   55,   11,   65,   11,   59,   11,   63,    1,   32,   10,   49,   10,   60
 251,   11,   61,   10,   42,    1,   24,   10,   52,    0,   25,    0,   23,   10,   55
 252,   10,   59,   10,   43,   11,   58,    0,   28,    1,   45,   11,   64,   11,   63
 253,   10,   41,   10,   56,    1,   32,    1,   65,   10,   46,    0,   34,    0,   57
 254,    0,   36,   10,   43,    0,   64,   11,   54,   10,   37,    1,   17,   11,   56
 255,    1,   16,   11,   60,    1,   41,    0,   56,    1,   57,   10,   44,    1,   27
 256,   11,   64,   10,   56,    0,   56,    1,   26,    1,   60,    0,   65,    1,   45
 257,   10,   37,   11,   58,    1,   56,    1,   19,    0,   51,    0,   46,    0,   23
 258,    1,   27,    0,   63,   11,   65,   11,   64,   10,   48,   10,   51,    0,   55
 259,    0,   49,   11,   60,    0,   35,   10,   48,    0,   46,   11,   65,    0,   49
 260,    0,   25,   10,   54,    0,   53,   11,   65,    0,   50,   10,   56,   11,   57
 261,   11,   55,    0,   62,    1,   50,    0,   46,    1,   51,   10,   63,   11,   59
 262,    0,   50,    1,   50,   11,   58,    1,   30,    1,   25,    1,   31,    1,   63
 263,    1,   12,   11,   60,    1,   54,    0,   59,    0,   19,    0,   58,    0,   61
 264,    1,   22,   10,   43,   10,   58,   10,   45,   10,   54,    0,   40,   10,   47
 265,    0,   61,    0,   59,    0,   65,   11,   55,   11,   62,   11,   59,    1,   54
 266,   10,   52,   11,   63,    1,   61,   10,   61,    0,   24,    0,   29,    0,   19
 267,   10,   53,   10,   54,    1,   36,    0,   47,   10,   54,   11,   62,    0,   47
 268,   10,   56,   10,   58,    1,   42,   11,   57,   10,   58,   11,   60,   11,   65
 269,   10,   49,    0,   46,    1,   49,   10,   61,   10,   60,   11,   65,    1,   43
 270,   10,   53,   10,   64,    0,   32,    1,   39,   11,   59,    0,   59,   10,   59
 271,    1,   63,    1,   36,    1,   29,   11,   60,   10,   54,    1,   30,    0,   36
 272,    1,   30,   10,   56,   10,   42,    0,   64,    1,   37,    0,   50,    0,   20
 273,    1,   64,    1,   15,   10,   41,    1,   37,   10,   45,   11,   63,   10,   38
 274,   11,   63,   11,   63,    0,   61,    1,   26,    0,   25,    1,   24,   11,   54
 275,    1,   32,   11,   64,    1,   48,    1,   25,   10,   49,   10,   58,   10,   43
 276,    0,   18,    1,   47,   11,   57,    0,   41,    1,   30,    0,   42,    1,   50
 277,   10,   47,    0,   64,    0,   53,   10,   36,   10,   65,    0,   52,   10,   52
 278,    1,   36,    0,   35,   10,   61,   10,   54,    0,   18,   11,   63,   11,   55
 279,   11,   57,   10,   36,   11,   65,   11,   55,    0,   44,    1,   13,    1,   54
 280,   11,   56,   11,   58,   11,   58,   11,   62,    1,   15,    0,   63,   10,   59
 281,    0,   43,   10,   64,   10,   63,    1,   43,   10,   38,    0,   30,    1,   21
 282,    1,   17,    0,   59,    0,   39,    0,   56,    1,   47,   11,   58,    0,   25
 283,    1,   44,   10,   53,    0,   18,    0,   39,   11,   60,   11,   64,   11,   57
 284,   10,   48,   11,   61,    1,   62,   11,   59,    1,   33,    1,   28,    0,   57
 285,    0,   47,    0,   59,    0,   24,    0,   61,   11,   57,   11,   60,    0,   45
 286,    0,   51,    1,   32,   11,   61,   11,   56,    0,   58,   10,   39,    1,   63
 287,   10,   52,   11,   64,    1,   56,   11,   65,    1,   60,   11,   59,   10,   40
 288,   10,   47,   11,   58,   11,   57,    1,   33,   11,   56,   11,   63,   11,   62
 289,    1,   62,    0,   61,   10,   42,    1,   58,    0,   30,    0,   28,    0,   34
 290,   11,   61,    0,   23,   11,   57,    1,   22,    1,   63,    1,   34,    1,   44
 291,   10,   43,    0,   44,   10,   37,    1,   34,    1,   29,   10,   60,    0,   38
 292,   10,   53,   11,   64,   10,   62,   11,   55,    0,   36,    1,   13,   11,   60
 293,   11,   64,   11,   58,   11,   62,    0,   44,    0,   48,    1,   14,   11,   65
 294,   10,   42,    1,   49,    0,   27,    0,   62,   11,   55,    0,   49,   11,   56
 295,   11,   59,   11,   54,   10,   48,   11,   65,    0,   54,    1,   59,   11,   65
 296,   10,   50,    0,   20,   11,   55,    1,   17,    0,   33,    0,   31,   11,   56
 297,   11,   63,    0,   36,    0,   33,    0,   24,   10,   37,    1,   41,    1,   25
 298,   10,   38,    0,   32,    1,   22,   10,   43,    1,   55,   10,   54,   11,   58
 299,    1,   33,    0,   46,    1,   55,   10,   46,   11,   57,    1,   58,   11,   56
 300,    0,   45,    0,   57,    1,   51,    0,   56,   10,   36,    0,   37,   10,   49
 301,   10,   63,    1,   34,   11,   54,    1,   15,   10,   56,   10,   54,   10,   36
 302,   10,   54,   11,   63,    0,   46,    1,   27,    0,   23,    0,   29,    1,   44
 303,    1,   23,   10,   50,    0,   28,    1,   62,    1,   25,   11,   65,    0,   59
 304,    1,   25,   11,   60,   10,   56,    1,   49,   10,   60,    0,   32,   10,   55
 305,   10,   60,    1,   46,   10,   61,    1,   40,    0,   62,   11,   57,   11,   59
 306,    1,   32,   10,   65,   11,   64,    1,   22,    0,   63,    0,   28,   11,   64
