nExp, valid,  A0
 525,     0, -11
 526,     0, -43
 527,     0, -15
 528,     0, -11
 529,     0, -10
 530,     0, -19
 531,     0, -23
 532,     0, -11
 533,     1,  66
 534,     0, -11
 535,     0, -11
 536,     0, -10
 537,     0, -11
 538,     1,  58
 539,     0, -23
 540,     0, -42
 541,     0, -27
 542,     0, -23
 543,     0, -43
 544,     0, -23
 545,     0, -31
 546,     1,  65
 547,     1,  79
 548,     1,  90
 549,     0, -11
 550,     1,  66
 551,     0, -43
 552,     1,  53
 553,     0, -11
 554,     0, -14
 555,     0, -19
 556,     0, -23
 557,     0, -43
 558,     0, -35
 559,     1,  59
 560,     1,  59
 561,     0, -11
 562,     1,  81
 563,     1,  86
 564,     0, -23
 565,     0, -11
 566,     0, -11
 567,     0, -19
 568,     0, -11
 569,     0, -42
 570,     1,  54
 571,     1,  84
 572,     0, -11
 573,     0, -34
 574,     0, -11
 575,     0, -11
 576,     1,  72
 577,     0, -11
 578,     0, -11
 579,     0, -10
 580,     0, -11
 581,     0, -39
 582,     0, -31
 583,     0, -11
 584,     0, -43
 585,     1,  70
 586,     0, -10
 587,     0, -11
 588,     0, -19
 589,     0, -15
 590,     1,  60
 591,     0, -10
 592,     0, -43
 593,     1,  66
 594,     1,  72
 595,     0, -35
 596,     0, -23
 597,     0, -11
 598,     0, -11
 599,     0, -11
 600,     0, -10
 601,     0, -11
 602,     0, -11
 603,     0, -35
 604,     0, -43
 605,     1,  70
 606,     0, -43
 607,     0, -10
 608,     0, -11
 609,     0, -27
 610,     0, -11
 611,     0, -35
 612,     0, -11
 613,     0, -10
 614,     1,  74
 615,     1,  69
 616,     0, -47
 617,     0, -31
 618,     0, -26
 619,     1,  83
 620,     0, -39
 621,     0, -11
 622,     0, -27
 623,     1,  59
 624,     1,  74
 625,     0, -34
 626,     0, -43
 627,     0, -11
 628,     0, -11
 629,     0, -47
 630,     1,  81
 631,     0, -11
 632,     0, -43
 633,     0, -43
 634,     1,  93
 635,     0, -11
 636,     0, -43
 637,     0, -27
 638,     0, -11
 639,     0, -35
 640,     0, -42
 641,     1,  64
 642,     0, -31
 643,     0, -11
 644,     0, -27
 645,     0, -10
 646,     0, -11
 647,     0, -43
 648,     0, -11
 649,     0, -35
 650,     0, -11
 651,     0, -42
 652,     0, -35
 653,     0, -11
 654,     0, -11
 655,     0, -43
 656,     1,  71
 657,     0, -15
 658,     0, -42
 659,     0, -11
 660,     0, -47
 661,     1,  71
 662,     1,  69
 663,     0, -11
 664,     0, -11
 665,     1,  85
 666,     0, -11
 667,     0, -11
 668,     1,  79
 669,     0, -11
 670,     0, -27
 671,     0, -11
 672,     1,  84
 673,     0, -11
 674,     1,  58
 675,     0, -19
 676,     1,  65
 677,     0, -11
 678,     1,  71
 679,     1,  70
 680,     0, -11
 681,     1,  76
 682,     1,  62
 683,     1,  73
 684,     0, -11
 685,     0, -39
 686,     0, -11
 687,     0, -11
 688,     0, -18
 689,     0, -43
 690,     1,  66
 691,     0, -11
 692,     0, -31
 693,     0, -31
 694,     0, -11
 695,     0, -18
 696,     0, -15
 697,     0, -43
 698,     0, -11
 699,     0, -11
 700,     0, -31
 701,     0, -14
 702,     0, -11
 703,     0, -43
 704,     0, -11
 705,     1,  58
 706,     0, -11
 707,     1,  65
 708,     0, -11
 709,     0, -27
 710,     0, -23
 711,     0, -15
 712,     1,  72
 713,     0, -39
 714,     1,  64
 715,     0, -43
 716,     0, -11
 717,     0, -31
 718,     0, -11
 719,     0, -10
 720,     0, -31
 721,     0, -15
 722,     0, -11
 723,     0, -11
 724,     0, -43
 725,     0, -42
 726,     0, -39
 727,     0, -23
 728,     0, -11
 729,     0, -23
 730,     0, -11
 731,     0, -30
 732,     0, -15
 733,     0, -11
 734,     0, -23
 735,     0, -23
 736,     1,  78
 737,     0, -47
 738,     0, -19
 739,     0, -35
 740,     1,  79
 741,     0, -27
 742,     0, -11
 743,     0, -43
 744,     0, -34
 745,     1,  75
 746,     0, -11
 747,     0, -11
 748,     0, -46
 749,     0, -27
 750,     0, -11
 751,     0, -11
 752,     0, -39
 753,     1,  79
 754,     0, -10
 755,     0, -11
 756,     0, -11
 757,     0, -11
 758,     0, -11
 759,     0, -51
 760,     1,  72
 761,     0, -18
 762,     0, -39
 763,     0, -43
 764,     0, -43
 765,     0, -47
 766,     0, -11
 767,     0, -10
 768,     0, -43
 769,     1,  80
 770,     0, -31
 771,     0, -39
 772,     0, -15
 773,     0, -11
 774,     0, -10
 775,     0, -43
 776,     0, -35
 777,     0, -11
 778,     0, -43
 779,     0, -11
 780,     0, -10
 781,     0, -11
 782,     0, -11
 783,     0, -15
 784,     0, -43
 785,     0, -31
 786,     0, -42
 787,     0, -15
 788,     0, -43
 789,     0, -11
 790,     0, -27
 791,     1,  87
 792,     0, -11
 793,     1,  87
 794,     0, -35
 795,     0, -27
 796,     0, -11
 797,     0, -26
 798,     0, -11
 799,     1,  76
 800,     1,  82
 801,     0, -11
 802,     0, -11
 803,     0, -23
 804,     1,  81
 805,     1,  58
 806,     1,  58
 807,     0, -11
 808,     0, -11
 809,     1,  59
 810,     0, -11
 811,     0, -22
 812,     0, -43
 813,     1,  84
 814,     0, -43
 815,     0, -10
 816,     1,  66
 817,     0, -11
 818,     0, -35
 819,     0, -11
 820,     0, -15
 821,     0, -10
 822,     0, -11
 823,     0, -11
 824,     0, -31
 825,     0, -19
 826,     0, -31
 827,     0, -10
 828,     0, -11
 829,     1,  70
 830,     0, -11
 831,     1,  66
 832,     0, -11
 833,     0, -11
 834,     0, -19
 835,     0, -10
 836,     0, -31
 837,     0, -11
 838,     0, -31
 839,     0, -11
 840,     0, -11
 841,     0, -10
 842,     0, -11
 843,     0, -11
 844,     0, -11
 845,     0, -43
 846,     0, -11
 847,     0, -10
 848,     0, -39
 849,     0, -47
 850,     0, -27
 851,     0, -19
 852,     0, -11
 853,     1,  87
 854,     1,  87
 855,     0, -11
 856,     1,  82
 857,     0, -11
 858,     1,  78
 859,     1,  73
 860,     1,  62
 861,     0, -26
 862,     0, -11
 863,     0, -11
 864,     0, -35
 865,     0, -31
 866,     0, -11
 867,     0, -10
 868,     1,  71
 869,     0, -35
 870,     0, -11
 871,     0, -11
 872,     0, -10
 873,     0, -27
 874,     0, -43
 875,     0, -27
 876,     0, -39
 877,     0, -23
 878,     0, -10
 879,     0, -43
 880,     0, -11
 881,     0, -23
 882,     0, -11
 883,     0, -11
 884,     0, -18
 885,     0, -11
 886,     0, -11
 887,     0, -11
 888,     1,  60
 889,     0, -38
 890,     0, -51
 891,     0, -31
 892,     0, -11
 893,     0, -11
 894,     0, -11
 895,     1,  63
 896,     0, -11
 897,     0, -43
 898,     1,  94
 899,     1,  53
 900,     0, -31
 901,     0, -11
 902,     0, -43
 903,     0, -42
 904,     0, -23
 905,     0, -23
 906,     1,  70
 907,     1,  58
 908,     0, -43
 909,     0, -11
 910,     0, -11
 911,     0, -10
 912,     0, -27
 913,     0, -11
 914,     0, -47
 915,     0, -11
 916,     0, -11
 917,     1,  91
 918,     0, -11
 919,     0, -15
 920,     0, -14
 921,     0, -35
 922,     1,  53
 923,     0, -19
 924,     1,  67
 925,     0, -15
 926,     0, -11
 927,     0, -11
 928,     0, -11
 929,     1,  63
 930,     0, -11
 931,     0, -11
 932,     0, -27
 933,     0, -23
 934,     1,  63
 935,     0, -11
 936,     1,  81
 937,     0, -11
 938,     0, -11
 939,     0, -10
 940,     0, -11
 941,     0, -11
 942,     0, -11
 943,     0, -11
 944,     1,  65
 945,     0, -11
 946,     1,  89
 947,     1,  87
 948,     0, -38
 949,     0, -19
 950,     0, -31
 951,     0, -11
 952,     0, -43
 953,     1,  59
 954,     1,  88
 955,     1,  83
 956,     0, -11
 957,     0, -11
 958,     0, -27
 959,     0, -11
 960,     0, -10
 961,     0, -11
 962,     0, -19
 963,     0, -35
 964,     0, -11
 965,     0, -11
 966,     0, -42
 967,     1,  86
 968,     0, -34
 969,     0, -27
 970,     0, -27
 971,     1,  81
 972,     0, -10
 973,     0, -47
 974,     0, -11
 975,     0, -11
 976,     0, -11
 977,     0, -47
 978,     0, -10
 979,     0, -31
 980,     0, -23
 981,     0, -43
 982,     0, -43
 983,     0, -31
 984,     0, -34
 985,     1,  87
 986,     1,  71
 987,     1,  70
 988,     0, -11
 989,     0, -10
 990,     1,  63
 991,     0, -11
 992,     0, -11
 993,     1,  59
 994,     0, -11
 995,     0, -11
 996,     0, -31
 997,     0, -23
 998,     0, -11
 999,     1,  69
