nExp, valid,  A0,  A1,  A2,  A3,  A4,  A5,  A6,  A7,  A8,  A9
 120,     1,  -6,  -6,  -6,  -6,  -6,  82, -14,  -6,  -6,  -6
 121,     1, -41, -17,  -9,  -9,  -9, -37,  -9,  -9,  67, -13
 122,     1,  -7,  -7, -11,  -7, -27,  -7,  -7,  -7,  -7,  81
 123,     1, -15, -11,  -3,  -7,  -7, -11,  -3,  93,  -3,  -3
 124,     1, -26,  -6,  -6,  -6,  -6,  -6,  70,  -6, -10,  -6
 125,     1,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  90,  -2
 126,     1, -19,  -7,  -7,  -7,  -7,  -7, -23, -11,  -7,  65
 127,     1, -20, -12,  -8,  -4, -16,  -4,  -4,  -4,  88,  -4
 128,     1,  -6,  74, -14,  -6, -30,  -6,  -6,  -6,  -6, -18
 129,     1, -38, -22, -10, -10, -10, -10,  74, -14, -22, -10
 130,     0, -43, -27, -11, -11, -11, -47, -15, -11, -27, -43
 131,     1,  -8, -28, -36,  -8,  -8, -28, -24, -36,  -8,  68
 132,     1,  -7,  81, -15,  -7,  -7, -15,  -7, -19, -35, -19
 133,     1,  -2,  -2,  -2,  -2,  94,  -2,  -2,  -2,  -2,  -2
 134,     1,  -6,  -6,  86,  -6, -22,  -6, -30,  -6,  -6,  -6
 135,     1,  -7,  -7,  -7, -11,  85,  -7,  -7, -31, -15, -15
 136,     1, -27,  -7,  73,  -7,  -7,  -7, -19, -35, -31, -19
 137,     1,  89,  -3,  -3,  -3, -11,  -7,  -3,  -3,  -3,  -3
 138,     1,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  94
 139,     1, -41, -33,  -9, -29,  -9,  67,  -9,  -9,  -9,  -9
 140,     1,  -7,  -7,  -7,  -7, -31,  -7, -35, -23,  69,  -7
 141,     1,  -6,  70,  -6,  -6,  -6, -30, -14,  -6, -10,  -6
 142,     1,  -4,  -4, -12,  -4,  92,  -8,  -4,  -4,  -4,  -4
 143,     1,  -3,  -3,  85,  -3,  -3,  -3,  -3,  -3,  -3,  -3
 144,     1,  88,  -8, -12, -24,  -8, -36,  -8,  -8, -32,  -8
 145,     1,  -2,  -2,  -2,  90, -10,  -2,  -2,  -2,  -2,  -2
 146,     1, -11, -11, -11, -43, -39, -47,  53, -51, -11, -43
 147,     1, -38, -10, -10,  58, -10, -14, -18, -34, -10, -10
 148,     1, -10, -10, -10, -42, -10, -10,  58, -10, -10, -46
 149,     1,  85,  -3,  -3, -11,  -3,  -3,  -3, -11,  -3,  -3
 150,     1,  -9,  -9,  67, -41, -13, -21,  -9, -29,  -9, -17
 151,     0, -27, -11, -11, -11, -23, -23, -11, -31, -11, -27
 152,     1, -19,  89,  -7,  -7,  -7,  -7,  -7, -31, -31,  -7
 153,     1,  -5,  79,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5
 154,     1,  -3, -11,  -3,  -3,  -3, -11,  -3,  -3,  -3,  93
 155,     1,  -9, -21, -37, -37, -13, -33,  -9,  -9,  67, -21
 156,     1,  -5, -17, -13,  -5, -17,  -5,  -5, -21, -13,  87
 157,     1,  -3,  -3,  85,  -3,  -3,  -3, -11,  -3,  -3,  -3
 158,     1,  -3,  -3, -11,  89,  -3,  -3,  -7,  -7,  -3, -15
 159,     1,  67,  -9, -25, -21, -29, -41,  67, -13, -41,  -9
 160,     1, -10, -30, -42, -42, -10, -10, -26, -10,  62, -26
 161,     1, -12,  -4,  -4,  -4,  84,  -4,  -8,  -4,  -4,  -4
 162,     1, -41,  -9,  -9, -37,  -9,  87, -25,  -9,  -9,  -9
 163,     1,  93, -11,  -3,  -3,  -7,  -3, -11,  -3,  -3,  -3
 164,     1,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  90,  -6,  -2
 165,     1,  60, -12, -12, -36, -12,  -8,  -8, -32,  -8, -24
 166,     1,  -9, -13,  -9, -25,  59, -37,  -9,  -9, -33,  -9
 167,     1,  62, -42, -42, -26, -22, -10, -10, -42, -10, -10
 168,     1,  70, -42, -26, -10, -22, -10, -18, -38, -26, -30
 169,     1, -10, -10, -18, -38, -10, -18, -10, -14,  58, -10
 170,     1, -29, -33, -33,  63, -37, -29,  -9,  -9, -41,  -9
 171,     1,  78,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6, -14
 172,     1,  74, -18,  -6,  -6,  -6,  -6,  -6, -14,  -6, -18
 173,     1, -26,  -6,  -6,  -6,  -6,  -6,  -6,  82,  -6, -26
 174,     1, -23,  -7, -35,  -7, -23, -23, -27,  -7,  77,  -7
 175,     1, -43,  53, -27, -15, -11, -11, -11, -47, -43, -35
 176,     1,  60, -12,  -8,  72,  -8, -16, -24, -20,  -8, -32
 177,     1,  -5,  -9, -13,  79,  -5, -25,  -5,  -5,  -5,  -5
 178,     1,  -3,  -3,  -3,  -3,  -3,  93,  -3,  -3,  -3,  -3
 179,     1,  -8,  -4,  -4, -20,  -4,  88, -20,  -4, -12,  -4
 180,     1,  -8,  -4,  -4,  -4,  -4,  -4,  80,  -4,  -8, -12
 181,     1, -13,  59, -33, -17,  -9, -17,  -9,  -9, -17,  -9
 182,     1, -11,  -7,  -7, -27,  89,  -7,  -7, -15, -11,  -7
 183,     1, -17,  -5, -25,  -5,  -5,  -9, -17,  79,  -5,  -5
 184,     1,  -3,  -3,  -7,  -3,  -3,  -3,  -7,  -3,  93,  -3
 185,     1, -33, -21,  -9, -37,  -9,  -9,  79, -41,  -9, -25
 186,     1,  -3,  -3,  -3,  -3,  -3,  -7,  -3,  -3,  93,  -3
 187,     1,  -9,  -9,  -9, -21, -41, -17,  67, -21, -21,  -9
 188,     1,  -9, -21,  -9,  -9,  -9,  -9,  -9,  71, -21,  -9
 189,     1,  67, -33, -25, -37,  -9,  -9,  -9, -37,  -9,  -9
 190,     1, -21,  -5,  79,  -5,  -5,  -5, -21,  -5,  -5,  -5
 191,     1, -10, -10, -10, -42, -10, -10, -42, -38,  66, -14
 192,     1, -15,  -7, -19,  -7,  -7,  -7,  -7,  89, -11,  -7
 193,     1,  71, -33,  -9, -17,  -9,  -9,  -9,  -9,  -9,  -9
 194,     0, -10, -42, -42, -22, -10, -10, -18, -14, -10, -26
 195,     1, -11,  53, -31, -31, -43, -11, -31, -15, -35, -11
 196,     1, -21,  -9,  -9, -21, -37,  -9,  71, -13, -41, -21
 197,     1,  -5,  -5,  79,  -5,  -5,  -5,  -5,  -5,  -5,  -5
 198,     1,  84,  -4,  -4,  -4,  -4, -16,  -4,  -4,  -4,  -4
 199,     0, -35, -11, -11, -39, -43, -11, -19, -23, -11, -27
 200,     1, -41,  -9,  -9, -13,  -9,  -9, -41,  -9,  87, -41
 201,     1, -36, -16, -36,  -8, -28,  -8,  68, -12,  -8,  -8
 202,     1,  -4,  -8,  -4,  -4,  -4,  -4,  -4,  92,  84,  -4
 203,     1, -42, -10,  62, -10, -34, -22, -42, -10, -10, -10
 204,     1,  -6, -10,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  90
 205,     1, -10, -10, -10, -10, -26, -10, -10,  58, -10, -10
 206,     1,  79,  -5,  -5,  -5,  -9,  -9,  -5,  -5,  -5, -13
 207,     0, -15, -15, -27, -27, -11, -31, -23, -11, -11, -47
 208,     1,  -4,  -4,  84,  -4,  -4,  -4,  -4,  -4,  -4,  -4
 209,     1,  -5, -25,  -5,  87, -17, -17,  -5,  -5,  -5,  -5
 210,     1, -10, -34, -38, -42, -10, -42, -22,  54, -26, -10
 211,     0, -39, -11, -51, -15, -31, -27, -11, -27, -31, -11
 212,     1,  -4,  -4, -16, -16, -16,  -4, -16,  -4,  84,  -4
 213,     1, -10, -10, -46, -10, -14,  62, -42, -30, -26, -10
 214,     1,  -3,  -3,  -3,  -3,  -3,  89, -11,  -3,  -3,  -3
 215,     1, -20,  -4,  -4,  -4, -16,  80,  -8,  -4,  -4,  -8
 216,     1, -10, -10,  -6,  74,  -6,  -6, -10,  -6,  -6,  -6
 217,     1,  -3,  -3,  -7,  -3,  -3,  89,  -3,  -3,  -3, -11
 218,     1, -25, -25,  -9,  -9, -17, -25, -41,  87,  -9, -29
 219,     1,  -5,  -5, -21,  -5, -21,  -5,  -9,  -5, -25,  79
 220,     1,  -5,  -5, -13,  -5,  -5,  -5, -17,  -5,  -5,  79
 221,     1, -11, -35, -27, -11, -27, -11, -35, -43, -39,  53
 222,     1,  84,  -4, -12, -20,  -4,  -4,  -8, -20, -16,  -4
 223,     0, -11, -35, -43, -11, -11, -27, -11, -31, -43, -15
 224,     1,  85,  -3, -11,  -3,  -3,  -3,  -7,  -3, -11,  -3
 225,     1,  -6,  74,  -6,  -6, -18,  -6,  -6,  -6, -14, -26
 226,     1,  -4,  -4,  -4,  84, -16,  -4,  -4,  -8,  -4,  -4
 227,     1, -11,  -3,  93, -15,  -7,  -3,  -3,  -7,  -3,  -3
 228,     1,  91,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5, -13
 229,     0, -11, -11, -31, -15, -15, -11, -11, -43, -39, -43
 230,     1, -30, -10, -10, -10, -42, -10,  62, -42, -10, -10
 231,     1, -22, -34, -14, -10,  62, -10, -22, -10, -42, -10
 232,     1,  -5,  -5,  79, -13, -13,  -9,  -5,  -5,  -5, -13
 233,     1,  69, -19,  -7,  -7, -15, -15,  -7,  -7, -27, -23
 234,     1,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  88
 235,     1, -10, -10,  54, -42, -42, -10, -42, -42, -22, -14
 236,     1, -24, -28,  -8,  60,  -8,  -8,  -8, -12, -32,  -8
 237,     1,  89,  -3,  -3,  -3, -11,  -3,  -3,  -3,  -3,  -7
 238,     1,  -3, -15,  89, -11,  -3,  -3,  -3,  -3,  -7, -15
 239,     1,  -8,  -8, -36, -28, -36,  -8, -40,  84,  -8,  -8
 240,     1, -18,  70,  90,  -6,  -6, -14, -14,  -6,  -6,  -6
 241,     1,  -6,  -6, -18,  86, -14,  -6,  -6,  -6,  -6, -14
 242,     1,  77,  -7,  -7, -23,  -7,  -7, -35,  -7,  -7,  -7
 243,     1, -10, -10, -30, -42, -22,  66, -42, -38, -38, -10
 244,     1, -18, -30, -10, -18, -18, -42,  58, -10, -10, -30
 245,     1,  92,  -4,  -8,  -4,  -4,  -4,  -4,  -4,  -4,  -4
 246,     1,  -5,  -5,  -5, -21,  -5,  -5,  -5,  87,  -5, -17
 247,     1,  -4, -16,  -4,  -4,  -8,  -4,  92, -20,  -4,  -8
 248,     1, -22,  -6, -14,  -6, -14,  -6, -10,  -6,  86,  -6
 249,     1,  -6,  -6, -18,  -6,  78,  -6, -18,  -6,  -6, -18
 250,     1,  -4,  -4,  -4,  84, -20,  -4,  -4,  -4,  -4,  -4
 251,     1,  71,  -9, -29,  -9,  -9,  -9,  -9, -41,  -9, -21
 252,     1,  -8,  84,  -4,  -4, -12,  -4, -12,  -4, -12,  -4
 253,     1, -11,  69,  -7, -31,  -7, -11, -11, -35,  -7,  -7
 254,     1, -17, -21,  -5,  -5,  -5,  -5, -13,  -5,  -5,  79
 255,     1, -42, -14, -38,  54, -10, -18, -18, -10, -10, -10
 256,     1,  -6, -22,  -6, -30, -18, -22,  -6,  -6, -14,  90
 257,     1,  -5,  -9,  -5,  -5,  79,  -5, -21,  -5,  -9,  -5
 258,     1,  -3,  89,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3
 259,     1,  80,  -4, -12,  -4,  -4,  -4, -20,  -4,  -4,  -4
 260,     1, -27,  -7,  -7,  -7,  -7,  -7,  -7,  77,  -7,  -7
 261,     1, -18, -10, -10, -42, -42, -14, -10, -10, -14,  62
 262,     1, -12,  -4,  -4,  -4,  -4,  -4,  80,  -4,  -4,  -4
 263,     1,  -6, -22,  -6, -18, -10,  -6,  -6,  -6,  -6,  86
 264,     1,  70, -22, -42, -22, -10, -10, -10, -10, -42, -10
 265,     1,  89,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3
 266,     1,  -3,  -3,  93,  -3,  -3,  -3,  -3, -11,  -7, -11
 267,     1,  88,  -8,  -8,  -8, -36, -36, -32,  -8, -36,  -8
 268,     1,  -7,  -7, -23,  89,  -7,  -7,  -7,  -7,  -7,  -7
 269,     1, -41,  79, -17, -41, -37,  -9, -13,  -9, -41, -13
 270,     1,  -8, -32, -36, -12,  -8,  -8, -32,  -8,  76,  -8
 271,     0, -11, -15, -11, -23, -11, -31, -11, -43, -11, -27
 272,     1,  -5,  -5,  -5,  79,  87,  -5,  -5,  -5,  -5,  -5
 273,     1, -26, -18, -14, -10, -10, -10, -10,  66, -38, -18
 274,     1,  -9, -37,  59, -25, -29,  -9,  -9,  -9, -41,  -9
 275,     1,  -5,  -5,  -9,  -5,  -9,  -5,  -5,  -5,  -5,  79
 276,     1,  -5,  79,  -5, -13,  -5, -13, -21,  -5,  -5, -17
 277,     1, -14,  86, -14, -26, -10,  -6,  -6,  -6,  -6,  -6
 278,     0, -19, -23, -43, -31, -31, -11, -11, -11, -27, -35
 279,     1,  -8,  -8, -36,  -8,  80, -40,  -8, -16, -28,  -8
 280,     1,  -7,  -7, -11, -27,  85,  -7, -19,  -7,  -7,  -7
 281,     1, -21, -21,  -5,  -5,  -5,  -5,  79,  -5,  -5,  -5
 282,     1, -11, -11, -27, -11, -31, -39, -11,  53, -31, -11
 283,     1,  -9,  -9,  71,  -9, -17,  -9,  83,  -9, -21,  -9
 284,     1, -31,  -7,  -7,  -7,  89, -23,  -7, -23,  -7,  -7
 285,     1, -10, -10, -10,  70, -22, -14, -42, -18, -22, -10
 286,     1,  -8,  -4,  84, -12,  -4,  -4,  -4,  -4,  -4, -12
 287,     1,  -7,  81, -27,  -7,  -7,  -7, -35,  -7,  -7,  -7
 288,     1,  -7, -19,  -7,  -7, -19,  77,  -7, -35, -11,  -7
 289,     1,  -4,  -4,  -8, -20, -16, -20,  -4, -12,  88,  -4
 290,     0, -11, -11, -31, -43, -11, -35, -39, -11, -31, -43
 291,     1, -22, -26, -10, -10,  62, -10, -38, -10, -10, -10
 292,     1,  -6,  -6, -10, -10,  -6,  78,  -6, -14,  -6, -14
 293,     1,  -9,  -9,  -9,  -9, -29, -41,  -9, -29,  -9,  71
 294,     1,  -4,  -4,  -4,  -4,  -4,  92,  -4,  -4,  -4,  -4
 295,     1, -26,  -6,  -6,  -6,  -6,  -6,  70, -18, -14, -14
 296,     1, -31, -11, -15,  -7, -31, -19,  -7, -15,  -7,  65
 297,     1, -22, -10, -10, -42, -30, -10, -10,  62, -18, -22
 298,     1,  88,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4
 299,     1, -16, -16, -16,  -4,  -4,  -4,  -4,  -4,  92,  -4
 300,     0, -27, -19, -51, -11, -43, -31, -11, -11, -11, -11
 301,     1, -14,  -6,  -6,  -6,  -6, -18,  86, -22, -14,  -6
 302,     1, -20,  -8,  88, -32,  -8, -36, -20,  -8,  -8, -32
 303,     1,  65,  -7,  -7,  -7, -11,  -7,  -7,  -7, -15,  -7
 304,     1,  93,  -3,  -3,  -7,  -3,  -3,  -3,  -3,  -3,  -3
 305,     1,  -7,  81,  -7, -15,  -7,  -7,  -7,  -7,  -7,  -7
 306,     1,  -3,  93,  -3,  -7,  -3,  -3,  -3,  -3,  -3, -15
 307,     1,  -6,  -6,  -6, -10,  -6, -26, -10, -22, -18,  82
 308,     1,  -5,  -5,  79, -21,  -5,  -5,  -5, -13,  -5,  -5
 309,     1, -11, -15,  -3,  -3,  -3,  -3, -11,  93,  -3, -11
 310,     1,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  82
 311,     1, -11,  -7, -31,  -7,  77,  -7,  -7,  -7, -19, -19
 312,     1,  -5,  -5,  79,  -5,  -5,  -5,  -5,  -5,  -5,  -5
 313,     1,  -5,  -5,  -5,  -5,  -9,  -9, -13, -25,  87,  -5
 314,     1,  -6,  -6, -30, -18,  -6,  -6,  82,  -6, -14, -14
 315,     1, -27,  -7, -31, -27, -35,  -7, -19,  -7, -23,  65
 316,     1, -16,  -4,  84,  -4, -12,  -4,  -4,  -4, -16,  -4
 317,     1, -27,  -7,  -7,  -7, -27,  -7, -23,  77,  -7, -15
 318,     1, -10, -46,  58, -14, -10, -34, -10, -18, -10, -42
 319,     1,  -5,  83,  -5,  -5,  -5,  -5,  -5,  -5, -13,  -5
 320,     1,  -7,  -7,  -7,  -7,  -7,  65,  -7, -27,  -7,  -7
 321,     1,  -6, -10,  -6,  -6,  -6,  90,  -6, -22,  -6,  -6
 322,     1,  -9,  -9,  -9, -41, -29,  71,  -9,  -9,  -9,  -9
 323,     1,  -2,  -2,  94,  -2,  -2,  -6,  -2,  -2,  -2,  -2
 324,     1,  -4,  -4,  -4, -12,  -8,  -4,  84,  -4,  -4,  -4
 325,     1,  -4,  -4,  -4,  -4,  -4,  -4,  -8,  -4,  84,  -4
 326,     1,  -8,  -8, -32, -12, -24,  -8,  64,  -8, -16, -12
 327,     1,  -8, -36, -32,  -8,  68, -16, -32, -28, -20, -20
 328,     1,  -9, -29, -13,  -9,  -9,  -9,  67, -13,  -9, -21
 329,     1, -10, -10, -38, -18, -26,  66, -10, -26, -10, -42
 330,     1,  -3,  89,  -3,  -3, -11, -11,  -3, -11, -11,  -3
 331,     1, -10, -30, -22, -10,  78, -10, -22, -42, -30, -38
 332,     1,  -2,  -2,  -2,  -2,  -2,  90,  -2,  -2,  -2,  -2
 333,     1,  -5,  -5, -17, -21,  87,  -5,  -5, -13,  -5,  -9
 334,     1, -15,  81,  -7,  -7, -23, -31,  -7, -15,  -7,  -7
 335,     0, -11, -11, -11, -43, -31, -11, -31, -43, -11, -11
 336,     1, -21,  91, -17,  -5,  -5,  -5,  -5,  -5,  -5,  -5
 337,     1,  -8, -12, -24, -40,  -8,  76,  -8, -16,  -8,  -8
