nExp, valid,  A0,  A1,  A2,  A3,  A4,  A5,  A6,  A7,  A8,  A9,  A10,  A11,  A12,  A13,  A14,  A15,  A16,  A17,  A18,  A19
  35,     1, -16,  -4, -16,  -4,  -4,  -4,  -4, -16,  -4,  88,  -4, -16,  -4,  -4,  -8,  -4,  -4, -20,  -8,  -4
  36,     1, -25, -29, -17,  -9,  -9,  -9, -41,  67,  -9, -17, -29, -37,  -9,  -9, -29, -13,  -9,  -9, -25,  -9
  37,     1, -16,  -4,  -4,  -4,  -8,  -4,  -4,  -4, -16,  -4,  -4,  -4, -16,  -4,  92, -12,  -4, -16,  -4, -12
  38,     1, -11,  -3,  -3, -15,  -3,  -3,  93,  -3,  -3,  -3,  -3,  -7,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3
  39,     1,  -5,  -5,  -5,  -5, -21,  -5, -21,  -5,  -9,  -5, -17, -13, -21, -25,  83,  -5,  -5,  -5,  -5,  -5
  40,     1, -13,  -5, -25,  -5, -17,  -5,  -5,  91,  -5,  -5, -21,  -5,  -9,  -5,  -5,  -5,  -5,  -5, -13, -17
  41,     1, -26,  -6, -26,  -6,  -6,  -6,  -6,  -6, -18,  -6,  -6,  -6,  -6,  -6, -26,  -6,  -6, -10,  -6,  78
  42,     1,  -4, -20,  -4,  -4,  88,  -4,  -4, -20,  -4, -16,  -4,  -4, -20,  -4,  -4,  -4,  -4,  -4,  -4, -20
  43,     1, -16,  -4,  -4,  -4,  92,  -4,  -8, -12, -16, -12,  -4,  -4,  -4,  -4,  -8,  -4,  -4,  -4,  -4,  -4
  44,     1, -22,  -6,  -6,  -6,  90, -30, -26, -30, -10, -18,  -6,  -6,  -6, -26,  -6,  -6, -30, -22,  -6, -18
  45,     1,  -7, -11, -35,  -7, -31, -31, -19, -27,  -7,  -7, -35,  -7, -23,  -7,  -7,  -7, -27,  -7, -31,  69
  46,     1,  -4,  -4,  -4, -12,  -4,  92,  -4,  -8, -16, -16,  -4,  -4,  -4, -12,  -4,  -8,  -4,  -4,  -4,  -8
  47,     1,  -4, -16,  -4,  -4,  -4,  -4,  84,  -4, -16,  -4, -16, -12,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4
  48,     1,  -6, -10,  -6, -14,  90,  -6,  -6, -10,  -6,  -6,  -6, -10,  -6,  -6, -18,  -6,  -6, -30, -26,  -6
  49,     1, -20,  -4,  -4,  -4,  -4, -16, -16,  -4,  92,  -4, -12,  -8,  -4,  -4,  -4,  -4,  -4,  -8,  -4,  -4
  50,     1, -12,  -8,  -8,  -8, -24,  -8, -36,  80,  -8, -40, -24, -12, -16, -24,  -8, -20, -28, -28,  -8, -24
  51,     1, -14,  -6, -22,  -6,  -6,  -6,  -6,  -6, -14,  -6, -14,  -6,  -6,  -6,  -6,  -6,  86,  -6, -30,  -6
  52,     1, -32, -40,  -8,  -8,  -8,  -8, -20,  -8,  -8, -20,  76,  -8,  -8, -40, -12, -36, -40, -28, -12,  -8
  53,     1,  -3,  -7,  -3,  -3,  -7,  -7,  -3,  93,  -3, -15,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3
  54,     1,  89, -11, -23,  -7,  -7,  -7,  -7, -31, -11,  -7, -27,  -7, -35, -11,  -7,  -7,  -7, -23, -23,  -7
  55,     1, -31,  -7,  -7, -11, -27,  -7,  -7,  -7,  -7,  -7,  -7,  -7,  -7, -19,  -7,  -7,  -7,  73, -11, -31
  56,     1, -22,  -6,  -6,  -6, -18,  -6,  -6,  -6, -22, -30, -14,  -6,  -6,  -6, -18, -22,  -6,  -6,  70, -18
  57,     1,  70,  -6, -26, -18, -18,  -6,  -6,  -6,  -6, -30, -18,  -6, -14,  -6, -22,  -6, -10,  -6,  -6, -10
  58,     1,  -5,  -5,  -5, -17,  79,  -5,  -9,  -5,  -5,  -5,  -5,  -5,  -9,  -5,  -5,  -5, -25,  -5,  -5,  -5
  59,     1,  -7, -11,  -7, -35, -15, -15, -27, -35, -27,  -7,  -7, -11, -11, -19,  -7, -19,  -7, -11,  -7,  81
  60,     1,  -6,  -6,  -6,  -6,  -6,  78, -22,  -6,  -6,  -6, -18,  -6, -14,  -6, -30,  -6,  -6,  -6,  -6, -14
  61,     1,  -6, -22,  -6, -10,  -6,  82,  -6, -14,  -6,  -6,  -6,  -6, -22, -10, -26,  -6,  -6,  -6,  -6,  -6
  62,     1,  -6,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  94,  -2
  63,     1,  -7, -15,  -7, -23, -35,  -7, -35,  -7, -35,  69,  -7,  -7,  -7, -15,  -7, -27, -19,  -7,  -7, -15
  64,     1,  -5, -21,  -5, -13, -25,  -5,  91,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5, -21,  -5, -25, -25
  65,     1,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  85,  -3,  -3,  -3,  -3, -15,  -3,  -7,  -3,  -3,  -3
  66,     1,  89,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3, -11,  -3,  -3,  -3,  -3,  -3,  -3
  67,     1, -16,  -4,  -4,  -4,  -4, -12, -12,  -4,  -4,  84,  -4, -20, -16,  -4,  -4,  -4, -12, -12, -20, -12
  68,     1, -13,  -5,  -5,  -5,  -5,  -5,  -5, -17,  87,  -5,  -5,  -5,  -5,  -5,  -9, -21,  -5,  -5,  -5,  -5
  69,     1,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  94,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2
  70,     1,  -9, -41,  -9,  71,  -9,  -9, -29,  -9, -29, -33,  -9,  -9, -41, -29,  -9,  -9,  -9, -13, -41, -25
  71,     1,  -9,  -9, -41,  -9,  -9,  -9,  -9, -13, -41, -17,  59,  -9,  -9, -37,  -9,  -9, -37, -21, -41,  -9
  72,     1, -35, -27, -23,  -7, -23,  -7, -11,  -7, -19,  -7,  89,  -7,  -7, -27,  -7, -11, -27, -27,  -7,  -7
  73,     1,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6, -30,  82, -14, -22, -14, -22,  -6, -26,  -6
  74,     1,  -4,  -4,  -4,  -4,  84,  -4,  -4, -12,  -4,  -4,  -4,  -4, -12,  -4, -20,  -4,  -4,  -4,  -4,  -4
  75,     1,  -7,  -3, -11,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  89, -11,  -3, -11,  -3,  -3,  -3
  76,     1,  -3,  -7,  -3,  -3,  -3,  -3,  -3, -11,  -3, -11,  -3,  -3,  -3,  85,  -3,  -3,  -3,  -3,  -3,  -3
  77,     1,  69, -23,  -7, -15, -19, -27,  -7, -27, -19,  -7, -31,  -7, -31,  -7, -15, -15, -19, -11, -31, -23
  78,     1,  -8,  -8,  -4,  -4,  -4, -12, -20,  -4,  -4,  -8,  -4,  -4,  -4,  -4,  -4,  -8,  -4, -12,  -4,  84
  79,     1,  -3,  -3,  -3,  89,  -7,  -3,  -3,  -3,  -3,  -7,  -3,  -3,  -3, -11,  -3,  -3,  -3,  -3, -15,  -3
  80,     1,  -5,  -5,  -5,  -5,  -5, -21, -13, -21, -17,  83, -13,  -5, -25, -17,  -5,  -5,  -5,  -5,  -5,  -5
  81,     1,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4, -12,  -4,  -4, -20,  -4,  -4,  -4, -12,  88
  82,     1, -13, -17,  -5,  -5, -13,  -5,  -5,  -5,  -5,  -5,  -5,  -5, -17,  91,  -5, -21,  -5,  -5, -17,  -5
  83,     1, -26,  -6, -30,  -6, -26,  -6, -18,  -6,  -6, -26, -10,  86,  -6, -18,  -6, -18, -10,  -6,  -6,  -6
  84,     1, -17,  -5, -21, -25,  -5,  -5, -17,  -5,  -5,  -5,  -5,  -5,  -9,  -5,  -5, -17,  83,  -5, -13,  -5
  85,     1,  -9, -21, -21,  -9,  -9, -21,  -9,  -9,  -9,  71, -21, -25, -29, -17, -17,  -9,  -9, -41, -21,  -9
  86,     1,  -2,  90,  -2,  -2, -10, -10,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2, -10,  -2
  87,     1, -20,  64, -36, -12, -24,  -8, -20,  -8, -28, -28, -12,  -8, -28,  -8, -16,  -8, -40, -16,  -8,  -8
  88,     1,  -4,  92,  -4,  -4, -12,  -4,  -4,  -4,  -4,  -8, -12,  -4,  -8,  -8,  -4,  -8,  -4,  -4,  -4, -20
  89,     1, -11,  -7,  -3,  -3,  -3,  89,  -3,  -3,  -3,  -3, -15,  -3,  -3, -15,  -3,  -3,  -3,  -3,  -3,  -3
  90,     1,  -7, -23, -19, -27,  -7,  -7,  -7,  -7,  -7, -27,  69, -35, -23, -31,  -7,  -7, -19,  -7,  -7,  -7
  91,     1,  79,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5, -13,  -5,  -5,  -5,  -5,  -5, -25,  -5, -21
  92,     1,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  93, -11,  -3, -11,  -3,  -3, -15,  -3,  -3,  -3,  -3,  -7
  93,     1,  -5, -13,  -5,  -5,  -5,  -5,  -5,  83,  -5, -25,  -9, -21,  -9, -13, -17,  -9,  -5, -17, -13,  -5
  94,     1,  -5,  -5,  -5,  -5, -21,  -9, -21,  -5,  -5,  -5, -25, -25,  -5, -17, -17,  -5,  -5, -25,  83,  -5
  95,     1,  -6,  -6,  -6,  82,  -6,  -6,  -6,  -6, -30, -26,  -6, -26,  -6,  -6,  -6,  -6, -10,  -6,  -6,  -6
  96,     1,  -4,  -4,  -4,  88,  -4, -16, -12, -20,  -4,  -4,  -4,  -4,  -4,  -8, -16,  -4,  -4,  -4,  -4,  -4
  97,     1,  -2,  -2,  -2,  -6,  -2,  -2,  -6,  -6,  -2,  -2,  -2,  -6,  -2,  -2,  -6,  -2,  -2,  -2,  94,  -2
  98,     1,  -4,  -4,  -4, -16,  -8,  -4,  -4, -16,  -4,  -4, -20, -12,  92,  -4,  -4,  -4, -16,  -8,  -4, -16
  99,     1,  -5,  -5,  -5,  -5,  -5, -13, -13,  -5, -21, -13,  -5, -13,  -5,  83,  -5,  -5,  -5,  -5, -13,  -5
 100,     1,  -9, -21,  -9, -29,  -9,  -9,  -9,  -9, -41,  -9, -41,  -9,  -9,  -9,  71,  -9, -17, -17, -17,  -9
 101,     1, -18, -10,  -6, -22,  -6, -22,  -6,  -6, -10,  -6,  -6,  -6, -26,  -6, -30,  -6,  90,  -6, -22, -22
 102,     1,  -5,  91,  -5,  -5,  -5,  -5, -13,  -5, -21,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5
 103,     1,  -2,  -2,  -2,  -2,  -2,  -6,  -2,  -2,  -2,  -2,  -2,  -2, -10,  -2,  -2,  90,  -2,  -2,  -2,  -2
 104,     1,  -6,  -6,  -6,  -6,  -6,  -6, -22, -26, -14,  -6,  -6, -22,  -6,  78, -10,  -6, -22, -22,  -6, -10
 105,     1,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  92,  -4,  -8
 106,     1, -16,  -4, -20,  -4,  -4,  80,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4
 107,     1,  -6, -22,  -6,  -6, -14,  -6,  -6, -10,  -6,  90, -10, -14, -10,  -6,  -6,  -6,  -6,  -6,  -6,  -6
 108,     1,  -8,  88,  -4,  -4,  -4,  -4, -16,  -4, -12,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -8
 109,     1,  -8,  -8,  -8,  68, -16,  -8, -28, -20, -20,  -8, -36,  -8,  -8, -12,  -8,  -8,  -8, -36,  -8,  -8
 110,     1,  -4,  -8,  -4,  -4,  -4,  -4,  -4, -16,  -4,  -4, -20, -12,  -4,  -8,  -4,  -4,  92,  -8,  -4,  -4
 111,     1,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  83,  83,  -5,  -9,  -9,  -5,  -5
 112,     1,  -6,  -6,  78,  -6,  -6, -10,  -6,  -6,  -6,  -6, -22,  -6, -22,  -6, -26,  -6,  -6,  -6, -18,  -6
 113,     1, -11,  -3,  -3,  85,  -3,  -3,  -3,  -3,  -3,  -7,  -3,  -3,  -3,  -3,  -3,  -3,  -3, -15,  -3,  -3
 114,     1,  -3,  -3,  -3,  -7,  -3,  -3,  -3,  -3,  93, -15,  -3,  -3,  -7,  -3,  -3, -11,  -3,  -3,  -7,  -3
 115,     1,  -5,  -9,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  79,  -5,  -5, -13,  -5, -17, -17
 116,     1,  -4,  92,  -4, -16,  -4, -12,  -4,  -4,  -4, -12,  -4,  -4,  -8,  -4,  -4,  -4,  -4, -16, -12,  -4
 117,     1, -37,  -9,  -9,  -9,  87, -21,  -9, -25,  -9,  -9, -41, -25, -17, -25, -21,  -9, -41,  -9,  -9, -29
 118,     1,  -3,  -3, -11,  -3, -11,  -3,  -7,  -3,  -3,  -3,  89,  -3,  -3,  -3,  -7, -11, -11, -11,  -3,  -3
 119,     1,  -3,  -3,  89,  -3,  -3,  -3,  -3, -11,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -7,  -3,  -3,  -3,  -3
 120,     1, -10, -14, -26, -38, -26, -10, -10, -10, -10, -22, -14, -10, -10, -26, -10, -42,  58, -22, -18, -10
 121,     1, -21,  -9,  -5,  -5,  -5, -13,  -5,  -5,  -5,  -5,  -5,  -9,  -5,  -5,  91, -21,  -5,  -5, -21, -13
 122,     1,  -6,  -6,  -6,  -6, -22,  86,  -6,  -6, -10,  -6,  -6,  -6, -18,  -6,  -6,  -6,  -6, -18,  -6, -26
 123,     1, -16, -20,  -4,  -4, -12, -20,  -4, -12,  -4,  -4,  -4,  -4,  -4,  84,  -4, -20, -12, -20,  -4,  -4
 124,     1,  -5,  -5,  -9,  -9,  -5,  -5, -21,  -5, -13,  -5, -25,  -5, -13,  -5,  91,  -9,  -9,  -5,  -5,  -5
 125,     1, -20,  -8,  -8,  -8, -16,  -8,  -8,  -8, -36,  -8, -32,  -8,  72, -32,  -8,  -8,  -8, -20,  -8,  -8
 126,     1, -17,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5, -25,  79,  -5,  -5,  -5,  -5,  -5, -21, -17,  -5, -21
 127,     1, -21, -21,  -5,  -5, -21,  -5, -13,  -5,  -5,  91,  -5,  -5, -21,  -9, -13,  -5,  -5,  -5, -21,  -5
 128,     1,  -3,  -3,  -3,  -3, -11,  -3,  -3,  -3,  -3, -11,  -3,  85,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3
 129,     1,  -7,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  89,  -3,  -3,  -3,  -3,  -3,  -7,  -3,  -3,  -3
 130,     1,  -7,  -3,  -3,  -3,  -3,  89,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3, -11
 131,     1,  -5,  -5, -21,  -9,  -5, -21,  83,  -5,  -5, -21,  -5, -17,  -5,  -5,  -5,  -5, -17, -21,  -5,  -9
 132,     1,  -5, -13,  -9,  -5,  -5,  -5,  -5,  -5, -25,  87,  -5,  -5, -17,  -5,  -5, -17,  -5, -21,  -5,  -5
 133,     1, -19,  81,  -7,  -7, -19, -23,  -7,  -7, -11, -27,  -7,  -7,  -7, -15, -35,  -7,  -7,  -7, -19, -31
 134,     1,  -5,  -9, -13,  -5,  -5,  -5, -25,  91,  -9,  -5,  -5,  -5,  -5,  -5, -21,  -5,  -5,  -9,  -5,  -5
 135,     1,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -8,  -4,  -8,  -4,  -4,  -4,  -8, -12,  -4,  -4, -16,  88,  -4
 136,     1,  -3,  -3, -11,  -3,  -3,  -3,  -3,  85,  -3,  -3, -11,  -3,  -3,  -3,  -3,  -3, -11,  -3, -11, -11
 137,     1, -11,  -3,  -3,  -3,  -3,  -7,  -3,  -7,  -3,  -3,  -3,  -3,  -3,  -3, -15,  85, -11,  -3,  -3,  -3
 138,     1,  -5,  87,  -5,  -5,  -5,  -5, -17,  -5,  -5,  -5,  -5, -13,  -5,  -5,  -5, -13,  -5,  -5,  -5, -25
 139,     1, -16, -16,  -4,  -4,  -4,  88,  -4,  -4,  -4,  -4, -12,  -4,  -4, -16,  -4, -16,  -4,  -4,  -4,  -4
 140,     1,  -5,  -5,  -5,  -5, -21,  -5, -25,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  91, -21, -25,  -5
 141,     1,  -9, -41,  -9,  -9, -29, -41, -33, -25, -37,  -9,  -9,  -9,  -9, -29,  71,  -9, -37, -17,  -9, -21
 142,     1,  -3,  -3,  -3,  -7, -11,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  85,  -3,  -7,  -7,  -3,  -3,  -3,  -3
 143,     1,  -4,  -8,  84,  -4, -12,  -4,  -4,  -4,  -8,  -8,  -4,  -8,  -8,  -4,  -4,  -4,  -4,  -4,  -4,  -4
 144,     1,  -5,  -5,  -9,  -9,  -5, -25,  -5,  -5, -13,  -5, -13,  -5,  -5, -21,  -5,  -5,  -5,  -5,  79,  -5
 145,     1,  -5,  -5,  -5,  79, -21,  -5,  -9,  -5,  -5,  -5,  -5,  -9,  -5,  -5, -21,  -5,  -5,  -5,  -5,  -5
 146,     1, -12,  -8,  -8, -36, -32, -20,  -8, -36, -20,  -8,  -8,  -8,  -8,  80,  -8, -40, -36,  -8,  -8, -36
 147,     1, -21,  -5,  -5, -13,  -5,  -9,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  79,  -5,  -5, -13, -21,  -5,  -5
 148,     1,  -4,  -4,  -4, -16,  -4,  -4,  -4,  -4,  -4, -20,  -4,  -4,  -4, -12,  -4,  -4, -16,  -4,  -4,  84
 149,     1, -20,  -8,  -4, -20,  -4,  -4,  -4, -20,  -4,  -4,  -4, -12,  -4,  92,  -4,  -4,  -4,  -4,  -4,  -4
 150,     1,  -3,  -3, -11,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -7, -15,  -3,  -7,  -3,  89,  -3,  -3
 151,     1, -14, -10,  -6,  -6, -14,  -6,  -6,  -6,  -6,  -6, -10,  -6,  -6,  -6,  -6, -18,  -6, -22,  -6,  86
 152,     1,  -6,  -6, -14, -14,  -6,  -6,  -6,  -6, -30,  -6,  78, -18,  -6,  -6,  -6, -14, -14, -30,  -6,  -6
 153,     1,  -3,  89,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3
 154,     1,  -7, -23,  -7, -19,  -7, -31,  -7,  -7,  -7, -31,  -7, -35,  -7, -31,  -7,  65, -23,  -7,  -7, -15
 155,     1,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4, -16, -16,  -8,  88,  -4,  -4, -12,  -8
 156,     1,  -5,  -5,  83,  -5,  -5,  -5,  -5,  -5, -21, -17, -13, -21,  83,  -5, -25,  -5,  -5, -25,  -5,  -5
 157,     1,  -4,  -4, -20,  -4,  -4,  -4, -16,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -8,  84,  -4,  -4,  -4
 158,     1,  -3,  -7,  -3,  -3,  -3,  -3,  -7,  -3,  -3, -11,  -3,  -7, -11,  85,  -3,  -3,  -3, -11,  -3, -11
 159,     1,  -4,  -4, -12,  -4,  -4,  84,  -4,  -4, -20,  -4, -12,  -4,  -4,  -4, -16, -16, -12,  -4,  -4,  -4
 160,     1,  -4,  -4, -16,  -4,  -4,  -4,  -4,  -4, -12,  -8,  -4, -12, -16, -20,  -4,  -4,  92,  -4,  -4,  -4
 161,     1,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  85,  -3,  -3,  -3, -11,  -3, -11,  -3,  -3,  -3
 162,     1, -16,  -4,  -4, -12,  -4,  -4,  92,  -4,  -4,  -4,  -4,  -4,  -4, -16,  -4,  -4,  -4,  -4,  -4,  -4
 163,     1,  -3,  -3,  -3,  -3,  89,  -3,  -3,  -3,  -3,  -3, -11, -15,  -3,  -3,  -3,  -3, -11,  -7,  -3,  -3
 164,     1,  -3,  93, -11,  -3,  -3,  -3,  -3, -11,  -3,  -3,  -3,  -3,  -3,  -3, -11,  -3,  -3,  -7, -15,  -3
 165,     1, -25,  -5, -13, -21,  -9,  -5,  -5,  -9,  -5, -13,  -5,  87, -13,  -5,  -5,  -5,  -9, -25,  -5,  -5
 166,     1,  -8,  -8,  -8, -28, -36, -24,  -8,  -8, -36,  -8,  -8,  72,  -8, -24,  -8, -40, -12, -16,  -8,  -8
 167,     1,  78, -26, -26,  -6,  -6,  -6,  -6,  -6,  -6,  -6, -14, -14, -30, -18, -18,  -6,  -6, -30, -10,  -6
 168,     1, -13,  83,  -5,  -5,  -5,  -5,  -5, -21,  -9,  -5, -17,  -5, -17,  -5, -13,  -5, -13,  -5,  -5, -17
 169,     1,  -8,  -8,  -8,  -8,  -8,  -8,  -8,  -8,  80,  -8,  -8,  -8, -24, -32,  -8, -24,  -8, -20, -36,  -8
 170,     1,  -3,  -7,  -3,  -7,  -3,  -3,  -3,  -3, -11,  -3,  93,  -3,  -7,  -3, -15, -11,  -3,  -3,  -7,  -3
 171,     1, -17, -13,  -5,  -5, -13,  87,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -9,  -5,  -5,  -9,  -5, -21
 172,     1,  77,  -7,  -7,  -7,  -7, -19,  -7,  -7,  -7, -31, -31, -27,  -7,  -7,  -7,  -7,  -7,  69,  -7,  -7
