nExp, Time,  AVy,  A0x,  A0y 
  33,    7,   40,   10,   40
  33,    8,   46,   10,   39
  33,    9,   52,   10,   38
  33,   10,   58,   10,   37
  33,   11,   64,   10,   36
   0,   34,    0,   10,   44
  34,    1,    5,   10,   43
  34,    2,   11,   10,   42
  34,    3,   17,   10,   41
  34,    4,   23,   10,   40
  34,    5,   29,   10,   39
  34,    6,   35,   10,   38
  34,    7,   41,   10,   37
  34,    8,   47,   10,   36
  34,    9,   53,   10,   35
  34,   10,   59,   10,   34
   0,   35,    0,    0,   26
  35,    1,    0,    0,   25
  35,    2,    6,    0,   24
  35,    3,   12,    0,   23
  35,    4,   18,    0,   22
  35,    5,   24,    0,   21
  35,    6,   30,    0,   20
  35,    7,   36,    0,   19
  35,    8,   42,    0,   18
  35,    9,   48,    0,   17
  35,   10,   54,    0,   16
  35,   11,   60,    0,   15
   0,   36,    0,   10,   55
  36,    1,    1,   10,   54
  36,    2,    7,   10,   53
  36,    3,   13,   10,   52
  36,    4,   19,   10,   51
  36,    5,   25,   10,   50
  36,    6,   31,   10,   49
  36,    7,   37,    9,   49
  36,    8,   43,    8,   49
  36,    9,   49,    7,   49
  36,   10,   55,    6,   49
  36,   11,   61,    5,   49
   0,   37,    0,    1,   16
  37,    1,    2,    1,   15
  37,    2,    8,    1,   14
  37,    3,   14,    1,   13
  37,    4,   20,    1,   12
  37,    5,   26,    1,   11
  37,    6,   32,    1,   10
  37,    7,   38,    1,    9
  37,    8,   44,    1,    8
  37,    9,   50,    1,    7
  37,   10,   56,    1,    6
  37,   11,   62,    1,    5
   0,   38,    0,   11,   64
  38,    1,    3,   11,   63
  38,    2,    9,   11,   62
  38,    3,   15,   11,   61
  38,    4,   21,   10,   61
  38,    5,   27,    9,   61
  38,    6,   33,    8,   61
  38,    7,   39,    7,   61
  38,    8,   45,    6,   61
  38,    9,   51,    5,   61
  38,   10,   57,    4,   61
   0,   39,    0,   11,   64
  39,    1,    2,   11,   63
  39,    2,    8,   11,   62
  39,    3,   14,   11,   61
  39,    4,   20,   11,   60
  39,    5,   26,   11,   59
  39,    6,   32,   11,   58
  39,    7,   38,   11,   57
  39,    8,   44,   11,   56
  39,    9,   50,   11,   55
  39,   10,   56,   11,   54
  39,   11,   62,   11,   53
   0,   40,    0,   11,   65
  40,    1,    3,   11,   64
  40,    2,    9,   11,   63
  40,    3,   15,   10,   63
  40,    4,   21,    9,   63
  40,    5,   27,    8,   63
  40,    6,   33,    7,   63
  40,    7,   39,    6,   63
  40,    8,   45,    5,   63
  40,    9,   51,    4,   63
  40,   10,   57,    3,   63
   0,   41,    0,   10,   47
  41,    1,    0,   10,   46
  41,    2,    6,   10,   45
  41,    3,   12,   10,   44
  41,    4,   18,   10,   43
  41,    5,   24,   10,   42
  41,    6,   30,   10,   41
  41,    7,   36,   10,   40
  41,    8,   42,   10,   39
  41,    9,   48,   10,   38
  41,   10,   54,   10,   37
  41,   11,   60,   10,   36
   0,   42,    0,   10,   44
  42,    1,    1,   10,   43
  42,    2,    7,    9,   43
  42,    3,   13,    8,   43
  42,    4,   19,    7,   43
  42,    5,   25,    6,   43
  42,    6,   31,    5,   43
  42,    7,   37,    4,   43
   0,   43,    0,   11,   64
  43,    1,    0,   10,   64
  43,    2,    6,    9,   64
  43,    3,   12,    8,   64
  43,    4,   18,    7,   64
  43,    5,   24,    6,   64
  43,    6,   30,    5,   64
  43,    7,   36,    4,   64
  43,    8,   42,    3,   64
  43,    9,   48,    2,   64
  43,   10,   54,    1,   64
  43,   11,   60,    2,   64
   0,   44,    0,   11,   61
  44,    1,    2,   11,   60
  44,    2,    8,   11,   59
  44,    3,   14,   11,   58
  44,    4,   20,   11,   57
  44,    5,   26,   11,   56
  44,    6,   32,   10,   56
  44,    7,   38,    9,   56
  44,    8,   44,    8,   56
  44,    9,   50,    7,   56
  44,   10,   56,    6,   56
  44,   11,   62,    5,   56
   0,   45,    0,   11,   60
  45,    1,    3,   11,   59
  45,    2,    9,   11,   58
  45,    3,   15,   10,   58
  45,    4,   21,    9,   58
  45,    5,   27,    8,   58
  45,    6,   33,    7,   58
  45,    7,   39,    6,   58
  45,    8,   45,    5,   58
  45,    9,   51,    4,   58
  45,   10,   57,    3,   58
   0,   46,    0,    1,   47
  46,    1,    5,    1,   46
  46,    2,   11,    1,   45
  46,    3,   17,    1,   44
  46,    4,   23,    1,   43
  46,    5,   29,    1,   42
  46,    6,   35,    1,   41
  46,    7,   41,    1,   40
  46,    8,   47,    1,   39
  46,    9,   53,    2,   39
  46,   10,   59,    3,   39
   0,   47,    0,   11,   65
  47,    1,    0,   11,   64
  47,    2,    6,   11,   63
  47,    3,   12,   11,   62
  47,    4,   18,   11,   61
  47,    5,   24,   11,   60
  47,    6,   30,   11,   59
  47,    7,   36,   10,   59
  47,    8,   42,    9,   59
  47,    9,   48,    8,   59
  47,   10,   54,    7,   59
  47,   11,   60,    6,   59
   0,   48,    0,   11,   54
  48,    1,    1,   11,   53
  48,    2,    7,   11,   52
  48,    3,   13,   11,   51
  48,    4,   19,   11,   50
  48,    5,   25,   11,   49
  48,    6,   31,   11,   48
  48,    7,   37,   11,   47
  48,    8,   43,   11,   46
  48,    9,   49,   11,   45
  48,   10,   55,   11,   44
  48,   11,   61,   11,   43
   0,   49,    0,   10,   50
  49,    1,    2,    9,   50
  49,    2,    8,    8,   50
  49,    3,   14,    7,   50
  49,    4,   20,    6,   50
  49,    5,   26,    5,   50
  49,    6,   32,    4,   50
  49,    7,   38,    3,   50
  49,    8,   44,    2,   50
   0,   50,    0,   10,   61
  50,    1,    0,   10,   60
  50,    2,    6,   10,   59
  50,    3,   12,   10,   58
  50,    4,   18,   10,   57
  50,    5,   24,   10,   56
  50,    6,   30,   10,   55
  50,    7,   36,    9,   55
  50,    8,   42,    8,   55
  50,    9,   48,    7,   55
  50,   10,   54,    6,   55
  50,   11,   60,    5,   55
   0,   51,    0,    0,   53
  51,    1,    1,    0,   52
  51,    2,    7,    0,   51
  51,    3,   13,    0,   50
  51,    4,   19,    0,   49
  51,    5,   25,    0,   48
  51,    6,   31,    0,   47
  51,    7,   37,    0,   46
  51,    8,   43,    0,   45
  51,    9,   49,    0,   44
  51,   10,   55,    0,   43
  51,   11,   61,    0,   42
   0,   52,    0,    0,   28
  52,    1,    2,    0,   27
  52,    2,    8,    1,   27
  52,    3,   14,    2,   27
  52,    4,   20,    3,   27
  52,    5,   26,    4,   27
   0,   53,    0,   11,   57
  53,    1,    5,   11,   56
  53,    2,   11,   11,   55
  53,    3,   17,   11,   54
  53,    4,   23,   11,   53
  53,    5,   29,   11,   52
  53,    6,   35,   11,   51
  53,    7,   41,   11,   50
  53,    8,   47,   11,   49
  53,    9,   53,   11,   48
  53,   10,   59,   10,   48
   0,   54,    0,   11,   55
  54,    1,    0,   11,   54
  54,    2,    6,   11,   53
  54,    3,   12,   11,   52
  54,    4,   18,   11,   51
  54,    5,   24,   11,   50
  54,    6,   30,   11,   49
  54,    7,   36,   11,   48
  54,    8,   42,   11,   47
  54,    9,   48,   11,   46
  54,   10,   54,   11,   45
  54,   11,   60,   11,   44
   0,   55,    0,    0,   51
  55,    1,    1,    1,   51
  55,    2,    7,    2,   51
  55,    3,   13,    3,   51
  55,    4,   19,    4,   51
  55,    5,   25,    5,   51
  55,    6,   31,    6,   51
  55,    7,   37,    7,   51
  55,    8,   43,    8,   51
  55,    9,   49,    9,   51
  55,   10,   55,   10,   51
  55,   11,   61,   11,   51
   0,   56,    0,    0,   45
  56,    1,    2,    0,   44
  56,    2,    8,    0,   43
  56,    3,   14,    0,   42
  56,    4,   20,    0,   41
  56,    5,   26,    0,   40
  56,    6,   32,    0,   39
  56,    7,   38,    0,   38
  56,    8,   44,    0,   37
  56,    9,   50,    0,   36
  56,   10,   56,    1,   36
  56,   11,   62,    2,   36
   0,   57,    0,   11,   60
  57,    1,    3,   10,   60
  57,    2,    9,    9,   60
  57,    3,   15,    8,   60
  57,    4,   21,    7,   60
  57,    5,   27,    6,   60
  57,    6,   33,    5,   60
  57,    7,   39,    4,   60
  57,    8,   45,    3,   60
  57,    9,   51,    2,   60
  57,   10,   57,    1,   60
  57,   11,   63,    2,   60
   0,   58,    0,   10,   36
  58,    1,    4,   10,   35
  58,    2,   10,   10,   34
  58,    3,   16,   10,   33
  58,    4,   22,   10,   32
  58,    5,   28,    9,   32
  58,    6,   34,    8,   32
  58,    7,   40,    7,   32
  58,    8,   46,    6,   32
  58,    9,   52,    5,   32
  58,   10,   58,    4,   32
  58,   11,   64,    3,   32
   0,   59,    0,   10,   54
  59,    1,    5,   10,   53
  59,    2,   11,   10,   52
  59,    3,   17,   10,   51
  59,    4,   23,    9,   51
  59,    5,   29,    8,   51
  59,    6,   35,    7,   51
  59,    7,   41,    6,   51
  59,    8,   47,    5,   51
   0,   60,    0,   10,   47
  60,    1,    2,   10,   46
  60,    2,    8,   10,   45
  60,    3,   14,   10,   44
  60,    4,   20,   10,   43
  60,    5,   26,   10,   42
  60,    6,   32,   10,   41
  60,    7,   38,   10,   40
  60,    8,   44,   10,   39
  60,    9,   50,   10,   38
  60,   10,   56,   10,   37
  60,   11,   62,   10,   36
   0,   61,    0,    1,   64
  61,    1,    3,    1,   63
  61,    2,    9,    1,   62
  61,    3,   15,    1,   61
  61,    4,   21,    1,   60
  61,    5,   27,    1,   59
  61,    6,   33,    1,   58
  61,    7,   39,    1,   57
  61,    8,   45,    1,   56
  61,    9,   51,    1,   55
  61,   10,   57,    1,   54
  61,   11,   63,    1,   53
   0,   62,    0,    0,   19
  62,    1,    4,    0,   18
  62,    2,   10,    0,   17
  62,    3,   16,    0,   16
  62,    4,   22,    0,   15
  62,    5,   28,    0,   14
  62,    6,   34,    0,   13
  62,    7,   40,    0,   12
  62,    8,   46,    0,   11
  62,    9,   52,    0,   10
  62,   10,   58,    0,    9
  62,   11,   64,    0,    8
   0,   63,    0,   11,   56
  63,    1,    5,   11,   55
  63,    2,   11,   11,   54
  63,    3,   17,   11,   53
  63,    4,   23,   11,   52
  63,    5,   29,   10,   52
  63,    6,   35,    9,   52
  63,    7,   41,    8,   52
  63,    8,   47,    7,   52
  63,    9,   53,    6,   52
  63,   10,   59,    5,   52
   0,   64,    0,    0,   28
  64,    1,    0,    0,   27
  64,    2,    6,    0,   26
  64,    3,   12,    0,   25
  64,    4,   18,    0,   24
  64,    5,   24,    1,   24
  64,    6,   30,    2,   24
  64,    7,   36,    3,   24
  64,    8,   42,    4,   24
  64,    9,   48,    5,   24
  64,   10,   54,    6,   24
  64,   11,   60,    7,   24
   0,   65,    0,   11,   65
  65,    1,    1,   11,   64
  65,    2,    7,   11,   63
  65,    3,   13,   11,   62
  65,    4,   19,   11,   61
  65,    5,   25,   11,   60
  65,    6,   31,   11,   59
  65,    7,   37,   11,   58
  65,    8,   43,   11,   57
  65,    9,   49,   11,   56
  65,   10,   55,   10,   56
  65,   11,   61,    9,   56
   0,   66,    0,    0,   38
  66,    1,    2,    1,   38
  66,    2,    8,    2,   38
  66,    3,   14,    3,   38
  66,    4,   20,    4,   38
  66,    5,   26,    5,   38
  66,    6,   32,    6,   38
  66,    7,   38,    7,   38
  66,    8,   44,    8,   38
  66,    9,   50,    9,   38
  66,   10,   56,   10,   38
  66,   11,   62,   11,   38
   0,   67,    0,    0,   30
  67,    1,    3,    1,   30
  67,    2,    9,    2,   30
  67,    3,   15,    3,   30
  67,    4,   21,    4,   30
  67,    5,   27,    5,   30
   0,   68,    0,    0,   49
  68,    1,    3,    0,   48
  68,    2,    9,    0,   47
  68,    3,   15,    0,   46
  68,    4,   21,    0,   45
  68,    5,   27,    0,   44
  68,    6,   33,    0,   43
  68,    7,   39,    0,   42
  68,    8,   45,    0,   41
  68,    9,   51,    0,   40
  68,   10,   57,    0,   39
  68,   11,   63,    0,   38
   0,   69,    0,    1,   21
  69,    1,    4,    1,   20
  69,    2,   10,    1,   19
  69,    3,   16,    1,   18
  69,    4,   22,    1,   17
  69,    5,   28,    1,   16
  69,    6,   34,    1,   15
  69,    7,   40,    1,   14
  69,    8,   46,    1,   13
  69,    9,   52,    1,   12
  69,   10,   58,    1,   11
  69,   11,   64,    1,   10
   0,   70,    0,   10,   37
  70,    1,    5,   10,   36
  70,    2,   11,   10,   35
  70,    3,   17,   10,   34
  70,    4,   23,   10,   33
  70,    5,   29,   10,   32
  70,    6,   35,   10,   31
  70,    7,   41,   10,   30
  70,    8,   47,   10,   29
  70,    9,   53,   10,   28
  70,   10,   59,   10,   27
   0,   71,    0,    0,   65
  71,    1,    0,    0,   64
  71,    2,    6,    0,   63
  71,    3,   12,    1,   63
  71,    4,   18,    2,   63
  71,    5,   24,    3,   63
  71,    6,   30,    4,   63
  71,    7,   36,    5,   63
  71,    8,   42,    6,   63
  71,    9,   48,    7,   63
  71,   10,   54,    8,   63
  71,   11,   60,    9,   63
   0,   72,    0,    0,   35
  72,    1,    1,    1,   35
  72,    2,    7,    2,   35
  72,    3,   13,    3,   35
  72,    4,   19,    4,   35
  72,    5,   25,    5,   35
  72,    6,   31,    6,   35
  72,    7,   37,    7,   35
  72,    8,   43,    8,   35
  72,    9,   49,    9,   35
  72,   10,   55,   10,   35
  72,   11,   61,   11,   35
   0,   73,    0,   10,   61
  73,    1,    2,   10,   60
  73,    2,    8,   10,   59
  73,    3,   14,   10,   58
  73,    4,   20,   10,   57
  73,    5,   26,   10,   56
  73,    6,   32,   10,   55
  73,    7,   38,   10,   54
  73,    8,   44,   10,   53
  73,    9,   50,   10,   52
  73,   10,   56,   10,   51
  73,   11,   62,   10,   50
   0,   74,    0,   11,   56
  74,    1,    3,   11,   55
  74,    2,    9,   11,   54
  74,    3,   15,   11,   53
  74,    4,   21,   11,   52
  74,    5,   27,   11,   51
  74,    6,   33,   11,   50
  74,    7,   39,   11,   49
  74,    8,   45,   11,   48
  74,    9,   51,   11,   47
  74,   10,   57,   11,   46
  74,   11,   63,   11,   45
   0,   75,    0,   10,   64
  75,    1,    4,   10,   63
  75,    2,   10,   10,   62
  75,    3,   16,    9,   62
  75,    4,   22,    8,   62
  75,    5,   28,    7,   62
  75,    6,   34,    6,   62
  75,    7,   40,    5,   62
  75,    8,   46,    4,   62
  75,    9,   52,    3,   62
  75,   10,   58,    2,   62
   0,   76,    0,    0,   50
  76,    1,    2,    0,   49
  76,    2,    8,    0,   48
  76,    3,   14,    0,   47
  76,    4,   20,    0,   46
  76,    5,   26,    0,   45
  76,    6,   32,    0,   44
  76,    7,   38,    0,   43
  76,    8,   44,    0,   42
  76,    9,   50,    0,   41
  76,   10,   56,    1,   41
  76,   11,   62,    2,   41
   0,   77,    0,   11,   58
  77,    1,    3,   11,   57
  77,    2,    9,   11,   56
  77,    3,   15,   11,   55
  77,    4,   21,   11,   54
  77,    5,   27,   11,   53
  77,    6,   33,   11,   52
  77,    7,   39,   11,   51
  77,    8,   45,   11,   50
  77,    9,   51,   11,   49
  77,   10,   57,   11,   48
  77,   11,   63,   11,   47
   0,   78,    0,    1,   44
  78,    1,    4,    1,   43
  78,    2,   10,    1,   42
  78,    3,   16,    1,   41
  78,    4,   22,    1,   40
  78,    5,   28,    1,   39
  78,    6,   34,    1,   38
  78,    7,   40,    2,   38
  78,    8,   46,    3,   38
  78,    9,   52,    4,   38
  78,   10,   58,    5,   38
  78,   11,   64,    6,   38
   0,   79,    0,    1,   21
  79,    1,    5,    1,   20
  79,    2,   11,    1,   19
  79,    3,   17,    1,   18
  79,    4,   23,    1,   17
  79,    5,   29,    1,   16
  79,    6,   35,    1,   15
  79,    7,   41,    1,   14
  79,    8,   47,    1,   13
  79,    9,   53,    1,   12
  79,   10,   59,    1,   11
   0,   80,    0,    1,   34
  80,    1,    0,    1,   33
  80,    2,    6,    1,   32
  80,    3,   12,    1,   31
  80,    4,   18,    1,   30
  80,    5,   24,    1,   29
  80,    6,   30,    1,   28
  80,    7,   36,    1,   27
  80,    8,   42,    1,   26
  80,    9,   48,    1,   25
  80,   10,   54,    1,   24
  80,   11,   60,    1,   23
   0,   81,    0,   10,   51
  81,    1,    1,   10,   50
  81,    2,    7,   10,   49
  81,    3,   13,   10,   48
  81,    4,   19,   10,   47
  81,    5,   25,   10,   46
  81,    6,   31,   10,   45
  81,    7,   37,   10,   44
  81,    8,   43,   10,   43
  81,    9,   49,   10,   42
  81,   10,   55,   10,   41
  81,   11,   61,   10,   40
   0,   82,    0,    1,   31
  82,    1,    2,    1,   30
  82,    2,    8,    1,   29
  82,    3,   14,    1,   28
