nExp, valid,  A0,  A1,  A2
 368,     1, -11, -11,  53
 369,     0, -11, -35, -43
 370,     0, -31, -43, -11
 371,     1,  -6,  -6,  82
 372,     0, -19, -11, -11
 373,     0, -43, -11, -11
 374,     0, -19, -23, -11
 375,     0, -10, -10, -30
 376,     1, -20,  68, -20
 377,     1,  89,  -3,  -3
 378,     0, -43, -11, -11
 379,     1,  70,  -6,  -6
 380,     0, -19, -11, -11
 381,     1, -10,  70, -42
 382,     0, -42, -10, -10
 383,     1,  80, -12,  -8
 384,     0, -11, -11, -11
 385,     1,  -9, -29,  71
 386,     1,  -5,  -5,  83
 387,     0, -43, -43, -15
 388,     1,  -9,  75, -37
 389,     1,  -6,  -6,  82
 390,     1, -18,  70,  -6
 391,     1,  67,  -9, -13
 392,     0, -11, -27, -43
 393,     1,  92,  -4, -16
 394,     0, -23, -11, -11
 395,     1,  -8,  60,  -8
 396,     0, -43, -11, -11
 397,     1,  88,  -4,  -4
 398,     1,  73,  -7, -15
 399,     1, -36,  68, -40
 400,     0, -11, -35, -11
 401,     1, -10,  66, -30
 402,     0, -11, -11, -11
 403,     0, -10, -10, -10
 404,     1,  84,  -4, -20
 405,     0, -43, -35, -11
 406,     0, -23, -11, -43
 407,     1,  -8,  -8,  68
 408,     1,  -6,  82, -10
 409,     0, -11, -11, -11
 410,     0, -38, -10, -42
 411,     1,  -6,  78,  -6
 412,     1, -11, -11,  53
 413,     1,  64, -12,  -8
 414,     1,  77,  -7,  -7
 415,     1,  62, -10, -10
 416,     1, -11,  65, -19
 417,     1, -16,  88,  -4
 418,     1,  58, -10, -30
 419,     1, -12,  -8,  84
 420,     0, -47, -11, -23
 421,     1,  70, -10, -22
 422,     1,  63, -41, -21
 423,     0, -23, -11, -27
 424,     1,  79,  -5,  -5
 425,     1, -14,  -6,  70
 426,     0, -11, -27, -11
 427,     1,  69,  -7,  -7
 428,     1,  -5, -21,  87
 429,     0, -42, -10, -42
 430,     0, -11, -11, -23
 431,     1, -11,  53, -11
 432,     1,  -7,  -7,  65
 433,     1, -24,  -8,  60
 434,     0, -26, -42, -34
 435,     1,  -6,  78,  -6
 436,     1,  -8, -24,  76
 437,     1,  89,  -3, -11
 438,     1,  73, -23,  -7
 439,     0, -11, -11, -11
 440,     1,  -4, -20,  84
 441,     0, -11, -31, -27
 442,     1,  -9,  71,  -9
 443,     1, -43,  49, -31
 444,     0, -10, -42, -42
 445,     0, -19, -35, -11
 446,     0, -27, -11, -31
 447,     1,  -6,  82,  -6
 448,     0, -43, -11, -15
 449,     0, -22, -34, -10
 450,     1,  76,  -8, -20
 451,     1,  53, -43, -11
 452,     0, -11, -11, -15
 453,     1,  71, -21, -25
 454,     0, -11, -43, -11
 455,     0, -10, -10, -34
 456,     0, -11, -11, -19
 457,     1,  78,  -6,  -6
 458,     1, -15,  -3,  89
 459,     0, -11, -35, -11
 460,     0, -11, -39, -43
 461,     1, -21,  67,  -9
 462,     1,  -2,  90,  -2
 463,     1,  94,  -2,  -2
 464,     1, -25,  83, -21
 465,     1,  58, -22, -26
 466,     0, -11, -11, -19
 467,     1, -25, -17,  59
 468,     0, -11, -19, -11
 469,     1,  -8, -28,  84
 470,     1,  65, -23,  -7
 471,     0, -10, -10, -42
 472,     1,  -6,  -6,  86
 473,     0, -11, -43, -35
 474,     0, -43, -51, -43
 475,     0, -23, -43, -19
 476,     1,  89,  -7,  -7
 477,     1,  -3,  93,  -3
 478,     0, -43, -23, -43
 479,     1,  -5,  87,  -5
 480,     0, -11, -11, -19
 481,     1,  -8,  76, -16
 482,     1, -30, -10,  70
 483,     1,  74, -22,  -6
 484,     1,  -8,  -8,  60
 485,     0, -11, -19, -11
 486,     0, -10, -10, -42
 487,     1,  -6,  -6,  90
 488,     0, -18, -18, -10
 489,     0, -35, -15, -43
 490,     1,  84,  -8,  -8
 491,     1,  70, -30, -10
 492,     0, -27, -43, -11
 493,     1, -13,  83,  -9
 494,     1,  -4,  84,  -4
 495,     0, -31, -11, -11
 496,     0, -11, -11, -11
 497,     1, -11,  77,  -7
 498,     0, -18, -10, -10
 499,     1,  -6,  82,  -6
 500,     1,  84, -28,  -8
 501,     1, -22, -10,  66
 502,     1,  -6,  -6,  78
 503,     1,  82,  -6, -22
 504,     0, -11, -35, -31
 505,     1, -12,  68,  -8
 506,     0, -11, -11, -27
 507,     0, -11, -11, -11
 508,     0, -11, -23, -43
 509,     1, -16,  80,  -8
 510,     0, -11, -11, -11
 511,     1, -29, -21,  71
 512,     1, -26,  -6,  82
 513,     1, -35, -27,  89
 514,     1,  -9,  71,  -9
 515,     1,  81,  -7,  -7
 516,     1,  67,  -9, -17
 517,     0, -23, -11, -11
 518,     0, -10, -38, -10
 519,     1, -30,  54, -10
 520,     1,  -9,  59,  -9
 521,     0, -23, -31, -31
 522,     1,  70, -26, -14
 523,     1,  86,  -6,  -6
 524,     1, -33,  59, -25
 525,     1, -13,  71, -21
 526,     0, -11, -11, -51
 527,     0, -39, -11, -11
 528,     0, -31, -23, -35
 529,     0, -11, -11, -11
 530,     1, -16,  88, -28
 531,     0, -30, -38, -10
 532,     0, -23, -11, -23
 533,     1,  -9,  59,  -9
 534,     0, -26, -10, -26
 535,     0, -31, -11, -23
 536,     1,  -4,  92,  -4
 537,     1, -10,  -6,  82
 538,     0, -11, -43, -43
 539,     1,  -5,  83, -17
 540,     0, -18, -10, -42
 541,     0, -43, -43, -11
 542,     0, -11, -43, -11
 543,     0, -43, -11, -43
 544,     1,  -9,  67,  -9
 545,     0, -43, -11, -11
 546,     1, -16,  92,  -4
 547,     0, -42, -10, -30
 548,     0, -11, -43, -35
 549,     0, -19, -43, -31
 550,     1,  69,  -7, -11
 551,     1,  78,  -6,  -6
 552,     0, -47, -47, -11
 553,     1,  -9,  71,  -9
 554,     1,  87,  -5,  -9
 555,     1, -19, -19,  77
 556,     0, -26, -38, -30
 557,     0, -43, -11, -11
 558,     1, -18, -42,  78
 559,     1, -30,  -6,  86
 560,     1, -27,  65,  -7
 561,     1,  86,  -6,  -6
 562,     0, -11, -43, -39
 563,     1,  59,  -9,  -9
 564,     1,  -3,  93,  -3
 565,     0, -14, -10, -10
 566,     0, -19, -15, -11
 567,     1, -25,  -9,  63
 568,     0, -10, -30, -22
 569,     1, -37,  71, -41
 570,     1, -10,  90,  -6
 571,     1,  -9, -17,  63
 572,     0, -11, -11, -11
 573,     0, -10, -42, -22
 574,     0, -11, -27, -11
 575,     0, -31, -19, -11
 576,     0, -43, -11, -39
 577,     1,  -7,  -7,  77
 578,     1, -20,  -8,  80
 579,     0, -11, -11, -11
 580,     0, -11, -11, -11
 581,     1,  -3,  89,  -3
 582,     0, -43, -35, -23
 583,     0, -11, -19, -11
 584,     0, -11, -27, -51
 585,     1,  60, -16,  -8
 586,     0, -11, -11, -11
 587,     0, -23, -11, -31
 588,     1,  67,  -9, -21
 589,     1, -19,  85,  -7
 590,     1, -26,  70,  -6
 591,     1,  91, -13,  -5
 592,     0, -43, -43, -31
 593,     1,  69,  -7,  -7
 594,     1,  74, -22, -14
 595,     1,  -6, -22,  86
 596,     1,  75, -37, -29
 597,     0, -11, -11, -15
 598,     0, -10, -14, -10
 599,     0, -15, -11, -39
 600,     0, -31, -43, -11
 601,     0, -11, -23, -11
 602,     0, -27, -11, -31
 603,     1, -23,  73, -31
 604,     1, -36,  88,  -8
 605,     1,  91, -21, -13
 606,     1,  66, -42, -10
 607,     0, -11, -39, -23
 608,     0, -11, -15, -23
 609,     1, -24, -28,  76
 610,     1,  -7,  85, -11
 611,     1,  -8,  84, -36
 612,     0, -31, -39, -11
 613,     1,  -9,  75, -21
 614,     0, -11, -11, -43
 615,     1, -33, -41,  87
 616,     1,  80,  -4,  -4
 617,     1,  -6,  -6,  78
 618,     1,  68,  -8, -32
 619,     1,  -9,  59, -29
 620,     1, -20, -36,  68
 621,     0, -11, -11, -11
 622,     1,  92,  -4,  -4
 623,     1, -41,  59, -41
 624,     0, -10, -46, -10
 625,     1, -37,  71, -17
 626,     1, -10, -22,  54
 627,     0, -11, -31, -11
 628,     0, -10, -10, -10
 629,     1, -35, -19,  89
 630,     1,  64, -16,  -8
 631,     1,  -9,  -9,  83
 632,     1,  71,  87, -41
 633,     1, -42,  58, -30
 634,     0, -19, -35, -43
 635,     0, -11, -31, -11
 636,     1,  -3,  -3,  89
 637,     0, -11, -43, -27
 638,     0, -23, -35, -23
 639,     1, -34, -10,  58
 640,     1, -16,  -4,  84
 641,     1,  -9,  59, -41
 642,     1, -23,  89,  -7
 643,     0, -11, -35, -27
 644,     0, -11, -43, -35
 645,     0, -11, -39, -11
 646,     0, -11, -11, -11
 647,     0, -42, -10, -10
 648,     1,  80, -12,  -8
 649,     0, -11, -47, -11
 650,     1,  -9, -17,  71
 651,     1,  59, -13, -37
 652,     1,  -2,  -2,  94
 653,     0, -15, -11, -11
 654,     0, -23, -11, -11
 655,     0, -43, -47, -43
 656,     1, -31,  -7,  77
 657,     0, -10, -34, -10
 658,     1,  -6, -26,  86
 659,     1,  87,  -9,  -9
 660,     1,  84, -16,  -4
 661,     1,  93,  -3,  -3
 662,     1,  -7, -31,  73
 663,     0, -11, -35, -11
 664,     0, -19, -11, -11
 665,     1,  -4,  -4,  88
 666,     0, -11, -35, -23
 667,     1,  -4,  -4,  92
 668,     0, -11, -47, -11
 669,     0, -11, -11, -35
 670,     1,  66, -42, -26
 671,     0, -11, -11, -11
 672,     1,  60,  -8,  -8
 673,     0, -23, -11, -11
 674,     0, -11, -43, -19
 675,     1,  -4,  -8,  92
 676,     1,  79,  -5,  -5
 677,     0, -11, -11, -43
 678,     0, -43, -11, -43
 679,     0, -10, -42, -34
 680,     0, -11, -11, -23
 681,     1,  -9,  59,  -9
 682,     0, -27, -31, -47
 683,     0, -43, -19, -47
 684,     0, -26, -10, -10
 685,     1,  -3,  89,  -3
 686,     1,  -7,  89,  -7
 687,     0, -11, -35, -15
 688,     1,  -8,  -8,  72
 689,     1,  72,  -8, -36
 690,     1,  -8, -32,  72
 691,     0, -10, -10, -10
 692,     1, -13,  87,  -5
 693,     1, -18,  82,  -6
 694,     1,  -6, -14,  86
 695,     1,  -5,  -5,  87
 696,     0, -43, -39, -11
 697,     0, -39, -47, -11
 698,     0, -19, -11, -11
 699,     0, -10, -10, -34
 700,     1, -33,  83, -37
 701,     1,  -6, -14,  82
 702,     1,  -5,  -5,  87
 703,     1,  -6,  94,  -2
 704,     0, -15, -43, -11
 705,     0, -19, -43, -19
 706,     1,  -7,  -7,  81
 707,     1,  85,  -3,  -7
 708,     0, -39, -11, -11
 709,     1,  -8,  92,  -4
 710,     1, -10, -10,  58
 711,     1,  -8,  72, -28
 712,     0, -11, -47, -43
 713,     1, -21,  63,  71
 714,     1, -11, -51,  57
 715,     1,  89,  -3,  -3
 716,     1,  -7,  81, -23
 717,     1,  68,  -8, -32
 718,     0, -11, -35, -35
 719,     0, -31, -11, -11
 720,     1,  68,  -8, -32
 721,     0, -43, -31, -15
 722,     0, -19, -11, -39
 723,     0, -11, -15, -43
 724,     1,  -6, -10,  70
 725,     1,  90,  -6,  -2
 726,     1, -26,  78,  -6
 727,     1,  -9,  67, -21
 728,     0, -11, -11, -43
 729,     1, -11,  57, -11
 730,     1,  -5,  -5,  91
 731,     0, -15, -11, -43
 732,     1, -21,  71, -25
 733,     0, -10, -18, -22
 734,     1,  -7,  73,  -7
 735,     1, -10,  58, -10
 736,     0, -27, -43, -43
 737,     1,  60,  -8,  -8
 738,     1,  66, -10, -10
 739,     0, -27, -11, -43
 740,     0, -27, -43, -19
 741,     1, -27,  81, -11
 742,     1,  -7,  -7,  85
 743,     0, -47, -11, -23
 744,     1,  -5,  83,  -5
 745,     1,  -6,  74,  -6
 746,     0, -10, -10, -10
 747,     0, -31, -11, -27
 748,     1, -42,  70, -18
 749,     1,  -4,  92,  -4
 750,     1,  -9,  -9,  67
 751,     0, -10, -10, -18
 752,     1, -12,  64,  -8
 753,     1, -13,  59,  -9
 754,     0, -11, -19, -11
 755,     0, -19, -11, -11
 756,     1,  90,  -6,  -6
 757,     0, -22, -26, -10
 758,     0, -11, -11, -11
 759,     1, -30,  82,  -6
 760,     1, -42, -10,  70
 761,     1,  -9,  -9,  67
 762,     0, -31, -43, -43
 763,     0, -42, -10, -10
 764,     1,  77,  -7, -35
 765,     0, -43, -43, -11
 766,     0, -26, -10, -10
 767,     0, -11, -11, -11
 768,     1, -42, -22,  62
 769,     1, -31, -31,  89
 770,     1,  -9,  87, -37
 771,     1,  83,  -9,  -5
 772,     1, -26,  66, -10
 773,     0, -11, -11, -11
 774,     0, -11, -11, -11
 775,     1,  -9,  59, -37
 776,     1, -25,  59,  -9
 777,     0, -27, -11, -15
 778,     1,  54, -18, -10
 779,     0, -11, -11, -11
 780,     0, -43, -11, -15
 781,     1,  -9,  83,  -9
 782,     0, -11, -11, -31
 783,     1, -14,  62, -10
 784,     1,  -5,  91, -25
 785,     1,  -9,  -9,  63
 786,     1, -10,  54, -26
 787,     0, -11, -43, -43
 788,     0, -10, -10, -42
 789,     0, -27, -11, -11
 790,     1,  92,  -8,  -4
 791,     1,  84, -28, -16
 792,     0, -11, -43, -15
 793,     0, -43, -11, -11
 794,     1,  93,  -3, -11
 795,     1,  80, -32,  -8
 796,     0, -31, -11, -11
 797,     1,  -7,  -7,  69
 798,     0, -11, -11, -39
 799,     1, -26,  90, -26
 800,     1,  78, -10, -26
 801,     0, -11, -11, -11
 802,     1,  -9,  -9,  79
 803,     1,  -3,  -3,  93
 804,     0, -23, -43, -31
 805,     0, -23, -11, -51
 806,     0, -10, -46, -10
 807,     0, -19, -11, -11
 808,     1, -34, -10,  62
 809,     1, -42, -26,  66
 810,     0, -27, -23, -11
 811,     1, -13,  91,  -5
 812,     0, -42, -10, -38
 813,     0, -43, -43, -27
 814,     1,  -7,  93,  -3
 815,     1, -10,  70, -10
 816,     1,  64, -16,  -8
 817,     0, -10, -22, -18
 818,     0, -11, -43, -11
 819,     0, -11, -11, -11
 820,     1, -18,  62, -10
 821,     0, -11, -23, -11
 822,     0, -10, -10, -14
 823,     0, -11, -11, -11
 824,     1,  -9,  -9,  59
 825,     0, -43, -31, -11
 826,     0, -10, -10, -42
 827,     1, -11,  65, -11
 828,     1,  89,  -7,  -7
 829,     1, -10,  78,  -6
 830,     0, -10, -10, -10
 831,     1,  58, -10, -14
 832,     1, -14,  86, -10
 833,     1,  70, -22, -10
 834,     0, -39, -39, -11
 835,     0, -31, -11, -11
 836,     1,  71, -21, -37
 837,     0, -10, -38, -10
 838,     1, -29,  -9,  63
 839,     1, -10, -10,  66
 840,     1,  71,  -9, -29
 841,     0, -11, -23, -11
 842,     0, -15, -23, -15
 843,     0, -11, -11, -27
 844,     0, -15, -11, -11
 845,     0, -42, -34, -10
 846,     1, -10, -10,  66
 847,     0, -11, -11, -31
 848,     1,  67, -37, -17
 849,     1,  65, -31,  -7
 850,     1, -42,  62, -10
 851,     0, -11, -27, -43
 852,     1,  -9,  79,  -9
 853,     0, -11, -43, -11
 854,     0, -30, -42, -18
 855,     0, -19, -11, -11
 856,     1, -31,  81,  -7
 857,     0, -10, -10, -10
 858,     1, -10, -42,  70
 859,     1,  -4,  88, -20
 860,     1,  -6,  -6,  70
 861,     1,  67, -29, -37
 862,     0, -11, -11, -11
 863,     0, -11, -43, -19
 864,     1,  -8,  -8,  64
 865,     1,  78, -22,  -6
 866,     1,  -7,  -7,  85
 867,     0, -23, -11, -19
 868,     0, -47, -43, -43
 869,     0, -11, -43, -43
 870,     1,  70, -10, -10
 871,     1,  89,  -7,  -7
 872,     0, -11, -19, -27
 873,     1,  63,  -9,  -9
 874,     0, -11, -47, -47
 875,     1,  63, -25, -17
 876,     1, -36,  64, -32
 877,     0, -10, -10, -42
 878,     1,  70, -10, -26
 879,     0, -47, -19, -31
 880,     1, -22,  66, -10
 881,     1, -29, -17,  67
 882,     0, -11, -31, -11
 883,     0, -23, -27, -15
 884,     1, -17,  -9,  67
 885,     0, -15, -11, -35
 886,     1,  -8,  -8,  80
 887,     1,  -9,  -9,  75
 888,     1,  84,  -4,  -4
 889,     1,  88,  -4,  -4
 890,     0, -43, -11, -43
 891,     1,  -6, -14,  78
 892,     1, -21,  -9,  83
 893,     0, -10, -10, -10
 894,     0, -11, -11, -11
