nExp,  A0x,  A0y,  A1x,  A1y,  A2x,  A2y 
  56,    0,   27,    1,   41,    0,   65
  57,   11,   55,    1,   48,   11,   59
  58,   11,   57,    1,   38,   10,   42
  59,   10,   42,    1,   63,   11,   63
  60,    0,   25,    1,   54,   11,   60
  61,   10,   60,    0,   22,   11,   54
  62,    0,   19,    0,   58,    1,   20
  63,    0,   49,   11,   60,   11,   60
  64,   10,   56,   11,   63,   11,   62
  65,   11,   56,   10,   53,   11,   59
  66,   11,   58,   10,   61,   11,   61
  67,    0,   26,   10,   43,    0,   59
  68,   11,   57,    1,   55,    0,   48
  69,    0,   31,   11,   54,    0,   38
  70,    1,   58,   10,   56,    0,   65
  71,    1,   45,    1,   14,    1,   20
  72,    0,   47,   10,   39,   10,   46
  73,    1,   53,    1,   59,   10,   50
  74,   10,   46,    0,   50,   10,   59
  75,    0,   61,   11,   65,   11,   62
  76,   11,   60,   11,   56,   11,   59
  77,   11,   59,   11,   54,    0,   62
  78,    1,   60,   11,   61,   10,   42
  79,    0,   57,   11,   63,   10,   48
  80,    1,   18,    1,   42,   11,   65
  81,    1,   17,   11,   62,    0,   39
  82,   10,   36,   11,   65,   10,   38
  83,    0,   35,    0,   34,    0,   64
  84,   11,   54,   11,   56,    0,   50
  85,   11,   55,    0,   35,    0,   47
  86,   11,   56,    0,   34,   11,   55
  87,   11,   58,    1,   27,   11,   65
  88,   10,   41,   11,   55,   10,   40
  89,   11,   65,   11,   57,    0,   54
  90,    1,   34,    0,   24,    0,   21
  91,    0,   38,   10,   58,    0,   38
  92,   10,   38,    1,   31,   11,   54
  93,    1,   34,   10,   45,    0,   32
  94,    1,   63,   11,   57,   10,   56
  95,   11,   59,    1,   53,    1,   25
  96,    1,   62,    0,   40,   10,   50
  97,    0,   18,   10,   54,    0,   32
  98,   11,   61,   10,   40,   10,   50
  99,   10,   58,    0,   54,    1,   65
 100,    0,   60,    0,   30,   10,   53
 101,    1,   17,    1,   27,   11,   64
 102,   10,   37,   11,   57,    1,   40
 103,    0,   62,    0,   37,    1,   40
 104,   10,   54,   10,   48,   10,   48
 105,   11,   63,    1,   32,   10,   40
 106,   10,   47,   10,   40,   10,   46
 107,    1,   34,    1,   49,    1,   47
 108,    0,   32,   10,   37,   10,   36
 109,    1,   59,    0,   43,    0,   59
 110,   10,   58,   10,   36,    0,   47
 111,   11,   64,   10,   57,    0,   54
 112,    1,   17,    1,   29,    0,   38
 113,   11,   59,    1,   50,   10,   39
 114,   11,   59,   11,   58,   11,   58
 115,    0,   27,   11,   61,    0,   36
 116,    0,   22,    0,   20,   10,   41
 117,   10,   54,   10,   51,    1,   59
 118,    1,   36,   10,   51,   11,   65
 119,   11,   65,   10,   50,   10,   42
 120,    1,   14,    0,   18,   10,   40
 121,   11,   62,   11,   58,   11,   59
 122,    1,   17,   11,   63,    1,   36
 123,    1,   13,    0,   35,    0,   43
 124,    0,   27,   10,   58,    1,   58
 125,    1,   30,   10,   37,   11,   54
 126,    1,   51,    0,   56,   11,   59
 127,    0,   21,    0,   54,    1,   61
 128,    1,   16,    1,   52,   11,   54
 129,    0,   41,    0,   59,   11,   57
 130,    1,   42,    1,   41,    0,   32
 131,    1,   44,   10,   43,    0,   23
 132,   11,   55,   10,   43,    1,   51
 133,   10,   58,   10,   61,    0,   48
 134,    0,   53,    1,   48,   10,   55
 135,    0,   57,    0,   42,   10,   43
 136,   10,   44,    0,   56,   10,   45
 137,   10,   36,    0,   36,   11,   60
 138,    0,   54,   11,   63,   10,   56
 139,    0,   53,   11,   63,    1,   43
 140,   10,   63,    0,   58,   10,   46
 141,    1,   12,    0,   49,   10,   50
 142,   11,   59,    1,   57,    1,   44
 143,   10,   60,   11,   58,    0,   19
 144,   10,   64,    1,   35,   10,   55
 145,    1,   48,    1,   31,   10,   57
 146,    0,   19,   10,   36,    0,   28
 147,   10,   37,    0,   64,    1,   60
 148,    0,   38,    1,   21,    1,   65
 149,   10,   47,    1,   26,   10,   58
 150,   10,   49,    0,   62,    1,   33
 151,    0,   24,   11,   60,   10,   40
 152,    1,   57,   11,   56,    0,   56
 153,    0,   55,   10,   41,    0,   62
 154,   10,   54,    1,   20,   10,   43
 155,   11,   62,    0,   62,    0,   22
 156,    1,   20,    0,   35,   10,   48
 157,    1,   38,    1,   28,   11,   60
 158,   11,   63,   10,   43,   10,   49
 159,   10,   48,    1,   13,   10,   37
 160,   10,   53,   11,   57,   10,   42
 161,   10,   46,   11,   65,    0,   45
 162,    1,   64,   11,   61,   10,   56
 163,    1,   61,   11,   57,   10,   36
 164,   11,   60,   11,   58,   10,   45
 165,   11,   61,   11,   54,    0,   20
 166,    0,   62,   11,   59,   11,   63
 167,   11,   62,    0,   44,    1,   63
 168,    0,   26,   10,   40,    0,   42
 169,   11,   61,   11,   57,    1,   35
 170,   11,   62,   11,   60,   10,   65
 171,    0,   55,   11,   64,   11,   55
 172,   10,   63,   10,   46,   11,   60
 173,    1,   45,   11,   56,    0,   43
 174,   11,   62,   10,   54,    1,   51
 175,    0,   60,    1,   63,   11,   54
 176,    1,   52,    1,   39,   11,   62
 177,   11,   55,   11,   65,   10,   64
 178,    1,   59,   11,   61,    0,   19
 179,    0,   30,   11,   58,   11,   61
 180,    1,   59,    0,   40,   11,   55
 181,   10,   45,    0,   40,   10,   37
 182,   10,   46,    0,   27,    0,   43
 183,    0,   62,   11,   65,    1,   60
 184,   11,   63,    1,   48,   10,   48
 185,    1,   15,    0,   24,    1,   46
 186,   11,   54,   11,   54,   10,   58
 187,   10,   64,    1,   43,    0,   44
 188,   11,   56,    1,   49,    1,   25
 189,   11,   65,    0,   61,   10,   37
 190,   10,   55,    0,   54,   11,   54
 191,   10,   49,    0,   40,    0,   34
 192,   10,   50,   10,   52,   11,   58
 193,   11,   54,    1,   31,    1,   57
 194,   10,   65,   11,   55,    1,   13
 195,   10,   36,   11,   56,    1,   15
 196,    1,   33,    0,   54,   10,   46
 197,   11,   54,    0,   35,   11,   63
 198,   10,   52,   11,   58,    0,   56
 199,    0,   36,    1,   18,    1,   21
 200,   10,   55,    0,   39,   10,   62
 201,    1,   16,    0,   59,   11,   64
 202,    1,   46,    0,   57,    1,   63
 203,    1,   13,   11,   61,    1,   13
 204,    1,   20,   10,   40,    0,   62
 205,   10,   43,   11,   61,   11,   59
 206,   11,   62,    0,   29,    1,   21
 207,    0,   28,   11,   59,   11,   55
 208,   10,   36,   11,   54,    1,   55
 209,   11,   54,   11,   60,    0,   55
 210,    0,   47,   11,   62,    1,   13
 211,    1,   61,    1,   25,    0,   42
 212,   10,   38,    1,   47,   11,   59
 213,    1,   37,    0,   36,   10,   47
 214,   10,   61,   11,   64,    1,   13
 215,   10,   50,    0,   19,    1,   55
 216,   11,   55,   11,   54,   10,   36
 217,    1,   58,    1,   61,   10,   54
 218,    0,   34,    1,   43,   11,   57
 219,   10,   64,    1,   45,   11,   61
 220,   11,   56,   11,   56,   10,   44
 221,   10,   44,    1,   48,    1,   51
 222,    1,   19,   10,   40,    1,   33
 223,    0,   52,   10,   59,   10,   52
 224,    0,   27,    0,   43,   11,   58
 225,   11,   62,   10,   46,    0,   64
 226,   11,   58,   11,   64,    1,   39
 227,    1,   49,   11,   65,   10,   45
 228,   11,   65,    1,   63,   10,   64
 229,   11,   63,   10,   40,    0,   46
 230,   10,   64,   10,   56,   10,   42
 231,   10,   65,    0,   51,   10,   47
 232,   11,   54,   11,   63,    1,   17
 233,    1,   43,    1,   38,   11,   65
 234,   10,   60,    0,   59,   11,   56
 235,   11,   64,   11,   60,   10,   42
 236,   10,   48,    0,   24,    1,   59
 237,   10,   63,   11,   55,   10,   46
 238,   10,   49,    1,   17,   11,   59
 239,   10,   50,    0,   43,    0,   58
 240,   11,   55,    0,   21,    1,   63
 241,   10,   43,    0,   23,    0,   56
 242,    0,   59,   11,   55,   10,   36
 243,   11,   60,   11,   59,   10,   63
 244,   10,   62,    1,   17,    0,   28
 245,   11,   57,    0,   41,   11,   60
 246,    1,   16,   10,   42,    1,   32
 247,   11,   56,   11,   62,    1,   59
 248,    1,   32,    0,   55,    1,   39
 249,    1,   47,    1,   61,    1,   31
 250,    1,   53,   11,   64,    1,   27
 251,    1,   30,    0,   26,   11,   59
 252,    0,   36,    1,   39,   11,   65
 253,   10,   54,   10,   51,    1,   28
 254,   10,   38,    1,   60,    0,   64
 255,   11,   60,    0,   22,    0,   33
 256,    0,   56,    1,   24,    0,   36
 257,    0,   23,   10,   64,    0,   53
 258,    0,   18,   11,   64,    0,   26
 259,    0,   62,    1,   55,    1,   32
 260,   11,   61,    1,   43,   10,   60
 261,   10,   55,   10,   38,   11,   62
 262,    1,   49,   10,   55,    1,   42
 263,   10,   42,   10,   39,    0,   61
 264,    0,   60,    1,   36,    1,   34
 265,    1,   42,    1,   56,    0,   29
 266,    1,   62,    0,   52,    0,   37
 267,   11,   59,    1,   25,    1,   24
 268,    1,   47,   10,   63,   11,   60
 269,    0,   32,   10,   56,   11,   55
 270,    0,   59,   11,   63,    1,   48
 271,    1,   22,    1,   54,   11,   65
 272,   11,   62,   10,   57,    0,   62
 273,   10,   53,    1,   46,   10,   62
 274,   10,   42,    1,   25,   11,   64
 275,   10,   41,    0,   24,    1,   48
 276,    0,   50,   11,   63,    1,   46
 277,   11,   64,    1,   49,    0,   44
 278,    1,   35,    1,   47,   11,   59
 279,    0,   54,   11,   65,    1,   37
 280,   10,   62,   10,   36,    0,   58
 281,   10,   62,    1,   23,    0,   65
 282,    0,   48,    1,   32,   10,   38
 283,   11,   59,    0,   38,   11,   57
 284,   10,   59,    0,   64,    0,   59
 285,   10,   40,    1,   44,    1,   57
 286,    0,   36,   10,   46,   11,   57
 287,    0,   25,   10,   52,    0,   65
 288,    1,   29,   10,   36,    1,   47
 289,   11,   63,   11,   55,    1,   13
 290,    1,   32,    1,   32,   11,   56
 291,   11,   60,    1,   41,    0,   41
 292,    0,   59,    1,   30,   11,   61
 293,    1,   54,    0,   45,   10,   61
 294,   10,   50,   10,   59,    1,   42
 295,   10,   65,   10,   64,    1,   44
 296,   10,   46,    1,   64,    1,   65
 297,   11,   56,   11,   65,    1,   47
 298,   11,   54,   11,   57,   10,   64
 299,    0,   47,    1,   18,   10,   65
 300,   10,   46,    1,   34,   10,   48
 301,    0,   65,   11,   56,    0,   38
 302,   10,   36,   11,   61,    1,   59
 303,   10,   45,   10,   65,    0,   52
 304,   11,   62,    0,   46,   11,   59
 305,   10,   43,    1,   55,    1,   36
 306,    0,   35,   10,   42,   11,   58
 307,    0,   32,   11,   64,   11,   54
 308,   11,   60,    0,   29,    1,   33
 309,    1,   62,    0,   52,   11,   58
 310,    0,   28,    1,   19,   10,   43
 311,    0,   29,   11,   59,   11,   65
 312,    0,   44,   11,   60,    0,   29
 313,   11,   57,   11,   63,   10,   57
 314,   11,   64,    0,   26,   10,   42
 315,   10,   50,    0,   22,    0,   57
 316,    0,   64,   11,   62,    1,   26
 317,    1,   30,    1,   51,   11,   55
 318,    0,   28,    0,   59,   10,   38
 319,    1,   36,   11,   63,    0,   48
 320,   10,   36,    0,   50,    1,   64
 321,   10,   56,    0,   41,   10,   61
 322,    0,   37,    1,   35,    1,   27
 323,   11,   64,    1,   46,    1,   43
 324,   10,   51,   10,   58,   11,   56
 325,    0,   42,   10,   60,   10,   63
 326,   11,   60,   11,   59,    1,   35
 327,    1,   47,    0,   53,   11,   59
 328,    0,   27,    0,   30,   11,   54
 329,   11,   65,    0,   26,   11,   58
 330,   11,   54,   11,   54,   10,   63
 331,   11,   57,   11,   58,    1,   31
 332,    1,   43,   11,   62,   11,   54
 333,   10,   46,    0,   62,    0,   26
 334,    0,   49,   10,   51,   10,   64
 335,   11,   64,    0,   61,    0,   49
 336,   11,   60,    1,   29,   11,   65
 337,   10,   57,    1,   19,   11,   61
 338,    1,   64,   10,   45,   11,   54
 339,   11,   55,    0,   30,   10,   54
 340,    1,   20,   11,   63,   10,   60
 341,   11,   55,   11,   64,   10,   50
 342,   10,   39,   11,   57,   11,   61
 343,   10,   52,    0,   19,    0,   55
 344,    0,   23,    1,   64,   11,   57
 345,   11,   55,    1,   43,   11,   54
 346,    1,   61,    0,   46,    1,   42
 347,   10,   48,   11,   65,   11,   54
 348,   11,   64,    0,   63,    0,   27
 349,   11,   63,   10,   44,    1,   33
 350,    0,   48,    0,   55,    0,   18
 351,    1,   53,   11,   60,   11,   55
 352,    1,   51,    1,   19,   10,   37
 353,    1,   25,    1,   38,   10,   38
 354,    1,   32,    1,   37,    1,   15
 355,    0,   48,   11,   60,    0,   21
 356,    0,   36,   10,   55,   10,   52
 357,    1,   47,   10,   48,   11,   62
 358,   11,   59,    1,   53,    0,   36
 359,   11,   58,   10,   43,    0,   23
 360,    1,   45,   10,   51,    0,   19
 361,    1,   62,    0,   30,    1,   61
 362,   11,   54,   10,   43,   10,   58
 363,   11,   62,   11,   63,    0,   20
 364,   10,   51,   11,   55,    1,   27
 365,   11,   59,   11,   62,   11,   61
 366,   11,   56,    1,   43,   11,   60
 367,   11,   61,   10,   47,    1,   27
 368,    0,   64,   10,   61,   11,   65
 369,    0,   34,   10,   45,    0,   54
 370,   10,   52,   10,   39,   11,   59
 371,   10,   54,   10,   57,    0,   41
 372,    0,   36,   10,   46,    1,   51
 373,    0,   63,   10,   40,   10,   38
 374,   10,   56,    1,   28,   10,   64
 375,   11,   58,   11,   55,    0,   65
 376,   11,   61,   10,   45,   11,   64
 377,    1,   23,   10,   57,   11,   63
 378,    0,   65,   11,   60,    1,   51
 379,   10,   38,   10,   36,   11,   63
 380,   10,   38,   10,   47,    0,   60
 381,   11,   65,   10,   61,    0,   32
 382,   11,   61,    0,   24,    0,   41
 383,    1,   51,    1,   16,   11,   61
 384,   11,   56,   11,   54,   10,   50
 385,    0,   57,    1,   60,   10,   61
 386,   11,   63,   10,   36,    0,   27
 387,   10,   36,    0,   41,    0,   33
 388,    0,   26,    1,   59,    0,   49
 389,   10,   56,    0,   34,    1,   41
 390,   11,   56,   10,   37,    1,   63
 391,   11,   55,   11,   62,   11,   59
 392,    1,   60,   10,   58,    0,   21
 393,    1,   29,   10,   46,   11,   62
 394,    1,   18,   10,   52,    0,   19
 395,   10,   51,   10,   48,    1,   33
 396,    0,   43,    0,   50,   10,   41
 397,    0,   29,   10,   48,   11,   60
 398,   10,   42,    0,   62,    0,   24
 399,    0,   45,   10,   48,    1,   46
 400,    1,   55,   10,   54,    0,   34
 401,   11,   56,   10,   65,    1,   39
 402,    0,   18,    0,   40,   10,   61
 403,    1,   29,   10,   55,   10,   62
 404,    0,   23,    1,   45,   10,   42
 405,    0,   62,    0,   18,    1,   39
 406,   10,   58,    0,   42,    1,   51
 407,    1,   55,    0,   65,   10,   48
 408,   10,   47,    0,   39,    1,   47
 409,   10,   60,    1,   20,    0,   45
 410,    1,   23,   11,   55,   11,   60
 411,   11,   64,    1,   37,    0,   35
 412,   11,   55,    0,   20,   11,   62
 413,   10,   49,    1,   43,   10,   59
 414,    0,   48,   10,   53,   10,   51
 415,   11,   61,   10,   36,    0,   46
 416,   11,   55,   10,   40,   11,   63
 417,   10,   38,    1,   26,    1,   54
 418,   10,   65,   10,   40,   11,   54
 419,    1,   46,    1,   13,    1,   25
 420,   11,   61,    0,   59,    0,   33
 421,   11,   63,    1,   40,   11,   62
 422,   10,   55,   11,   65,    1,   36
 423,   10,   43,   10,   63,    1,   31
 424,    1,   32,   10,   37,   11,   57
 425,   10,   48,   10,   53,   10,   40
 426,    0,   23,    1,   25,    1,   37
 427,   10,   39,    1,   63,    0,   18
 428,    1,   50,   11,   55,    0,   32
 429,   10,   63,    1,   54,    0,   48
 430,    0,   54,   11,   59,   10,   46
 431,   11,   58,   10,   65,   10,   49
 432,    0,   63,   10,   57,   10,   43
 433,   10,   38,    0,   58,   10,   45
 434,   10,   52,   10,   36,    0,   22
 435,   11,   59,    0,   35,   10,   49
 436,   10,   64,    1,   17,    0,   52
 437,    1,   18,   11,   64,    0,   47
 438,   10,   43,   11,   62,    1,   20
 439,    1,   56,    0,   51,   10,   52
 440,    0,   23,    1,   46,    1,   25
 441,    1,   37,   10,   52,    1,   34
 442,   11,   61,   11,   61,    1,   39
 443,    1,   58,   10,   62,   10,   43
 444,    1,   20,   11,   64,    1,   13
 445,    1,   54,   10,   56,    0,   22
 446,   10,   60,    0,   57,   11,   61
 447,   10,   36,    1,   37,   11,   59
 448,    0,   45,    0,   65,   10,   57
 449,   10,   64,    1,   27,    0,   19
 450,    1,   52,   10,   36,   10,   60
 451,   11,   63,    1,   50,   10,   37
 452,    0,   34,   10,   47,   10,   58
 453,   11,   57,   11,   60,   10,   55
 454,   10,   40,   10,   48,   11,   62
 455,   11,   65,   11,   61,   10,   50
 456,    1,   34,   11,   61,    0,   19
 457,    1,   35,    0,   28,    1,   32
 458,   10,   40,   11,   59,    0,   22
 459,   11,   54,   10,   41,   10,   65
 460,   11,   59,    1,   27,    1,   63
 461,    0,   40,   11,   55,    0,   57
 462,    1,   55,    1,   13,   11,   57
 463,    1,   15,   10,   60,    0,   62
 464,   10,   52,    0,   60,    1,   14
 465,   11,   58,    1,   15,    0,   20
 466,   11,   64,    1,   16,    0,   63
 467,   10,   59,    0,   21,   11,   55
 468,   11,   65,    1,   18,   10,   49
 469,   10,   62,   10,   40,    1,   57
 470,   10,   38,   10,   37,   11,   56
 471,   10,   65,   11,   60,    1,   49
 472,   10,   63,    0,   51,    0,   37
 473,   11,   58,    1,   31,    1,   12
 474,    0,   53,   10,   55,    0,   23
 475,    1,   38,    0,   64,   11,   64
 476,    0,   49,   11,   57,   11,   55
 477,   11,   55,    1,   22,    0,   50
 478,    0,   56,   11,   65,   11,   65
 479,   10,   36,    1,   33,   11,   59
 480,    1,   55,   11,   54,   11,   62
 481,   11,   61,    0,   50,    0,   65
 482,   11,   64,   10,   43,   11,   63
 483,   10,   41,    0,   45,   10,   48
 484,   11,   62,    1,   13,   10,   45
 485,   11,   56,   10,   41,   11,   61
 486,   11,   64,    1,   41,    1,   45
 487,    1,   56,    1,   53,    0,   35
 488,    1,   60,   10,   58,   10,   63
 489,   10,   54,   11,   63,    0,   59
 490,    0,   53,    1,   33,    0,   38
 491,   11,   63,   10,   55,    0,   21
 492,   11,   64,    0,   61,   10,   38
 493,    0,   26,    1,   60,    1,   41
 494,    1,   37,    1,   29,    1,   27
 495,   10,   36,   11,   60,   10,   48
 496,   10,   58,   10,   64,    1,   16
 497,   11,   62,    0,   41,   11,   65
 498,    1,   37,    1,   52,   10,   50
 499,    0,   46,    0,   35,    1,   15
 500,    0,   55,    1,   18,   11,   57
 501,    1,   49,    0,   55,   11,   59
 502,   10,   57,   11,   63,    1,   39
 503,    1,   40,   11,   55,   11,   60
 504,    0,   62,    0,   19,    1,   42
 505,    0,   48,   10,   52,    0,   35
 506,    0,   40,    1,   29,   11,   61
 507,    0,   49,   11,   58,   11,   61
 508,    1,   33,    0,   38,    1,   38
 509,   10,   62,    0,   56,   11,   61
 510,    0,   21,    0,   33,    1,   55
 511,    1,   20,   11,   62,   11,   59
 512,    0,   46,    1,   29,    0,   33
 513,    1,   31,   10,   39,    1,   52
 514,    1,   58,   11,   56,   10,   55
 515,    0,   44,    1,   24,   10,   62
 516,   11,   55,    1,   16,    1,   47
 517,   10,   37,    0,   48,   11,   61
 518,    0,   21,   10,   42,   10,   45
 519,   11,   64,   10,   57,   11,   61
 520,   10,   48,   11,   56,    0,   52
 521,    0,   42,   11,   58,   10,   62
 522,   10,   38,   10,   59,   11,   59
 523,    0,   34,    1,   62,    0,   61
 524,    1,   17,   11,   55,    0,   29
 525,   10,   55,   11,   61,   10,   50
 526,   10,   55,    1,   27,   10,   54
 527,    0,   27,   10,   60,    1,   21
 528,    0,   43,   10,   54,   10,   55
 529,   11,   57,   11,   56,    1,   38
 530,   10,   58,    0,   53,   11,   54
 531,   10,   36,    0,   59,    0,   61
 532,   10,   58,   10,   58,   10,   62
 533,    1,   32,   10,   51,   10,   47
 534,    1,   33,    0,   53,   10,   62
 535,   10,   48,   11,   54,   10,   63
 536,   11,   57,    1,   27,   11,   58
 537,    1,   29,    1,   58,    1,   40
 538,    1,   30,    1,   60,    1,   49
 539,    0,   61,    1,   28,    1,   51
 540,   11,   63,    0,   64,    1,   63
 541,    0,   63,    0,   59,    1,   57
 542,    0,   59,   10,   39,   11,   59
 543,    0,   58,    0,   19,   10,   38
 544,   10,   38,   11,   55,   10,   55
 545,    1,   17,    1,   30,   11,   56
 546,    0,   46,    1,   27,    0,   58
 547,    0,   61,   11,   55,   11,   57
 548,   11,   57,    1,   50,   10,   58
 549,    1,   15,    1,   59,   11,   65
 550,   10,   45,    1,   38,    0,   59
 551,    0,   33,   11,   60,   11,   54
 552,   11,   61,   11,   62,   11,   58
 553,   10,   61,   10,   59,   11,   57
 554,    1,   33,    0,   61,   11,   55
 555,   11,   57,   10,   50,    1,   44
 556,   11,   58,    0,   58,   11,   63
 557,    0,   38,   11,   64,   11,   65
 558,   10,   40,    1,   63,    0,   62
 559,    1,   43,   11,   55,    0,   40
 560,   11,   65,   10,   41,   11,   58
 561,    1,   43,    1,   40,   11,   54
 562,   11,   59,   11,   64,   10,   50
 563,   10,   53,    1,   50,   11,   58
 564,   11,   60,    1,   20,   10,   44
 565,   11,   65,    1,   32,    1,   25
 566,   11,   63,   11,   54,   11,   63
 567,   11,   65,    1,   16,   10,   52
 568,    0,   53,   11,   62,   11,   63
 569,   11,   55,   10,   54,   11,   59
 570,    1,   40,    1,   12,    0,   27
 571,    1,   47,   10,   53,   11,   55
 572,    1,   41,   11,   64,   10,   55
 573,   11,   63,   10,   36,    1,   15
 574,   11,   63,    1,   17,   10,   46
 575,   10,   61,   10,   60,    0,   29
 576,    1,   37,   11,   56,   10,   52
 577,   10,   36,    0,   22,    1,   44
 578,   10,   55,    0,   59,    1,   56
 579,    0,   36,   10,   54,   10,   63
 580,   11,   61,   10,   48,   10,   54
 581,   11,   56,    1,   21,    0,   19
 582,    0,   54,    1,   28,    0,   45
 583,    1,   14,    1,   55,   11,   65
 584,   11,   59,   11,   63,    1,   32
 585,   10,   49,   10,   60,   11,   61
 586,   10,   42,    1,   24,   10,   52
 587,    0,   25,    0,   23,   10,   55
 588,   10,   59,   10,   43,   11,   58
 589,    0,   28,    1,   45,   11,   64
 590,   11,   63,   10,   41,   10,   56
 591,    1,   32,    1,   65,   10,   46
 592,    0,   34,    0,   57,    0,   36
 593,   10,   43,    0,   64,   11,   54
 594,   10,   37,    1,   17,   11,   56
 595,    1,   16,   11,   60,    1,   41
 596,    0,   56,    1,   57,   10,   44
 597,    1,   27,   11,   64,   10,   56
 598,    0,   56,    1,   26,    1,   60
 599,    0,   65,    1,   45,   10,   37
 600,   11,   58,    1,   56,    1,   19
 601,    0,   51,    0,   46,    0,   23
 602,    1,   27,    0,   63,   11,   65
 603,   11,   64,   10,   48,   10,   51
 604,    0,   55,    0,   49,   11,   60
 605,    0,   35,   10,   48,    0,   46
 606,   11,   65,    0,   49,    0,   25
 607,   10,   54,    0,   53,   11,   65
 608,    0,   50,   10,   56,   11,   57
 609,   11,   55,    0,   62,    1,   50
 610,    0,   46,    1,   51,   10,   63
 611,   11,   59,    0,   50,    1,   50
 612,   11,   58,    1,   30,    1,   25
 613,    1,   31,    1,   63,    1,   12
 614,   11,   60,    1,   54,    0,   59
 615,    0,   19,    0,   58,    0,   61
 616,    1,   22,   10,   43,   10,   58
 617,   10,   45,   10,   54,    0,   40
 618,   10,   47,    0,   61,    0,   59
 619,    0,   65,   11,   55,   11,   62
 620,   11,   59,    1,   54,   10,   52
 621,   11,   63,    1,   61,   10,   61
 622,    0,   24,    0,   29,    0,   19
 623,   10,   53,   10,   54,    1,   36
 624,    0,   47,   10,   54,   11,   62
 625,    0,   47,   10,   56,   10,   58
 626,    1,   42,   11,   57,   10,   58
 627,   11,   60,   11,   65,   10,   49
 628,    0,   46,    1,   49,   10,   61
 629,   10,   60,   11,   65,    1,   43
 630,   10,   53,   10,   64,    0,   32
 631,    1,   39,   11,   59,    0,   59
 632,   10,   59,    1,   63,    1,   36
 633,    1,   29,   11,   60,   10,   54
 634,    1,   30,    0,   36,    1,   30
 635,   10,   56,   10,   42,    0,   64
 636,    1,   37,    0,   50,    0,   20
 637,    1,   64,    1,   15,   10,   41
 638,    1,   37,   10,   45,   11,   63
 639,   10,   38,   11,   63,   11,   63
 640,    0,   61,    1,   26,    0,   25
 641,    1,   24,   11,   54,    1,   32
 642,   11,   64,    1,   48,    1,   25
 643,   10,   49,   10,   58,   10,   43
 644,    0,   18,    1,   47,   11,   57
 645,    0,   41,    1,   30,    0,   42
 646,    1,   50,   10,   47,    0,   64
 647,    0,   53,   10,   36,   10,   65
 648,    0,   52,   10,   52,    1,   36
 649,    0,   35,   10,   61,   10,   54
 650,    0,   18,   11,   63,   11,   55
 651,   11,   57,   10,   36,   11,   65
 652,   11,   55,    0,   44,    1,   13
 653,    1,   54,   11,   56,   11,   58
 654,   11,   58,   11,   62,    1,   15
 655,    0,   63,   10,   59,    0,   43
 656,   10,   64,   10,   63,    1,   43
 657,   10,   38,    0,   30,    1,   21
 658,    1,   17,    0,   59,    0,   39
 659,    0,   56,    1,   47,   11,   58
 660,    0,   25,    1,   44,   10,   53
 661,    0,   18,    0,   39,   11,   60
 662,   11,   64,   11,   57,   10,   48
