nExp, valid,  A0,  A1,  A2,  A3,  A4,  A5,  A6,  A7
  44,     1, -22, -14,  82,  -6, -18, -26,  -6, -30
  45,     1,  -6,  -6,  70, -14, -26, -26,  -6, -10
  46,     1,  -6,  94,  -2,  -2,  -2,  -2,  -2,  -2
  47,     1,  74,  -6,  -6,  -6,  -6, -18, -26,  -6
  48,     1,  -9, -37,  67,  -9,  -9,  -9, -21,  -9
  49,     1,  79,  -5,  -5,  -5,  -5, -25, -25,  -5
  50,     0, -27, -43, -11, -11, -15, -11, -43, -15
  51,     1,  -7,  -7,  73,  -7,  -7,  -7,  -7,  -7
  52,     1,  -2,  -6,  -2,  -2,  -2,  -2,  -2,  94
  53,     1,  -7, -31,  -7, -23,  85,  -7,  -7,  -7
  54,     1,  -5,  -5,  -5, -13,  79,  -5,  -9,  -5
  55,     1,  84,  -4,  -4, -12,  -4,  -4,  -4,  -4
  56,     1,  -5, -21, -17,  -5,  87,  -5,  -5,  -5
  57,     1, -41, -37, -41,  79,  -9,  -9, -21,  -9
  58,     1,  -7,  -3,  -3,  -3,  85,  -3,  -3,  -7
  59,     1,  -6,  -6,  -6, -30, -18,  -6, -10,  70
  60,     1,  -7,  -7, -23,  -7,  -7,  89, -31,  -7
  61,     1, -29,  75, -25,  -9,  -9, -21,  -9,  -9
  62,     1,  -7,  -7,  -7,  -7, -23,  -7,  85,  -7
  63,     1,  88,  -4,  -4,  -4, -16,  -8, -16,  -4
  64,     1, -27,  -7, -23, -23, -35, -27,  -7,  81
  65,     0, -31, -43, -11, -11, -11, -11, -43, -11
  66,     1, -40,  -8,  -8,  -8,  -8, -36,  88,  -8
  67,     1,  89,  -7,  -3,  -7,  -3,  -3,  -3,  -3
  68,     0, -31, -11, -11, -11, -19, -11, -11, -43
  69,     1,  -7, -19,  -7, -19,  -7,  77, -11,  -7
  70,     1, -10, -10, -42, -10,  58, -42, -10, -18
  71,     0, -42, -34, -46, -10, -30, -10, -10, -10
  72,     0, -51, -11, -31, -11, -35, -43, -11, -11
  73,     1,  -3,  -3,  -3,  89,  -3,  -3,  -3,  -3
  74,     1,  -2,  -2,  -2,  -2,  -2,  -2,  94,  -2
  75,     1,  -6,  90, -30,  -6, -18, -22,  -6,  -6
  76,     1,  -2,  94,  -2,  -2,  -2,  -6,  -2,  -2
  77,     1,  -4,  -4,  -4,  -4,  84,  -4,  -4,  -4
  78,     1,  -8, -16,  -8,  -8,  -8,  84, -36, -20
  79,     1,  -8,  -4,  88,  -4,  -4,  -4,  -4, -12
  80,     1,  -2,  -2,  -2,  -2,  94,  -2,  -2,  -2
  81,     1,  -5,  -5,  -5,  -5,  -5,  -5,  83,  -5
  82,     1, -15,  -7,  -7,  -7, -11, -23, -19,  69
  83,     1,  -4, -16,  80,  -4, -20,  -4,  -4,  -4
  84,     1,  -7,  -7, -31, -31,  73,  -7,  -7,  -7
  85,     1,  -9, -37,  -9,  -9,  -9,  87,  -9,  -9
  86,     1,  -7, -31, -27, -11,  65, -35, -23,  -7
  87,     1,  67,  -9,  -9,  -9, -21, -33, -37,  -9
  88,     0, -15, -31, -19, -43, -35, -11, -43, -11
  89,     1, -36, -28,  64,  -8,  -8, -36,  -8,  -8
  90,     1,  -7,  -7,  -7,  69,  -7, -27, -19, -23
  91,     1,  70, -18,  -6,  -6,  -6, -14,  -6, -10
  92,     1, -22, -10, -10, -10, -18, -34,  58, -38
  93,     1,  -6, -22,  86, -18,  -6,  -6,  -6, -14
  94,     1,  -4, -12,  88, -12, -16,  -4,  -4,  -4
  95,     1, -16,  84,  -4,  -4,  -4,  -4,  -4,  -4
  96,     1,  -3,  -3,  -3,  -3,  -3,  -3,  93, -11
  97,     1,  -5,  -5, -13,  79,  -5,  -5,  -9, -25
  98,     0, -43, -23, -43, -51, -31, -11, -11, -43
  99,     0, -11, -31, -27, -31, -43, -31, -35, -11
 100,     1, -12,  -4,  84,  -4,  -4,  -4,  -4,  -4
 101,     1, -25,  -9,  75, -21, -41, -25, -41,  -9
 102,     1,  58, -10, -14, -10, -10, -10, -10, -10
 103,     1, -11, -11, -19, -11, -43,  53, -11, -43
 104,     1,  -7,  -7,  -7,  89,  -7, -15, -11, -35
 105,     1,  -9,  -9,  -9, -17,  -9,  87,  -9,  -9
 106,     1, -10,  66, -42, -10, -42, -42, -10, -22
 107,     0, -18, -10, -10, -10, -10, -38, -10, -10
 108,     0, -31, -11, -11, -11, -23, -43, -43, -19
 109,     1, -10,  62, -18, -26, -10, -10,  66, -10
 110,     1,  -8, -20,  64, -16,  -8,  -8,  -8, -40
 111,     0, -11, -39, -39, -11, -11, -19, -11, -11
 112,     1,  -8,  -8, -24,  -8, -16,  -8,  68,  -8
 113,     1, -26,  82,  -6, -26,  -6, -18,  -6,  -6
 114,     1, -12, -32,  -8, -24,  84,  -8,  -8,  -8
 115,     1,  -4,  -4,  -4,  -4,  -4,  88,  -4,  -4
 116,     1,  -4,  -8,  -4,  80,  -4,  -4,  -4,  -4
 117,     1,  -8,  -4,  88,  -4,  -4,  -4,  -4,  -4
 118,     1,  -8,  -4,  -4,  -4,  -4,  -4,  88, -16
 119,     1,  -9,  -9,  -9,  75,  -9,  -9, -33, -41
 120,     1,  -7,  -7,  -7, -19,  85,  -7,  -7,  -7
 121,     1,  80,  -4,  -4,  -4,  -4,  -4,  -4, -12
 122,     1,  62, -10, -10, -10, -26, -14, -10, -30
 123,     1,  84, -16,  -4,  -4,  -4, -16,  -4, -12
 124,     1, -21,  -9, -37,  -9,  -9,  -9,  59,  -9
 125,     0, -43, -35, -11, -11, -11, -11, -39, -11
 126,     1,  -5,  79,  -5, -17,  -9,  -5, -13,  -5
 127,     1, -11,  -3,  -3,  -3,  85,  -3,  -3,  -3
 128,     1,  -8,  -8, -20, -32, -36,  72,  -8, -24
 129,     0, -23, -11, -11, -11, -43, -23, -43, -11
 130,     1, -10, -10, -10, -10, -38, -42, -10,  70
 131,     1,  -5,  83, -21,  -5,  -5, -13,  -5,  -9
 132,     0, -43, -35, -15, -11, -31, -39, -11, -31
 133,     1,  -8,  -8, -20, -28,  -8, -28,  64,  -8
 134,     1,  -7,  -7, -11,  -7,  -7,  -7,  65,  -7
 135,     1,  -9,  63, -13,  -9,  -9, -21, -17, -25
 136,     1,  -4,  -4, -12,  -4,  -4,  -4,  88, -16
 137,     1, -16,  -4,  -4,  -8,  -4,  -4, -16,  84
 138,     1,  -5,  -5,  -5,  87,  -5,  -5,  -5,  -9
 139,     1, -31, -23,  -7,  85,  -7, -27, -23,  -7
 140,     1,  -9,  -9,  63,  -9, -41, -25, -41,  -9
 141,     1,  -7,  65,  -7,  -7,  -7, -31, -11,  -7
 142,     1, -18,  -6, -14, -10,  74,  -6,  -6,  -6
 143,     0, -23, -31, -47, -27, -31, -11, -11, -11
 144,     1, -12, -20,  68,  -8,  -8, -40,  -8,  -8
 145,     1,  -4,  -4,  -4, -16,  84,  -4, -12, -12
 146,     1,  82,  -6,  -6, -30, -10,  -6,  -6, -26
 147,     1, -15,  -7,  -7,  -7,  73, -27,  -7,  -7
 148,     1, -28,  64,  -8, -40,  -8, -12,  -8,  -8
 149,     1,  60, -16,  -8, -36,  -8,  -8,  -8, -40
 150,     0, -39, -19, -31, -15, -11, -43, -43, -27
 151,     0, -11, -27, -11, -19, -23, -11, -11, -15
 152,     1,  93,  -7,  -3,  -3,  -3,  -3,  -3,  -3
 153,     0, -11, -47, -11, -15, -11, -11, -11, -15
 154,     1,  -3,  -3,  -3,  -7,  -3,  89,  -3, -11
 155,     1,  -8,  -8,  -8, -24,  64, -32, -24, -12
 156,     1,  -4, -12,  -4, -16,  92,  -8, -16,  -4
 157,     1,  -2,  -2,  90,  -2,  -2,  -2,  -6,  -2
 158,     1,  -7, -27, -23, -23, -31,  69,  -7, -11
 159,     1, -16,  -4,  -4,  -4,  -4, -20,  -4,  84
 160,     1,  -5,  -9,  -5,  -5, -21, -17,  87,  -5
 161,     1, -11, -23, -43, -11, -39, -11,  53, -11
 162,     1, -31,  -7,  -7, -15,  -7,  69, -15,  -7
 163,     1,  92,  -4, -12, -16,  -4,  -4,  -4,  -8
 164,     1,  -7, -11,  73,  -7,  -7, -19, -23, -35
 165,     1,  89,  -7,  -3, -15,  -3,  -3,  -3,  -3
 166,     1,  -4,  -4,  -4,  -4,  80,  -4,  -4, -16
 167,     1,  -3,  89,  -3,  -3,  -7,  -3,  -7,  -3
 168,     1,  89,  -7, -11, -23, -11, -23,  -7,  -7
 169,     1, -14,  70, -42, -14, -10, -10, -10, -10
 170,     1, -32,  -8, -16, -24, -24, -28, -32,  68
 171,     1,  -4,  -4,  -4,  -4,  92,  -4,  -4,  -4
 172,     1,  -4,  -4, -16,  -4,  -4,  92,  -4,  -4
 173,     1, -10, -10, -42, -42, -18, -10,  62, -10
 174,     1,  -2,  -2,  90,  -2,  -2,  -2,  -2,  -2
 175,     1,  -8, -40, -12,  -8, -24,  -8,  72, -40
 176,     1,  70, -14,  -6, -22, -10,  -6, -14, -10
 177,     1,  -2,  -2,  -2,  -2,  -2,  90,  -2,  -2
 178,     1,  -6,  82,  -6,  -6,  -6,  -6,  -6,  -6
 179,     1, -12,  76, -20, -36, -24,  -8, -40,  -8
 180,     1, -14, -10, -10, -38, -38,  86, -42, -10
 181,     1,  -7,  -7,  -7, -31,  -7,  -7,  73,  -7
 182,     1,  -8,  -8, -12,  -8,  -8, -36,  84, -16
 183,     1, -37, -37, -41,  -9,  -9,  75,  -9,  -9
 184,     1,  82,  -6,  -6,  -6, -22,  -6, -22,  -6
 185,     1,  -4,  -4,  -4,  92,  -4, -16,  -4, -20
 186,     1, -10,  62, -42, -10, -10, -10, -14, -10
 187,     0, -11, -19, -11, -23, -47, -11, -27, -27
 188,     0, -11, -11, -27, -27, -11, -11, -11, -31
 189,     1,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  88
 190,     1, -42, -10,  58, -10, -42, -10, -22, -14
 191,     1, -33,  -9,  -9,  -9,  -9, -29, -25,  67
 192,     1,  85,  -7,  -7,  -7,  -7,  -7,  -7,  -7
 193,     0, -35, -15, -11, -31, -11, -11, -11, -43
 194,     1,  -9, -41,  -9,  -9,  -9,  -9,  63,  -9
 195,     1,  72, -36,  -8,  -8, -16, -16,  -8,  -8
 196,     1,  71,  -9, -37,  -9,  -9, -17, -21,  -9
 197,     0, -11, -27, -51, -11, -11, -19, -11, -11
 198,     1, -36, -24, -36,  -8,  -8, -40,  -8,  84
 199,     1,  -9,  -9,  83, -21, -41, -13,  -9,  -9
 200,     1, -40,  64,  -8,  -8, -12,  -8, -36,  -8
 201,     1, -36,  -8, -36,  -8,  80, -12,  -8,  -8
 202,     1, -42,  78, -10, -38, -10, -38, -10, -34
 203,     0, -42, -10, -34, -14, -26, -10, -38, -10
 204,     1,  -5, -21, -21,  -5,  87,  -5,  -5,  -5
 205,     0, -11, -43, -11, -11, -11, -19, -31, -11
 206,     1, -25,  -5,  -9,  -9,  -5,  91,  -5,  -5
 207,     1,  -9, -37,  -9, -37,  -9,  -9,  -9,  87
 208,     1,  -8, -16,  60, -16, -12,  -8,  -8,  -8
 209,     1,  -9, -41,  -9, -41, -21,  -9,  63,  -9
 210,     1, -15,  -7,  -7,  77,  -7, -31,  -7, -31
 211,     0, -39, -23, -43, -11, -11, -19, -19, -11
 212,     1,  -2,  -2,  -2,  -6,  -2,  -2,  90,  -2
 213,     1, -15, -23,  53, -35, -23, -11, -11, -11
 214,     1, -10,  -6,  -6,  -6,  78, -10, -30, -22
 215,     1,  70, -18,  -6,  -6, -30, -30, -10,  -6
 216,     0, -11, -31, -31, -11, -27, -43, -35, -11
 217,     1,  -9,  -9,  -9, -37, -37,  -9,  -9,  63
 218,     1,  -8, -16,  88,  -8,  -8,  -8, -40, -20
 219,     1, -27, -27, -35, -27, -23,  -7,  69,  -7
 220,     1, -29,  -9, -29,  63, -21,  -9,  -9, -17
 221,     1,  -5, -17,  -5,  -5,  -5,  91,  -5,  -5
 222,     1,  -2,  -2,  -2, -10,  -2,  -2,  -2,  90
 223,     1, -30, -22,  62, -26, -10, -10, -10, -10
 224,     1,  53, -15, -43, -11, -11, -39, -11, -43
 225,     0, -27, -43, -39, -43, -23, -43, -11, -19
 226,     1, -24,  -8, -16,  72, -36, -32,  -8,  -8
 227,     1, -38, -22,  58, -42, -18, -10, -42, -10
 228,     1,  84,  -8,  -8,  -8, -12,  -8,  -8, -24
 229,     1, -21,  67,  -9, -37,  -9, -13, -17,  -9
 230,     1, -30, -42,  66, -10, -10, -10, -42, -10
 231,     1, -28,  -8,  -8,  -8,  72,  -8,  -8, -24
 232,     1, -13,  -9, -41, -25, -37,  -9,  63, -33
 233,     1,  -3,  -3,  93,  -3,  -3,  -3,  -3,  -3
 234,     1,  89,  -7,  -7, -23, -11,  -7,  -7, -11
 235,     1,  62, -38, -42, -46, -42, -14, -46, -46
 236,     1,  -6,  -6, -22, -30,  -6,  78,  -6,  -6
 237,     1,  -4,  -4, -16,  88, -16,  -4,  -4,  -4
 238,     1, -26,  54, -10, -42, -42, -10, -10, -10
 239,     0, -10, -34, -10, -18, -42, -10, -42, -10
 240,     1,  74, -42, -26, -34, -30, -10, -34, -10
 241,     1, -29, -29,  71,  -9, -21,  -9, -33,  -9
 242,     1,  88,  -4,  -4,  -4,  -8,  -4, -20, -12
 243,     1,  -3,  -3,  -3,  -3,  -3, -11,  89,  -3
 244,     1, -28, -16, -28,  -8,  -8, -36, -20,  84
 245,     1, -10, -30, -26, -18, -26, -10,  58, -10
 246,     1,  -6,  -6,  -6,  70,  -6, -14,  -6, -10
 247,     1,  -3, -11,  -3,  -3,  -3,  -3,  -3,  89
 248,     1,  90,  -6, -22,  -6, -10,  -6, -18,  -6
 249,     1,  87,  -5,  -5,  -5,  -5,  -9,  -5,  -5
 250,     0, -19, -23, -15, -43, -47, -19, -11, -11
 251,     1,  -8, -32, -16,  88, -12,  -8, -24,  -8
 252,     1,  68, -36, -12, -16, -24,  -8, -24,  -8
 253,     1,  -3,  -7,  -3,  -7,  -3,  -7,  -3,  89
 254,     1,  -7,  -7, -31, -31,  81,  -7,  -7,  -7
 255,     0, -43, -15, -15, -43, -27, -11, -11, -11
 256,     1,  91,  -5,  -5, -21,  -5,  -5,  -5, -17
 257,     1, -17,  -5,  -5,  -5,  79,  -5,  -5,  -5
 258,     0, -11, -47, -11, -23, -27, -11, -11, -11
 259,     1,  60,  -8,  -8,  -8,  -8,  -8, -36, -12
 260,     1,  -4,  -4,  88,  -4,  -4,  -4,  -4,  -4
 261,     1,  -8, -16,  -8, -40,  -8,  -8, -32,  76
 262,     0, -31, -31, -11, -31, -43, -11, -43, -11
 263,     1,  -6,  90,  -6, -26, -10,  -6,  -6, -14
 264,     1, -20,  -8,  68,  -8,  -8, -12, -28,  -8
 265,     1,  77,  -7, -31,  -7,  -7,  -7,  -7, -23
 266,     1, -26,  58, -10, -10, -42, -14, -10, -46
 267,     1, -21,  -5,  -5,  -5,  -5, -21,  79,  -5
 268,     0, -11, -11, -11, -11, -11, -27, -43, -11
 269,     1, -25,  -5,  -5,  -5,  -5,  79, -21,  -5
 270,     1,  -5,  -5, -21,  -5,  -5,  87,  -5,  -5
 271,     1,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  90
 272,     1,  71, -13,  -9,  -9,  -9, -37,  -9, -21
 273,     1,  -7,  -7,  89,  -7, -19, -15,  -7,  -7
 274,     1,  78,  -6, -30, -22,  -6,  -6,  -6,  -6
 275,     1, -19,  -7,  -7,  73, -15,  -7,  -7,  -7
 276,     1,  88,  -8,  -4, -16,  -4,  -8,  -4,  -4
 277,     1, -21,  -9, -25, -41, -25,  83,  -9, -33
 278,     0, -11, -19, -47, -27, -43, -31, -31, -27
 279,     1,  -4,  -4, -16,  -4, -16,  84,  -4,  -4
 280,     1,  -9,  -9,  -9,  -9, -21,  -9, -25,  67
 281,     1,  84,  -4, -12, -16,  -4,  -4, -20,  -4
 282,     1,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  80
 283,     1,  75,  -9,  -9,  -9,  -9,  -9,  -9,  -9
 284,     1,  85,  -3,  -7,  -3,  -3,  -3,  -3,  -3
 285,     1,  -7,  -7,  -7, -15,  -7,  -7,  65,  -7
 286,     1,  -6, -10, -30, -22, -22,  -6, -22,  78
 287,     1,  -5,  -5,  -5,  -5, -17,  -5,  79,  -9
 288,     1,  -6,  -6,  -6,  90, -10,  -6,  -6, -26
 289,     1,  -4,  92,  -8, -16, -20, -16, -12,  -4
 290,     1,  -9,  -9,  -9, -41, -29,  63, -21, -17
 291,     1,  91,  -5,  -5,  -5,  -5,  -5,  -5,  -5
 292,     1,  -9,  71,  -9, -29, -21, -25,  -9, -25
 293,     1,  -6,  -6,  -6,  -6,  90, -10,  -6, -22
 294,     0, -11, -11, -31, -35, -11, -27, -23, -19
 295,     1,  -4,  -4, -16,  -4,  88,  -4, -20,  -4
 296,     1, -36,  68,  -8, -12, -12,  84, -32,  -8
 297,     1, -10, -10, -10, -42, -26,  82, -18, -10
 298,     1, -20,  -8,  -8,  -8,  68, -12,  -8, -20
 299,     1, -24, -16, -36, -32, -28,  76, -16,  -8
 300,     1,  82,  -6, -26,  -6,  -6,  -6,  -6,  -6
 301,     1,  75,  -9,  -9, -33,  -9,  -9, -25,  -9
 302,     0, -31, -11, -11, -11, -23, -43, -31, -11
 303,     1,  60,  -8, -12,  -8,  -8,  -8,  -8,  -8
 304,     1,  -2,  -2,  -6,  -2,  -2,  94,  -2,  -2
 305,     1,  -9,  -9,  -9, -25,  -9, -17,  -9,  67
 306,     1,  -5,  83,  -5, -17,  -5, -17,  -5,  -5
 307,     1, -22, -42, -10, -38, -34,  54, -26, -10
 308,     1, -10, -10, -10, -10,  58, -42, -10, -10
 309,     1, -15,  89,  -3,  -7,  -7,  -7,  -3,  -3
 310,     1,  -5,  -5,  -5,  -5,  -5,  91,  -5,  -5
 311,     1,  -6,  -6, -30,  -6,  -6,  -6,  86, -14
 312,     0, -27, -11, -47, -11, -11, -27, -11, -11
 313,     1,  -4,  -4,  -8,  -4,  -4,  -4,  -4,  80
 314,     1, -29, -25, -41,  -9, -37,  79, -25,  -9
 315,     1,  -3,  93, -11,  -3, -15,  -3,  -3,  -7
 316,     1, -30,  -6, -30,  -6,  -6,  90,  -6,  -6
 317,     1, -13, -21,  71, -29, -33, -29, -37,  -9
 318,     1, -30, -42, -10, -42, -10, -14, -42,  66
 319,     1,  -6,  -6,  -6,  -6,  86, -18,  -6,  -6
 320,     0, -11, -11, -11, -43, -15, -47, -11, -43
 321,     1, -12, -32,  -8, -16,  -8,  -8,  -8,  88
 322,     0, -11, -11, -11, -43, -31, -11, -31, -11
 323,     1,  -8,  -8,  -8, -28, -36, -28,  -8,  64
 324,     1, -13,  -5,  -9,  -5,  -5,  -5,  79, -13
 325,     0, -22, -10, -38, -22, -18, -26, -10, -14
 326,     0, -43, -15, -11, -11, -35, -23, -43, -19
 327,     1,  92,  -4,  -4, -16, -16,  -4,  -4,  -4
 328,     1,  -4,  -4,  92,  -4,  -4,  -4,  -4,  -4
 329,     1, -14,  74,  -6, -14,  -6,  -6,  -6,  -6
 330,     1,  -6, -18, -22, -26, -26,  -6,  -6,  78
 331,     1,  -5,  87,  -5,  -5,  -5,  -9,  -5,  -9
 332,     1,  -7,  -7, -15,  -7,  89, -35,  -7,  -7
 333,     1,  -9,  -5,  -5,  79, -21,  -5, -17,  -9
 334,     1, -34, -18, -10, -10, -18, -26, -10,  58
 335,     0, -19, -11, -19, -11, -11, -11, -11, -43
 336,     1,  70,  -6,  -6,  -6, -26,  -6,  -6, -18
 337,     0, -11, -11, -31, -43, -11, -35, -11, -11
 338,     0, -11, -11, -11, -35, -43, -19, -43, -11
 339,     1,  -4, -12, -12,  -4,  -4,  -4,  80,  -4
 340,     1,  -7,  -3,  -3,  -3,  -3,  -3,  -3,  89
 341,     1,  -3,  -3,  -3, -11,  93,  -3, -11,  -3
 342,     1, -11,  -3, -11,  -3,  93,  -3,  -3,  -3
 343,     1,  -7,  -7,  85, -15, -31, -23,  -7,  -7
 344,     1,  -3,  -3,  -3,  93,  -3,  -3,  -3,  -3
 345,     1,  -4, -20,  -4,  -4,  -4,  -4,  -4,  92
 346,     0, -11, -11, -11, -11, -31, -11, -43, -35
 347,     1,  58, -42, -10, -10, -10, -30, -38, -10
 348,     1,  -4,  88,  -4,  -4,  -4, -20,  -4,  -4
 349,     1,  -7,  -3,  -3,  -3,  -3,  -3,  -3,  93
 350,     1,  -8,  -8,  -8, -20,  -8,  -8,  76, -16
 351,     1,  -8,  88, -16, -32, -28,  -8,  -8,  -8
 352,     0, -31, -11, -43, -23, -11, -27, -11, -11
 353,     1,  -8,  80,  -8, -20,  -8,  -8,  -8, -24
 354,     0, -27, -43, -35, -15, -11, -43, -27, -19
 355,     1,  -9, -29,  -9, -41, -37, -29,  67,  -9
 356,     1,  -9,  -9,  -9,  -9,  -9,  -9,  67, -29
 357,     1,  70, -10, -46, -38, -10, -22, -18, -26
 358,     1,  91,  -5,  -5,  -5,  -5,  -5,  -5, -17
 359,     1,  -3,  -3, -11,  -3,  -3,  93, -11,  -3
 360,     0, -10, -42, -18, -42, -10, -10, -18, -42
 361,     1, -38, -34, -10, -22, -10, -10,  58, -10
 362,     1,  -4,  -4,  92, -12,  -4,  -4,  -4,  -4
 363,     1,  -8, -16,  -8,  -8, -40,  80,  -8,  -8
 364,     1,  -8,  -8,  -8,  72,  -8,  -8,  -8, -12
 365,     1, -26, -10, -26,  -6,  90,  -6, -18,  -6
 366,     1, -30, -18, -26, -18,  90, -10,  -6, -26
 367,     0, -47, -11, -11, -47, -43, -31, -43, -11
 368,     0, -11, -35, -47, -15, -11, -11, -27, -11
 369,     1,  83,  -5,  -5,  -5,  -5, -25,  -5,  -5
 370,     1,  -9, -13,  59,  -9,  -9, -25,  -9,  -9
 371,     1, -17,  -5,  -5, -17,  -5,  -5,  83,  -5
 372,     1,  86,  -6, -10,  -6, -10,  -6,  -6,  -6
 373,     1,  70,  -6, -18,  -6, -26,  -6,  -6,  -6
 374,     1,  -4,  92,  -4,  -8,  -4,  -4,  -4,  -4
 375,     1,  -6,  -6, -18,  -6,  -6,  -6,  78, -14
 376,     1,  -8,  -8, -12, -20, -32, -28,  64, -40
 377,     1,  90,  -6,  -6, -30,  -6, -10, -10,  -6
 378,     1, -40,  -8,  -8,  -8,  -8,  -8,  60, -20
 379,     1, -30,  -6,  -6,  -6,  -6,  -6,  -6,  90
 380,     0, -14, -10, -10, -34, -10, -18, -14, -10
 381,     0, -43, -19, -43, -11, -11, -23, -11, -15
 382,     0, -43, -11, -39, -11, -11, -11, -23, -11
 383,     1,  -6,  -6,  -6,  -6,  -6, -18,  82, -22
 384,     1,  -9, -13, -17,  -9,  -9,  -9,  87,  -9
 385,     1,  -8,  -8,  -8,  -8, -28, -32,  64, -32
 386,     1,  -8,  76, -16, -32, -28, -40,  -8,  -8
 387,     1,  -3,  85,  -3,  -3,  -3,  -3,  -3,  -3
 388,     1,  -7,  -3,  -3,  89,  -3, -11,  -3,  -3
 389,     1,  -5,  -5,  -5,  83,  -5,  -5,  -5,  -5
 390,     1,  -4, -16,  -4, -12, -12, -16,  80,  -4
 391,     1,  -7,  -7,  -7,  -7,  -7,  -7,  65, -23
 392,     1, -27,  73,  -7,  -7,  -7,  -7, -27, -15
 393,     1, -22,  74, -26,  -6,  -6, -10,  -6, -22
 394,     1, -29, -21,  -9,  71, -13,  -9, -25,  -9
 395,     1,  -3, -11,  -3,  -3,  -3,  -3,  -3,  85
 396,     1,  79, -17,  -5,  -5,  -5,  -5,  -5,  -5
 397,     0, -11, -11, -11, -43, -43, -27, -11, -11
 398,     1,  -9,  -9,  -9, -21,  -9,  -9,  59,  -9
 399,     1, -15,  -3, -15,  -7,  -3, -15,  89, -11
 400,     1, -38,  66, -10, -38, -18, -10, -10, -10
 401,     1, -12, -32, -16,  -8,  -8,  64,  -8,  -8
 402,     1,  -9,  -9,  75,  -9, -21,  -9,  -9,  -9
 403,     0, -11, -11, -11, -11, -11, -11, -43, -19
 404,     1,  90,  -2,  -6,  -2,  -2,  -2,  -2,  -2
 405,     1, -21,  -5,  -5,  -5,  -5,  83,  -5,  -5
 406,     1,  71, -21,  -9, -17,  -9, -41, -17,  -9
 407,     1,  78,  -6, -10,  -6,  -6,  -6, -14,  -6
 408,     1,  -5, -17,  -5,  91, -17,  -5,  -9, -25
 409,     0, -11, -11, -11, -15, -11, -27, -19, -11
 410,     1,  -3,  89, -15,  -3,  -3,  -3,  -3,  -3
 411,     0, -18, -38, -10, -10, -42, -10, -26, -42
 412,     1, -31,  -7, -35, -11,  89,  -7,  -7, -19
 413,     0, -10, -10, -10, -46, -14, -26, -38, -14
