nExp,  A0x,  A0y,  A1x,  A1y,  A2x,  A2y,  A3x,  A3y,  A4x,  A4y,  A5x,  A5y,  A6x,  A6y,  A7x,  A7y,  A8x,  A8y,  A9x,  A9y,  A10x,  A10y,  A11x,  A11y,  A12x,  A12y,  A13x,  A13y,  A14x,  A14y,  A15x,  A15y,  A16x,  A16y,  A17x,  A17y,  A18x,  A18y,  A19x,  A19y 
  37,    1,   32,   11,   56,   11,   62,    1,   59,    1,   32,    0,   55,    1,   39,    1,   47,    1,   61,    1,   31,    1,   53,   11,   64,    1,   27,    1,   30,    0,   26,   11,   59,    0,   36,    1,   39,   11,   65,   10,   54
  38,   10,   51,    1,   28,   10,   38,    1,   60,    0,   64,   11,   60,    0,   22,    0,   33,    0,   56,    1,   24,    0,   36,    0,   23,   10,   64,    0,   53,    0,   18,   11,   64,    0,   26,    0,   62,    1,   55,    1,   32
  39,   11,   61,    1,   43,   10,   60,   10,   55,   10,   38,   11,   62,    1,   49,   10,   55,    1,   42,   10,   42,   10,   39,    0,   61,    0,   60,    1,   36,    1,   34,    1,   42,    1,   56,    0,   29,    1,   62,    0,   52
  40,    0,   37,   11,   59,    1,   25,    1,   24,    1,   47,   10,   63,   11,   60,    0,   32,   10,   56,   11,   55,    0,   59,   11,   63,    1,   48,    1,   22,    1,   54,   11,   65,   11,   62,   10,   57,    0,   62,   10,   53
  41,    1,   46,   10,   62,   10,   42,    1,   25,   11,   64,   10,   41,    0,   24,    1,   48,    0,   50,   11,   63,    1,   46,   11,   64,    1,   49,    0,   44,    1,   35,    1,   47,   11,   59,    0,   54,   11,   65,    1,   37
  42,   10,   62,   10,   36,    0,   58,   10,   62,    1,   23,    0,   65,    0,   48,    1,   32,   10,   38,   11,   59,    0,   38,   11,   57,   10,   59,    0,   64,    0,   59,   10,   40,    1,   44,    1,   57,    0,   36,   10,   46
  43,   11,   57,    0,   25,   10,   52,    0,   65,    1,   29,   10,   36,    1,   47,   11,   63,   11,   55,    1,   13,    1,   32,    1,   32,   11,   56,   11,   60,    1,   41,    0,   41,    0,   59,    1,   30,   11,   61,    1,   54
  44,    0,   45,   10,   61,   10,   50,   10,   59,    1,   42,   10,   65,   10,   64,    1,   44,   10,   46,    1,   64,    1,   65,   11,   56,   11,   65,    1,   47,   11,   54,   11,   57,   10,   64,    0,   47,    1,   18,   10,   65
  45,   10,   46,    1,   34,   10,   48,    0,   65,   11,   56,    0,   38,   10,   36,   11,   61,    1,   59,   10,   45,   10,   65,    0,   52,   11,   62,    0,   46,   11,   59,   10,   43,    1,   55,    1,   36,    0,   35,   10,   42
  46,   11,   58,    0,   32,   11,   64,   11,   54,   11,   60,    0,   29,    1,   33,    1,   62,    0,   52,   11,   58,    0,   28,    1,   19,   10,   43,    0,   29,   11,   59,   11,   65,    0,   44,   11,   60,    0,   29,   11,   57
  47,   11,   63,   10,   57,   11,   64,    0,   26,   10,   42,   10,   50,    0,   22,    0,   57,    0,   64,   11,   62,    1,   26,    1,   30,    1,   51,   11,   55,    0,   28,    0,   59,   10,   38,    1,   36,   11,   63,    0,   48
  48,   10,   36,    0,   50,    1,   64,   10,   56,    0,   41,   10,   61,    0,   37,    1,   35,    1,   27,   11,   64,    1,   46,    1,   43,   10,   51,   10,   58,   11,   56,    0,   42,   10,   60,   10,   63,   11,   60,   11,   59
  49,    1,   35,    1,   47,    0,   53,   11,   59,    0,   27,    0,   30,   11,   54,   11,   65,    0,   26,   11,   58,   11,   54,   11,   54,   10,   63,   11,   57,   11,   58,    1,   31,    1,   43,   11,   62,   11,   54,   10,   46
  50,    0,   62,    0,   26,    0,   49,   10,   51,   10,   64,   11,   64,    0,   61,    0,   49,   11,   60,    1,   29,   11,   65,   10,   57,    1,   19,   11,   61,    1,   64,   10,   45,   11,   54,   11,   55,    0,   30,   10,   54
  51,    1,   20,   11,   63,   10,   60,   11,   55,   11,   64,   10,   50,   10,   39,   11,   57,   11,   61,   10,   52,    0,   19,    0,   55,    0,   23,    1,   64,   11,   57,   11,   55,    1,   43,   11,   54,    1,   61,    0,   46
  52,    1,   42,   10,   48,   11,   65,   11,   54,   11,   64,    0,   63,    0,   27,   11,   63,   10,   44,    1,   33,    0,   48,    0,   55,    0,   18,    1,   53,   11,   60,   11,   55,    1,   51,    1,   19,   10,   37,    1,   25
  53,    1,   38,   10,   38,    1,   32,    1,   37,    1,   15,    0,   48,   11,   60,    0,   21,    0,   36,   10,   55,   10,   52,    1,   47,   10,   48,   11,   62,   11,   59,    1,   53,    0,   36,   11,   58,   10,   43,    0,   23
  54,    1,   45,   10,   51,    0,   19,    1,   62,    0,   30,    1,   61,   11,   54,   10,   43,   10,   58,   11,   62,   11,   63,    0,   20,   10,   51,   11,   55,    1,   27,   11,   59,   11,   62,   11,   61,   11,   56,    1,   43
  55,   11,   60,   11,   61,   10,   47,    1,   27,    0,   64,   10,   61,   11,   65,    0,   34,   10,   45,    0,   54,   10,   52,   10,   39,   11,   59,   10,   54,   10,   57,    0,   41,    0,   36,   10,   46,    1,   51,    0,   63
  56,   10,   40,   10,   38,   10,   56,    1,   28,   10,   64,   11,   58,   11,   55,    0,   65,   11,   61,   10,   45,   11,   64,    1,   23,   10,   57,   11,   63,    0,   65,   11,   60,    1,   51,   10,   38,   10,   36,   11,   63
  57,   10,   38,   10,   47,    0,   60,   11,   65,   10,   61,    0,   32,   11,   61,    0,   24,    0,   41,    1,   51,    1,   16,   11,   61,   11,   56,   11,   54,   10,   50,    0,   57,    1,   60,   10,   61,   11,   63,   10,   36
  58,    0,   27,   10,   36,    0,   41,    0,   33,    0,   26,    1,   59,    0,   49,   10,   56,    0,   34,    1,   41,   11,   56,   10,   37,    1,   63,   11,   55,   11,   62,   11,   59,    1,   60,   10,   58,    0,   21,    1,   29
  59,   10,   46,   11,   62,    1,   18,   10,   52,    0,   19,   10,   51,   10,   48,    1,   33,    0,   43,    0,   50,   10,   41,    0,   29,   10,   48,   11,   60,   10,   42,    0,   62,    0,   24,    0,   45,   10,   48,    1,   46
  60,    1,   55,   10,   54,    0,   34,   11,   56,   10,   65,    1,   39,    0,   18,    0,   40,   10,   61,    1,   29,   10,   55,   10,   62,    0,   23,    1,   45,   10,   42,    0,   62,    0,   18,    1,   39,   10,   58,    0,   42
  61,    1,   51,    1,   55,    0,   65,   10,   48,   10,   47,    0,   39,    1,   47,   10,   60,    1,   20,    0,   45,    1,   23,   11,   55,   11,   60,   11,   64,    1,   37,    0,   35,   11,   55,    0,   20,   11,   62,   10,   49
  62,    1,   43,   10,   59,    0,   48,   10,   53,   10,   51,   11,   61,   10,   36,    0,   46,   11,   55,   10,   40,   11,   63,   10,   38,    1,   26,    1,   54,   10,   65,   10,   40,   11,   54,    1,   46,    1,   13,    1,   25
  63,   11,   61,    0,   59,    0,   33,   11,   63,    1,   40,   11,   62,   10,   55,   11,   65,    1,   36,   10,   43,   10,   63,    1,   31,    1,   32,   10,   37,   11,   57,   10,   48,   10,   53,   10,   40,    0,   23,    1,   25
  64,    1,   37,   10,   39,    1,   63,    0,   18,    1,   50,   11,   55,    0,   32,   10,   63,    1,   54,    0,   48,    0,   54,   11,   59,   10,   46,   11,   58,   10,   65,   10,   49,    0,   63,   10,   57,   10,   43,   10,   38
  65,    0,   58,   10,   45,   10,   52,   10,   36,    0,   22,   11,   59,    0,   35,   10,   49,   10,   64,    1,   17,    0,   52,    1,   18,   11,   64,    0,   47,   10,   43,   11,   62,    1,   20,    1,   56,    0,   51,   10,   52
  66,    0,   23,    1,   46,    1,   25,    1,   37,   10,   52,    1,   34,   11,   61,   11,   61,    1,   39,    1,   58,   10,   62,   10,   43,    1,   20,   11,   64,    1,   13,    1,   54,   10,   56,    0,   22,   10,   60,    0,   57
  67,   11,   61,   10,   36,    1,   37,   11,   59,    0,   45,    0,   65,   10,   57,   10,   64,    1,   27,    0,   19,    1,   52,   10,   36,   10,   60,   11,   63,    1,   50,   10,   37,    0,   34,   10,   47,   10,   58,   11,   57
  68,   11,   60,   10,   55,   10,   40,   10,   48,   11,   62,   11,   65,   11,   61,   10,   50,    1,   34,   11,   61,    0,   19,    1,   35,    0,   28,    1,   32,   10,   40,   11,   59,    0,   22,   11,   54,   10,   41,   10,   65
  69,   11,   59,    1,   27,    1,   63,    0,   40,   11,   55,    0,   57,    1,   55,    1,   13,   11,   57,    1,   15,   10,   60,    0,   62,   10,   52,    0,   60,    1,   14,   11,   58,    1,   15,    0,   20,   11,   64,    1,   16
  70,    0,   63,   10,   59,    0,   21,   11,   55,   11,   65,    1,   18,   10,   49,   10,   62,   10,   40,    1,   57,   10,   38,   10,   37,   11,   56,   10,   65,   11,   60,    1,   49,   10,   63,    0,   51,    0,   37,   11,   58
  71,    1,   31,    1,   12,    0,   53,   10,   55,    0,   23,    1,   38,    0,   64,   11,   64,    0,   49,   11,   57,   11,   55,   11,   55,    1,   22,    0,   50,    0,   56,   11,   65,   11,   65,   10,   36,    1,   33,   11,   59
  72,    1,   55,   11,   54,   11,   62,   11,   61,    0,   50,    0,   65,   11,   64,   10,   43,   11,   63,   10,   41,    0,   45,   10,   48,   11,   62,    1,   13,   10,   45,   11,   56,   10,   41,   11,   61,   11,   64,    1,   41
  73,    1,   45,    1,   56,    1,   53,    0,   35,    1,   60,   10,   58,   10,   63,   10,   54,   11,   63,    0,   59,    0,   53,    1,   33,    0,   38,   11,   63,   10,   55,    0,   21,   11,   64,    0,   61,   10,   38,    0,   26
  74,    1,   60,    1,   41,    1,   37,    1,   29,    1,   27,   10,   36,   11,   60,   10,   48,   10,   58,   10,   64,    1,   16,   11,   62,    0,   41,   11,   65,    1,   37,    1,   52,   10,   50,    0,   46,    0,   35,    1,   15
  75,    0,   55,    1,   18,   11,   57,    1,   49,    0,   55,   11,   59,   10,   57,   11,   63,    1,   39,    1,   40,   11,   55,   11,   60,    0,   62,    0,   19,    1,   42,    0,   48,   10,   52,    0,   35,    0,   40,    1,   29
  76,   11,   61,    0,   49,   11,   58,   11,   61,    1,   33,    0,   38,    1,   38,   10,   62,    0,   56,   11,   61,    0,   21,    0,   33,    1,   55,    1,   20,   11,   62,   11,   59,    0,   46,    1,   29,    0,   33,    1,   31
  77,   10,   39,    1,   52,    1,   58,   11,   56,   10,   55,    0,   44,    1,   24,   10,   62,   11,   55,    1,   16,    1,   47,   10,   37,    0,   48,   11,   61,    0,   21,   10,   42,   10,   45,   11,   64,   10,   57,   11,   61
  78,   10,   48,   11,   56,    0,   52,    0,   42,   11,   58,   10,   62,   10,   38,   10,   59,   11,   59,    0,   34,    1,   62,    0,   61,    1,   17,   11,   55,    0,   29,   10,   55,   11,   61,   10,   50,   10,   55,    1,   27
  79,   10,   54,    0,   27,   10,   60,    1,   21,    0,   43,   10,   54,   10,   55,   11,   57,   11,   56,    1,   38,   10,   58,    0,   53,   11,   54,   10,   36,    0,   59,    0,   61,   10,   58,   10,   58,   10,   62,    1,   32
  80,   10,   51,   10,   47,    1,   33,    0,   53,   10,   62,   10,   48,   11,   54,   10,   63,   11,   57,    1,   27,   11,   58,    1,   29,    1,   58,    1,   40,    1,   30,    1,   60,    1,   49,    0,   61,    1,   28,    1,   51
  81,   11,   63,    0,   64,    1,   63,    0,   63,    0,   59,    1,   57,    0,   59,   10,   39,   11,   59,    0,   58,    0,   19,   10,   38,   10,   38,   11,   55,   10,   55,    1,   17,    1,   30,   11,   56,    0,   46,    1,   27
  82,    0,   58,    0,   61,   11,   55,   11,   57,   11,   57,    1,   50,   10,   58,    1,   15,    1,   59,   11,   65,   10,   45,    1,   38,    0,   59,    0,   33,   11,   60,   11,   54,   11,   61,   11,   62,   11,   58,   10,   61
  83,   10,   59,   11,   57,    1,   33,    0,   61,   11,   55,   11,   57,   10,   50,    1,   44,   11,   58,    0,   58,   11,   63,    0,   38,   11,   64,   11,   65,   10,   40,    1,   63,    0,   62,    1,   43,   11,   55,    0,   40
  84,   11,   65,   10,   41,   11,   58,    1,   43,    1,   40,   11,   54,   11,   59,   11,   64,   10,   50,   10,   53,    1,   50,   11,   58,   11,   60,    1,   20,   10,   44,   11,   65,    1,   32,    1,   25,   11,   63,   11,   54
  85,   11,   63,   11,   65,    1,   16,   10,   52,    0,   53,   11,   62,   11,   63,   11,   55,   10,   54,   11,   59,    1,   40,    1,   12,    0,   27,    1,   47,   10,   53,   11,   55,    1,   41,   11,   64,   10,   55,   11,   63
  86,   10,   36,    1,   15,   11,   63,    1,   17,   10,   46,   10,   61,   10,   60,    0,   29,    1,   37,   11,   56,   10,   52,   10,   36,    0,   22,    1,   44,   10,   55,    0,   59,    1,   56,    0,   36,   10,   54,   10,   63
  87,   11,   61,   10,   48,   10,   54,   11,   56,    1,   21,    0,   19,    0,   54,    1,   28,    0,   45,    1,   14,    1,   55,   11,   65,   11,   59,   11,   63,    1,   32,   10,   49,   10,   60,   11,   61,   10,   42,    1,   24
  88,   10,   52,    0,   25,    0,   23,   10,   55,   10,   59,   10,   43,   11,   58,    0,   28,    1,   45,   11,   64,   11,   63,   10,   41,   10,   56,    1,   32,    1,   65,   10,   46,    0,   34,    0,   57,    0,   36,   10,   43
  89,    0,   64,   11,   54,   10,   37,    1,   17,   11,   56,    1,   16,   11,   60,    1,   41,    0,   56,    1,   57,   10,   44,    1,   27,   11,   64,   10,   56,    0,   56,    1,   26,    1,   60,    0,   65,    1,   45,   10,   37
  90,   11,   58,    1,   56,    1,   19,    0,   51,    0,   46,    0,   23,    1,   27,    0,   63,   11,   65,   11,   64,   10,   48,   10,   51,    0,   55,    0,   49,   11,   60,    0,   35,   10,   48,    0,   46,   11,   65,    0,   49
  91,    0,   25,   10,   54,    0,   53,   11,   65,    0,   50,   10,   56,   11,   57,   11,   55,    0,   62,    1,   50,    0,   46,    1,   51,   10,   63,   11,   59,    0,   50,    1,   50,   11,   58,    1,   30,    1,   25,    1,   31
  92,    1,   63,    1,   12,   11,   60,    1,   54,    0,   59,    0,   19,    0,   58,    0,   61,    1,   22,   10,   43,   10,   58,   10,   45,   10,   54,    0,   40,   10,   47,    0,   61,    0,   59,    0,   65,   11,   55,   11,   62
  93,   11,   59,    1,   54,   10,   52,   11,   63,    1,   61,   10,   61,    0,   24,    0,   29,    0,   19,   10,   53,   10,   54,    1,   36,    0,   47,   10,   54,   11,   62,    0,   47,   10,   56,   10,   58,    1,   42,   11,   57
  94,   10,   58,   11,   60,   11,   65,   10,   49,    0,   46,    1,   49,   10,   61,   10,   60,   11,   65,    1,   43,   10,   53,   10,   64,    0,   32,    1,   39,   11,   59,    0,   59,   10,   59,    1,   63,    1,   36,    1,   29
  95,   11,   60,   10,   54,    1,   30,    0,   36,    1,   30,   10,   56,   10,   42,    0,   64,    1,   37,    0,   50,    0,   20,    1,   64,    1,   15,   10,   41,    1,   37,   10,   45,   11,   63,   10,   38,   11,   63,   11,   63
  96,    0,   61,    1,   26,    0,   25,    1,   24,   11,   54,    1,   32,   11,   64,    1,   48,    1,   25,   10,   49,   10,   58,   10,   43,    0,   18,    1,   47,   11,   57,    0,   41,    1,   30,    0,   42,    1,   50,   10,   47
  97,    0,   64,    0,   53,   10,   36,   10,   65,    0,   52,   10,   52,    1,   36,    0,   35,   10,   61,   10,   54,    0,   18,   11,   63,   11,   55,   11,   57,   10,   36,   11,   65,   11,   55,    0,   44,    1,   13,    1,   54
  98,   11,   56,   11,   58,   11,   58,   11,   62,    1,   15,    0,   63,   10,   59,    0,   43,   10,   64,   10,   63,    1,   43,   10,   38,    0,   30,    1,   21,    1,   17,    0,   59,    0,   39,    0,   56,    1,   47,   11,   58
  99,    0,   25,    1,   44,   10,   53,    0,   18,    0,   39,   11,   60,   11,   64,   11,   57,   10,   48,   11,   61,    1,   62,   11,   59,    1,   33,    1,   28,    0,   57,    0,   47,    0,   59,    0,   24,    0,   61,   11,   57
 100,   11,   60,    0,   45,    0,   51,    1,   32,   11,   61,   11,   56,    0,   58,   10,   39,    1,   63,   10,   52,   11,   64,    1,   56,   11,   65,    1,   60,   11,   59,   10,   40,   10,   47,   11,   58,   11,   57,    1,   33
 101,   11,   56,   11,   63,   11,   62,    1,   62,    0,   61,   10,   42,    1,   58,    0,   30,    0,   28,    0,   34,   11,   61,    0,   23,   11,   57,    1,   22,    1,   63,    1,   34,    1,   44,   10,   43,    0,   44,   10,   37
 102,    1,   34,    1,   29,   10,   60,    0,   38,   10,   53,   11,   64,   10,   62,   11,   55,    0,   36,    1,   13,   11,   60,   11,   64,   11,   58,   11,   62,    0,   44,    0,   48,    1,   14,   11,   65,   10,   42,    1,   49
 103,    0,   27,    0,   62,   11,   55,    0,   49,   11,   56,   11,   59,   11,   54,   10,   48,   11,   65,    0,   54,    1,   59,   11,   65,   10,   50,    0,   20,   11,   55,    1,   17,    0,   33,    0,   31,   11,   56,   11,   63
 104,    0,   36,    0,   33,    0,   24,   10,   37,    1,   41,    1,   25,   10,   38,    0,   32,    1,   22,   10,   43,    1,   55,   10,   54,   11,   58,    1,   33,    0,   46,    1,   55,   10,   46,   11,   57,    1,   58,   11,   56
 105,    0,   45,    0,   57,    1,   51,    0,   56,   10,   36,    0,   37,   10,   49,   10,   63,    1,   34,   11,   54,    1,   15,   10,   56,   10,   54,   10,   36,   10,   54,   11,   63,    0,   46,    1,   27,    0,   23,    0,   29
 106,    1,   44,    1,   23,   10,   50,    0,   28,    1,   62,    1,   25,   11,   65,    0,   59,    1,   25,   11,   60,   10,   56,    1,   49,   10,   60,    0,   32,   10,   55,   10,   60,    1,   46,   10,   61,    1,   40,    0,   62
 107,   11,   57,   11,   59,    1,   32,   10,   65,   11,   64,    1,   22,    0,   63,    0,   28,   11,   64,    0,   43,    1,   58,   10,   50,   10,   65,   10,   60,   11,   57,    1,   22,   10,   59,    1,   29,    1,   50,    0,   62
 108,   10,   53,    0,   22,    0,   47,   10,   40,   11,   57,    0,   32,   11,   59,   10,   44,   10,   43,    0,   52,    1,   28,   10,   47,   11,   65,   10,   37,   10,   36,    1,   16,   11,   54,   10,   49,   10,   43,    1,   35
 109,    1,   38,   11,   61,   11,   60,   10,   54,   10,   58,   10,   47,    1,   51,    0,   63,   11,   64,   11,   65,   10,   61,    0,   40,    0,   35,    1,   21,   10,   41,    0,   53,   11,   65,   11,   56,   10,   51,    0,   29
