nExp,  A0x,  A0y,  A1x,  A1y,  A2x,  A2y,  A3x,  A3y,  A4x,  A4y,  A5x,  A5y 
  25,   11,   65,   10,   47,   11,   61,    0,   22,   10,   37,    0,   36
  26,   10,   49,    1,   43,   10,   48,    1,   65,    1,   53,    1,   31
  27,    0,   59,   10,   63,    1,   48,    0,   37,    0,   20,   11,   56
  28,    0,   27,    1,   41,    0,   65,   11,   55,    1,   48,   11,   59
  29,   11,   57,    1,   38,   10,   42,   10,   42,    1,   63,   11,   63
  30,    0,   25,    1,   54,   11,   60,   10,   60,    0,   22,   11,   54
  31,    0,   19,    0,   58,    1,   20,    0,   49,   11,   60,   11,   60
  32,   10,   56,   11,   63,   11,   62,   11,   56,   10,   53,   11,   59
  33,   11,   58,   10,   61,   11,   61,    0,   26,   10,   43,    0,   59
  34,   11,   57,    1,   55,    0,   48,    0,   31,   11,   54,    0,   38
  35,    1,   58,   10,   56,    0,   65,    1,   45,    1,   14,    1,   20
  36,    0,   47,   10,   39,   10,   46,    1,   53,    1,   59,   10,   50
  37,   10,   46,    0,   50,   10,   59,    0,   61,   11,   65,   11,   62
  38,   11,   60,   11,   56,   11,   59,   11,   59,   11,   54,    0,   62
  39,    1,   60,   11,   61,   10,   42,    0,   57,   11,   63,   10,   48
  40,    1,   18,    1,   42,   11,   65,    1,   17,   11,   62,    0,   39
  41,   10,   36,   11,   65,   10,   38,    0,   35,    0,   34,    0,   64
  42,   11,   54,   11,   56,    0,   50,   11,   55,    0,   35,    0,   47
  43,   11,   56,    0,   34,   11,   55,   11,   58,    1,   27,   11,   65
  44,   10,   41,   11,   55,   10,   40,   11,   65,   11,   57,    0,   54
  45,    1,   34,    0,   24,    0,   21,    0,   38,   10,   58,    0,   38
  46,   10,   38,    1,   31,   11,   54,    1,   34,   10,   45,    0,   32
  47,    1,   63,   11,   57,   10,   56,   11,   59,    1,   53,    1,   25
  48,    1,   62,    0,   40,   10,   50,    0,   18,   10,   54,    0,   32
  49,   11,   61,   10,   40,   10,   50,   10,   58,    0,   54,    1,   65
  50,    0,   60,    0,   30,   10,   53,    1,   17,    1,   27,   11,   64
  51,   10,   37,   11,   57,    1,   40,    0,   62,    0,   37,    1,   40
  52,   10,   54,   10,   48,   10,   48,   11,   63,    1,   32,   10,   40
  53,   10,   47,   10,   40,   10,   46,    1,   34,    1,   49,    1,   47
  54,    0,   32,   10,   37,   10,   36,    1,   59,    0,   43,    0,   59
  55,   10,   58,   10,   36,    0,   47,   11,   64,   10,   57,    0,   54
  56,    1,   17,    1,   29,    0,   38,   11,   59,    1,   50,   10,   39
  57,   11,   59,   11,   58,   11,   58,    0,   27,   11,   61,    0,   36
  58,    0,   22,    0,   20,   10,   41,   10,   54,   10,   51,    1,   59
  59,    1,   36,   10,   51,   11,   65,   11,   65,   10,   50,   10,   42
  60,    1,   14,    0,   18,   10,   40,   11,   62,   11,   58,   11,   59
  61,    1,   17,   11,   63,    1,   36,    1,   13,    0,   35,    0,   43
  62,    0,   27,   10,   58,    1,   58,    1,   30,   10,   37,   11,   54
  63,    1,   51,    0,   56,   11,   59,    0,   21,    0,   54,    1,   61
  64,    1,   16,    1,   52,   11,   54,    0,   41,    0,   59,   11,   57
  65,    1,   42,    1,   41,    0,   32,    1,   44,   10,   43,    0,   23
  66,   11,   55,   10,   43,    1,   51,   10,   58,   10,   61,    0,   48
  67,    0,   53,    1,   48,   10,   55,    0,   57,    0,   42,   10,   43
  68,   10,   44,    0,   56,   10,   45,   10,   36,    0,   36,   11,   60
  69,    0,   54,   11,   63,   10,   56,    0,   53,   11,   63,    1,   43
  70,   10,   63,    0,   58,   10,   46,    1,   12,    0,   49,   10,   50
  71,   11,   59,    1,   57,    1,   44,   10,   60,   11,   58,    0,   19
  72,   10,   64,    1,   35,   10,   55,    1,   48,    1,   31,   10,   57
  73,    0,   19,   10,   36,    0,   28,   10,   37,    0,   64,    1,   60
  74,    0,   38,    1,   21,    1,   65,   10,   47,    1,   26,   10,   58
  75,   10,   49,    0,   62,    1,   33,    0,   24,   11,   60,   10,   40
  76,    1,   57,   11,   56,    0,   56,    0,   55,   10,   41,    0,   62
  77,   10,   54,    1,   20,   10,   43,   11,   62,    0,   62,    0,   22
  78,    1,   20,    0,   35,   10,   48,    1,   38,    1,   28,   11,   60
  79,   11,   63,   10,   43,   10,   49,   10,   48,    1,   13,   10,   37
  80,   10,   53,   11,   57,   10,   42,   10,   46,   11,   65,    0,   45
  81,    1,   64,   11,   61,   10,   56,    1,   61,   11,   57,   10,   36
  82,   11,   60,   11,   58,   10,   45,   11,   61,   11,   54,    0,   20
  83,    0,   62,   11,   59,   11,   63,   11,   62,    0,   44,    1,   63
  84,    0,   26,   10,   40,    0,   42,   11,   61,   11,   57,    1,   35
  85,   11,   62,   11,   60,   10,   65,    0,   55,   11,   64,   11,   55
  86,   10,   63,   10,   46,   11,   60,    1,   45,   11,   56,    0,   43
  87,   11,   62,   10,   54,    1,   51,    0,   60,    1,   63,   11,   54
  88,    1,   52,    1,   39,   11,   62,   11,   55,   11,   65,   10,   64
  89,    1,   59,   11,   61,    0,   19,    0,   30,   11,   58,   11,   61
  90,    1,   59,    0,   40,   11,   55,   10,   45,    0,   40,   10,   37
  91,   10,   46,    0,   27,    0,   43,    0,   62,   11,   65,    1,   60
  92,   11,   63,    1,   48,   10,   48,    1,   15,    0,   24,    1,   46
  93,   11,   54,   11,   54,   10,   58,   10,   64,    1,   43,    0,   44
  94,   11,   56,    1,   49,    1,   25,   11,   65,    0,   61,   10,   37
  95,   10,   55,    0,   54,   11,   54,   10,   49,    0,   40,    0,   34
  96,   10,   50,   10,   52,   11,   58,   11,   54,    1,   31,    1,   57
  97,   10,   65,   11,   55,    1,   13,   10,   36,   11,   56,    1,   15
  98,    1,   33,    0,   54,   10,   46,   11,   54,    0,   35,   11,   63
  99,   10,   52,   11,   58,    0,   56,    0,   36,    1,   18,    1,   21
 100,   10,   55,    0,   39,   10,   62,    1,   16,    0,   59,   11,   64
 101,    1,   46,    0,   57,    1,   63,    1,   13,   11,   61,    1,   13
 102,    1,   20,   10,   40,    0,   62,   10,   43,   11,   61,   11,   59
 103,   11,   62,    0,   29,    1,   21,    0,   28,   11,   59,   11,   55
 104,   10,   36,   11,   54,    1,   55,   11,   54,   11,   60,    0,   55
 105,    0,   47,   11,   62,    1,   13,    1,   61,    1,   25,    0,   42
 106,   10,   38,    1,   47,   11,   59,    1,   37,    0,   36,   10,   47
 107,   10,   61,   11,   64,    1,   13,   10,   50,    0,   19,    1,   55
 108,   11,   55,   11,   54,   10,   36,    1,   58,    1,   61,   10,   54
 109,    0,   34,    1,   43,   11,   57,   10,   64,    1,   45,   11,   61
 110,   11,   56,   11,   56,   10,   44,   10,   44,    1,   48,    1,   51
 111,    1,   19,   10,   40,    1,   33,    0,   52,   10,   59,   10,   52
 112,    0,   27,    0,   43,   11,   58,   11,   62,   10,   46,    0,   64
 113,   11,   58,   11,   64,    1,   39,    1,   49,   11,   65,   10,   45
 114,   11,   65,    1,   63,   10,   64,   11,   63,   10,   40,    0,   46
 115,   10,   64,   10,   56,   10,   42,   10,   65,    0,   51,   10,   47
 116,   11,   54,   11,   63,    1,   17,    1,   43,    1,   38,   11,   65
 117,   10,   60,    0,   59,   11,   56,   11,   64,   11,   60,   10,   42
 118,   10,   48,    0,   24,    1,   59,   10,   63,   11,   55,   10,   46
 119,   10,   49,    1,   17,   11,   59,   10,   50,    0,   43,    0,   58
 120,   11,   55,    0,   21,    1,   63,   10,   43,    0,   23,    0,   56
 121,    0,   59,   11,   55,   10,   36,   11,   60,   11,   59,   10,   63
 122,   10,   62,    1,   17,    0,   28,   11,   57,    0,   41,   11,   60
 123,    1,   16,   10,   42,    1,   32,   11,   56,   11,   62,    1,   59
 124,    1,   32,    0,   55,    1,   39,    1,   47,    1,   61,    1,   31
 125,    1,   53,   11,   64,    1,   27,    1,   30,    0,   26,   11,   59
 126,    0,   36,    1,   39,   11,   65,   10,   54,   10,   51,    1,   28
 127,   10,   38,    1,   60,    0,   64,   11,   60,    0,   22,    0,   33
 128,    0,   56,    1,   24,    0,   36,    0,   23,   10,   64,    0,   53
 129,    0,   18,   11,   64,    0,   26,    0,   62,    1,   55,    1,   32
 130,   11,   61,    1,   43,   10,   60,   10,   55,   10,   38,   11,   62
 131,    1,   49,   10,   55,    1,   42,   10,   42,   10,   39,    0,   61
 132,    0,   60,    1,   36,    1,   34,    1,   42,    1,   56,    0,   29
 133,    1,   62,    0,   52,    0,   37,   11,   59,    1,   25,    1,   24
 134,    1,   47,   10,   63,   11,   60,    0,   32,   10,   56,   11,   55
 135,    0,   59,   11,   63,    1,   48,    1,   22,    1,   54,   11,   65
 136,   11,   62,   10,   57,    0,   62,   10,   53,    1,   46,   10,   62
 137,   10,   42,    1,   25,   11,   64,   10,   41,    0,   24,    1,   48
 138,    0,   50,   11,   63,    1,   46,   11,   64,    1,   49,    0,   44
 139,    1,   35,    1,   47,   11,   59,    0,   54,   11,   65,    1,   37
 140,   10,   62,   10,   36,    0,   58,   10,   62,    1,   23,    0,   65
 141,    0,   48,    1,   32,   10,   38,   11,   59,    0,   38,   11,   57
 142,   10,   59,    0,   64,    0,   59,   10,   40,    1,   44,    1,   57
 143,    0,   36,   10,   46,   11,   57,    0,   25,   10,   52,    0,   65
 144,    1,   29,   10,   36,    1,   47,   11,   63,   11,   55,    1,   13
 145,    1,   32,    1,   32,   11,   56,   11,   60,    1,   41,    0,   41
 146,    0,   59,    1,   30,   11,   61,    1,   54,    0,   45,   10,   61
 147,   10,   50,   10,   59,    1,   42,   10,   65,   10,   64,    1,   44
 148,   10,   46,    1,   64,    1,   65,   11,   56,   11,   65,    1,   47
 149,   11,   54,   11,   57,   10,   64,    0,   47,    1,   18,   10,   65
 150,   10,   46,    1,   34,   10,   48,    0,   65,   11,   56,    0,   38
 151,   10,   36,   11,   61,    1,   59,   10,   45,   10,   65,    0,   52
 152,   11,   62,    0,   46,   11,   59,   10,   43,    1,   55,    1,   36
 153,    0,   35,   10,   42,   11,   58,    0,   32,   11,   64,   11,   54
 154,   11,   60,    0,   29,    1,   33,    1,   62,    0,   52,   11,   58
 155,    0,   28,    1,   19,   10,   43,    0,   29,   11,   59,   11,   65
 156,    0,   44,   11,   60,    0,   29,   11,   57,   11,   63,   10,   57
 157,   11,   64,    0,   26,   10,   42,   10,   50,    0,   22,    0,   57
 158,    0,   64,   11,   62,    1,   26,    1,   30,    1,   51,   11,   55
 159,    0,   28,    0,   59,   10,   38,    1,   36,   11,   63,    0,   48
 160,   10,   36,    0,   50,    1,   64,   10,   56,    0,   41,   10,   61
 161,    0,   37,    1,   35,    1,   27,   11,   64,    1,   46,    1,   43
 162,   10,   51,   10,   58,   11,   56,    0,   42,   10,   60,   10,   63
 163,   11,   60,   11,   59,    1,   35,    1,   47,    0,   53,   11,   59
 164,    0,   27,    0,   30,   11,   54,   11,   65,    0,   26,   11,   58
 165,   11,   54,   11,   54,   10,   63,   11,   57,   11,   58,    1,   31
 166,    1,   43,   11,   62,   11,   54,   10,   46,    0,   62,    0,   26
 167,    0,   49,   10,   51,   10,   64,   11,   64,    0,   61,    0,   49
 168,   11,   60,    1,   29,   11,   65,   10,   57,    1,   19,   11,   61
 169,    1,   64,   10,   45,   11,   54,   11,   55,    0,   30,   10,   54
 170,    1,   20,   11,   63,   10,   60,   11,   55,   11,   64,   10,   50
 171,   10,   39,   11,   57,   11,   61,   10,   52,    0,   19,    0,   55
 172,    0,   23,    1,   64,   11,   57,   11,   55,    1,   43,   11,   54
 173,    1,   61,    0,   46,    1,   42,   10,   48,   11,   65,   11,   54
 174,   11,   64,    0,   63,    0,   27,   11,   63,   10,   44,    1,   33
 175,    0,   48,    0,   55,    0,   18,    1,   53,   11,   60,   11,   55
 176,    1,   51,    1,   19,   10,   37,    1,   25,    1,   38,   10,   38
 177,    1,   32,    1,   37,    1,   15,    0,   48,   11,   60,    0,   21
 178,    0,   36,   10,   55,   10,   52,    1,   47,   10,   48,   11,   62
 179,   11,   59,    1,   53,    0,   36,   11,   58,   10,   43,    0,   23
 180,    1,   45,   10,   51,    0,   19,    1,   62,    0,   30,    1,   61
 181,   11,   54,   10,   43,   10,   58,   11,   62,   11,   63,    0,   20
 182,   10,   51,   11,   55,    1,   27,   11,   59,   11,   62,   11,   61
 183,   11,   56,    1,   43,   11,   60,   11,   61,   10,   47,    1,   27
 184,    0,   64,   10,   61,   11,   65,    0,   34,   10,   45,    0,   54
 185,   10,   52,   10,   39,   11,   59,   10,   54,   10,   57,    0,   41
 186,    0,   36,   10,   46,    1,   51,    0,   63,   10,   40,   10,   38
 187,   10,   56,    1,   28,   10,   64,   11,   58,   11,   55,    0,   65
 188,   11,   61,   10,   45,   11,   64,    1,   23,   10,   57,   11,   63
 189,    0,   65,   11,   60,    1,   51,   10,   38,   10,   36,   11,   63
 190,   10,   38,   10,   47,    0,   60,   11,   65,   10,   61,    0,   32
 191,   11,   61,    0,   24,    0,   41,    1,   51,    1,   16,   11,   61
 192,   11,   56,   11,   54,   10,   50,    0,   57,    1,   60,   10,   61
 193,   11,   63,   10,   36,    0,   27,   10,   36,    0,   41,    0,   33
 194,    0,   26,    1,   59,    0,   49,   10,   56,    0,   34,    1,   41
 195,   11,   56,   10,   37,    1,   63,   11,   55,   11,   62,   11,   59
 196,    1,   60,   10,   58,    0,   21,    1,   29,   10,   46,   11,   62
 197,    1,   18,   10,   52,    0,   19,   10,   51,   10,   48,    1,   33
 198,    0,   43,    0,   50,   10,   41,    0,   29,   10,   48,   11,   60
 199,   10,   42,    0,   62,    0,   24,    0,   45,   10,   48,    1,   46
 200,    1,   55,   10,   54,    0,   34,   11,   56,   10,   65,    1,   39
 201,    0,   18,    0,   40,   10,   61,    1,   29,   10,   55,   10,   62
 202,    0,   23,    1,   45,   10,   42,    0,   62,    0,   18,    1,   39
 203,   10,   58,    0,   42,    1,   51,    1,   55,    0,   65,   10,   48
 204,   10,   47,    0,   39,    1,   47,   10,   60,    1,   20,    0,   45
 205,    1,   23,   11,   55,   11,   60,   11,   64,    1,   37,    0,   35
 206,   11,   55,    0,   20,   11,   62,   10,   49,    1,   43,   10,   59
 207,    0,   48,   10,   53,   10,   51,   11,   61,   10,   36,    0,   46
 208,   11,   55,   10,   40,   11,   63,   10,   38,    1,   26,    1,   54
 209,   10,   65,   10,   40,   11,   54,    1,   46,    1,   13,    1,   25
 210,   11,   61,    0,   59,    0,   33,   11,   63,    1,   40,   11,   62
 211,   10,   55,   11,   65,    1,   36,   10,   43,   10,   63,    1,   31
 212,    1,   32,   10,   37,   11,   57,   10,   48,   10,   53,   10,   40
 213,    0,   23,    1,   25,    1,   37,   10,   39,    1,   63,    0,   18
 214,    1,   50,   11,   55,    0,   32,   10,   63,    1,   54,    0,   48
 215,    0,   54,   11,   59,   10,   46,   11,   58,   10,   65,   10,   49
 216,    0,   63,   10,   57,   10,   43,   10,   38,    0,   58,   10,   45
 217,   10,   52,   10,   36,    0,   22,   11,   59,    0,   35,   10,   49
 218,   10,   64,    1,   17,    0,   52,    1,   18,   11,   64,    0,   47
 219,   10,   43,   11,   62,    1,   20,    1,   56,    0,   51,   10,   52
 220,    0,   23,    1,   46,    1,   25,    1,   37,   10,   52,    1,   34
 221,   11,   61,   11,   61,    1,   39,    1,   58,   10,   62,   10,   43
 222,    1,   20,   11,   64,    1,   13,    1,   54,   10,   56,    0,   22
 223,   10,   60,    0,   57,   11,   61,   10,   36,    1,   37,   11,   59
 224,    0,   45,    0,   65,   10,   57,   10,   64,    1,   27,    0,   19
 225,    1,   52,   10,   36,   10,   60,   11,   63,    1,   50,   10,   37
 226,    0,   34,   10,   47,   10,   58,   11,   57,   11,   60,   10,   55
 227,   10,   40,   10,   48,   11,   62,   11,   65,   11,   61,   10,   50
 228,    1,   34,   11,   61,    0,   19,    1,   35,    0,   28,    1,   32
 229,   10,   40,   11,   59,    0,   22,   11,   54,   10,   41,   10,   65
 230,   11,   59,    1,   27,    1,   63,    0,   40,   11,   55,    0,   57
 231,    1,   55,    1,   13,   11,   57,    1,   15,   10,   60,    0,   62
 232,   10,   52,    0,   60,    1,   14,   11,   58,    1,   15,    0,   20
 233,   11,   64,    1,   16,    0,   63,   10,   59,    0,   21,   11,   55
 234,   11,   65,    1,   18,   10,   49,   10,   62,   10,   40,    1,   57
 235,   10,   38,   10,   37,   11,   56,   10,   65,   11,   60,    1,   49
 236,   10,   63,    0,   51,    0,   37,   11,   58,    1,   31,    1,   12
 237,    0,   53,   10,   55,    0,   23,    1,   38,    0,   64,   11,   64
 238,    0,   49,   11,   57,   11,   55,   11,   55,    1,   22,    0,   50
 239,    0,   56,   11,   65,   11,   65,   10,   36,    1,   33,   11,   59
 240,    1,   55,   11,   54,   11,   62,   11,   61,    0,   50,    0,   65
 241,   11,   64,   10,   43,   11,   63,   10,   41,    0,   45,   10,   48
 242,   11,   62,    1,   13,   10,   45,   11,   56,   10,   41,   11,   61
 243,   11,   64,    1,   41,    1,   45,    1,   56,    1,   53,    0,   35
 244,    1,   60,   10,   58,   10,   63,   10,   54,   11,   63,    0,   59
 245,    0,   53,    1,   33,    0,   38,   11,   63,   10,   55,    0,   21
 246,   11,   64,    0,   61,   10,   38,    0,   26,    1,   60,    1,   41
 247,    1,   37,    1,   29,    1,   27,   10,   36,   11,   60,   10,   48
 248,   10,   58,   10,   64,    1,   16,   11,   62,    0,   41,   11,   65
 249,    1,   37,    1,   52,   10,   50,    0,   46,    0,   35,    1,   15
 250,    0,   55,    1,   18,   11,   57,    1,   49,    0,   55,   11,   59
 251,   10,   57,   11,   63,    1,   39,    1,   40,   11,   55,   11,   60
 252,    0,   62,    0,   19,    1,   42,    0,   48,   10,   52,    0,   35
 253,    0,   40,    1,   29,   11,   61,    0,   49,   11,   58,   11,   61
 254,    1,   33,    0,   38,    1,   38,   10,   62,    0,   56,   11,   61
 255,    0,   21,    0,   33,    1,   55,    1,   20,   11,   62,   11,   59
 256,    0,   46,    1,   29,    0,   33,    1,   31,   10,   39,    1,   52
 257,    1,   58,   11,   56,   10,   55,    0,   44,    1,   24,   10,   62
 258,   11,   55,    1,   16,    1,   47,   10,   37,    0,   48,   11,   61
 259,    0,   21,   10,   42,   10,   45,   11,   64,   10,   57,   11,   61
 260,   10,   48,   11,   56,    0,   52,    0,   42,   11,   58,   10,   62
 261,   10,   38,   10,   59,   11,   59,    0,   34,    1,   62,    0,   61
 262,    1,   17,   11,   55,    0,   29,   10,   55,   11,   61,   10,   50
 263,   10,   55,    1,   27,   10,   54,    0,   27,   10,   60,    1,   21
 264,    0,   43,   10,   54,   10,   55,   11,   57,   11,   56,    1,   38
 265,   10,   58,    0,   53,   11,   54,   10,   36,    0,   59,    0,   61
 266,   10,   58,   10,   58,   10,   62,    1,   32,   10,   51,   10,   47
 267,    1,   33,    0,   53,   10,   62,   10,   48,   11,   54,   10,   63
 268,   11,   57,    1,   27,   11,   58,    1,   29,    1,   58,    1,   40
 269,    1,   30,    1,   60,    1,   49,    0,   61,    1,   28,    1,   51
 270,   11,   63,    0,   64,    1,   63,    0,   63,    0,   59,    1,   57
 271,    0,   59,   10,   39,   11,   59,    0,   58,    0,   19,   10,   38
 272,   10,   38,   11,   55,   10,   55,    1,   17,    1,   30,   11,   56
 273,    0,   46,    1,   27,    0,   58,    0,   61,   11,   55,   11,   57
 274,   11,   57,    1,   50,   10,   58,    1,   15,    1,   59,   11,   65
 275,   10,   45,    1,   38,    0,   59,    0,   33,   11,   60,   11,   54
 276,   11,   61,   11,   62,   11,   58,   10,   61,   10,   59,   11,   57
 277,    1,   33,    0,   61,   11,   55,   11,   57,   10,   50,    1,   44
 278,   11,   58,    0,   58,   11,   63,    0,   38,   11,   64,   11,   65
 279,   10,   40,    1,   63,    0,   62,    1,   43,   11,   55,    0,   40
 280,   11,   65,   10,   41,   11,   58,    1,   43,    1,   40,   11,   54
 281,   11,   59,   11,   64,   10,   50,   10,   53,    1,   50,   11,   58
 282,   11,   60,    1,   20,   10,   44,   11,   65,    1,   32,    1,   25
 283,   11,   63,   11,   54,   11,   63,   11,   65,    1,   16,   10,   52
 284,    0,   53,   11,   62,   11,   63,   11,   55,   10,   54,   11,   59
 285,    1,   40,    1,   12,    0,   27,    1,   47,   10,   53,   11,   55
 286,    1,   41,   11,   64,   10,   55,   11,   63,   10,   36,    1,   15
 287,   11,   63,    1,   17,   10,   46,   10,   61,   10,   60,    0,   29
 288,    1,   37,   11,   56,   10,   52,   10,   36,    0,   22,    1,   44
 289,   10,   55,    0,   59,    1,   56,    0,   36,   10,   54,   10,   63
 290,   11,   61,   10,   48,   10,   54,   11,   56,    1,   21,    0,   19
 291,    0,   54,    1,   28,    0,   45,    1,   14,    1,   55,   11,   65
 292,   11,   59,   11,   63,    1,   32,   10,   49,   10,   60,   11,   61
 293,   10,   42,    1,   24,   10,   52,    0,   25,    0,   23,   10,   55
 294,   10,   59,   10,   43,   11,   58,    0,   28,    1,   45,   11,   64
 295,   11,   63,   10,   41,   10,   56,    1,   32,    1,   65,   10,   46
 296,    0,   34,    0,   57,    0,   36,   10,   43,    0,   64,   11,   54
 297,   10,   37,    1,   17,   11,   56,    1,   16,   11,   60,    1,   41
 298,    0,   56,    1,   57,   10,   44,    1,   27,   11,   64,   10,   56
 299,    0,   56,    1,   26,    1,   60,    0,   65,    1,   45,   10,   37
 300,   11,   58,    1,   56,    1,   19,    0,   51,    0,   46,    0,   23
 301,    1,   27,    0,   63,   11,   65,   11,   64,   10,   48,   10,   51
 302,    0,   55,    0,   49,   11,   60,    0,   35,   10,   48,    0,   46
 303,   11,   65,    0,   49,    0,   25,   10,   54,    0,   53,   11,   65
 304,    0,   50,   10,   56,   11,   57,   11,   55,    0,   62,    1,   50
 305,    0,   46,    1,   51,   10,   63,   11,   59,    0,   50,    1,   50
 306,   11,   58,    1,   30,    1,   25,    1,   31,    1,   63,    1,   12
 307,   11,   60,    1,   54,    0,   59,    0,   19,    0,   58,    0,   61
 308,    1,   22,   10,   43,   10,   58,   10,   45,   10,   54,    0,   40
 309,   10,   47,    0,   61,    0,   59,    0,   65,   11,   55,   11,   62
 310,   11,   59,    1,   54,   10,   52,   11,   63,    1,   61,   10,   61
 311,    0,   24,    0,   29,    0,   19,   10,   53,   10,   54,    1,   36
 312,    0,   47,   10,   54,   11,   62,    0,   47,   10,   56,   10,   58
 313,    1,   42,   11,   57,   10,   58,   11,   60,   11,   65,   10,   49
 314,    0,   46,    1,   49,   10,   61,   10,   60,   11,   65,    1,   43
 315,   10,   53,   10,   64,    0,   32,    1,   39,   11,   59,    0,   59
 316,   10,   59,    1,   63,    1,   36,    1,   29,   11,   60,   10,   54
 317,    1,   30,    0,   36,    1,   30,   10,   56,   10,   42,    0,   64
 318,    1,   37,    0,   50,    0,   20,    1,   64,    1,   15,   10,   41
 319,    1,   37,   10,   45,   11,   63,   10,   38,   11,   63,   11,   63
 320,    0,   61,    1,   26,    0,   25,    1,   24,   11,   54,    1,   32
 321,   11,   64,    1,   48,    1,   25,   10,   49,   10,   58,   10,   43
 322,    0,   18,    1,   47,   11,   57,    0,   41,    1,   30,    0,   42
 323,    1,   50,   10,   47,    0,   64,    0,   53,   10,   36,   10,   65
 324,    0,   52,   10,   52,    1,   36,    0,   35,   10,   61,   10,   54
 325,    0,   18,   11,   63,   11,   55,   11,   57,   10,   36,   11,   65
 326,   11,   55,    0,   44,    1,   13,    1,   54,   11,   56,   11,   58
 327,   11,   58,   11,   62,    1,   15,    0,   63,   10,   59,    0,   43
 328,   10,   64,   10,   63,    1,   43,   10,   38,    0,   30,    1,   21
 329,    1,   17,    0,   59,    0,   39,    0,   56,    1,   47,   11,   58
 330,    0,   25,    1,   44,   10,   53,    0,   18,    0,   39,   11,   60
 331,   11,   64,   11,   57,   10,   48,   11,   61,    1,   62,   11,   59
 332,    1,   33,    1,   28,    0,   57,    0,   47,    0,   59,    0,   24
 333,    0,   61,   11,   57,   11,   60,    0,   45,    0,   51,    1,   32
 334,   11,   61,   11,   56,    0,   58,   10,   39,    1,   63,   10,   52
 335,   11,   64,    1,   56,   11,   65,    1,   60,   11,   59,   10,   40
 336,   10,   47,   11,   58,   11,   57,    1,   33,   11,   56,   11,   63
 337,   11,   62,    1,   62,    0,   61,   10,   42,    1,   58,    0,   30
 338,    0,   28,    0,   34,   11,   61,    0,   23,   11,   57,    1,   22
 339,    1,   63,    1,   34,    1,   44,   10,   43,    0,   44,   10,   37
 340,    1,   34,    1,   29,   10,   60,    0,   38,   10,   53,   11,   64
 341,   10,   62,   11,   55,    0,   36,    1,   13,   11,   60,   11,   64
 342,   11,   58,   11,   62,    0,   44,    0,   48,    1,   14,   11,   65
 343,   10,   42,    1,   49,    0,   27,    0,   62,   11,   55,    0,   49
 344,   11,   56,   11,   59,   11,   54,   10,   48,   11,   65,    0,   54
 345,    1,   59,   11,   65,   10,   50,    0,   20,   11,   55,    1,   17
 346,    0,   33,    0,   31,   11,   56,   11,   63,    0,   36,    0,   33
 347,    0,   24,   10,   37,    1,   41,    1,   25,   10,   38,    0,   32
 348,    1,   22,   10,   43,    1,   55,   10,   54,   11,   58,    1,   33
 349,    0,   46,    1,   55,   10,   46,   11,   57,    1,   58,   11,   56
 350,    0,   45,    0,   57,    1,   51,    0,   56,   10,   36,    0,   37
 351,   10,   49,   10,   63,    1,   34,   11,   54,    1,   15,   10,   56
 352,   10,   54,   10,   36,   10,   54,   11,   63,    0,   46,    1,   27
 353,    0,   23,    0,   29,    1,   44,    1,   23,   10,   50,    0,   28
 354,    1,   62,    1,   25,   11,   65,    0,   59,    1,   25,   11,   60
