nExp, valid,  A0,  A1,  A2,  A3,  A4,  A5,  A6
  33,     1, -15,  -7,  -7, -15,  -7,  73,  -7
  34,     1,  -6,  -6, -22,  78,  -6,  -6,  -6
  35,     0, -11, -43, -19, -43, -11, -11, -43
  36,     1,  -9,  -9, -13,  -9,  -9, -17,  59
  37,     1, -25,  -9, -21, -13, -25, -17,  67
  38,     0, -11, -11, -11, -43, -27, -39, -43
  39,     1,  -9, -17, -13, -33,  -9,  63, -41
  40,     1,  -9,  -9, -41,  63,  -9, -21,  -9
  41,     1,  -5, -13,  -5,  -5,  -5,  -5,  87
  42,     1, -27,  65, -31,  -7,  -7, -31, -11
  43,     1,  79, -21,  -5,  -5,  -5,  -5,  -9
  44,     1, -26,  -6,  82,  -6,  -6, -30, -22
  45,     1,  -5,  -5, -25, -21, -25, -25,  87
  46,     1,  -5, -21,  83,  -5,  -5,  -9,  -5
  47,     0, -39, -47, -39, -11, -11, -19, -43
  48,     1,  -9,  -9,  -9,  67, -37, -17,  -9
  49,     1, -16,  -4,  -4,  -4,  -4, -16,  84
  50,     1,  -8,  -8,  64,  -8,  -8,  -8, -36
  51,     0, -27, -11, -11, -11, -43, -19, -11
  52,     1,  -6, -26, -22,  -6,  -6, -10,  78
  53,     1,  -4,  -4, -16,  -4,  92,  -4,  -4
  54,     1,  84,  -8, -20,  -8,  -8, -36, -28
  55,     1, -30,  -6,  -6, -14,  -6,  78,  -6
  56,     1, -15,  -7,  69, -11, -23, -15,  -7
  57,     1,  54, -26, -42, -10, -10, -30, -10
  58,     1,  -7,  -7,  73,  -7, -35,  -7,  -7
  59,     1, -32,  -8, -24, -40,  88,  -8,  -8
  60,     1, -32,  -8,  -8, -16,  -8,  72,  -8
  61,     1,  -5,  -5,  -5,  -5,  -5,  -5,  91
  62,     1,  -4,  -4,  -4,  -4,  -4,  -4,  92
  63,     1,  -4, -12,  -4,  -4,  80,  -4, -20
  64,     1, -23, -15,  73,  -7, -35, -23,  -7
  65,     1,  73,  -7, -27,  -7,  -7, -15,  -7
  66,     1, -15,  -3,  -3,  -3,  -3,  -3,  89
  67,     1, -42, -30, -42, -10,  58, -10, -10
  68,     1,  -7,  73,  -7,  -7,  -7, -11,  -7
  69,     1, -25, -25,  -9, -21, -17,  71,  -9
  70,     1, -19,  -7,  -7,  -7,  73, -27,  -7
  71,     1,  -7, -27, -31, -27, -23,  85,  -7
  72,     1,  84,  -4,  -4,  -4,  -4,  -4,  -4
  73,     1,  -9, -25,  -9, -25,  63, -17,  -9
  74,     1, -23,  -7,  -7,  81, -15, -11,  -7
  75,     1,  -9, -25,  59,  -9, -17, -25,  63
  76,     1, -29,  -9, -41,  -9,  -9, -25,  63
  77,     1,  -6,  -6,  90,  -6, -18, -22, -22
  78,     1, -22, -14, -10,  78, -26, -10, -42
  79,     0, -27, -11, -43, -39, -43, -35, -11
  80,     1,  71, -17,  -9,  -9, -29, -41, -33
  81,     1,  62, -10, -22, -30, -10, -10, -10
  82,     1,  -9,  87,  -5,  -5,  -5,  -5,  -5
  83,     1,  -3,  -3, -11,  -3, -15,  -3,  93
  84,     1, -15,  -7,  65, -31,  -7, -19, -27
  85,     1,  -3,  -3,  -3,  93,  -3,  -3,  -3
  86,     1,  -3,  85,  -3,  -3, -15, -11,  -3
  87,     1, -33,  71, -37, -17,  -9,  -9, -21
  88,     1,  -5,  -5,  -5,  -5,  -5,  87,  -5
  89,     1,  59,  -9,  -9, -41, -29,  -9, -37
  90,     1,  -4,  -4,  -8,  -4,  84,  -4, -16
  91,     1, -25,  -5,  -5,  87,  -5,  -5,  -5
  92,     0, -43, -39, -11, -39, -31, -15, -31
  93,     1,  -9,  87,  59, -25,  -9,  -9, -33
  94,     1,  -7,  -7,  -7, -27,  65, -23,  81
  95,     1,  -3,  89, -11,  -3,  -3,  -3,  -3
  96,     1,  83,  -5,  -5,  -5, -13,  -9,  -5
  97,     1, -27,  -7, -23, -11,  69, -19, -19
  98,     1, -41, -17, -37, -41,  -9,  63,  -9
  99,     1,  66, -10, -22, -22, -22, -10, -10
 100,     1, -10, -42,  66, -42, -10, -10, -10
 101,     1, -37, -21,  -9,  75, -13,  63, -29
 102,     1,  -2,  94,  -2,  -2,  -2,  -2,  -2
 103,     0, -11, -43, -11, -23, -11, -43, -11
 104,     1,  74,  -6,  -6,  -6,  -6,  -6,  -6
 105,     0, -11, -11, -11, -23, -11, -23, -15
 106,     1,  -6,  -6, -30,  -6,  82, -30, -22
 107,     1,  92,  -4,  -4,  -4,  -4,  -4,  -4
 108,     1,  86,  -6,  -6,  -6,  -6,  -6, -30
 109,     1, -10,  78, -30, -38, -10, -10, -10
 110,     1,  83,  -5,  -5, -17,  -5,  -5,  -5
 111,     1,  -9,  -9,  -9,  -9,  -9, -29,  71
 112,     1,  -7, -19,  81,  -7,  -7,  -7, -19
 113,     1, -41, -25,  -9, -41,  -9,  75,  -9
 114,     1, -10,  -6,  78,  -6,  -6,  -6,  -6
 115,     1, -10, -10, -14, -18, -10, -14,  58
 116,     1, -22, -10, -18, -42, -34, -18,  74
 117,     1,  -7,  -7, -27,  69,  -7, -11,  -7
 118,     1,  -7, -27, -15, -19, -11,  -7,  81
 119,     1, -17,  87,  -5,  -5,  -5,  -5,  -5
 120,     1,  70, -30, -10, -10, -10, -10, -10
 121,     0, -43, -43, -11, -31, -11, -11, -11
 122,     0, -11, -11, -11, -43, -31, -11, -11
 123,     1,  84, -20,  -4, -12,  -4, -20, -12
 124,     1,  -5,  -5,  -5,  79,  -5,  -5, -25
 125,     1,  -7, -27, -19,  -7,  -7,  85,  -7
 126,     0, -11, -35, -43, -11, -11, -43, -11
 127,     0, -42, -10, -10, -10, -42, -18, -10
 128,     1, -16,  80,  -8, -24, -40,  -8,  -8
 129,     1,  -7,  -7, -15,  -7,  -7,  -7,  73
 130,     1,  -7,  -7,  -7,  -7, -11,  65, -27
 131,     1,  -5,  -5, -25, -13,  91,  -5,  -5
 132,     1,  -4,  88,  -4,  -4,  -4,  -4,  -4
 133,     1,  93,  -3,  -3,  -3,  -3,  -3,  -3
 134,     1,  87,  -5,  -5,  -5,  -5,  -5, -25
 135,     0, -27, -11, -19, -43, -23, -31, -11
 136,     0, -42, -34, -10, -42, -42, -26, -10
 137,     1, -41, -37,  -9,  -9,  67,  -9, -33
 138,     1,  -7,  -7,  -7,  -7,  85, -27,  -7
 139,     1, -30,  -6,  90,  -6, -18, -10,  -6
 140,     1,  -5,  -5,  -5,  -5,  79,  -5, -21
 141,     1,  -4,  84,  -4,  -4,  -4, -20,  -4
 142,     1, -16, -16,  -8, -24,  -8,  64, -20
 143,     1,  -7,  -7, -35,  -7,  -7,  -7,  89
 144,     1,  -3,  -3,  -3,  -3,  93, -11,  -3
 145,     1, -17,  -5,  -9,  79, -25,  -5,  -5
 146,     1, -36, -28, -28,  60,  -8, -28,  -8
 147,     1,  -9,  -9,  79,  -9,  -9, -21, -37
 148,     1,  -7,  -7, -31, -31,  -7,  73,  -7
 149,     1, -21,  -5,  -5,  79,  -5,  -5,  -5
 150,     1, -12,  76, -16,  -8, -20,  -8, -36
 151,     0, -11, -23, -11, -11, -23, -15, -11
 152,     1, -34, -42,  70, -38, -10, -10, -10
 153,     1,  -8,  60,  -8,  -8,  -8,  -8,  -8
 154,     1,  -3,  -3,  -3,  -3,  93, -15,  -3
 155,     1,  -3,  -3,  -3,  -3,  -3,  -7,  93
 156,     1,  68, -24, -20, -28, -32,  -8,  -8
 157,     1, -10, -26, -42, -10, -10, -10,  54
 158,     1, -14,  -6, -26, -18,  -6,  74, -22
 159,     1, -11, -31,  85,  -7,  -7, -35, -15
 160,     1, -29, -33, -17,  -9,  -9, -37,  63
 161,     1, -38, -26, -10,  58, -10, -10, -10
 162,     1, -26,  -6,  -6,  -6,  -6,  -6,  74
 163,     1,  -5,  -5, -13, -21,  83,  -5,  -5
 164,     1, -37, -33, -25,  -9,  67,  -9, -29
 165,     1, -43, -19, -15,  53, -11, -31, -23
 166,     1,  -5,  87,  -5,  -5, -21,  -5,  -5
 167,     1, -21,  59,  -9, -37, -13, -37, -33
 168,     0, -43, -27, -11, -27, -23, -31, -43
 169,     1,  -5,  -5,  -5,  -5,  83,  -5,  -5
 170,     1, -17,  83, -13,  -5,  -9,  -5,  -5
 171,     1,  -9,  -9,  -9,  -9, -25,  -9,  67
 172,     1,  -6,  86,  -6, -22,  -6,  -6,  -6
 173,     1,  -6,  -6, -14, -26,  -6, -18,  82
 174,     1, -19,  -7, -35,  -7, -19,  -7,  73
 175,     1, -42, -42,  66, -18, -10, -10, -14
 176,     1, -21,  -5,  91,  -5,  -5, -13,  -5
 177,     1,  -9,  -9,  -9,  -9,  67, -41, -37
 178,     1, -22, -10, -10, -10,  66, -10, -10
 179,     1,  -4,  -4,  -4, -16,  -8,  -4,  80
 180,     1, -25,  79,  -9,  -9,  -9, -33, -41
 181,     1,  -5, -13,  -5,  -5,  79,  -5,  -5
 182,     0, -11, -27, -23, -11, -11, -31, -43
 183,     1,  -3,  -3,  89, -11,  -3,  -3,  -3
 184,     1, -19,  81, -23,  -7,  -7, -27,  -7
 185,     1, -31,  -7, -19,  -7,  -7,  -7,  69
 186,     1,  -6,  -6,  -6,  -6,  82,  -6,  -6
 187,     1,  -8,  84,  -8,  -8, -36, -12,  -8
 188,     0, -11, -11, -23, -11, -11, -31, -11
 189,     1,  -5,  -5,  87,  -5,  -5,  -5, -13
 190,     1, -15,  -3,  93,  -7,  -3, -11,  -3
 191,     0, -11, -11, -43, -31, -11, -11, -11
 192,     0, -10, -10, -10, -10, -34, -26, -10
 193,     1,  -8,  -8,  -8,  76,  -8, -16,  -8
 194,     0, -11, -47, -11, -15, -11, -11, -15
 195,     1,  -5, -21,  -5,  87,  -5,  -5,  -5
 196,     1,  -9, -17,  -9,  71, -33,  -9,  -9
 197,     0, -11, -19, -43, -11, -11, -11, -15
 198,     1, -15,  -3,  -3,  89,  -3, -11,  -3
 199,     1,  -3,  -3,  -3,  -3,  89,  -3,  -3
 200,     1, -11,  -3,  93,  -3,  -3,  -3, -15
 201,     1, -41,  -9, -41, -33,  -9,  71,  -9
 202,     1,  -9, -21,  -5,  -5,  -5,  -5,  87
 203,     1,  90,  -2,  -2,  -2,  -2,  -2,  -2
 204,     1,  85, -31, -27, -27,  -7,  -7,  -7
 205,     1,  -5,  -5,  -5,  83,  -5,  -5,  -5
 206,     1, -42,  70, -10, -22, -10, -10, -30
 207,     1,  -7,  -7, -31,  -7,  -7,  73,  -7
 208,     1,  -8,  -8, -36, -12,  -8,  -8,  80
 209,     1,  82, -30,  -6,  -6, -26, -10,  -6
 210,     1,  -7,  -3,  -3,  -3,  -3,  89,  -7
 211,     1,  -4,  -4,  84,  -4,  -4,  -4,  -4
 212,     1,  -7,  -3,  -3, -15,  -7, -11,  85
 213,     1, -16,  -8, -36,  -8,  -8,  72,  -8
 214,     1,  -8, -32,  84, -24, -20,  -8, -36
 215,     1, -41,  71,  -9, -13, -41, -41,  -9
 216,     0, -11, -23, -11, -23, -31, -11, -43
 217,     1,  -5, -13,  -5,  -5,  -5,  79,  -5
 218,     0, -11, -27, -15, -11, -31, -11, -43
 219,     1,  93,  -7, -11,  -3,  -3,  -3,  -3
 220,     1,  -7,  -7,  -7,  -7, -19,  77,  -7
 221,     1,  -3,  -3,  89,  -7,  -3,  -3,  -3
 222,     1,  93, -11,  -3, -11,  -3,  -3,  -7
 223,     1, -10, -14, -18, -10,  58, -10, -26
 224,     1, -21,  83, -25,  -5,  -5,  -9,  -5
 225,     1, -13,  -5, -21,  -5,  79,  -5,  -5
 226,     1,  -8, -12,  -8,  72, -40, -16, -32
 227,     1,  78, -18,  -6, -26,  -6,  -6, -14
 228,     0, -11, -11, -11, -27, -35, -35, -11
 229,     1,  -9,  -9,  -9,  67,  -9, -33, -21
 230,     1, -18,  -6,  -6,  78,  -6, -18,  -6
 231,     1, -20,  -8,  84, -24,  -8,  -8, -12
 232,     1,  79, -33, -41, -17, -21, -37, -25
 233,     1, -29, -17, -25,  59, -25, -17,  -9
 234,     1,  -9,  -9,  -9,  87,  -9, -33, -17
 235,     1,  -6,  -2,  90, -10,  -6,  -2, -10
 236,     1, -29,  -9,  -9,  59, -33, -21,  -9
 237,     1,  -5,  -5,  -5,  79, -21, -13,  -5
 238,     1, -34, -42,  58, -42, -10, -42, -22
 239,     1,  -9,  -9,  -9,  -9, -41,  63, -41
 240,     1, -11,  65, -15,  -7,  -7, -11,  -7
 241,     1,  -8,  72, -16,  -8, -20, -20, -24
 242,     1,  -5,  -5,  83,  -5,  -5,  -5, -21
 243,     1, -16,  -8, -20,  84,  -8,  -8, -36
 244,     1,  -6,  -6,  78,  -6,  -6, -30, -10
 245,     1,  -6,  82, -10,  -6,  -6, -14,  -6
 246,     1,  -5,  -5,  -5, -25,  -5,  87,  -5
 247,     1, -32,  60, -12,  -8,  -8,  -8, -20
 248,     1,  -9,  -9,  71, -41, -25,  -9, -21
 249,     1,  -8, -24,  -8,  76, -24,  -8,  -8
 250,     1, -11, -19, -11,  53, -43, -11, -19
 251,     1, -12,  -8, -24,  68,  -8,  -8,  -8
 252,     1, -19,  65, -23, -19,  -7,  -7,  -7
 253,     1,  69,  -7,  -7, -27, -31,  -7, -27
 254,     1,  -6, -10,  -6, -22,  74, -22,  -6
 255,     1,  85,  -3,  -3, -11,  -3,  -3,  -3
 256,     1,  -4, -12,  -4,  80, -16,  -4,  -4
 257,     0, -11, -11, -43, -35, -43, -15, -31
 258,     0, -11, -43, -11, -23, -19, -39, -11
 259,     1, -31, -19,  -7,  -7,  85,  -7, -31
 260,     1,  -8,  -8,  84, -32,  -8,  -8,  -8
 261,     1, -23,  -7,  -7, -31,  85,  -7,  -7
 262,     1,  -8,  84,  -8,  -8,  -8,  -8, -40
 263,     1,  -3,  -3,  -3,  -3,  93,  -3,  -3
 264,     1, -16, -28,  -8,  -8,  68, -16,  -8
 265,     1,  -9,  -9, -29,  63, -25,  -9,  -9
 266,     1, -21,  -5, -21,  -5,  -5,  83,  -5
 267,     1, -22, -26,  78,  -6,  -6, -26,  -6
 268,     1,  -9,  67,  -9,  -9, -17,  -9,  -9
 269,     1,  60, -32,  -8,  -8,  -8,  -8, -36
 270,     1, -13,  -5,  79,  -5,  -5,  -9,  -5
 271,     0, -43, -11, -11, -11, -11, -11, -23
 272,     1,  -3,  -3,  -3,  -3,  -3,  -3,  93
 273,     0, -39, -27, -35, -11, -11, -11, -11
 274,     1,  -4, -12, -16,  -4,  88,  -4,  -4
 275,     1,  -7,  -7,  89,  -7, -19, -27,  -7
 276,     1,  -5,  -9, -13,  -5,  79,  -5,  -5
 277,     1,  -6,  -6,  -6,  70,  -6,  -6,  -6
 278,     1, -14, -10,  54, -18, -18, -42, -10
 279,     1,  -2,  -2,  -6,  -2,  -2,  90,  -2
 280,     1,  -9,  -9,  71,  -9, -21,  -9, -13
 281,     1, -16,  -4, -12, -16, -16,  -4,  80
 282,     1,  89,  -3,  -3,  -3,  -3,  -3,  -3
 283,     0, -10, -10, -10, -10, -30, -10, -10
 284,     1,  60,  -8,  -8, -32,  -8,  -8, -24
 285,     1,  -9,  83,  -9,  -9,  -9,  -9, -41
 286,     1,  -5,  87, -21,  -5,  -5, -17, -17
 287,     1,  -7,  -7,  -7, -15,  -7, -27,  65
 288,     1, -21,  -5,  -5,  91,  -5,  -5,  -5
 289,     1,  -4,  -4,  -4, -20, -16,  84,  -4
 290,     1,  -4,  -4,  -4,  80,  -4,  -4, -16
 291,     1,  -5,  -5,  -5,  87,  -5,  -5,  -5
 292,     1, -10,  -6, -10,  -6,  86,  -6,  -6
 293,     1,  -7, -23, -11,  -7,  89,  -7,  -7
 294,     0, -35, -27, -11, -11, -23, -11, -19
 295,     1, -18, -18, -30,  58, -10, -10, -42
 296,     1, -41,  -9,  63, -21,  -9,  -9,  -9
 297,     1,  -4,  -4,  -4, -16,  -4,  -4,  92
 298,     1,  -8,  -8,  -8, -12,  80, -20, -28
 299,     1,  91,  -5, -25, -21, -17,  -5,  -5
 300,     0, -11, -11, -43, -39, -39, -11, -27
 301,     1,  70, -10, -10, -30, -26, -30, -38
 302,     1,  -4,  -4,  -4,  -4,  -4,  84, -16
 303,     1,  80,  -4,  -4,  -4,  -4,  -4,  -4
 304,     1,  -9,  -9, -25, -41,  -9, -21,  59
 305,     1,  -6,  -6,  -6,  86,  -6,  -6,  -6
 306,     1,  87,  -5, -17,  -5, -17,  -5, -17
 307,     1,  85, -19,  -7, -27, -11, -31, -23
 308,     1,  -3,  -3,  -3,  -3,  -3,  93,  -7
 309,     1, -25, -21,  87,  -5,  -5, -17, -13
 310,     0, -11, -39, -11, -11, -11, -23, -11
 311,     0, -11, -11, -43, -35, -31, -11, -39
 312,     0, -23, -11, -43, -11, -23, -11, -11
 313,     1,  78,  -6,  -6, -10,  -6, -14, -14
 314,     1,  -7,  -7, -35, -11, -19,  69,  -7
 315,     1,  -4,  -4, -16,  84, -20, -12,  -4
 316,     1, -36, -36, -36,  72,  -8,  -8, -16
 317,     1, -23,  -7, -11,  -7,  -7,  81, -27
 318,     1, -21, -41,  -9, -29, -29,  63,  -9
 319,     1,  91,  -5,  -5,  -5,  -5,  -5,  -5
 320,     1,  -4,  92,  -4,  -4,  -4, -16,  -8
 321,     1,  -6,  -6,  -6,  82,  -6,  -6,  -6
 322,     1, -20,  -8, -12,  60,  -8,  -8,  -8
 323,     1,  -3,  -3,  -3,  -3,  -3,  89,  -3
 324,     1,  -5,  -5, -13,  -9,  -5,  -5,  79
 325,     1,  -6,  -6,  -6,  -6, -22,  82,  -6
 326,     1,  -5,  87, -13,  -5,  -5,  -5,  -5
 327,     1,  -2,  -2,  -2,  -2,  94,  -6,  -2
 328,     1,  -7,  -7,  -7,  -7,  -7,  81, -11
 329,     1,  -6,  -6, -22,  -6,  90,  -6,  -6
 330,     1,  -5, -13,  -5,  87, -21,  -5,  -5
 331,     1,  -7, -19, -15,  73, -11,  -7,  -7
 332,     1, -21,  -9,  -9,  87,  -9, -41,  -9
 333,     1,  -2,  -2,  -2, -10,  -2,  94,  -2
 334,     0, -11, -43, -19, -39, -23, -31, -11
 335,     1, -12,  -4,  92,  -4,  -4,  -4,  -4
 336,     1, -41,  -9,  -9, -25,  -9,  63,  -9
 337,     0, -31, -11, -11, -43, -19, -23, -11
 338,     1,  -5, -13,  -5,  -5,  -5,  83,  -5
 339,     1,  -4,  -4,  88,  -4, -12,  -4, -16
 340,     1,  -3,  -7,  93,  -3,  -3,  -3,  -3
 341,     1,  -3,  -3,  -3,  85,  -7,  -3, -15
 342,     1,  -6, -22, -30, -18,  78, -26,  -6
 343,     0, -43, -23, -11, -11, -11, -43, -39
 344,     1,  -7,  -7, -15,  -7, -11,  77, -11
 345,     1,  -8, -36,  72,  -8,  -8,  -8,  -8
 346,     1, -38, -10, -10, -18,  70, -10, -10
 347,     1,  -5, -21, -17,  -5,  -5,  91,  -5
 348,     1, -13,  -9, -41,  75, -29, -41, -37
 349,     1,  -6, -22,  82,  -6, -18, -14,  -6
 350,     1,  -8, -12,  -8, -16,  -8,  -8,  88
 351,     1,  -5,  -5,  -5,  -5,  -5, -13,  87
 352,     1,  -5,  -5, -21,  79,  -5,  -5,  -5
 353,     0, -31, -11, -19, -39, -11, -11, -35
 354,     1,  -7, -31,  -7,  -7,  -7, -35,  89
 355,     1,  -7, -19, -19, -31, -23,  -7,  73
 356,     1,  -9,  71,  -9, -29,  -9,  -9,  -9
 357,     1,  -7,  -7, -31, -27, -15,  73, -19
 358,     1, -17,  67, -13,  -9, -25, -29,  -9
 359,     1,  -6, -14,  90, -22,  -6,  -6, -26
 360,     1,  59,  -9, -37, -41,  -9,  -9,  -9
 361,     1, -32,  -8,  68,  -8,  -8, -20,  -8
 362,     1,  -9,  -9,  -9, -29, -33,  67,  -9
 363,     0, -27, -15, -31, -11, -47, -11, -15
 364,     1,  -9,  -9,  -9,  -9,  -9,  -9,  71
 365,     1,  -9, -37,  83, -37,  -9,  75,  -9
 366,     1, -41, -37, -21, -37,  71,  -9, -33
 367,     1, -20,  -4,  -4, -20,  -4,  88, -16
 368,     1,  -4,  -4,  84,  -4,  -4,  -4,  -4
 369,     1, -10, -26,  62, -10, -10, -46, -10
 370,     1,  -3,  -3,  -3,  93,  -7,  -3,  -3
 371,     1, -13,  83,  -5,  -5,  -5, -13,  -5
 372,     1, -10, -10, -22, -38, -10, -14,  70
 373,     1, -15,  -3,  -3,  -3,  -7,  93,  -3
 374,     1,  90,  -6,  -6,  -6, -14,  -6, -14
 375,     1,  63,  -9,  -9, -29,  -9, -29, -21
 376,     1, -41, -29,  -9,  -9, -17, -37,  67
 377,     1,  -9,  -9,  -9, -41,  59, -21, -17
 378,     1, -10,  -2,  -2,  -2,  -2,  -2,  90
 379,     1,  53, -15, -11, -11, -35, -15, -35
 380,     0, -15, -19, -11, -11, -11, -11, -39
 381,     1, -19, -11,  53, -15, -39, -19, -11
 382,     0, -43, -11, -11, -11, -11, -11, -35
 383,     1,  -7, -23,  85,  -7,  -7,  -7,  -7
 384,     0, -11, -27, -15, -11, -11, -11, -19
 385,     1, -32,  -8,  72,  -8,  -8,  -8, -36
 386,     1, -17, -25,  -9,  -9,  -9,  59, -33
 387,     1,  -6, -30, -26,  90,  -6,  -6,  -6
 388,     1,  -4,  -4,  88,  -4, -16, -20,  -4
 389,     1,  -3,  -3,  -3,  -3,  89,  -3,  -3
 390,     1,  -4, -16,  -4,  -4,  -4, -12,  80
 391,     1,  -5,  -5,  87,  -5,  -5,  -5, -25
 392,     1, -11, -43, -11,  57, -39, -27, -31
 393,     1,  -4,  88, -16,  -4,  -4,  -4,  -4
 394,     1,  -5,  -5,  -5,  87,  -5,  -5,  -9
 395,     1, -27,  65,  -7,  -7,  -7,  -7, -11
 396,     1,  80,  -4, -12,  -4,  -4,  -4,  -4
 397,     1,  -4,  -4,  -4, -20,  -4,  -4,  92
 398,     1,  73,  -7, -15,  -7,  -7,  -7, -31
 399,     1, -15,  -3, -15,  -3, -11, -15,  85
 400,     1,  -6,  -6,  78,  -6,  -6, -22,  -6
 401,     1,  -6,  -6,  -6, -18,  -6,  -6,  74
 402,     1, -21,  -9,  -9,  83, -13,  -9,  -9
 403,     1, -10, -10,  70, -10, -10, -18, -10
 404,     0, -46, -10, -42, -10, -10, -38, -26
 405,     1, -16,  -4,  -4,  -4,  -4,  -4,  88
 406,     1,  -8,  -8, -12,  72,  -8, -36,  -8
 407,     1,  -6,  74,  -6, -10,  -6,  -6,  -6
 408,     1, -12,  -4,  -4,  -8,  -4,  -4,  92
 409,     1, -10, -10, -10, -10,  82, -10, -10
 410,     1,  87,  -5, -21,  -5,  -5,  -5,  -5
 411,     1, -22,  -6,  -6, -10,  86,  -6, -22
 412,     1, -16, -36, -40,  76,  -8, -28, -12
 413,     1,  -8,  76, -24, -36,  -8,  -8,  -8
 414,     1,  -7, -11,  81,  -7,  -7,  -7, -31
 415,     1,  -3,  -3,  -3,  -3,  -3, -11,  89
 416,     1,  -3, -11,  -3,  -3,  89,  -3,  -3
 417,     1,  83,  -5,  -5, -25, -13, -21, -25
 418,     1, -38,  62, -10, -10, -42, -10, -42
 419,     1,  -3,  -7,  -3,  -7,  -3,  89, -11
 420,     1, -30,  -6, -26,  -6,  90,  -6, -26
 421,     1,  -5,  -5,  -5,  -5,  -5, -21,  87
 422,     1,  -9, -41, -29,  -9,  -9, -33,  59
 423,     1,  -4,  -4,  -4,  -8,  -4,  -4,  92
 424,     1,  -7,  -7, -15,  65,  -7,  -7, -11
 425,     1,  -4,  -4, -16,  -4,  92,  84,  -4
 426,     1, -22,  62, -10, -10, -10, -34, -26
 427,     1,  -4,  -4,  -4, -16,  92,  -4,  -4
 428,     0, -10, -42, -34, -10, -26, -10, -10
 429,     1, -10, -10, -42, -42,  70, -10, -30
 430,     1, -11,  -7,  -7,  -7,  -7, -23,  81
 431,     1, -30, -10, -18, -10,  54, -10, -10
 432,     0, -15, -11, -43, -11, -11, -11, -19
 433,     1,  -7,  -7, -31, -27,  -7,  69,  -7
 434,     1,  -3,  -3,  -3,  -7,  85,  -3,  -3
 435,     1,  -8, -24,  76, -36, -40,  -8,  -8
 436,     1,  -3,  -3,  -3,  -3, -11,  -3,  89
 437,     1,  -3,  -3,  89, -11,  -3,  -3,  -3
 438,     1, -26,  -6,  -6, -26,  82,  -6, -26
 439,     1,  -8,  -8,  -8,  -8,  84, -12, -20
 440,     1, -10,  54, -10, -22, -10, -42, -34
 441,     1, -19,  -7,  77, -11,  -7, -23,  -7
 442,     1,  -3,  -3,  -3,  89,  -3,  -3,  -3
 443,     1,  -3, -11,  -3,  -3,  -3,  -3,  85
 444,     1,  -8, -36, -28, -28, -16,  88, -12
 445,     1,  -7,  -7,  77,  -7, -15,  -7, -19
 446,     1, -19,  -7,  -7, -27, -15, -11,  77
 447,     1,  -5,  -5, -13,  79,  -5,  -5,  -5
 448,     1,  -8,  -8, -16, -40, -20, -12,  72
 449,     1,  -2,  -2,  -2,  -2,  -2,  -2,  94
 450,     1,  84, -12,  -8, -32,  -8, -32,  -8
 451,     1,  79,  -5,  -5, -21,  -5,  -5,  -5
 452,     1,  -9,  -9,  -9,  -9, -25, -13,  71
 453,     1,  -3,  -3,  89,  -3,  -3,  -3,  -3
 454,     1,  -8,  -8,  88, -36,  -8,  -8,  -8
 455,     1,  92,  -4,  -4, -12,  -4,  -4,  -4
 456,     1,  -7,  -7,  -7,  -7,  -7,  77,  -7
 457,     1, -19,  -7, -11, -15, -23,  -7,  65
 458,     1,  53, -43, -43, -11, -11, -27, -35
 459,     1,  -6,  -6,  78,  -6,  -6, -22,  -6
