nExp,  A0x,  A0y,  A1x,  A1y,  A2x,  A2y,  A3x,  A3y 
  43,    1,   48,   11,   59,   11,   57,    1,   38
  44,   10,   42,   10,   42,    1,   63,   11,   63
  45,    0,   25,    1,   54,   11,   60,   10,   60
  46,    0,   22,   11,   54,    0,   19,    0,   58
  47,    1,   20,    0,   49,   11,   60,   11,   60
  48,   10,   56,   11,   63,   11,   62,   11,   56
  49,   10,   53,   11,   59,   11,   58,   10,   61
  50,   11,   61,    0,   26,   10,   43,    0,   59
  51,   11,   57,    1,   55,    0,   48,    0,   31
  52,   11,   54,    0,   38,    1,   58,   10,   56
  53,    0,   65,    1,   45,    1,   14,    1,   20
  54,    0,   47,   10,   39,   10,   46,    1,   53
  55,    1,   59,   10,   50,   10,   46,    0,   50
  56,   10,   59,    0,   61,   11,   65,   11,   62
  57,   11,   60,   11,   56,   11,   59,   11,   59
  58,   11,   54,    0,   62,    1,   60,   11,   61
  59,   10,   42,    0,   57,   11,   63,   10,   48
  60,    1,   18,    1,   42,   11,   65,    1,   17
  61,   11,   62,    0,   39,   10,   36,   11,   65
  62,   10,   38,    0,   35,    0,   34,    0,   64
  63,   11,   54,   11,   56,    0,   50,   11,   55
  64,    0,   35,    0,   47,   11,   56,    0,   34
  65,   11,   55,   11,   58,    1,   27,   11,   65
  66,   10,   41,   11,   55,   10,   40,   11,   65
  67,   11,   57,    0,   54,    1,   34,    0,   24
  68,    0,   21,    0,   38,   10,   58,    0,   38
  69,   10,   38,    1,   31,   11,   54,    1,   34
  70,   10,   45,    0,   32,    1,   63,   11,   57
  71,   10,   56,   11,   59,    1,   53,    1,   25
  72,    1,   62,    0,   40,   10,   50,    0,   18
  73,   10,   54,    0,   32,   11,   61,   10,   40
  74,   10,   50,   10,   58,    0,   54,    1,   65
  75,    0,   60,    0,   30,   10,   53,    1,   17
  76,    1,   27,   11,   64,   10,   37,   11,   57
  77,    1,   40,    0,   62,    0,   37,    1,   40
  78,   10,   54,   10,   48,   10,   48,   11,   63
  79,    1,   32,   10,   40,   10,   47,   10,   40
  80,   10,   46,    1,   34,    1,   49,    1,   47
  81,    0,   32,   10,   37,   10,   36,    1,   59
  82,    0,   43,    0,   59,   10,   58,   10,   36
  83,    0,   47,   11,   64,   10,   57,    0,   54
  84,    1,   17,    1,   29,    0,   38,   11,   59
  85,    1,   50,   10,   39,   11,   59,   11,   58
  86,   11,   58,    0,   27,   11,   61,    0,   36
  87,    0,   22,    0,   20,   10,   41,   10,   54
  88,   10,   51,    1,   59,    1,   36,   10,   51
  89,   11,   65,   11,   65,   10,   50,   10,   42
  90,    1,   14,    0,   18,   10,   40,   11,   62
  91,   11,   58,   11,   59,    1,   17,   11,   63
  92,    1,   36,    1,   13,    0,   35,    0,   43
  93,    0,   27,   10,   58,    1,   58,    1,   30
  94,   10,   37,   11,   54,    1,   51,    0,   56
  95,   11,   59,    0,   21,    0,   54,    1,   61
  96,    1,   16,    1,   52,   11,   54,    0,   41
  97,    0,   59,   11,   57,    1,   42,    1,   41
  98,    0,   32,    1,   44,   10,   43,    0,   23
  99,   11,   55,   10,   43,    1,   51,   10,   58
 100,   10,   61,    0,   48,    0,   53,    1,   48
 101,   10,   55,    0,   57,    0,   42,   10,   43
 102,   10,   44,    0,   56,   10,   45,   10,   36
 103,    0,   36,   11,   60,    0,   54,   11,   63
 104,   10,   56,    0,   53,   11,   63,    1,   43
 105,   10,   63,    0,   58,   10,   46,    1,   12
 106,    0,   49,   10,   50,   11,   59,    1,   57
 107,    1,   44,   10,   60,   11,   58,    0,   19
 108,   10,   64,    1,   35,   10,   55,    1,   48
 109,    1,   31,   10,   57,    0,   19,   10,   36
 110,    0,   28,   10,   37,    0,   64,    1,   60
 111,    0,   38,    1,   21,    1,   65,   10,   47
 112,    1,   26,   10,   58,   10,   49,    0,   62
 113,    1,   33,    0,   24,   11,   60,   10,   40
 114,    1,   57,   11,   56,    0,   56,    0,   55
 115,   10,   41,    0,   62,   10,   54,    1,   20
 116,   10,   43,   11,   62,    0,   62,    0,   22
 117,    1,   20,    0,   35,   10,   48,    1,   38
 118,    1,   28,   11,   60,   11,   63,   10,   43
 119,   10,   49,   10,   48,    1,   13,   10,   37
 120,   10,   53,   11,   57,   10,   42,   10,   46
 121,   11,   65,    0,   45,    1,   64,   11,   61
 122,   10,   56,    1,   61,   11,   57,   10,   36
 123,   11,   60,   11,   58,   10,   45,   11,   61
 124,   11,   54,    0,   20,    0,   62,   11,   59
 125,   11,   63,   11,   62,    0,   44,    1,   63
 126,    0,   26,   10,   40,    0,   42,   11,   61
 127,   11,   57,    1,   35,   11,   62,   11,   60
 128,   10,   65,    0,   55,   11,   64,   11,   55
 129,   10,   63,   10,   46,   11,   60,    1,   45
 130,   11,   56,    0,   43,   11,   62,   10,   54
 131,    1,   51,    0,   60,    1,   63,   11,   54
 132,    1,   52,    1,   39,   11,   62,   11,   55
 133,   11,   65,   10,   64,    1,   59,   11,   61
 134,    0,   19,    0,   30,   11,   58,   11,   61
 135,    1,   59,    0,   40,   11,   55,   10,   45
 136,    0,   40,   10,   37,   10,   46,    0,   27
 137,    0,   43,    0,   62,   11,   65,    1,   60
 138,   11,   63,    1,   48,   10,   48,    1,   15
 139,    0,   24,    1,   46,   11,   54,   11,   54
 140,   10,   58,   10,   64,    1,   43,    0,   44
 141,   11,   56,    1,   49,    1,   25,   11,   65
 142,    0,   61,   10,   37,   10,   55,    0,   54
 143,   11,   54,   10,   49,    0,   40,    0,   34
 144,   10,   50,   10,   52,   11,   58,   11,   54
 145,    1,   31,    1,   57,   10,   65,   11,   55
 146,    1,   13,   10,   36,   11,   56,    1,   15
 147,    1,   33,    0,   54,   10,   46,   11,   54
 148,    0,   35,   11,   63,   10,   52,   11,   58
 149,    0,   56,    0,   36,    1,   18,    1,   21
 150,   10,   55,    0,   39,   10,   62,    1,   16
 151,    0,   59,   11,   64,    1,   46,    0,   57
 152,    1,   63,    1,   13,   11,   61,    1,   13
 153,    1,   20,   10,   40,    0,   62,   10,   43
 154,   11,   61,   11,   59,   11,   62,    0,   29
 155,    1,   21,    0,   28,   11,   59,   11,   55
 156,   10,   36,   11,   54,    1,   55,   11,   54
 157,   11,   60,    0,   55,    0,   47,   11,   62
 158,    1,   13,    1,   61,    1,   25,    0,   42
 159,   10,   38,    1,   47,   11,   59,    1,   37
 160,    0,   36,   10,   47,   10,   61,   11,   64
 161,    1,   13,   10,   50,    0,   19,    1,   55
 162,   11,   55,   11,   54,   10,   36,    1,   58
 163,    1,   61,   10,   54,    0,   34,    1,   43
 164,   11,   57,   10,   64,    1,   45,   11,   61
 165,   11,   56,   11,   56,   10,   44,   10,   44
 166,    1,   48,    1,   51,    1,   19,   10,   40
 167,    1,   33,    0,   52,   10,   59,   10,   52
 168,    0,   27,    0,   43,   11,   58,   11,   62
 169,   10,   46,    0,   64,   11,   58,   11,   64
 170,    1,   39,    1,   49,   11,   65,   10,   45
 171,   11,   65,    1,   63,   10,   64,   11,   63
 172,   10,   40,    0,   46,   10,   64,   10,   56
 173,   10,   42,   10,   65,    0,   51,   10,   47
 174,   11,   54,   11,   63,    1,   17,    1,   43
 175,    1,   38,   11,   65,   10,   60,    0,   59
 176,   11,   56,   11,   64,   11,   60,   10,   42
 177,   10,   48,    0,   24,    1,   59,   10,   63
 178,   11,   55,   10,   46,   10,   49,    1,   17
 179,   11,   59,   10,   50,    0,   43,    0,   58
 180,   11,   55,    0,   21,    1,   63,   10,   43
 181,    0,   23,    0,   56,    0,   59,   11,   55
 182,   10,   36,   11,   60,   11,   59,   10,   63
 183,   10,   62,    1,   17,    0,   28,   11,   57
 184,    0,   41,   11,   60,    1,   16,   10,   42
 185,    1,   32,   11,   56,   11,   62,    1,   59
 186,    1,   32,    0,   55,    1,   39,    1,   47
 187,    1,   61,    1,   31,    1,   53,   11,   64
 188,    1,   27,    1,   30,    0,   26,   11,   59
 189,    0,   36,    1,   39,   11,   65,   10,   54
 190,   10,   51,    1,   28,   10,   38,    1,   60
 191,    0,   64,   11,   60,    0,   22,    0,   33
 192,    0,   56,    1,   24,    0,   36,    0,   23
 193,   10,   64,    0,   53,    0,   18,   11,   64
 194,    0,   26,    0,   62,    1,   55,    1,   32
 195,   11,   61,    1,   43,   10,   60,   10,   55
 196,   10,   38,   11,   62,    1,   49,   10,   55
 197,    1,   42,   10,   42,   10,   39,    0,   61
 198,    0,   60,    1,   36,    1,   34,    1,   42
 199,    1,   56,    0,   29,    1,   62,    0,   52
 200,    0,   37,   11,   59,    1,   25,    1,   24
 201,    1,   47,   10,   63,   11,   60,    0,   32
 202,   10,   56,   11,   55,    0,   59,   11,   63
 203,    1,   48,    1,   22,    1,   54,   11,   65
 204,   11,   62,   10,   57,    0,   62,   10,   53
 205,    1,   46,   10,   62,   10,   42,    1,   25
 206,   11,   64,   10,   41,    0,   24,    1,   48
 207,    0,   50,   11,   63,    1,   46,   11,   64
 208,    1,   49,    0,   44,    1,   35,    1,   47
 209,   11,   59,    0,   54,   11,   65,    1,   37
 210,   10,   62,   10,   36,    0,   58,   10,   62
 211,    1,   23,    0,   65,    0,   48,    1,   32
 212,   10,   38,   11,   59,    0,   38,   11,   57
 213,   10,   59,    0,   64,    0,   59,   10,   40
 214,    1,   44,    1,   57,    0,   36,   10,   46
 215,   11,   57,    0,   25,   10,   52,    0,   65
 216,    1,   29,   10,   36,    1,   47,   11,   63
 217,   11,   55,    1,   13,    1,   32,    1,   32
 218,   11,   56,   11,   60,    1,   41,    0,   41
 219,    0,   59,    1,   30,   11,   61,    1,   54
 220,    0,   45,   10,   61,   10,   50,   10,   59
 221,    1,   42,   10,   65,   10,   64,    1,   44
 222,   10,   46,    1,   64,    1,   65,   11,   56
 223,   11,   65,    1,   47,   11,   54,   11,   57
 224,   10,   64,    0,   47,    1,   18,   10,   65
 225,   10,   46,    1,   34,   10,   48,    0,   65
 226,   11,   56,    0,   38,   10,   36,   11,   61
 227,    1,   59,   10,   45,   10,   65,    0,   52
 228,   11,   62,    0,   46,   11,   59,   10,   43
 229,    1,   55,    1,   36,    0,   35,   10,   42
 230,   11,   58,    0,   32,   11,   64,   11,   54
 231,   11,   60,    0,   29,    1,   33,    1,   62
 232,    0,   52,   11,   58,    0,   28,    1,   19
 233,   10,   43,    0,   29,   11,   59,   11,   65
 234,    0,   44,   11,   60,    0,   29,   11,   57
 235,   11,   63,   10,   57,   11,   64,    0,   26
 236,   10,   42,   10,   50,    0,   22,    0,   57
 237,    0,   64,   11,   62,    1,   26,    1,   30
 238,    1,   51,   11,   55,    0,   28,    0,   59
 239,   10,   38,    1,   36,   11,   63,    0,   48
 240,   10,   36,    0,   50,    1,   64,   10,   56
 241,    0,   41,   10,   61,    0,   37,    1,   35
 242,    1,   27,   11,   64,    1,   46,    1,   43
 243,   10,   51,   10,   58,   11,   56,    0,   42
 244,   10,   60,   10,   63,   11,   60,   11,   59
 245,    1,   35,    1,   47,    0,   53,   11,   59
 246,    0,   27,    0,   30,   11,   54,   11,   65
 247,    0,   26,   11,   58,   11,   54,   11,   54
 248,   10,   63,   11,   57,   11,   58,    1,   31
 249,    1,   43,   11,   62,   11,   54,   10,   46
 250,    0,   62,    0,   26,    0,   49,   10,   51
 251,   10,   64,   11,   64,    0,   61,    0,   49
 252,   11,   60,    1,   29,   11,   65,   10,   57
 253,    1,   19,   11,   61,    1,   64,   10,   45
 254,   11,   54,   11,   55,    0,   30,   10,   54
 255,    1,   20,   11,   63,   10,   60,   11,   55
 256,   11,   64,   10,   50,   10,   39,   11,   57
 257,   11,   61,   10,   52,    0,   19,    0,   55
 258,    0,   23,    1,   64,   11,   57,   11,   55
 259,    1,   43,   11,   54,    1,   61,    0,   46
 260,    1,   42,   10,   48,   11,   65,   11,   54
 261,   11,   64,    0,   63,    0,   27,   11,   63
 262,   10,   44,    1,   33,    0,   48,    0,   55
 263,    0,   18,    1,   53,   11,   60,   11,   55
 264,    1,   51,    1,   19,   10,   37,    1,   25
 265,    1,   38,   10,   38,    1,   32,    1,   37
 266,    1,   15,    0,   48,   11,   60,    0,   21
 267,    0,   36,   10,   55,   10,   52,    1,   47
 268,   10,   48,   11,   62,   11,   59,    1,   53
 269,    0,   36,   11,   58,   10,   43,    0,   23
 270,    1,   45,   10,   51,    0,   19,    1,   62
 271,    0,   30,    1,   61,   11,   54,   10,   43
 272,   10,   58,   11,   62,   11,   63,    0,   20
 273,   10,   51,   11,   55,    1,   27,   11,   59
 274,   11,   62,   11,   61,   11,   56,    1,   43
 275,   11,   60,   11,   61,   10,   47,    1,   27
 276,    0,   64,   10,   61,   11,   65,    0,   34
 277,   10,   45,    0,   54,   10,   52,   10,   39
 278,   11,   59,   10,   54,   10,   57,    0,   41
 279,    0,   36,   10,   46,    1,   51,    0,   63
 280,   10,   40,   10,   38,   10,   56,    1,   28
 281,   10,   64,   11,   58,   11,   55,    0,   65
 282,   11,   61,   10,   45,   11,   64,    1,   23
 283,   10,   57,   11,   63,    0,   65,   11,   60
 284,    1,   51,   10,   38,   10,   36,   11,   63
 285,   10,   38,   10,   47,    0,   60,   11,   65
 286,   10,   61,    0,   32,   11,   61,    0,   24
 287,    0,   41,    1,   51,    1,   16,   11,   61
 288,   11,   56,   11,   54,   10,   50,    0,   57
 289,    1,   60,   10,   61,   11,   63,   10,   36
 290,    0,   27,   10,   36,    0,   41,    0,   33
 291,    0,   26,    1,   59,    0,   49,   10,   56
 292,    0,   34,    1,   41,   11,   56,   10,   37
 293,    1,   63,   11,   55,   11,   62,   11,   59
 294,    1,   60,   10,   58,    0,   21,    1,   29
 295,   10,   46,   11,   62,    1,   18,   10,   52
 296,    0,   19,   10,   51,   10,   48,    1,   33
 297,    0,   43,    0,   50,   10,   41,    0,   29
 298,   10,   48,   11,   60,   10,   42,    0,   62
 299,    0,   24,    0,   45,   10,   48,    1,   46
 300,    1,   55,   10,   54,    0,   34,   11,   56
 301,   10,   65,    1,   39,    0,   18,    0,   40
 302,   10,   61,    1,   29,   10,   55,   10,   62
 303,    0,   23,    1,   45,   10,   42,    0,   62
 304,    0,   18,    1,   39,   10,   58,    0,   42
 305,    1,   51,    1,   55,    0,   65,   10,   48
 306,   10,   47,    0,   39,    1,   47,   10,   60
 307,    1,   20,    0,   45,    1,   23,   11,   55
 308,   11,   60,   11,   64,    1,   37,    0,   35
 309,   11,   55,    0,   20,   11,   62,   10,   49
 310,    1,   43,   10,   59,    0,   48,   10,   53
 311,   10,   51,   11,   61,   10,   36,    0,   46
 312,   11,   55,   10,   40,   11,   63,   10,   38
 313,    1,   26,    1,   54,   10,   65,   10,   40
 314,   11,   54,    1,   46,    1,   13,    1,   25
 315,   11,   61,    0,   59,    0,   33,   11,   63
 316,    1,   40,   11,   62,   10,   55,   11,   65
 317,    1,   36,   10,   43,   10,   63,    1,   31
 318,    1,   32,   10,   37,   11,   57,   10,   48
 319,   10,   53,   10,   40,    0,   23,    1,   25
 320,    1,   37,   10,   39,    1,   63,    0,   18
 321,    1,   50,   11,   55,    0,   32,   10,   63
 322,    1,   54,    0,   48,    0,   54,   11,   59
 323,   10,   46,   11,   58,   10,   65,   10,   49
 324,    0,   63,   10,   57,   10,   43,   10,   38
 325,    0,   58,   10,   45,   10,   52,   10,   36
 326,    0,   22,   11,   59,    0,   35,   10,   49
 327,   10,   64,    1,   17,    0,   52,    1,   18
 328,   11,   64,    0,   47,   10,   43,   11,   62
 329,    1,   20,    1,   56,    0,   51,   10,   52
 330,    0,   23,    1,   46,    1,   25,    1,   37
 331,   10,   52,    1,   34,   11,   61,   11,   61
 332,    1,   39,    1,   58,   10,   62,   10,   43
 333,    1,   20,   11,   64,    1,   13,    1,   54
 334,   10,   56,    0,   22,   10,   60,    0,   57
 335,   11,   61,   10,   36,    1,   37,   11,   59
 336,    0,   45,    0,   65,   10,   57,   10,   64
 337,    1,   27,    0,   19,    1,   52,   10,   36
 338,   10,   60,   11,   63,    1,   50,   10,   37
 339,    0,   34,   10,   47,   10,   58,   11,   57
 340,   11,   60,   10,   55,   10,   40,   10,   48
 341,   11,   62,   11,   65,   11,   61,   10,   50
 342,    1,   34,   11,   61,    0,   19,    1,   35
 343,    0,   28,    1,   32,   10,   40,   11,   59
 344,    0,   22,   11,   54,   10,   41,   10,   65
 345,   11,   59,    1,   27,    1,   63,    0,   40
 346,   11,   55,    0,   57,    1,   55,    1,   13
 347,   11,   57,    1,   15,   10,   60,    0,   62
 348,   10,   52,    0,   60,    1,   14,   11,   58
 349,    1,   15,    0,   20,   11,   64,    1,   16
 350,    0,   63,   10,   59,    0,   21,   11,   55
 351,   11,   65,    1,   18,   10,   49,   10,   62
 352,   10,   40,    1,   57,   10,   38,   10,   37
 353,   11,   56,   10,   65,   11,   60,    1,   49
 354,   10,   63,    0,   51,    0,   37,   11,   58
 355,    1,   31,    1,   12,    0,   53,   10,   55
 356,    0,   23,    1,   38,    0,   64,   11,   64
 357,    0,   49,   11,   57,   11,   55,   11,   55
 358,    1,   22,    0,   50,    0,   56,   11,   65
 359,   11,   65,   10,   36,    1,   33,   11,   59
 360,    1,   55,   11,   54,   11,   62,   11,   61
 361,    0,   50,    0,   65,   11,   64,   10,   43
 362,   11,   63,   10,   41,    0,   45,   10,   48
 363,   11,   62,    1,   13,   10,   45,   11,   56
 364,   10,   41,   11,   61,   11,   64,    1,   41
 365,    1,   45,    1,   56,    1,   53,    0,   35
 366,    1,   60,   10,   58,   10,   63,   10,   54
 367,   11,   63,    0,   59,    0,   53,    1,   33
 368,    0,   38,   11,   63,   10,   55,    0,   21
 369,   11,   64,    0,   61,   10,   38,    0,   26
 370,    1,   60,    1,   41,    1,   37,    1,   29
 371,    1,   27,   10,   36,   11,   60,   10,   48
 372,   10,   58,   10,   64,    1,   16,   11,   62
 373,    0,   41,   11,   65,    1,   37,    1,   52
 374,   10,   50,    0,   46,    0,   35,    1,   15
 375,    0,   55,    1,   18,   11,   57,    1,   49
 376,    0,   55,   11,   59,   10,   57,   11,   63
 377,    1,   39,    1,   40,   11,   55,   11,   60
 378,    0,   62,    0,   19,    1,   42,    0,   48
 379,   10,   52,    0,   35,    0,   40,    1,   29
 380,   11,   61,    0,   49,   11,   58,   11,   61
 381,    1,   33,    0,   38,    1,   38,   10,   62
 382,    0,   56,   11,   61,    0,   21,    0,   33
 383,    1,   55,    1,   20,   11,   62,   11,   59
 384,    0,   46,    1,   29,    0,   33,    1,   31
 385,   10,   39,    1,   52,    1,   58,   11,   56
 386,   10,   55,    0,   44,    1,   24,   10,   62
 387,   11,   55,    1,   16,    1,   47,   10,   37
 388,    0,   48,   11,   61,    0,   21,   10,   42
 389,   10,   45,   11,   64,   10,   57,   11,   61
 390,   10,   48,   11,   56,    0,   52,    0,   42
 391,   11,   58,   10,   62,   10,   38,   10,   59
 392,   11,   59,    0,   34,    1,   62,    0,   61
 393,    1,   17,   11,   55,    0,   29,   10,   55
 394,   11,   61,   10,   50,   10,   55,    1,   27
 395,   10,   54,    0,   27,   10,   60,    1,   21
 396,    0,   43,   10,   54,   10,   55,   11,   57
 397,   11,   56,    1,   38,   10,   58,    0,   53
 398,   11,   54,   10,   36,    0,   59,    0,   61
 399,   10,   58,   10,   58,   10,   62,    1,   32
 400,   10,   51,   10,   47,    1,   33,    0,   53
 401,   10,   62,   10,   48,   11,   54,   10,   63
 402,   11,   57,    1,   27,   11,   58,    1,   29
 403,    1,   58,    1,   40,    1,   30,    1,   60
 404,    1,   49,    0,   61,    1,   28,    1,   51
 405,   11,   63,    0,   64,    1,   63,    0,   63
 406,    0,   59,    1,   57,    0,   59,   10,   39
 407,   11,   59,    0,   58,    0,   19,   10,   38
 408,   10,   38,   11,   55,   10,   55,    1,   17
 409,    1,   30,   11,   56,    0,   46,    1,   27
 410,    0,   58,    0,   61,   11,   55,   11,   57
 411,   11,   57,    1,   50,   10,   58,    1,   15
 412,    1,   59,   11,   65,   10,   45,    1,   38
 413,    0,   59,    0,   33,   11,   60,   11,   54
 414,   11,   61,   11,   62,   11,   58,   10,   61
 415,   10,   59,   11,   57,    1,   33,    0,   61
 416,   11,   55,   11,   57,   10,   50,    1,   44
 417,   11,   58,    0,   58,   11,   63,    0,   38
 418,   11,   64,   11,   65,   10,   40,    1,   63
 419,    0,   62,    1,   43,   11,   55,    0,   40
 420,   11,   65,   10,   41,   11,   58,    1,   43
 421,    1,   40,   11,   54,   11,   59,   11,   64
 422,   10,   50,   10,   53,    1,   50,   11,   58
 423,   11,   60,    1,   20,   10,   44,   11,   65
 424,    1,   32,    1,   25,   11,   63,   11,   54
 425,   11,   63,   11,   65,    1,   16,   10,   52
 426,    0,   53,   11,   62,   11,   63,   11,   55
 427,   10,   54,   11,   59,    1,   40,    1,   12
 428,    0,   27,    1,   47,   10,   53,   11,   55
 429,    1,   41,   11,   64,   10,   55,   11,   63
 430,   10,   36,    1,   15,   11,   63,    1,   17
 431,   10,   46,   10,   61,   10,   60,    0,   29
 432,    1,   37,   11,   56,   10,   52,   10,   36
 433,    0,   22,    1,   44,   10,   55,    0,   59
 434,    1,   56,    0,   36,   10,   54,   10,   63
 435,   11,   61,   10,   48,   10,   54,   11,   56
 436,    1,   21,    0,   19,    0,   54,    1,   28
 437,    0,   45,    1,   14,    1,   55,   11,   65
 438,   11,   59,   11,   63,    1,   32,   10,   49
 439,   10,   60,   11,   61,   10,   42,    1,   24
 440,   10,   52,    0,   25,    0,   23,   10,   55
 441,   10,   59,   10,   43,   11,   58,    0,   28
 442,    1,   45,   11,   64,   11,   63,   10,   41
 443,   10,   56,    1,   32,    1,   65,   10,   46
 444,    0,   34,    0,   57,    0,   36,   10,   43
 445,    0,   64,   11,   54,   10,   37,    1,   17
 446,   11,   56,    1,   16,   11,   60,    1,   41
 447,    0,   56,    1,   57,   10,   44,    1,   27
 448,   11,   64,   10,   56,    0,   56,    1,   26
 449,    1,   60,    0,   65,    1,   45,   10,   37
 450,   11,   58,    1,   56,    1,   19,    0,   51
 451,    0,   46,    0,   23,    1,   27,    0,   63
 452,   11,   65,   11,   64,   10,   48,   10,   51
 453,    0,   55,    0,   49,   11,   60,    0,   35
 454,   10,   48,    0,   46,   11,   65,    0,   49
 455,    0,   25,   10,   54,    0,   53,   11,   65
 456,    0,   50,   10,   56,   11,   57,   11,   55
 457,    0,   62,    1,   50,    0,   46,    1,   51
 458,   10,   63,   11,   59,    0,   50,    1,   50
 459,   11,   58,    1,   30,    1,   25,    1,   31
 460,    1,   63,    1,   12,   11,   60,    1,   54
 461,    0,   59,    0,   19,    0,   58,    0,   61
 462,    1,   22,   10,   43,   10,   58,   10,   45
 463,   10,   54,    0,   40,   10,   47,    0,   61
 464,    0,   59,    0,   65,   11,   55,   11,   62
 465,   11,   59,    1,   54,   10,   52,   11,   63
 466,    1,   61,   10,   61,    0,   24,    0,   29
 467,    0,   19,   10,   53,   10,   54,    1,   36
 468,    0,   47,   10,   54,   11,   62,    0,   47
 469,   10,   56,   10,   58,    1,   42,   11,   57
 470,   10,   58,   11,   60,   11,   65,   10,   49
 471,    0,   46,    1,   49,   10,   61,   10,   60
 472,   11,   65,    1,   43,   10,   53,   10,   64
 473,    0,   32,    1,   39,   11,   59,    0,   59
 474,   10,   59,    1,   63,    1,   36,    1,   29
 475,   11,   60,   10,   54,    1,   30,    0,   36
 476,    1,   30,   10,   56,   10,   42,    0,   64
 477,    1,   37,    0,   50,    0,   20,    1,   64
 478,    1,   15,   10,   41,    1,   37,   10,   45
 479,   11,   63,   10,   38,   11,   63,   11,   63
 480,    0,   61,    1,   26,    0,   25,    1,   24
 481,   11,   54,    1,   32,   11,   64,    1,   48
 482,    1,   25,   10,   49,   10,   58,   10,   43
 483,    0,   18,    1,   47,   11,   57,    0,   41
 484,    1,   30,    0,   42,    1,   50,   10,   47
 485,    0,   64,    0,   53,   10,   36,   10,   65
 486,    0,   52,   10,   52,    1,   36,    0,   35
 487,   10,   61,   10,   54,    0,   18,   11,   63
 488,   11,   55,   11,   57,   10,   36,   11,   65
 489,   11,   55,    0,   44,    1,   13,    1,   54
 490,   11,   56,   11,   58,   11,   58,   11,   62
 491,    1,   15,    0,   63,   10,   59,    0,   43
 492,   10,   64,   10,   63,    1,   43,   10,   38
 493,    0,   30,    1,   21,    1,   17,    0,   59
 494,    0,   39,    0,   56,    1,   47,   11,   58
 495,    0,   25,    1,   44,   10,   53,    0,   18
 496,    0,   39,   11,   60,   11,   64,   11,   57
 497,   10,   48,   11,   61,    1,   62,   11,   59
 498,    1,   33,    1,   28,    0,   57,    0,   47
 499,    0,   59,    0,   24,    0,   61,   11,   57
 500,   11,   60,    0,   45,    0,   51,    1,   32
 501,   11,   61,   11,   56,    0,   58,   10,   39
 502,    1,   63,   10,   52,   11,   64,    1,   56
 503,   11,   65,    1,   60,   11,   59,   10,   40
 504,   10,   47,   11,   58,   11,   57,    1,   33
 505,   11,   56,   11,   63,   11,   62,    1,   62
 506,    0,   61,   10,   42,    1,   58,    0,   30
 507,    0,   28,    0,   34,   11,   61,    0,   23
 508,   11,   57,    1,   22,    1,   63,    1,   34
 509,    1,   44,   10,   43,    0,   44,   10,   37
 510,    1,   34,    1,   29,   10,   60,    0,   38
 511,   10,   53,   11,   64,   10,   62,   11,   55
 512,    0,   36,    1,   13,   11,   60,   11,   64
 513,   11,   58,   11,   62,    0,   44,    0,   48
 514,    1,   14,   11,   65,   10,   42,    1,   49
