nExp, valid,  A0,  A1,  A2,  A3,  A4,  A5,  A6,  A7,  A8,  A9,  A10,  A11,  A12,  A13,  A14
  91,     1, -16,  -4, -16,  -4,  -4,  -4,  -4,  92,  -4, -12,  -4,  -4,  -4,  -4,  -4
  92,     1,  -3,  -7,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  93,  -3,  -3,  -3,  -3, -15
  93,     0, -26, -42, -10, -26, -42, -10, -10, -22, -10, -42, -10, -30, -42, -34, -18
  94,     1,  -2,  -2,  -2,  -2,  -6,  -2,  -2,  -2,  -2,  -2, -10,  90,  -2,  -2,  -2
  95,     1,  -6, -18,  -6,  -6,  -6,  -6,  -6,  -6, -26, -26,  -6,  -6,  -6,  78,  -6
  96,     1,  -7,  -7,  -7,  -7,  -7, -15,  -7,  65,  -7,  -7, -27, -31,  -7, -27, -35
  97,     1,  -9,  -5,  -5,  -5, -17,  -5,  -5, -25,  83,  -5,  -5, -25,  -5,  -5,  -5
  98,     1,  -4, -16,  -4, -16, -16,  -4,  -4, -16,  -4,  -4, -20,  -4,  -8, -12,  92
  99,     1, -18, -14,  -6,  -6, -18,  -6, -14,  -6, -14,  -6, -10,  -6,  -6,  78,  -6
 100,     1, -18,  -6,  -6,  -6,  -6,  -6,  -6,  -6, -30,  -6, -26,  -6,  -6,  -6,  86
 101,     1,  -9,  -5,  -5,  -5,  83,  -5,  -5,  -5, -13,  -5, -13,  -5, -25, -13, -21
 102,     1,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  79,  -5,  -5,  -5,  -5,  -5,  -5
 103,     1, -32,  -8,  -8, -12,  -8, -40, -24,  76, -20,  -8,  -8, -16, -36,  -8,  -8
 104,     1,  -9,  71,  -9, -13, -17,  -9, -33, -41, -29, -17, -13, -29,  -9, -25,  -9
 105,     1,  -6, -10, -10,  -6,  -6,  -6,  -6,  -6,  -6, -10, -10,  -6,  -6,  -6,  82
 106,     1,  -8, -12, -36, -24, -16, -36,  -8, -16,  -8,  -8,  64,  -8,  -8,  -8,  -8
 107,     1,  -5,  -5,  -5,  -5,  -9,  -5,  79,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5
 108,     1, -25, -13,  -9, -29,  79,  -9, -41,  -9,  -9, -13,  -9, -25,  -9, -13,  -9
 109,     1, -37,  -9,  63,  -9, -13, -13, -25,  -9,  -9,  -9,  -9, -25, -25, -37,  -9
 110,     1,  -5,  -5,  -5,  -5,  -5,  -5,  -9, -21,  -5,  -5, -25, -13,  91,  -5,  -5
 111,     1,  -6,  -6, -10, -18, -18,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6, -10,  90
 112,     1, -18,  -6, -10,  90,  78,  -6,  -6, -22,  -6,  -6, -10,  -6,  -6,  -6,  -6
 113,     1, -16,  -4,  84, -16,  -4,  -4,  -4,  -4,  -4,  -4,  -8,  -4,  -4,  -4, -12
 114,     1,  -7,  -7, -15,  77, -19, -23,  -7, -19, -15, -31,  -7,  -7,  -7, -27, -19
 115,     1, -10,  66, -10, -10, -10, -22, -26, -10, -10, -10, -10, -10, -10, -46, -38
 116,     1,  -4,  -4, -16, -16,  -8,  -4,  -4,  92,  -4,  -4, -16,  -8,  -4,  -4,  -4
 117,     1, -27, -31,  -7, -11,  -7,  -7,  -7,  -7,  -7, -11,  65,  -7,  -7,  -7,  -7
 118,     1, -17, -13,  -5,  -5, -17,  -5,  87, -17,  -5, -21,  -5,  -5,  -5,  -5,  -5
 119,     1,  -4,  -4,  -4,  -4,  -4, -12,  92, -16,  -4,  -4,  -4,  -4,  -4,  -4,  -4
 120,     1,  -4,  -4,  -4,  -4,  -4,  92, -12,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4
 121,     1, -16,  -4,  -4,  -4,  -4,  92,  -4,  -4,  -8,  -4,  -4,  -4,  -4,  -4,  -4
 122,     1,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  92,  -4, -16,  -4,  -4,  -4,  -4,  -4
 123,     1,  89, -11,  -7,  -3,  -3, -15,  -3,  -3,  -3, -11,  -3,  -3,  -3, -11,  -3
 124,     1,  -4,  -4,  -4,  -4,  -4,  -4,  84,  -4,  -4,  -4, -20,  -4,  -4,  -4,  -4
 125,     1, -23,  -7,  -7, -27,  -7,  -7,  -7,  -7, -35,  -7,  89,  -7, -19,  -7,  -7
 126,     1, -17,  -5,  -5,  -5, -17,  -5, -17,  -5,  -5, -25, -13,  -5,  87,  -5,  -5
 127,     1, -30,  -6, -18, -26, -26,  -6, -26,  -6,  -6,  82,  -6,  -6,  -6,  -6,  -6
 128,     1,  -4,  88,  -4,  -4, -16,  -4,  -4,  -4,  -4,  -4,  -4, -20,  -8,  -4, -12
 129,     1, -13,  -9,  -5,  -5,  -5, -17,  -5,  -5,  -5,  -5,  -5,  87,  -5,  -5,  -5
 130,     1, -39, -11, -11, -31, -11,  53, -27, -11, -11, -43, -15, -35, -11, -11, -19
 131,     1,  -6, -22, -26,  -6, -10,  -6,  -6,  -6, -10,  -6, -22,  86,  -6,  -6, -22
 132,     1,  -6,  -6,  -6,  -6,  86,  -6,  -6, -18, -30,  -6, -18, -18,  -6,  -6,  -6
 133,     1, -19,  -7,  -7, -11, -27, -11,  89,  -7,  -7,  -7,  -7,  -7,  -7,  -7, -35
 134,     1,  -7, -19,  -7,  -7,  -7, -15,  65,  -7,  -7,  -7, -11, -11, -23, -15, -31
 135,     1,  -4,  -4, -12,  -4,  -4,  -4,  -4,  -4,  92,  -8,  -4,  -4,  -4,  -4,  -4
 136,     1,  -6,  -6, -18,  78,  -6, -14, -22, -26,  -6, -22, -26, -10,  -6,  -6,  -6
 137,     1, -36,  -8,  -8,  -8, -12,  -8, -28,  -8,  -8, -12, -32, -28,  64, -16, -36
 138,     1,  -5,  -9,  -5,  -5, -17,  -5,  91,  -5,  -5, -13,  -9,  -5,  -5,  -5,  -5
 139,     1, -15,  -3,  -3,  93,  -3,  -7, -11,  -3,  -3,  -3, -11,  -3,  -3,  -3,  -3
 140,     1,  -6,  -6,  -6, -22,  70,  -6, -30, -22,  -6,  -6,  -6,  -6,  -6,  -6,  -6
 141,     1,  -9, -41,  -9, -29, -17, -41,  -9,  -9,  -9, -25,  -9, -29,  79,  -9, -17
 142,     1, -15, -19, -19,  -7, -27, -27,  85,  -7,  -7, -27, -23,  -7, -35, -27,  -7
 143,     1,  -4,  -4,  84,  -4,  -4,  -4,  -8,  -8,  -4,  -4,  -4, -12,  -4,  -4,  -8
 144,     1,  -7,  -7, -15,  69,  -7, -31,  -7,  -7, -15,  -7, -19,  -7,  -7, -23,  -7
 145,     1,  -7,  -7,  -7,  65, -35,  -7, -15,  -7, -31,  -7,  -7, -19,  -7,  -7, -31
 146,     1, -16, -12,  -4,  80, -16,  -4,  -4, -16,  -4,  -4,  -4,  -4,  -4,  -4, -12
 147,     1,  -3,  -3,  -3,  -3,  -3, -11,  -3,  -3,  -3,  -3,  -7,  -3,  -3,  85,  -3
 148,     1,  -7, -27,  -7, -35, -27,  -7,  -7,  -7,  81, -35,  -7,  -7,  -7,  -7,  -7
 149,     1, -41, -13,  -9, -41,  -9, -29, -29, -41,  -9, -25,  -9,  63, -21, -25,  -9
 150,     1,  -4,  -4, -12,  -4,  -4,  -4,  -4, -16,  -4,  -4,  -4,  -4,  -8,  80,  -4
 151,     1, -29,  -9,  -9,  -9, -21, -17,  -9, -21,  -9, -21, -21, -21,  67,  -9, -13
 152,     1,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  90,  -2,  -2,  -2,  -2,  -6,  -2
 153,     1,  -6,  70,  -6,  -6, -10, -10,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6
 154,     1,  93,  -3,  -3,  -3,  -3, -11,  -3,  -3,  -3,  -3,  -3, -11,  -3,  -3, -11
 155,     1,  -8, -20,  -8,  -8,  -8,  68,  -8,  -8, -28,  -8, -24,  -8, -36, -40, -28
 156,     1,  -3,  -3, -11,  -3,  -3,  -3,  -3,  89,  -3,  -3,  -3, -11,  -3,  -7, -15
 157,     1, -21,  -9, -41,  -9,  -9,  -9, -41,  -9,  -9,  -9,  71,  -9, -17,  -9, -21
 158,     1,  -3,  -3,  -7,  -3,  -7,  -3, -11,  -3,  -3, -11,  -3, -11,  85, -11,  -3
 159,     1,  -7,  -3,  -3,  -3,  -7,  85,  -3,  -3, -15,  -3,  -3,  -3,  -7,  -3,  -3
 160,     1,  -6,  -6,  90, -22,  -6,  -6, -14, -26,  -6, -14,  -6, -18, -26, -26,  -6
 161,     1,  -5,  -5,  -5,  -5,  -5,  -5,  83,  -5,  -5,  -5, -21,  -5,  -9,  -5, -21
 162,     1, -15,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  85,  -3
 163,     1,  -9, -37, -25,  -9,  -9, -29,  -9, -33, -17, -41, -41, -41,  -9,  75,  -9
 164,     1,  -5,  -5,  -5,  83, -13,  -5,  -5, -25,  -5,  -5,  -5, -13,  -5,  -9,  -5
 165,     1, -25,  -5, -21, -21,  -9,  -5,  -5,  -5,  -5,  -9,  87,  -5,  -9,  -5,  -5
 166,     1, -21,  -5,  -5,  -5, -25,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  83,  -5
 167,     1, -11, -35, -27,  -7,  -7, -27,  -7,  69, -19,  -7,  -7,  -7, -35,  -7, -15
 168,     1, -14,  -6,  -6,  -6, -10, -18, -22, -18, -14,  -6,  78,  -6, -22,  -6, -18
 169,     1,  89,  -7,  -7, -27,  -7,  -7,  -7,  -7,  -7,  -7,  -7,  -7, -19,  -7,  -7
 170,     1, -22,  -6, -22, -14,  -6, -22, -22,  -6, -26, -18, -10,  -6,  -6,  74, -26
 171,     1,  -4,  -4,  -4,  -4,  -4, -12,  -4,  -4,  -4,  92,  -4,  -4,  -4,  -4,  -4
 172,     1,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  85,  -3,  -3,  -3, -11
 173,     1, -12,  -4,  -4,  -4, -12,  -4,  -4,  -4,  -4,  -4,  84,  -4, -16,  -4,  -4
 174,     1,  -2,  -6,  90,  -2,  -2,  -6,  -2,  -2,  -2,  -2,  -6,  -2,  -2,  -6,  -2
 175,     1, -12,  80,  -4,  -4,  -4,  -4,  -4, -20,  -4,  -4,  -4,  -4,  -4, -12,  -4
 176,     1, -41, -25, -33,  63, -37, -25, -37,  -9,  -9,  -9,  -9, -13, -13,  -9, -17
 177,     1,  -6,  -6, -22, -18,  -6, -30,  -6,  -6,  -6,  -6, -22, -18,  -6,  70,  -6
 178,     1,  80,  -8,  -8, -16, -28,  -8, -16,  -8,  -8, -16, -32,  -8,  -8,  -8,  -8
 179,     1,  -3,  -3,  -3, -15,  -7,  -3, -15,  -3,  -3,  -3,  89,  -3,  -3,  -7,  -3
 180,     1,  -6,  -6, -10,  -6, -26, -26, -30, -10,  -6, -10,  -6,  -6,  86, -22,  -6
 181,     1,  -5,  -5,  -5,  -9,  -5,  -9, -13, -21,  91,  -5,  -5, -21,  -9,  -9,  -5
 182,     1,  -5,  -5, -13,  -5,  -5,  -9,  -5,  -5,  -5,  87,  -5,  -5,  -5, -25,  -5
 183,     1,  -3,  -7, -11,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  85,  -3,  -3,  -3,  -3
 184,     1, -12, -16,  -4,  -4,  -4,  -4,  -4, -12,  -4,  -4,  -4,  -4,  80, -12,  -4
 185,     1, -13,  -5,  -5,  -5, -13,  -5,  -5, -25,  -5,  -5,  -5, -13, -17,  79,  -5
 186,     1,  -9,  -9,  -9, -41,  -9,  71, -17, -25,  -9,  -9, -37,  -9, -21,  -9,  -9
 187,     1,  -5,  -5,  -5,  91, -21,  -5, -17,  -5,  -9, -13,  -5,  -5,  -5,  -5,  -5
 188,     1, -14, -10, -34, -10, -22, -10,  66, -10, -10, -10, -10, -10, -26, -38, -10
 189,     1, -33, -37,  -9, -13,  -9,  -9, -13, -17, -41,  -9,  -9, -25,  63,  -9, -17
 190,     1, -20, -12,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4, -16,  -4,  84,  -4,  -4
 191,     1,  -6, -26,  -6, -10,  -6,  -6,  -6, -18,  74,  -6,  -6,  -6,  -6,  -6,  -6
 192,     1,  -7,  -7, -23,  -7,  -7,  -7, -15, -19, -15,  -7,  73,  -7,  -7,  -7,  -7
 193,     1,  -5, -17,  -5,  -5,  -5,  -5,  -9,  -5,  -5,  -5, -17,  -5,  -5,  91,  -5
 194,     1,  -3,  89,  -3,  -3,  -3,  -3,  -3, -11,  -3,  -3,  -3,  -3,  -3,  -3,  -3
 195,     1,  -6, -26,  -6,  -6,  -6,  -6,  -6,  86, -14, -26,  -6, -14,  -6, -14, -18
 196,     1,  -4,  -4,  -4, -16,  -4,  92,  -4,  -4,  -8, -16,  -4,  -4,  -4,  -4,  -4
 197,     1,  -6,  -6, -30,  -6,  -6,  -6,  -6,  -6,  -6,  86, -10,  -6, -18,  -6, -10
 198,     1,  80,  -4,  -4, -12,  -4, -16,  -4,  -4,  -4,  -4, -20,  -4,  -4,  -4,  -4
 199,     1,  -4,  -4,  -4,  -4, -16,  -8,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  92,  -4
 200,     1, -11,  -3,  -3,  -3,  -3,  -3, -11,  -3,  -3,  85,  -3,  -3,  -3,  -3,  -3
 201,     1, -15,  -3,  85,  -3,  -3,  -3,  -3,  -3,  -3, -11,  -3,  -7,  -3,  -3,  -7
 202,     1,  -2,  -2,  -2,  -2,  -2,  -2,  -6,  -2, -10,  -2,  -2,  -2,  94,  -2,  -2
 203,     1,  60, -24, -32,  -8,  -8,  -8,  -8, -32,  -8,  -8,  -8, -36, -32, -16, -32
 204,     1,  -3,  89,  -3,  -3,  -3,  -3,  -3,  -3,  -3, -15, -11,  -3,  -3, -11,  -3
 205,     1, -10, -18, -42, -10, -14, -18, -18, -10, -10,  66, -10, -10, -10, -14, -14
 206,     1, -41,  -9,  -9,  -9, -33, -37, -21, -29,  -9,  -9, -29,  -9,  71,  -9, -41
 207,     1,  -6,  -6,  -6, -14, -22, -14,  -6,  -6,  -6, -30,  -6,  -6,  90,  -6,  -6
 208,     1,  -4,  -4, -16,  -4,  -4,  -4,  92,  -4,  -4,  -4,  -4,  -8,  -4,  -4,  -4
 209,     1,  -2,  -6,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -6,  -6,  -2,  -2,  90
 210,     1,  -5, -13, -13,  -5,  -5, -21,  -5, -21,  -5,  -5,  -5,  -5,  83, -25,  -5
 211,     1,  -3,  -3,  85,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3
 212,     1,  -4,  -4,  -4, -16,  -4,  -4, -20,  92,  -4,  -4,  -4,  -4, -20,  -4, -20
 213,     1,  -7, -11, -35,  -7,  -7, -23,  -7,  -7, -15,  -7, -15, -27,  77,  -7,  -7
 214,     1, -21, -17, -13,  -5,  -5, -21,  79, -13,  -5,  -5, -13,  -5,  -5,  -5,  -5
 215,     1,  -6,  -2,  -2,  -2, -10, -10,  -2,  -2,  -2,  -2,  94,  -2,  -2,  -2,  -2
 216,     1,  -6,  86,  -6,  -6,  -6, -14,  -6, -14,  -6,  -6,  -6, -18,  -6, -26,  -6
 217,     1, -11,  -3,  -3,  -3,  -7,  -7,  -3,  -3,  -3,  93,  -3,  -3, -11,  -3,  -3
 218,     1,  -3,  -3,  -3,  -3,  -3,  -3, -11,  -3,  -3,  -3,  -3,  93,  -3,  -3,  -3
 219,     1,  -3,  -3, -11,  -3,  89,  -3,  -7,  -3, -15, -15,  -3,  -3,  -3, -11, -15
 220,     1,  -7,  -7,  73,  -7, -27, -19,  -7, -23,  -7,  -7, -19, -31,  -7,  -7,  -7
 221,     1,  -8, -24, -36, -24, -20,  -8, -28,  68, -20, -36,  -8, -24,  -8,  -8,  -8
 222,     1,  -5, -13,  -9, -21,  -5, -21,  -5, -21, -21,  91, -21, -17,  -5, -17,  -5
 223,     1,  -4,  -4,  -8, -12,  -4,  -4,  92,  -4,  -4,  -4,  -4,  -4,  -8,  -4,  -4
 224,     1, -11,  -3, -11,  -3,  -3,  -3,  -3,  -3, -11,  -3,  -3,  93,  -3,  -3, -11
 225,     1, -19,  -7,  -7, -19,  73,  -7, -31, -11, -19, -31,  -7, -35,  -7,  -7, -11
 226,     1,  -9,  -9,  -9,  -9, -41, -29, -17,  -9,  -9, -41, -37, -25,  59, -41,  -9
 227,     1,  -5,  -5,  -5, -21, -13,  -5,  -5, -17,  -5, -21, -25,  -5,  79,  -5, -25
