nExp,  A0x,  A0y,  A1x,  A1y,  A2x,  A2y,  A3x,  A3y,  A4x,  A4y 
 117,   10,   36,   11,   56,    1,   15,    1,   33,    0,   54
 118,   10,   46,   11,   54,    0,   35,   11,   63,   10,   52
 119,   11,   58,    0,   56,    0,   36,    1,   18,    1,   21
 120,   10,   55,    0,   39,   10,   62,    1,   16,    0,   59
 121,   11,   64,    1,   46,    0,   57,    1,   63,    1,   13
 122,   11,   61,    1,   13,    1,   20,   10,   40,    0,   62
 123,   10,   43,   11,   61,   11,   59,   11,   62,    0,   29
 124,    1,   21,    0,   28,   11,   59,   11,   55,   10,   36
 125,   11,   54,    1,   55,   11,   54,   11,   60,    0,   55
 126,    0,   47,   11,   62,    1,   13,    1,   61,    1,   25
 127,    0,   42,   10,   38,    1,   47,   11,   59,    1,   37
 128,    0,   36,   10,   47,   10,   61,   11,   64,    1,   13
 129,   10,   50,    0,   19,    1,   55,   11,   55,   11,   54
 130,   10,   36,    1,   58,    1,   61,   10,   54,    0,   34
 131,    1,   43,   11,   57,   10,   64,    1,   45,   11,   61
 132,   11,   56,   11,   56,   10,   44,   10,   44,    1,   48
 133,    1,   51,    1,   19,   10,   40,    1,   33,    0,   52
 134,   10,   59,   10,   52,    0,   27,    0,   43,   11,   58
 135,   11,   62,   10,   46,    0,   64,   11,   58,   11,   64
 136,    1,   39,    1,   49,   11,   65,   10,   45,   11,   65
 137,    1,   63,   10,   64,   11,   63,   10,   40,    0,   46
 138,   10,   64,   10,   56,   10,   42,   10,   65,    0,   51
 139,   10,   47,   11,   54,   11,   63,    1,   17,    1,   43
 140,    1,   38,   11,   65,   10,   60,    0,   59,   11,   56
 141,   11,   64,   11,   60,   10,   42,   10,   48,    0,   24
 142,    1,   59,   10,   63,   11,   55,   10,   46,   10,   49
 143,    1,   17,   11,   59,   10,   50,    0,   43,    0,   58
 144,   11,   55,    0,   21,    1,   63,   10,   43,    0,   23
 145,    0,   56,    0,   59,   11,   55,   10,   36,   11,   60
 146,   11,   59,   10,   63,   10,   62,    1,   17,    0,   28
 147,   11,   57,    0,   41,   11,   60,    1,   16,   10,   42
 148,    1,   32,   11,   56,   11,   62,    1,   59,    1,   32
 149,    0,   55,    1,   39,    1,   47,    1,   61,    1,   31
 150,    1,   53,   11,   64,    1,   27,    1,   30,    0,   26
 151,   11,   59,    0,   36,    1,   39,   11,   65,   10,   54
 152,   10,   51,    1,   28,   10,   38,    1,   60,    0,   64
 153,   11,   60,    0,   22,    0,   33,    0,   56,    1,   24
 154,    0,   36,    0,   23,   10,   64,    0,   53,    0,   18
 155,   11,   64,    0,   26,    0,   62,    1,   55,    1,   32
 156,   11,   61,    1,   43,   10,   60,   10,   55,   10,   38
 157,   11,   62,    1,   49,   10,   55,    1,   42,   10,   42
 158,   10,   39,    0,   61,    0,   60,    1,   36,    1,   34
 159,    1,   42,    1,   56,    0,   29,    1,   62,    0,   52
 160,    0,   37,   11,   59,    1,   25,    1,   24,    1,   47
 161,   10,   63,   11,   60,    0,   32,   10,   56,   11,   55
 162,    0,   59,   11,   63,    1,   48,    1,   22,    1,   54
 163,   11,   65,   11,   62,   10,   57,    0,   62,   10,   53
 164,    1,   46,   10,   62,   10,   42,    1,   25,   11,   64
 165,   10,   41,    0,   24,    1,   48,    0,   50,   11,   63
 166,    1,   46,   11,   64,    1,   49,    0,   44,    1,   35
 167,    1,   47,   11,   59,    0,   54,   11,   65,    1,   37
 168,   10,   62,   10,   36,    0,   58,   10,   62,    1,   23
 169,    0,   65,    0,   48,    1,   32,   10,   38,   11,   59
 170,    0,   38,   11,   57,   10,   59,    0,   64,    0,   59
 171,   10,   40,    1,   44,    1,   57,    0,   36,   10,   46
 172,   11,   57,    0,   25,   10,   52,    0,   65,    1,   29
 173,   10,   36,    1,   47,   11,   63,   11,   55,    1,   13
 174,    1,   32,    1,   32,   11,   56,   11,   60,    1,   41
 175,    0,   41,    0,   59,    1,   30,   11,   61,    1,   54
 176,    0,   45,   10,   61,   10,   50,   10,   59,    1,   42
 177,   10,   65,   10,   64,    1,   44,   10,   46,    1,   64
 178,    1,   65,   11,   56,   11,   65,    1,   47,   11,   54
 179,   11,   57,   10,   64,    0,   47,    1,   18,   10,   65
 180,   10,   46,    1,   34,   10,   48,    0,   65,   11,   56
 181,    0,   38,   10,   36,   11,   61,    1,   59,   10,   45
 182,   10,   65,    0,   52,   11,   62,    0,   46,   11,   59
 183,   10,   43,    1,   55,    1,   36,    0,   35,   10,   42
 184,   11,   58,    0,   32,   11,   64,   11,   54,   11,   60
 185,    0,   29,    1,   33,    1,   62,    0,   52,   11,   58
 186,    0,   28,    1,   19,   10,   43,    0,   29,   11,   59
 187,   11,   65,    0,   44,   11,   60,    0,   29,   11,   57
 188,   11,   63,   10,   57,   11,   64,    0,   26,   10,   42
 189,   10,   50,    0,   22,    0,   57,    0,   64,   11,   62
 190,    1,   26,    1,   30,    1,   51,   11,   55,    0,   28
 191,    0,   59,   10,   38,    1,   36,   11,   63,    0,   48
 192,   10,   36,    0,   50,    1,   64,   10,   56,    0,   41
 193,   10,   61,    0,   37,    1,   35,    1,   27,   11,   64
 194,    1,   46,    1,   43,   10,   51,   10,   58,   11,   56
 195,    0,   42,   10,   60,   10,   63,   11,   60,   11,   59
 196,    1,   35,    1,   47,    0,   53,   11,   59,    0,   27
 197,    0,   30,   11,   54,   11,   65,    0,   26,   11,   58
 198,   11,   54,   11,   54,   10,   63,   11,   57,   11,   58
 199,    1,   31,    1,   43,   11,   62,   11,   54,   10,   46
 200,    0,   62,    0,   26,    0,   49,   10,   51,   10,   64
 201,   11,   64,    0,   61,    0,   49,   11,   60,    1,   29
 202,   11,   65,   10,   57,    1,   19,   11,   61,    1,   64
 203,   10,   45,   11,   54,   11,   55,    0,   30,   10,   54
 204,    1,   20,   11,   63,   10,   60,   11,   55,   11,   64
 205,   10,   50,   10,   39,   11,   57,   11,   61,   10,   52
 206,    0,   19,    0,   55,    0,   23,    1,   64,   11,   57
 207,   11,   55,    1,   43,   11,   54,    1,   61,    0,   46
 208,    1,   42,   10,   48,   11,   65,   11,   54,   11,   64
 209,    0,   63,    0,   27,   11,   63,   10,   44,    1,   33
 210,    0,   48,    0,   55,    0,   18,    1,   53,   11,   60
 211,   11,   55,    1,   51,    1,   19,   10,   37,    1,   25
 212,    1,   38,   10,   38,    1,   32,    1,   37,    1,   15
 213,    0,   48,   11,   60,    0,   21,    0,   36,   10,   55
 214,   10,   52,    1,   47,   10,   48,   11,   62,   11,   59
 215,    1,   53,    0,   36,   11,   58,   10,   43,    0,   23
 216,    1,   45,   10,   51,    0,   19,    1,   62,    0,   30
 217,    1,   61,   11,   54,   10,   43,   10,   58,   11,   62
 218,   11,   63,    0,   20,   10,   51,   11,   55,    1,   27
 219,   11,   59,   11,   62,   11,   61,   11,   56,    1,   43
 220,   11,   60,   11,   61,   10,   47,    1,   27,    0,   64
 221,   10,   61,   11,   65,    0,   34,   10,   45,    0,   54
 222,   10,   52,   10,   39,   11,   59,   10,   54,   10,   57
 223,    0,   41,    0,   36,   10,   46,    1,   51,    0,   63
 224,   10,   40,   10,   38,   10,   56,    1,   28,   10,   64
 225,   11,   58,   11,   55,    0,   65,   11,   61,   10,   45
 226,   11,   64,    1,   23,   10,   57,   11,   63,    0,   65
 227,   11,   60,    1,   51,   10,   38,   10,   36,   11,   63
 228,   10,   38,   10,   47,    0,   60,   11,   65,   10,   61
 229,    0,   32,   11,   61,    0,   24,    0,   41,    1,   51
 230,    1,   16,   11,   61,   11,   56,   11,   54,   10,   50
 231,    0,   57,    1,   60,   10,   61,   11,   63,   10,   36
 232,    0,   27,   10,   36,    0,   41,    0,   33,    0,   26
 233,    1,   59,    0,   49,   10,   56,    0,   34,    1,   41
 234,   11,   56,   10,   37,    1,   63,   11,   55,   11,   62
 235,   11,   59,    1,   60,   10,   58,    0,   21,    1,   29
 236,   10,   46,   11,   62,    1,   18,   10,   52,    0,   19
 237,   10,   51,   10,   48,    1,   33,    0,   43,    0,   50
 238,   10,   41,    0,   29,   10,   48,   11,   60,   10,   42
 239,    0,   62,    0,   24,    0,   45,   10,   48,    1,   46
 240,    1,   55,   10,   54,    0,   34,   11,   56,   10,   65
 241,    1,   39,    0,   18,    0,   40,   10,   61,    1,   29
 242,   10,   55,   10,   62,    0,   23,    1,   45,   10,   42
 243,    0,   62,    0,   18,    1,   39,   10,   58,    0,   42
 244,    1,   51,    1,   55,    0,   65,   10,   48,   10,   47
 245,    0,   39,    1,   47,   10,   60,    1,   20,    0,   45
 246,    1,   23,   11,   55,   11,   60,   11,   64,    1,   37
 247,    0,   35,   11,   55,    0,   20,   11,   62,   10,   49
 248,    1,   43,   10,   59,    0,   48,   10,   53,   10,   51
 249,   11,   61,   10,   36,    0,   46,   11,   55,   10,   40
 250,   11,   63,   10,   38,    1,   26,    1,   54,   10,   65
 251,   10,   40,   11,   54,    1,   46,    1,   13,    1,   25
 252,   11,   61,    0,   59,    0,   33,   11,   63,    1,   40
 253,   11,   62,   10,   55,   11,   65,    1,   36,   10,   43
 254,   10,   63,    1,   31,    1,   32,   10,   37,   11,   57
 255,   10,   48,   10,   53,   10,   40,    0,   23,    1,   25
 256,    1,   37,   10,   39,    1,   63,    0,   18,    1,   50
 257,   11,   55,    0,   32,   10,   63,    1,   54,    0,   48
 258,    0,   54,   11,   59,   10,   46,   11,   58,   10,   65
 259,   10,   49,    0,   63,   10,   57,   10,   43,   10,   38
 260,    0,   58,   10,   45,   10,   52,   10,   36,    0,   22
 261,   11,   59,    0,   35,   10,   49,   10,   64,    1,   17
 262,    0,   52,    1,   18,   11,   64,    0,   47,   10,   43
 263,   11,   62,    1,   20,    1,   56,    0,   51,   10,   52
 264,    0,   23,    1,   46,    1,   25,    1,   37,   10,   52
 265,    1,   34,   11,   61,   11,   61,    1,   39,    1,   58
 266,   10,   62,   10,   43,    1,   20,   11,   64,    1,   13
 267,    1,   54,   10,   56,    0,   22,   10,   60,    0,   57
 268,   11,   61,   10,   36,    1,   37,   11,   59,    0,   45
 269,    0,   65,   10,   57,   10,   64,    1,   27,    0,   19
 270,    1,   52,   10,   36,   10,   60,   11,   63,    1,   50
 271,   10,   37,    0,   34,   10,   47,   10,   58,   11,   57
 272,   11,   60,   10,   55,   10,   40,   10,   48,   11,   62
 273,   11,   65,   11,   61,   10,   50,    1,   34,   11,   61
 274,    0,   19,    1,   35,    0,   28,    1,   32,   10,   40
 275,   11,   59,    0,   22,   11,   54,   10,   41,   10,   65
 276,   11,   59,    1,   27,    1,   63,    0,   40,   11,   55
 277,    0,   57,    1,   55,    1,   13,   11,   57,    1,   15
 278,   10,   60,    0,   62,   10,   52,    0,   60,    1,   14
 279,   11,   58,    1,   15,    0,   20,   11,   64,    1,   16
 280,    0,   63,   10,   59,    0,   21,   11,   55,   11,   65
 281,    1,   18,   10,   49,   10,   62,   10,   40,    1,   57
 282,   10,   38,   10,   37,   11,   56,   10,   65,   11,   60
 283,    1,   49,   10,   63,    0,   51,    0,   37,   11,   58
 284,    1,   31,    1,   12,    0,   53,   10,   55,    0,   23
 285,    1,   38,    0,   64,   11,   64,    0,   49,   11,   57
 286,   11,   55,   11,   55,    1,   22,    0,   50,    0,   56
 287,   11,   65,   11,   65,   10,   36,    1,   33,   11,   59
 288,    1,   55,   11,   54,   11,   62,   11,   61,    0,   50
 289,    0,   65,   11,   64,   10,   43,   11,   63,   10,   41
 290,    0,   45,   10,   48,   11,   62,    1,   13,   10,   45
 291,   11,   56,   10,   41,   11,   61,   11,   64,    1,   41
 292,    1,   45,    1,   56,    1,   53,    0,   35,    1,   60
 293,   10,   58,   10,   63,   10,   54,   11,   63,    0,   59
 294,    0,   53,    1,   33,    0,   38,   11,   63,   10,   55
 295,    0,   21,   11,   64,    0,   61,   10,   38,    0,   26
 296,    1,   60,    1,   41,    1,   37,    1,   29,    1,   27
 297,   10,   36,   11,   60,   10,   48,   10,   58,   10,   64
 298,    1,   16,   11,   62,    0,   41,   11,   65,    1,   37
 299,    1,   52,   10,   50,    0,   46,    0,   35,    1,   15
 300,    0,   55,    1,   18,   11,   57,    1,   49,    0,   55
 301,   11,   59,   10,   57,   11,   63,    1,   39,    1,   40
 302,   11,   55,   11,   60,    0,   62,    0,   19,    1,   42
 303,    0,   48,   10,   52,    0,   35,    0,   40,    1,   29
 304,   11,   61,    0,   49,   11,   58,   11,   61,    1,   33
 305,    0,   38,    1,   38,   10,   62,    0,   56,   11,   61
 306,    0,   21,    0,   33,    1,   55,    1,   20,   11,   62
 307,   11,   59,    0,   46,    1,   29,    0,   33,    1,   31
 308,   10,   39,    1,   52,    1,   58,   11,   56,   10,   55
 309,    0,   44,    1,   24,   10,   62,   11,   55,    1,   16
 310,    1,   47,   10,   37,    0,   48,   11,   61,    0,   21
 311,   10,   42,   10,   45,   11,   64,   10,   57,   11,   61
 312,   10,   48,   11,   56,    0,   52,    0,   42,   11,   58
 313,   10,   62,   10,   38,   10,   59,   11,   59,    0,   34
 314,    1,   62,    0,   61,    1,   17,   11,   55,    0,   29
 315,   10,   55,   11,   61,   10,   50,   10,   55,    1,   27
 316,   10,   54,    0,   27,   10,   60,    1,   21,    0,   43
 317,   10,   54,   10,   55,   11,   57,   11,   56,    1,   38
 318,   10,   58,    0,   53,   11,   54,   10,   36,    0,   59
 319,    0,   61,   10,   58,   10,   58,   10,   62,    1,   32
 320,   10,   51,   10,   47,    1,   33,    0,   53,   10,   62
 321,   10,   48,   11,   54,   10,   63,   11,   57,    1,   27
 322,   11,   58,    1,   29,    1,   58,    1,   40,    1,   30
 323,    1,   60,    1,   49,    0,   61,    1,   28,    1,   51
 324,   11,   63,    0,   64,    1,   63,    0,   63,    0,   59
 325,    1,   57,    0,   59,   10,   39,   11,   59,    0,   58
 326,    0,   19,   10,   38,   10,   38,   11,   55,   10,   55
 327,    1,   17,    1,   30,   11,   56,    0,   46,    1,   27
 328,    0,   58,    0,   61,   11,   55,   11,   57,   11,   57
 329,    1,   50,   10,   58,    1,   15,    1,   59,   11,   65
 330,   10,   45,    1,   38,    0,   59,    0,   33,   11,   60
 331,   11,   54,   11,   61,   11,   62,   11,   58,   10,   61
 332,   10,   59,   11,   57,    1,   33,    0,   61,   11,   55
 333,   11,   57,   10,   50,    1,   44,   11,   58,    0,   58
 334,   11,   63,    0,   38,   11,   64,   11,   65,   10,   40
 335,    1,   63,    0,   62,    1,   43,   11,   55,    0,   40
 336,   11,   65,   10,   41,   11,   58,    1,   43,    1,   40
 337,   11,   54,   11,   59,   11,   64,   10,   50,   10,   53
 338,    1,   50,   11,   58,   11,   60,    1,   20,   10,   44
 339,   11,   65,    1,   32,    1,   25,   11,   63,   11,   54
 340,   11,   63,   11,   65,    1,   16,   10,   52,    0,   53
 341,   11,   62,   11,   63,   11,   55,   10,   54,   11,   59
 342,    1,   40,    1,   12,    0,   27,    1,   47,   10,   53
 343,   11,   55,    1,   41,   11,   64,   10,   55,   11,   63
 344,   10,   36,    1,   15,   11,   63,    1,   17,   10,   46
 345,   10,   61,   10,   60,    0,   29,    1,   37,   11,   56
 346,   10,   52,   10,   36,    0,   22,    1,   44,   10,   55
 347,    0,   59,    1,   56,    0,   36,   10,   54,   10,   63
 348,   11,   61,   10,   48,   10,   54,   11,   56,    1,   21
 349,    0,   19,    0,   54,    1,   28,    0,   45,    1,   14
 350,    1,   55,   11,   65,   11,   59,   11,   63,    1,   32
 351,   10,   49,   10,   60,   11,   61,   10,   42,    1,   24
 352,   10,   52,    0,   25,    0,   23,   10,   55,   10,   59
 353,   10,   43,   11,   58,    0,   28,    1,   45,   11,   64
 354,   11,   63,   10,   41,   10,   56,    1,   32,    1,   65
 355,   10,   46,    0,   34,    0,   57,    0,   36,   10,   43
 356,    0,   64,   11,   54,   10,   37,    1,   17,   11,   56
 357,    1,   16,   11,   60,    1,   41,    0,   56,    1,   57
 358,   10,   44,    1,   27,   11,   64,   10,   56,    0,   56
 359,    1,   26,    1,   60,    0,   65,    1,   45,   10,   37
 360,   11,   58,    1,   56,    1,   19,    0,   51,    0,   46
 361,    0,   23,    1,   27,    0,   63,   11,   65,   11,   64
 362,   10,   48,   10,   51,    0,   55,    0,   49,   11,   60
 363,    0,   35,   10,   48,    0,   46,   11,   65,    0,   49
 364,    0,   25,   10,   54,    0,   53,   11,   65,    0,   50
 365,   10,   56,   11,   57,   11,   55,    0,   62,    1,   50
 366,    0,   46,    1,   51,   10,   63,   11,   59,    0,   50
 367,    1,   50,   11,   58,    1,   30,    1,   25,    1,   31
 368,    1,   63,    1,   12,   11,   60,    1,   54,    0,   59
 369,    0,   19,    0,   58,    0,   61,    1,   22,   10,   43
 370,   10,   58,   10,   45,   10,   54,    0,   40,   10,   47
 371,    0,   61,    0,   59,    0,   65,   11,   55,   11,   62
 372,   11,   59,    1,   54,   10,   52,   11,   63,    1,   61
 373,   10,   61,    0,   24,    0,   29,    0,   19,   10,   53
 374,   10,   54,    1,   36,    0,   47,   10,   54,   11,   62
 375,    0,   47,   10,   56,   10,   58,    1,   42,   11,   57
 376,   10,   58,   11,   60,   11,   65,   10,   49,    0,   46
 377,    1,   49,   10,   61,   10,   60,   11,   65,    1,   43
 378,   10,   53,   10,   64,    0,   32,    1,   39,   11,   59
 379,    0,   59,   10,   59,    1,   63,    1,   36,    1,   29
 380,   11,   60,   10,   54,    1,   30,    0,   36,    1,   30
 381,   10,   56,   10,   42,    0,   64,    1,   37,    0,   50
 382,    0,   20,    1,   64,    1,   15,   10,   41,    1,   37
 383,   10,   45,   11,   63,   10,   38,   11,   63,   11,   63
 384,    0,   61,    1,   26,    0,   25,    1,   24,   11,   54
 385,    1,   32,   11,   64,    1,   48,    1,   25,   10,   49
 386,   10,   58,   10,   43,    0,   18,    1,   47,   11,   57
 387,    0,   41,    1,   30,    0,   42,    1,   50,   10,   47
 388,    0,   64,    0,   53,   10,   36,   10,   65,    0,   52
 389,   10,   52,    1,   36,    0,   35,   10,   61,   10,   54
 390,    0,   18,   11,   63,   11,   55,   11,   57,   10,   36
 391,   11,   65,   11,   55,    0,   44,    1,   13,    1,   54
 392,   11,   56,   11,   58,   11,   58,   11,   62,    1,   15
 393,    0,   63,   10,   59,    0,   43,   10,   64,   10,   63
 394,    1,   43,   10,   38,    0,   30,    1,   21,    1,   17
 395,    0,   59,    0,   39,    0,   56,    1,   47,   11,   58
 396,    0,   25,    1,   44,   10,   53,    0,   18,    0,   39
 397,   11,   60,   11,   64,   11,   57,   10,   48,   11,   61
 398,    1,   62,   11,   59,    1,   33,    1,   28,    0,   57
 399,    0,   47,    0,   59,    0,   24,    0,   61,   11,   57
 400,   11,   60,    0,   45,    0,   51,    1,   32,   11,   61
 401,   11,   56,    0,   58,   10,   39,    1,   63,   10,   52
 402,   11,   64,    1,   56,   11,   65,    1,   60,   11,   59
 403,   10,   40,   10,   47,   11,   58,   11,   57,    1,   33
 404,   11,   56,   11,   63,   11,   62,    1,   62,    0,   61
 405,   10,   42,    1,   58,    0,   30,    0,   28,    0,   34
 406,   11,   61,    0,   23,   11,   57,    1,   22,    1,   63
 407,    1,   34,    1,   44,   10,   43,    0,   44,   10,   37
 408,    1,   34,    1,   29,   10,   60,    0,   38,   10,   53
 409,   11,   64,   10,   62,   11,   55,    0,   36,    1,   13
 410,   11,   60,   11,   64,   11,   58,   11,   62,    0,   44
 411,    0,   48,    1,   14,   11,   65,   10,   42,    1,   49
 412,    0,   27,    0,   62,   11,   55,    0,   49,   11,   56
 413,   11,   59,   11,   54,   10,   48,   11,   65,    0,   54
 414,    1,   59,   11,   65,   10,   50,    0,   20,   11,   55
 415,    1,   17,    0,   33,    0,   31,   11,   56,   11,   63
 416,    0,   36,    0,   33,    0,   24,   10,   37,    1,   41
 417,    1,   25,   10,   38,    0,   32,    1,   22,   10,   43
 418,    1,   55,   10,   54,   11,   58,    1,   33,    0,   46
 419,    1,   55,   10,   46,   11,   57,    1,   58,   11,   56
