nExp, valid,  A0,  A1
 250,     1,  62,  58
 251,     1,  -9,  87
 252,     1,  -7,  65
 253,     1, -10,  66
 254,     0, -31, -35
 255,     1, -41,  63
 256,     0, -11, -43
 257,     1,  57, -11
 258,     1,  -7,  65
 259,     0, -47, -11
 260,     0, -31, -11
 261,     1, -13,  59
 262,     0, -43, -11
 263,     0, -10, -26
 264,     0, -19, -11
 265,     0, -31, -11
 266,     1, -22,  62
 267,     1, -34,  62
 268,     0, -11, -11
 269,     0, -47, -27
 270,     0, -43, -11
 271,     0, -10, -38
 272,     0, -11, -31
 273,     0, -11, -11
 274,     1, -42,  74
 275,     0, -10, -14
 276,     1,  -8,  80
 277,     1,  -2,  94
 278,     1,  88,  -4
 279,     1, -32,  72
 280,     0, -11, -11
 281,     1, -35,  89
 282,     1,  -7,  77
 283,     0, -11, -11
 284,     0, -43, -11
 285,     1,  67,  -9
 286,     1,  63,  -9
 287,     1,  86,  -6
 288,     1,  -8,  72
 289,     1, -33,  63
 290,     0, -11, -43
 291,     0, -10, -10
 292,     0, -11, -11
 293,     0, -11, -27
 294,     0, -11, -11
 295,     0, -43, -11
 296,     1, -42,  70
 297,     1,  -9,  63
 298,     0, -11, -11
 299,     1,  89,  -3
 300,     1,  59,  -9
 301,     0, -11, -11
 302,     1, -10,  62
 303,     0, -43, -11
 304,     1,  75, -21
 305,     0, -11, -11
 306,     0, -11, -39
 307,     1,  -7,  73
 308,     0, -27, -27
 309,     1, -21,  79
 310,     0, -10, -10
 311,     1,  58, -10
 312,     1,  74,  -6
 313,     0, -11, -39
 314,     1,  58, -10
 315,     0, -42, -30
 316,     1,  85,  -3
 317,     0, -22, -10
 318,     0, -11, -51
 319,     0, -11, -15
 320,     1,  -8,  68
 321,     0, -10, -14
 322,     1,  -9,  59
 323,     1, -12,  88
 324,     0, -34, -10
 325,     0, -19, -11
 326,     1,  87,  -9
 327,     1,  -6,  90
 328,     0, -11, -11
 329,     1, -10,  70
 330,     1,  67, -21
 331,     0, -11, -23
 332,     0, -10, -42
 333,     1, -11,  69
 334,     0, -11, -23
 335,     1,  -8,  72
 336,     1,  84,  -4
 337,     0, -11, -43
 338,     0, -31, -11
 339,     1,  71, -25
 340,     0, -23, -27
 341,     1, -19,  69
 342,     0, -43, -11
 343,     0, -31, -11
 344,     0, -11, -15
 345,     0, -11, -51
 346,     0, -27, -11
 347,     1,  85, -19
 348,     1, -11,  57
 349,     0, -34, -10
 350,     0, -11, -11
 351,     0, -15, -15
 352,     1,  63,  -9
 353,     0, -11, -11
 354,     1,  -4,  84
 355,     0, -15, -47
 356,     0, -11, -11
 357,     1,  64,  -8
 358,     0, -11, -27
 359,     1,  86,  -6
 360,     1,  -4,  88
 361,     1,  83,  -9
 362,     0, -15, -15
 363,     0, -43, -11
 364,     0, -10, -10
 365,     1,  70, -10
 366,     1,  54, -22
 367,     1,  79, -17
 368,     1,  78,  -6
 369,     1,  -7,  73
 370,     0, -35, -11
 371,     0, -35, -19
 372,     0, -10, -10
 373,     0, -51, -11
 374,     0, -11, -11
 375,     1,  88,  -8
 376,     1,  -4,  92
 377,     1, -10,  58
 378,     0, -43, -11
 379,     1,  53, -11
 380,     0, -10, -10
 381,     1,  69,  -7
 382,     0, -42, -10
 383,     0, -11, -23
 384,     0, -11, -11
 385,     0, -23, -27
 386,     0, -15, -43
 387,     0, -11, -47
 388,     0, -14, -38
 389,     0, -11, -35
 390,     1,  66, -46
 391,     1,  67,  -9
 392,     0, -39, -19
 393,     1, -41,  71
 394,     0, -11, -11
 395,     0, -10, -42
 396,     1, -26,  86
 397,     0, -15, -43
 398,     0, -38, -10
 399,     0, -43, -43
 400,     0, -19, -15
 401,     0, -11, -31
 402,     0, -11, -11
 403,     0, -11, -11
 404,     0, -46, -10
 405,     0, -43, -27
 406,     1,  -4,  88
 407,     1,  76,  -8
 408,     1,  -9,  67
 409,     0, -11, -11
 410,     1, -41,  71
 411,     1,  -4,  92
 412,     0, -43, -11
 413,     0, -11, -43
 414,     1,  76,  -8
 415,     1,  77,  -7
 416,     0, -11, -43
 417,     1,  87, -21
 418,     1,  71, -13
 419,     1, -14,  78
 420,     1,  54, -34
 421,     1,  83,  -9
 422,     0, -43, -43
 423,     0, -11, -11
 424,     1,  -9,  63
 425,     0, -43, -15
 426,     0, -11, -11
 427,     1,  -7,  69
 428,     1,  86, -30
 429,     1,  78, -26
 430,     0, -11, -11
 431,     1,  68,  -8
 432,     1,  79,  -5
 433,     0, -43, -19
 434,     1,  67, -25
 435,     1,  83,  -5
 436,     0, -10, -26
 437,     0, -43, -43
 438,     1,  -9,  87
 439,     0, -11, -11
 440,     1, -22,  54
 441,     0, -11, -19
 442,     1,  90,  -6
 443,     1,  62, -42
 444,     0, -39, -43
 445,     1,  87,  -9
 446,     0, -11, -23
 447,     0, -31, -11
 448,     0, -11, -43
 449,     0, -11, -31
 450,     0, -26, -18
 451,     1,  60, -32
 452,     0, -11, -11
 453,     1, -18,  70
 454,     1,  75,  -9
 455,     0, -27, -19
 456,     0, -10, -10
 457,     1,  66, -10
 458,     1, -25,  91
 459,     0, -19, -19
 460,     1,  -5,  87
 461,     0, -15, -39
 462,     1,  -9,  79
 463,     1,  87, -21
 464,     0, -10, -18
 465,     1,  -3,  89
 466,     0, -11, -11
 467,     1,  58, -18
 468,     0, -11, -11
 469,     0, -31, -11
 470,     0, -42, -34
 471,     0, -43, -11
 472,     0, -11, -35
 473,     0, -11, -43
 474,     0, -43, -47
 475,     0, -23, -43
 476,     0, -10, -18
 477,     0, -11, -39
 478,     0, -11, -43
 479,     0, -31, -11
 480,     0, -11, -11
 481,     0, -35, -23
 482,     0, -22, -10
 483,     1,  82, -26
 484,     1,  79,  -5
 485,     0, -10, -10
 486,     0, -39, -11
 487,     0, -23, -11
 488,     0, -11, -11
 489,     0, -35, -23
 490,     0, -11, -27
 491,     0, -22, -10
 492,     1,  87,  -5
 493,     0, -10, -10
 494,     1,  92,  -4
 495,     0, -15, -11
 496,     0, -11, -11
 497,     1,  -5,  87
 498,     0, -11, -11
 499,     0, -10, -38
 500,     1,  74, -18
 501,     0, -11, -35
 502,     1,  66, -26
 503,     1,  75, -33
 504,     0, -11, -31
 505,     1,  -9,  67
 506,     0, -15, -11
 507,     0, -11, -11
 508,     1,  -9,  67
 509,     0, -10, -26
 510,     0, -11, -11
 511,     0, -31, -31
 512,     1,  53, -15
 513,     1,  70, -14
 514,     0, -31, -11
 515,     1,  -9,  75
 516,     0, -34, -10
 517,     0, -11, -11
 518,     1,  85,  -7
 519,     1,  79, -41
 520,     1,  -8,  60
 521,     0, -19, -11
 522,     1, -41,  79
 523,     1, -10,  70
 524,     0, -27, -43
 525,     1,  89,  -7
 526,     1,  93,  -3
 527,     0, -11, -35
 528,     0, -11, -27
 529,     0, -10, -10
 530,     1,  86,  -6
 531,     1,  -6,  82
 532,     0, -11, -11
 533,     1,  67,  -9
 534,     0, -15, -11
 535,     0, -19, -11
 536,     0, -35, -15
 537,     1,  -8,  80
 538,     1,  -9,  59
 539,     0, -39, -39
 540,     0, -43, -15
 541,     0, -39, -43
 542,     0, -11, -43
 543,     1, -15,  69
 544,     1, -30,  66
 545,     1,  66, -10
 546,     1,  60, -16
 547,     0, -43, -11
 548,     1,  62, -14
 549,     0, -31, -23
 550,     1, -22,  58
 551,     1,  -4,  84
 552,     1, -42,  54
 553,     0, -11, -27
 554,     1,  -8,  80
 555,     0, -11, -39
 556,     1, -13,  67
 557,     0, -51, -11
 558,     1,  87,  -5
 559,     1, -42,  74
 560,     1,  -6,  70
 561,     0, -31, -11
 562,     1,  58, -10
 563,     0, -11, -43
 564,     0, -11, -43
 565,     0, -11, -11
 566,     0, -11, -11
 567,     0, -35, -11
 568,     0, -10, -26
 569,     1,  74, -22
 570,     1,  65, -35
 571,     1, -10,  62
 572,     0, -11, -11
 573,     1,  62, -10
 574,     0, -11, -11
 575,     0, -14, -10
 576,     1, -13,  63
 577,     1,  -9,  79
 578,     0, -11, -27
 579,     0, -11, -11
 580,     0, -10, -10
 581,     1,  77,  -7
 582,     0, -39, -39
 583,     0, -11, -11
 584,     1,  83,  -5
 585,     1,  59,  -9
 586,     0, -11, -11
 587,     0, -11, -11
 588,     1,  -9,  71
 589,     0, -19, -39
 590,     1,  60, -36
 591,     0, -30, -10
 592,     1,  84,  -8
 593,     1,  -5,  79
 594,     0, -11, -43
 595,     0, -43, -11
 596,     1, -21,  71
 597,     0, -11, -11
 598,     0, -11, -11
 599,     0, -27, -11
 600,     1,  80, -12
 601,     0, -11, -11
 602,     0, -11, -23
 603,     1, -14,  82
 604,     1,  54, -14
 605,     1,  63, -29
 606,     0, -19, -43
 607,     0, -35, -15
 608,     0, -10, -10
 609,     1,  -7,  81
 610,     0, -23, -11
 611,     1,  -7,  73
 612,     0, -11, -27
 613,     0, -23, -11
 614,     1,  -7,  77
 615,     1,  92, -16
 616,     0, -42, -10
 617,     1,  -6,  82
 618,     1,  71, -33
 619,     1,  -8,  60
 620,     0, -43, -31
 621,     0, -10, -10
 622,     1,  72,  -8
 623,     1,  70,  -6
 624,     1,  -7,  65
 625,     1,  -6,  74
 626,     1,  84,  -4
 627,     0, -23, -11
 628,     0, -11, -11
 629,     1,  90,  -6
 630,     0, -15, -43
 631,     0, -11, -11
 632,     1, -42,  62
 633,     0, -51, -19
 634,     0, -43, -31
 635,     0, -10, -14
 636,     0, -43, -11
 637,     1,  -8,  72
 638,     0, -23, -11
 639,     1,  -3,  93
 640,     0, -43, -11
 641,     1, -11,  89
 642,     0, -43, -15
 643,     0, -19, -11
 644,     1,  -7,  81
 645,     0, -11, -27
 646,     0, -11, -11
 647,     1,  -8,  64
 648,     1,  78, -22
 649,     0, -42, -10
 650,     0, -11, -35
 651,     0, -51, -43
 652,     1, -10,  62
 653,     0, -10, -10
 654,     0, -11, -15
 655,     0, -43, -15
 656,     0, -11, -43
 657,     0, -35, -27
 658,     1,  93, -15
 659,     0, -11, -15
 660,     1,  89,  -3
 661,     0, -11, -43
 662,     0, -39, -43
 663,     0, -19, -11
 664,     0, -11, -11
 665,     1,  -7,  73
 666,     0, -10, -22
 667,     1, -13,  75
 668,     1,  -3,  89
 669,     0, -11, -19
 670,     0, -11, -43
 671,     0, -11, -11
 672,     0, -43, -11
 673,     0, -10, -10
 674,     1,  -4,  84
 675,     1,  76, -20
 676,     1,  54, -10
 677,     0, -10, -30
 678,     1, -20,  64
 679,     1,  63,  -9
 680,     0, -11, -11
 681,     1,  73,  -7
 682,     1,  58, -10
 683,     1,  58, -10
 684,     0, -11, -23
 685,     1, -13,  91
 686,     0, -11, -19
 687,     0, -10, -22
 688,     0, -35, -11
 689,     1,  69, -19
 690,     1,  67, -25
 691,     0, -11, -11
 692,     1,  71, -29
 693,     0, -43, -43
 694,     0, -23, -31
 695,     1,  71,  -9
 696,     1,  -9,  75
 697,     0, -35, -47
 698,     0, -11, -11
 699,     0, -11, -35
 700,     0, -39, -19
 701,     0, -30, -22
 702,     0, -15, -35
 703,     1,  60,  -8
 704,     0, -35, -11
 705,     1,  -6,  70
 706,     0, -23, -11
 707,     0, -47, -43
 708,     0, -31, -11
 709,     1,  86,  -6
 710,     0, -34, -10
 711,     1,  84, -20
 712,     1,  88,  -4
 713,     0, -43, -31
 714,     1,  85, -31
 715,     1,  -9,  63
 716,     1, -20,  84
 717,     0, -39, -11
 718,     0, -19, -23
 719,     0, -14, -10
 720,     1, -33,  67
 721,     1, -14,  70
 722,     0, -18, -10
 723,     0, -11, -35
 724,     0, -43, -11
 725,     1, -36,  60
 726,     1,  -2,  94
 727,     1,  -9,  71
 728,     0, -11, -31
 729,     1,  -6,  82
 730,     1,  -9,  75
 731,     1,  -5,  87
 732,     1,  75, -17
 733,     0, -15, -11
 734,     0, -31, -39
 735,     1,  -5,  87
 736,     0, -31, -47
 737,     0, -51, -11
 738,     1,  -9,  75
 739,     1,  -4,  92
 740,     0, -43, -43
 741,     1,  82,  -6
 742,     0, -22, -10
 743,     1,  -8,  64
 744,     1,  58, -10
 745,     0, -42, -10
 746,     0, -11, -11
 747,     1,  -8,  88
 748,     1, -35,  85
 749,     0, -11, -43
 750,     0, -10, -30
 751,     0, -11, -11
 752,     0, -43, -11
 753,     1, -23,  53
 754,     0, -10, -10
 755,     0, -11, -11
 756,     1,  78, -10
 757,     0, -14, -10
 758,     0, -11, -11
 759,     0, -43, -39
 760,     0, -23, -43
 761,     0, -35, -11
 762,     1,  83,  -5
 763,     0, -11, -47
 764,     0, -43, -35
 765,     1,  89,  -3
 766,     0, -19, -11
 767,     0, -11, -11
 768,     0, -43, -19
 769,     1, -16,  92
 770,     0, -11, -43
 771,     1,  75, -37
 772,     0, -35, -11
 773,     0, -11, -11
 774,     0, -10, -10
 775,     1,  -7,  65
 776,     1,  77,  -7
 777,     0, -15, -11
 778,     1,  60,  -8
 779,     0, -10, -10
 780,     0, -31, -35
 781,     0, -11, -11
 782,     0, -11, -11
 783,     0, -35, -11
 784,     1,  63, -21
 785,     0, -11, -43
 786,     1,  -9,  59
 787,     0, -31, -35
 788,     1,  58, -10
 789,     0, -11, -15
 790,     0, -31, -39
 791,     0, -15, -43
 792,     0, -31, -11
 793,     1,  -9,  63
 794,     1, -14,  78
 795,     1, -20,  76
 796,     0, -15, -11
 797,     0, -11, -43
 798,     0, -27, -11
 799,     1, -13,  79
 800,     1,  64,  -8
 801,     0, -11, -11
 802,     0, -15, -11
 803,     1, -30,  66
 804,     1,  67, -13
 805,     1,  63, -25
 806,     1,  87, -41
 807,     0, -11, -11
 808,     1,  89, -11
 809,     1,  80,  -4
 810,     0, -11, -11
 811,     1, -38,  78
 812,     1, -36,  80
 813,     1, -19,  65
 814,     0, -23, -43
 815,     0, -11, -31
 816,     1, -13,  63
 817,     0, -10, -14
 818,     1,  83,  -9
 819,     0, -11, -11
 820,     1,  79, -17
 821,     0, -11, -11
 822,     0, -10, -10
 823,     0, -11, -11
 824,     1, -39,  57
 825,     1,  -5,  91
 826,     1,  -6,  82
 827,     0, -10, -22
 828,     0, -15, -11
 829,     1,  62, -22
 830,     0, -10, -10
 831,     0, -11, -43
 832,     0, -11, -11
 833,     0, -31, -11
 834,     1, -21,  75
 835,     0, -15, -11
 836,     1, -22,  62
 837,     0, -35, -11
 838,     1,  83, -37
 839,     0, -23, -31
 840,     0, -27, -35
 841,     0, -11, -11
 842,     0, -11, -11
 843,     0, -11, -11
 844,     0, -10, -10
 845,     0, -51, -27
 846,     0, -11, -35
 847,     0, -15, -19
 848,     1,  83,  -5
 849,     1, -41,  59
 850,     1,  66, -34
 851,     0, -39, -35
 852,     0, -19, -11
 853,     0, -14, -34
 854,     1, -26,  66
 855,     0, -11, -11
 856,     0, -14, -42
 857,     0, -11, -11
 858,     1, -23,  53
 859,     1,  59,  -9
 860,     1,  74,  -6
 861,     0, -11, -43
 862,     0, -10, -10
 863,     1,  70, -10
 864,     1,  -9,  67
 865,     1,  72, -28
 866,     0, -23, -11
 867,     0, -10, -10
 868,     1,  -6,  78
 869,     1, -22,  58
 870,     0, -27, -11
 871,     0, -19, -11
 872,     0, -15, -11
 873,     1,  76, -24
 874,     0, -43, -35
 875,     0, -43, -11
 876,     1,  62, -42
 877,     0, -34, -30
 878,     0, -31, -11
 879,     1, -20,  84
 880,     0, -35, -11
 881,     0, -35, -27
 882,     0, -23, -11
 883,     0, -10, -10
 884,     1,  81, -11
 885,     0, -11, -23
 886,     0, -11, -23
 887,     0, -11, -23
 888,     1,  79,  -5
 889,     1,  -7,  69
 890,     1, -41,  67
 891,     1,  -3,  93
 892,     0, -10, -22
 893,     0, -11, -11
 894,     0, -11, -11
 895,     0, -23, -43
 896,     0, -27, -11
 897,     1, -16,  80
 898,     0, -11, -43
 899,     1,  -6,  70
 900,     1,  71,  -9
 901,     0, -11, -11
 902,     1,  -4,  88
 903,     1,  80,  -4
 904,     1, -10,  66
 905,     1,  -8,  72
 906,     0, -47, -43
 907,     0, -11, -43
 908,     0, -11, -43
 909,     0, -11, -27
 910,     0, -11, -35
 911,     0, -10, -10
 912,     1,  76,  -8
 913,     0, -11, -27
 914,     0, -43, -27
 915,     0, -27, -11
 916,     0, -11, -11
 917,     0, -38, -10
 918,     0, -19, -35
 919,     0, -35, -31
 920,     0, -39, -11
 921,     1,  62, -10
 922,     0, -42, -10
 923,     1,  75,  -9
 924,     1,  84,  -4
 925,     0, -11, -39
 926,     0, -11, -11
 927,     0, -10, -10
 928,     0, -11, -11
 929,     1,  67, -41
 930,     0, -11, -11
 931,     0, -19, -27
 932,     1, -29,  67
 933,     1,  -5,  91
 934,     1,  93, -15
 935,     0, -23, -11
 936,     1,  -8,  64
 937,     0, -19, -15
 938,     0, -11, -23
 939,     0, -27, -11
 940,     0, -31, -19
 941,     0, -11, -11
 942,     0, -10, -10
 943,     1,  70, -10
 944,     1,  53, -43
 945,     0, -26, -10
 946,     0, -43, -27
 947,     0, -11, -39
 948,     0, -47, -19
 949,     1,  91,  -5
 950,     1, -29,  67
 951,     0, -11, -31
 952,     0, -18, -46
 953,     1,  65,  -7
 954,     1,  90, -26
 955,     0, -39, -39
 956,     0, -10, -14
 957,     0, -11, -15
 958,     1,  66, -10
 959,     0, -31, -11
 960,     0, -11, -31
 961,     0, -11, -23
 962,     0, -27, -39
 963,     0, -10, -42
 964,     0, -11, -35
 965,     0, -27, -11
 966,     1,  89,  -3
 967,     1, -23,  77
 968,     1,  88,  -4
 969,     0, -43, -11
 970,     1,  -8,  76
 971,     0, -43, -11
 972,     0, -11, -35
 973,     0, -35, -43
 974,     0, -35, -23
 975,     0, -11, -31
 976,     0, -10, -26
 977,     1, -11,  53
 978,     0, -31, -11
 979,     0, -11, -43
 980,     0, -35, -11
 981,     0, -11, -47
 982,     1,  94,  -2
 983,     1,  -7,  77
 984,     0, -11, -47
 985,     0, -42, -22
 986,     1,  -4,  84
 987,     0, -43, -39
 988,     0, -10, -10
 989,     0, -11, -35
 990,     0, -11, -51
 991,     0, -23, -11
 992,     0, -11, -31
 993,     1, -41,  59
 994,     0, -11, -19
 995,     0, -11, -11
 996,     1,  87,  -5
 997,     1,  -7,  81
 998,     0, -11, -11
 999,     0, -11, -47
