nExp,  A0x,  A0y 
 136,   10,   37
 137,    0,   65
 138,    1,   33
 139,   10,   44
 140,    1,   24
 141,    0,   26
 142,   10,   38
 143,    1,   29
 144,    1,   17
 145,   11,   59
 146,   11,   65
 147,    1,   37
 148,   10,   48
 149,    1,   51
 150,   11,   65
 151,   10,   47
 152,   11,   61
 153,    0,   22
 154,   10,   37
 155,    0,   36
 156,   10,   49
 157,    1,   43
 158,   10,   48
 159,    1,   65
 160,    1,   53
 161,    1,   31
 162,    0,   59
 163,   10,   63
 164,    1,   48
 165,    0,   37
 166,    0,   20
 167,   11,   56
 168,    0,   27
 169,    1,   41
 170,    0,   65
 171,   11,   55
 172,    1,   48
 173,   11,   59
 174,   11,   57
 175,    1,   38
 176,   10,   42
 177,   10,   42
 178,    1,   63
 179,   11,   63
 180,    0,   25
 181,    1,   54
 182,   11,   60
 183,   10,   60
 184,    0,   22
 185,   11,   54
 186,    0,   19
 187,    0,   58
 188,    1,   20
 189,    0,   49
 190,   11,   60
 191,   11,   60
 192,   10,   56
 193,   11,   63
 194,   11,   62
 195,   11,   56
 196,   10,   53
 197,   11,   59
 198,   11,   58
 199,   10,   61
 200,   11,   61
 201,    0,   26
 202,   10,   43
 203,    0,   59
 204,   11,   57
 205,    1,   55
 206,    0,   48
 207,    0,   31
 208,   11,   54
 209,    0,   38
 210,    1,   58
 211,   10,   56
 212,    0,   65
 213,    1,   45
 214,    1,   14
 215,    1,   20
 216,    0,   47
 217,   10,   39
 218,   10,   46
 219,    1,   53
 220,    1,   59
 221,   10,   50
 222,   10,   46
 223,    0,   50
 224,   10,   59
 225,    0,   61
 226,   11,   65
 227,   11,   62
 228,   11,   60
 229,   11,   56
 230,   11,   59
 231,   11,   59
 232,   11,   54
 233,    0,   62
 234,    1,   60
 235,   11,   61
 236,   10,   42
 237,    0,   57
 238,   11,   63
 239,   10,   48
 240,    1,   18
 241,    1,   42
 242,   11,   65
 243,    1,   17
 244,   11,   62
 245,    0,   39
 246,   10,   36
 247,   11,   65
 248,   10,   38
 249,    0,   35
 250,    0,   34
 251,    0,   64
 252,   11,   54
 253,   11,   56
 254,    0,   50
 255,   11,   55
 256,    0,   35
 257,    0,   47
 258,   11,   56
 259,    0,   34
 260,   11,   55
 261,   11,   58
 262,    1,   27
 263,   11,   65
 264,   10,   41
 265,   11,   55
 266,   10,   40
 267,   11,   65
 268,   11,   57
 269,    0,   54
 270,    1,   34
 271,    0,   24
 272,    0,   21
 273,    0,   38
 274,   10,   58
 275,    0,   38
 276,   10,   38
 277,    1,   31
 278,   11,   54
 279,    1,   34
 280,   10,   45
 281,    0,   32
 282,    1,   63
 283,   11,   57
 284,   10,   56
 285,   11,   59
 286,    1,   53
 287,    1,   25
 288,    1,   62
 289,    0,   40
 290,   10,   50
 291,    0,   18
 292,   10,   54
 293,    0,   32
 294,   11,   61
 295,   10,   40
 296,   10,   50
 297,   10,   58
 298,    0,   54
 299,    1,   65
 300,    0,   60
 301,    0,   30
 302,   10,   53
 303,    1,   17
 304,    1,   27
 305,   11,   64
 306,   10,   37
 307,   11,   57
 308,    1,   40
 309,    0,   62
 310,    0,   37
 311,    1,   40
 312,   10,   54
 313,   10,   48
 314,   10,   48
 315,   11,   63
 316,    1,   32
 317,   10,   40
 318,   10,   47
 319,   10,   40
 320,   10,   46
 321,    1,   34
 322,    1,   49
 323,    1,   47
 324,    0,   32
 325,   10,   37
 326,   10,   36
 327,    1,   59
 328,    0,   43
 329,    0,   59
 330,   10,   58
 331,   10,   36
 332,    0,   47
 333,   11,   64
 334,   10,   57
 335,    0,   54
 336,    1,   17
 337,    1,   29
 338,    0,   38
 339,   11,   59
 340,    1,   50
 341,   10,   39
 342,   11,   59
 343,   11,   58
 344,   11,   58
 345,    0,   27
 346,   11,   61
 347,    0,   36
 348,    0,   22
 349,    0,   20
 350,   10,   41
 351,   10,   54
 352,   10,   51
 353,    1,   59
 354,    1,   36
 355,   10,   51
 356,   11,   65
 357,   11,   65
 358,   10,   50
 359,   10,   42
 360,    1,   14
 361,    0,   18
 362,   10,   40
 363,   11,   62
 364,   11,   58
 365,   11,   59
 366,    1,   17
 367,   11,   63
 368,    1,   36
 369,    1,   13
 370,    0,   35
 371,    0,   43
 372,    0,   27
 373,   10,   58
 374,    1,   58
 375,    1,   30
 376,   10,   37
 377,   11,   54
 378,    1,   51
 379,    0,   56
 380,   11,   59
 381,    0,   21
 382,    0,   54
 383,    1,   61
 384,    1,   16
 385,    1,   52
 386,   11,   54
 387,    0,   41
 388,    0,   59
 389,   11,   57
 390,    1,   42
 391,    1,   41
 392,    0,   32
 393,    1,   44
 394,   10,   43
 395,    0,   23
 396,   11,   55
 397,   10,   43
 398,    1,   51
 399,   10,   58
 400,   10,   61
 401,    0,   48
 402,    0,   53
 403,    1,   48
 404,   10,   55
 405,    0,   57
 406,    0,   42
 407,   10,   43
 408,   10,   44
 409,    0,   56
 410,   10,   45
 411,   10,   36
 412,    0,   36
 413,   11,   60
 414,    0,   54
 415,   11,   63
 416,   10,   56
 417,    0,   53
 418,   11,   63
 419,    1,   43
 420,   10,   63
 421,    0,   58
 422,   10,   46
 423,    1,   12
 424,    0,   49
 425,   10,   50
 426,   11,   59
 427,    1,   57
 428,    1,   44
 429,   10,   60
 430,   11,   58
 431,    0,   19
 432,   10,   64
 433,    1,   35
 434,   10,   55
 435,    1,   48
 436,    1,   31
 437,   10,   57
 438,    0,   19
 439,   10,   36
 440,    0,   28
 441,   10,   37
 442,    0,   64
 443,    1,   60
 444,    0,   38
 445,    1,   21
 446,    1,   65
 447,   10,   47
 448,    1,   26
 449,   10,   58
 450,   10,   49
 451,    0,   62
 452,    1,   33
 453,    0,   24
 454,   11,   60
 455,   10,   40
 456,    1,   57
 457,   11,   56
 458,    0,   56
 459,    0,   55
 460,   10,   41
 461,    0,   62
 462,   10,   54
 463,    1,   20
 464,   10,   43
 465,   11,   62
 466,    0,   62
 467,    0,   22
 468,    1,   20
 469,    0,   35
 470,   10,   48
 471,    1,   38
 472,    1,   28
 473,   11,   60
 474,   11,   63
 475,   10,   43
 476,   10,   49
 477,   10,   48
 478,    1,   13
 479,   10,   37
 480,   10,   53
 481,   11,   57
 482,   10,   42
 483,   10,   46
 484,   11,   65
 485,    0,   45
 486,    1,   64
 487,   11,   61
 488,   10,   56
 489,    1,   61
 490,   11,   57
 491,   10,   36
 492,   11,   60
 493,   11,   58
 494,   10,   45
 495,   11,   61
 496,   11,   54
 497,    0,   20
 498,    0,   62
 499,   11,   59
 500,   11,   63
 501,   11,   62
 502,    0,   44
 503,    1,   63
 504,    0,   26
 505,   10,   40
 506,    0,   42
 507,   11,   61
 508,   11,   57
 509,    1,   35
 510,   11,   62
 511,   11,   60
 512,   10,   65
 513,    0,   55
 514,   11,   64
 515,   11,   55
 516,   10,   63
 517,   10,   46
 518,   11,   60
 519,    1,   45
 520,   11,   56
 521,    0,   43
 522,   11,   62
 523,   10,   54
 524,    1,   51
 525,    0,   60
 526,    1,   63
 527,   11,   54
 528,    1,   52
 529,    1,   39
 530,   11,   62
 531,   11,   55
 532,   11,   65
 533,   10,   64
 534,    1,   59
 535,   11,   61
 536,    0,   19
 537,    0,   30
 538,   11,   58
 539,   11,   61
 540,    1,   59
 541,    0,   40
 542,   11,   55
 543,   10,   45
 544,    0,   40
 545,   10,   37
 546,   10,   46
 547,    0,   27
 548,    0,   43
 549,    0,   62
 550,   11,   65
 551,    1,   60
 552,   11,   63
 553,    1,   48
 554,   10,   48
 555,    1,   15
 556,    0,   24
 557,    1,   46
 558,   11,   54
 559,   11,   54
 560,   10,   58
 561,   10,   64
 562,    1,   43
 563,    0,   44
 564,   11,   56
 565,    1,   49
 566,    1,   25
 567,   11,   65
 568,    0,   61
 569,   10,   37
 570,   10,   55
 571,    0,   54
 572,   11,   54
 573,   10,   49
 574,    0,   40
 575,    0,   34
 576,   10,   50
 577,   10,   52
 578,   11,   58
 579,   11,   54
 580,    1,   31
 581,    1,   57
 582,   10,   65
 583,   11,   55
 584,    1,   13
 585,   10,   36
 586,   11,   56
 587,    1,   15
 588,    1,   33
 589,    0,   54
 590,   10,   46
 591,   11,   54
 592,    0,   35
 593,   11,   63
 594,   10,   52
 595,   11,   58
 596,    0,   56
 597,    0,   36
 598,    1,   18
 599,    1,   21
 600,   10,   55
 601,    0,   39
 602,   10,   62
 603,    1,   16
 604,    0,   59
 605,   11,   64
 606,    1,   46
 607,    0,   57
 608,    1,   63
 609,    1,   13
 610,   11,   61
 611,    1,   13
 612,    1,   20
 613,   10,   40
 614,    0,   62
 615,   10,   43
 616,   11,   61
 617,   11,   59
 618,   11,   62
 619,    0,   29
 620,    1,   21
 621,    0,   28
 622,   11,   59
 623,   11,   55
 624,   10,   36
 625,   11,   54
 626,    1,   55
 627,   11,   54
 628,   11,   60
 629,    0,   55
 630,    0,   47
 631,   11,   62
 632,    1,   13
 633,    1,   61
 634,    1,   25
 635,    0,   42
 636,   10,   38
 637,    1,   47
 638,   11,   59
 639,    1,   37
 640,    0,   36
 641,   10,   47
 642,   10,   61
 643,   11,   64
 644,    1,   13
 645,   10,   50
 646,    0,   19
 647,    1,   55
 648,   11,   55
 649,   11,   54
 650,   10,   36
 651,    1,   58
 652,    1,   61
 653,   10,   54
 654,    0,   34
 655,    1,   43
 656,   11,   57
 657,   10,   64
 658,    1,   45
 659,   11,   61
 660,   11,   56
 661,   11,   56
 662,   10,   44
 663,   10,   44
 664,    1,   48
 665,    1,   51
 666,    1,   19
 667,   10,   40
 668,    1,   33
 669,    0,   52
 670,   10,   59
 671,   10,   52
 672,    0,   27
 673,    0,   43
 674,   11,   58
 675,   11,   62
 676,   10,   46
 677,    0,   64
 678,   11,   58
 679,   11,   64
 680,    1,   39
 681,    1,   49
 682,   11,   65
 683,   10,   45
 684,   11,   65
 685,    1,   63
 686,   10,   64
 687,   11,   63
 688,   10,   40
 689,    0,   46
 690,   10,   64
 691,   10,   56
 692,   10,   42
 693,   10,   65
 694,    0,   51
 695,   10,   47
 696,   11,   54
 697,   11,   63
 698,    1,   17
 699,    1,   43
 700,    1,   38
 701,   11,   65
 702,   10,   60
 703,    0,   59
 704,   11,   56
 705,   11,   64
 706,   11,   60
 707,   10,   42
 708,   10,   48
 709,    0,   24
 710,    1,   59
 711,   10,   63
 712,   11,   55
 713,   10,   46
 714,   10,   49
 715,    1,   17
 716,   11,   59
 717,   10,   50
 718,    0,   43
 719,    0,   58
 720,   11,   55
 721,    0,   21
 722,    1,   63
 723,   10,   43
 724,    0,   23
 725,    0,   56
 726,    0,   59
 727,   11,   55
 728,   10,   36
 729,   11,   60
 730,   11,   59
 731,   10,   63
 732,   10,   62
 733,    1,   17
 734,    0,   28
 735,   11,   57
 736,    0,   41
 737,   11,   60
 738,    1,   16
 739,   10,   42
 740,    1,   32
 741,   11,   56
 742,   11,   62
 743,    1,   59
 744,    1,   32
 745,    0,   55
 746,    1,   39
 747,    1,   47
 748,    1,   61
 749,    1,   31
 750,    1,   53
 751,   11,   64
 752,    1,   27
 753,    1,   30
 754,    0,   26
 755,   11,   59
 756,    0,   36
 757,    1,   39
 758,   11,   65
 759,   10,   54
 760,   10,   51
 761,    1,   28
 762,   10,   38
 763,    1,   60
 764,    0,   64
 765,   11,   60
 766,    0,   22
 767,    0,   33
 768,    0,   56
 769,    1,   24
 770,    0,   36
 771,    0,   23
 772,   10,   64
 773,    0,   53
 774,    0,   18
 775,   11,   64
 776,    0,   26
 777,    0,   62
 778,    1,   55
 779,    1,   32
 780,   11,   61
 781,    1,   43
 782,   10,   60
 783,   10,   55
 784,   10,   38
 785,   11,   62
 786,    1,   49
 787,   10,   55
 788,    1,   42
 789,   10,   42
 790,   10,   39
 791,    0,   61
 792,    0,   60
 793,    1,   36
 794,    1,   34
 795,    1,   42
 796,    1,   56
 797,    0,   29
 798,    1,   62
 799,    0,   52
 800,    0,   37
 801,   11,   59
 802,    1,   25
 803,    1,   24
 804,    1,   47
 805,   10,   63
 806,   11,   60
 807,    0,   32
 808,   10,   56
 809,   11,   55
 810,    0,   59
 811,   11,   63
 812,    1,   48
 813,    1,   22
 814,    1,   54
 815,   11,   65
 816,   11,   62
 817,   10,   57
 818,    0,   62
 819,   10,   53
 820,    1,   46
 821,   10,   62
 822,   10,   42
 823,    1,   25
 824,   11,   64
 825,   10,   41
 826,    0,   24
 827,    1,   48
 828,    0,   50
 829,   11,   63
 830,    1,   46
 831,   11,   64
 832,    1,   49
 833,    0,   44
 834,    1,   35
 835,    1,   47
 836,   11,   59
 837,    0,   54
 838,   11,   65
 839,    1,   37
 840,   10,   62
 841,   10,   36
 842,    0,   58
 843,   10,   62
 844,    1,   23
 845,    0,   65
 846,    0,   48
 847,    1,   32
 848,   10,   38
 849,   11,   59
 850,    0,   38
 851,   11,   57
 852,   10,   59
 853,    0,   64
 854,    0,   59
 855,   10,   40
 856,    1,   44
 857,    1,   57
 858,    0,   36
 859,   10,   46
 860,   11,   57
 861,    0,   25
 862,   10,   52
 863,    0,   65
 864,    1,   29
 865,   10,   36
 866,    1,   47
 867,   11,   63
 868,   11,   55
 869,    1,   13
 870,    1,   32
 871,    1,   32
 872,   11,   56
 873,   11,   60
 874,    1,   41
 875,    0,   41
 876,    0,   59
 877,    1,   30
 878,   11,   61
 879,    1,   54
 880,    0,   45
 881,   10,   61
 882,   10,   50
 883,   10,   59
 884,    1,   42
 885,   10,   65
 886,   10,   64
 887,    1,   44
 888,   10,   46
 889,    1,   64
 890,    1,   65
 891,   11,   56
 892,   11,   65
 893,    1,   47
 894,   11,   54
 895,   11,   57
 896,   10,   64
 897,    0,   47
 898,    1,   18
 899,   10,   65
 900,   10,   46
 901,    1,   34
 902,   10,   48
 903,    0,   65
 904,   11,   56
 905,    0,   38
 906,   10,   36
 907,   11,   61
 908,    1,   59
 909,   10,   45
 910,   10,   65
 911,    0,   52
 912,   11,   62
 913,    0,   46
 914,   11,   59
 915,   10,   43
 916,    1,   55
 917,    1,   36
 918,    0,   35
 919,   10,   42
 920,   11,   58
 921,    0,   32
 922,   11,   64
 923,   11,   54
 924,   11,   60
 925,    0,   29
 926,    1,   33
 927,    1,   62
 928,    0,   52
 929,   11,   58
 930,    0,   28
 931,    1,   19
 932,   10,   43
 933,    0,   29
 934,   11,   59
 935,   11,   65
 936,    0,   44
 937,   11,   60
 938,    0,   29
 939,   11,   57
 940,   11,   63
 941,   10,   57
 942,   11,   64
 943,    0,   26
 944,   10,   42
 945,   10,   50
 946,    0,   22
 947,    0,   57
 948,    0,   64
 949,   11,   62
 950,    1,   26
 951,    1,   30
 952,    1,   51
 953,   11,   55
 954,    0,   28
 955,    0,   59
 956,   10,   38
 957,    1,   36
 958,   11,   63
 959,    0,   48
 960,   10,   36
 961,    0,   50
 962,    1,   64
 963,   10,   56
 964,    0,   41
 965,   10,   61
 966,    0,   37
 967,    1,   35
 968,    1,   27
 969,   11,   64
 970,    1,   46
 971,    1,   43
 972,   10,   51
 973,   10,   58
 974,   11,   56
 975,    0,   42
 976,   10,   60
 977,   10,   63
 978,   11,   60
 979,   11,   59
 980,    1,   35
 981,    1,   47
 982,    0,   53
 983,   11,   59
 984,    0,   27
 985,    0,   30
 986,   11,   54
 987,   11,   65
 988,    0,   26
 989,   11,   58
 990,   11,   54
 991,   11,   54
 992,   10,   63
 993,   11,   57
 994,   11,   58
 995,    1,   31
 996,    1,   43
 997,   11,   62
 998,   11,   54
 999,   10,   46
